"HitFairwayPercentage_RANKTHISWEEK_2015","HitFairwayPercentage_RANKLASTWEEK_2015","HitFairwayPercentage_PLAYERNAME_2015","HitFairwayPercentage_ROUNDS_2015","HitFairwayPercentage_Pct_2015","HitFairwayPercentage_FAIRWAYSHIT_2015","HitFairwayPercentage_POSSIBLEFAIRWAYS_2015","HitFairwayPercentage_RELATIVETOPAR_2015","stat_name","year"
1,1,"Francesco Molinari",56,75.29,448,595,-0.14,"HitFairwayPercentage",2015
2,2,"David Toms",62,74.12,567,765,-0.1,"HitFairwayPercentage",2015
3,3,"Chez Reavie",56,72.29,501,693,-0.16,"HitFairwayPercentage",2015
4,4,"Jason Bohn",95,71.68,868,1211,-0.18,"HitFairwayPercentage",2015
5,5,"Jerry Kelly",79,70.98,653,920,-0.13,"HitFairwayPercentage",2015
6,6,"Justin Leonard",61,70.97,533,751,-0.13,"HitFairwayPercentage",2015
7,7,"Colt Knost",90,70.61,728,1031,-0.16,"HitFairwayPercentage",2015
8,8,"Steven Alker",62,70.55,491,696,-0.2,"HitFairwayPercentage",2015
9,9,"Zach Johnson",90,70.01,684,977,-0.2,"HitFairwayPercentage",2015
10,10,"Ryan Moore",81,70,595,850,-0.2,"HitFairwayPercentage",2015
11,11,"Kevin Streelman",95,69.69,708,1016,-0.15,"HitFairwayPercentage",2015
12,12,"Spencer Levin",99,69.52,803,1155,-0.16,"HitFairwayPercentage",2015
13,13,"Brendon Todd",96,69.37,736,1061,-0.17,"HitFairwayPercentage",2015
14,14,"John Huh",102,69.28,857,1237,-0.14,"HitFairwayPercentage",2015
15,15,"Brian Stuard",97,69.1,758,1097,-0.13,"HitFairwayPercentage",2015
16,16,"Zac Blair",108,68.33,837,1225,-0.13,"HitFairwayPercentage",2015
17,17,"Will Wilcox",58,68.31,388,568,-0.2,"HitFairwayPercentage",2015
18,18,"Ken Duke",93,68.24,737,1080,-0.11,"HitFairwayPercentage",2015
19,19,"Nicholas Thompson",90,68.18,662,971,-0.09,"HitFairwayPercentage",2015
20,20,"Russell Knox",96,67.82,820,1209,-0.21,"HitFairwayPercentage",2015
20,20,"John Merrick",78,67.82,548,808,-0.16,"HitFairwayPercentage",2015
22,22,"Ben Crane",62,67.68,488,721,-0.07,"HitFairwayPercentage",2015
23,23,"Roberto Castro",54,67.66,339,501,-0.16,"HitFairwayPercentage",2015
24,24,"William McGirt",103,67.6,914,1352,-0.16,"HitFairwayPercentage",2015
25,25,"Jon Curran",83,67.59,609,901,-0.14,"HitFairwayPercentage",2015
26,26,"Brian Davis",86,67.58,665,984,-0.11,"HitFairwayPercentage",2015
27,27,"John Peterson",84,67.54,722,1069,-0.16,"HitFairwayPercentage",2015
28,28,"Jim Herman",88,67.23,720,1071,-0.16,"HitFairwayPercentage",2015
29,29,"Heath Slocum",57,67.16,364,542,-0.07,"HitFairwayPercentage",2015
29,29,"Henrik Stenson",63,67.16,409,609,-0.23,"HitFairwayPercentage",2015
31,31,"Jim Furyk",71,67.13,484,721,-0.19,"HitFairwayPercentage",2015
32,32,"Bryce Molder",91,67.1,718,1070,-0.16,"HitFairwayPercentage",2015
33,33,"Jason Gore",76,66.91,542,810,-0.15,"HitFairwayPercentage",2015
33,33,"Cameron Tringale",96,66.91,732,1094,-0.14,"HitFairwayPercentage",2015
35,35,"Webb Simpson",81,66.82,594,889,-0.16,"HitFairwayPercentage",2015
36,36,"Kevin Kisner",104,66.49,867,1304,-0.16,"HitFairwayPercentage",2015
37,37,"Chad Campbell",97,66.14,836,1264,-0.15,"HitFairwayPercentage",2015
38,38,"SJ Park",79,66.09,577,873,-0.08,"HitFairwayPercentage",2015
39,39,"Adam Hadwin",95,66.04,739,1119,-0.17,"HitFairwayPercentage",2015
40,40,"Mark Hubbard",79,66,561,850,-0.14,"HitFairwayPercentage",2015
41,41,"Pat Perez",96,65.85,756,1148,-0.19,"HitFairwayPercentage",2015
42,42,"David Lingmerth",90,65.53,675,1030,-0.17,"HitFairwayPercentage",2015
43,43,"Jonathan Byrd",69,65.35,462,707,-0.16,"HitFairwayPercentage",2015
44,44,"Brendon de Jonge",106,65.29,835,1279,-0.14,"HitFairwayPercentage",2015
45,45,"Keegan Bradley",87,65.24,578,886,-0.21,"HitFairwayPercentage",2015
46,46,"Chad Collins",79,65.03,569,875,-0.17,"HitFairwayPercentage",2015
47,47,"George McNeill",93,64.88,800,1233,-0.17,"HitFairwayPercentage",2015
48,48,"Graham DeLaet",65,64.75,483,746,-0.18,"HitFairwayPercentage",2015
49,49,"Brian Harman",90,64.68,705,1090,-0.17,"HitFairwayPercentage",2015
50,50,"Sam Saunders",83,64.6,562,870,-0.14,"HitFairwayPercentage",2015
51,51,"John Senden",80,64.57,461,714,-0.16,"HitFairwayPercentage",2015
52,52,"Ben Martin",93,64.56,694,1075,-0.21,"HitFairwayPercentage",2015
53,53,"Davis Love III",51,64.44,377,585,-0.11,"HitFairwayPercentage",2015
54,54,"Mark Wilson",89,64.38,723,1123,-0.15,"HitFairwayPercentage",2015
55,55,"David Hearn",97,64.35,758,1178,-0.18,"HitFairwayPercentage",2015
56,56,"Derek Ernst",75,64.33,561,872,-0.11,"HitFairwayPercentage",2015
56,56,"Chris Stroud",84,64.33,606,942,-0.17,"HitFairwayPercentage",2015
58,58,"Hudson Swafford",97,64.21,739,1151,-0.19,"HitFairwayPercentage",2015
59,59,"Billy Hurley III",83,64.18,559,871,-0.11,"HitFairwayPercentage",2015
60,60,"Hideki Matsuyama",95,63.98,627,980,-0.26,"HitFairwayPercentage",2015
61,61,"Gonzalo Fdez Castano",81,63.91,556,870,-0.11,"HitFairwayPercentage",2015
62,62,"Blayne Barber",76,63.8,557,873,-0.17,"HitFairwayPercentage",2015
63,63,"Bill Lunde",50,63.73,318,499,-0.12,"HitFairwayPercentage",2015
64,64,"Russell Henley",87,63.67,594,933,-0.21,"HitFairwayPercentage",2015
65,65,"Robert Allenby",63,63.65,450,707,-0.13,"HitFairwayPercentage",2015
66,66,"Danny Lee",120,63.54,880,1385,-0.2,"HitFairwayPercentage",2015
67,67,"Lucas Glover",79,63.5,635,1000,-0.16,"HitFairwayPercentage",2015
68,68,"Jordan Spieth",91,63.18,573,907,-0.25,"HitFairwayPercentage",2015
69,69,"Kevin Chappell",86,63.11,657,1041,-0.21,"HitFairwayPercentage",2015
70,70,"Jason Dufner",76,63.06,420,666,-0.16,"HitFairwayPercentage",2015
71,71,"Boo Weekley",79,62.94,586,931,-0.17,"HitFairwayPercentage",2015
72,72,"Alex Cejka",94,62.85,687,1093,-0.14,"HitFairwayPercentage",2015
73,73,"Steve Wheatcroft",87,62.77,629,1002,-0.2,"HitFairwayPercentage",2015
74,74,"Troy Merritt",91,62.72,710,1132,-0.16,"HitFairwayPercentage",2015
75,75,"Tim Wilkinson",73,62.69,504,804,-0.12,"HitFairwayPercentage",2015
76,76,"Shawn Stefani",94,62.57,759,1213,-0.19,"HitFairwayPercentage",2015
77,77,"KJ Choi",66,62.53,494,790,-0.2,"HitFairwayPercentage",2015
78,78,"Alex Prugh",84,62.47,621,994,-0.17,"HitFairwayPercentage",2015
79,79,"Scott Brown",97,62.42,701,1123,-0.16,"HitFairwayPercentage",2015
80,80,"Scott Langley",94,62.3,684,1098,-0.16,"HitFairwayPercentage",2015
80,80,"Johnson Wagner",68,62.3,494,793,-0.16,"HitFairwayPercentage",2015
82,82,"Justin Rose",69,62.09,421,678,-0.28,"HitFairwayPercentage",2015
83,83,"Bill Haas",89,62.07,612,986,-0.17,"HitFairwayPercentage",2015
84,84,"Ian Poulter",68,61.93,410,662,-0.21,"HitFairwayPercentage",2015
85,85,"Billy Horschel",99,61.91,629,1016,-0.2,"HitFairwayPercentage",2015
86,86,"Matt Kuchar",97,61.83,661,1069,-0.24,"HitFairwayPercentage",2015
87,87,"Paul Casey",87,61.6,539,875,-0.24,"HitFairwayPercentage",2015
88,88,"Oscar Fraustro",58,61.48,340,553,-0.09,"HitFairwayPercentage",2015
88,88,"Nick Watney",91,61.48,691,1124,-0.2,"HitFairwayPercentage",2015
90,90,"Sean OHair",86,61.41,686,1117,-0.17,"HitFairwayPercentage",2015
91,91,"Kyle Reifers",96,61.39,682,1111,-0.14,"HitFairwayPercentage",2015
91,91,"Brendan Steele",88,61.39,644,1049,-0.23,"HitFairwayPercentage",2015
93,93,"Cameron Percy",72,61.25,490,800,-0.21,"HitFairwayPercentage",2015
94,94,"Chris Kirk",76,61.13,478,782,-0.2,"HitFairwayPercentage",2015
95,95,"Daniel Summerhays",101,61.08,755,1236,-0.17,"HitFairwayPercentage",2015
96,96,"Scott Pinckney",88,60.95,626,1027,-0.18,"HitFairwayPercentage",2015
97,97,"Charlie Beljan",76,60.91,480,788,-0.14,"HitFairwayPercentage",2015
98,98,"Daniel Berger",97,60.71,697,1148,-0.2,"HitFairwayPercentage",2015
99,99,"Rickie Fowler",76,60.58,478,789,-0.22,"HitFairwayPercentage",2015
99,99,"Michael Putnam",87,60.58,567,936,-0.16,"HitFairwayPercentage",2015
101,101,"Brice Garnett",81,60.47,537,888,-0.16,"HitFairwayPercentage",2015
102,102,"Fabian Gomez",83,60.46,581,961,-0.17,"HitFairwayPercentage",2015
103,103,"Kevin Na",98,60.35,592,981,-0.19,"HitFairwayPercentage",2015
104,104,"Bo Van Pelt",81,60.2,540,897,-0.2,"HitFairwayPercentage",2015
105,105,"Charl Schwartzel",67,60.18,343,570,-0.15,"HitFairwayPercentage",2015
106,106,"JJ Henry",94,60.17,633,1052,-0.16,"HitFairwayPercentage",2015
107,107,"Whee Kim",71,59.9,463,773,-0.17,"HitFairwayPercentage",2015
108,108,"Rory Sabbatini",81,59.89,545,910,-0.2,"HitFairwayPercentage",2015
109,109,"Brandt Snedeker",98,59.79,623,1042,-0.22,"HitFairwayPercentage",2015
110,110,"Roger Sloan",56,59.74,328,549,-0.16,"HitFairwayPercentage",2015
110,110,"Justin Thomas",106,59.74,788,1319,-0.27,"HitFairwayPercentage",2015
112,112,"Vijay Singh",78,59.69,570,955,-0.16,"HitFairwayPercentage",2015
113,113,"Erik Compton",86,59.61,574,963,-0.21,"HitFairwayPercentage",2015
114,114,"Jonas Blixt",78,59.55,424,712,-0.18,"HitFairwayPercentage",2015
115,115,"James Hahn",94,59.52,644,1082,-0.14,"HitFairwayPercentage",2015
116,116,"Scott Stallings",60,59.47,402,676,-0.16,"HitFairwayPercentage",2015
117,117,"Louis Oosthuizen",68,59.45,387,651,-0.17,"HitFairwayPercentage",2015
118,118,"Carlos Ortiz",100,59.41,682,1148,-0.21,"HitFairwayPercentage",2015
119,119,"Martin Laird",77,59.2,595,1005,-0.2,"HitFairwayPercentage",2015
120,120,"Luke Guthrie",84,59.17,555,938,-0.16,"HitFairwayPercentage",2015
120,120,"Greg Owen",58,59.17,329,556,-0.17,"HitFairwayPercentage",2015
122,122,"Scott Piercy",90,59.06,678,1148,-0.18,"HitFairwayPercentage",2015
123,123,"Carl Pettersson",106,59.01,783,1327,-0.18,"HitFairwayPercentage",2015
124,124,"Andrew Svoboda",80,58.95,573,972,-0.14,"HitFairwayPercentage",2015
125,125,"Harris English",105,58.84,709,1205,-0.23,"HitFairwayPercentage",2015
126,126,"Sangmoon Bae",98,58.83,723,1229,-0.15,"HitFairwayPercentage",2015
127,127,"Jim Renner",68,58.75,453,771,-0.1,"HitFairwayPercentage",2015
128,128,"Greg Chalmers",58,58.62,289,493,-0.11,"HitFairwayPercentage",2015
129,129,"Michael Thompson",83,58.52,611,1044,-0.17,"HitFairwayPercentage",2015
130,130,"Byron Smith",59,58.46,349,597,-0.12,"HitFairwayPercentage",2015
