"ScoringAverageBeforeCut_RANKTHISWEEK_2016","ScoringAverageBeforeCut_RANKLASTWEEK_2016","ScoringAverageBeforeCut_PLAYERNAME_2016","ScoringAverageBeforeCut__2016","ScoringAverageBeforeCut_AVG_2016","ScoringAverageBeforeCut_TOTALSTROKES_2016","ScoringAverageBeforeCut_TOTALROUNDS_2016","stat_name","year"
1,1,"Dustin Johnson",NA,69.18,1176,17,"ScoringAverageBeforeCut",2016
2,3,"Patton Kizzire",NA,69.55,2156,31,"ScoringAverageBeforeCut",2016
3,2,"Charles Howell III",NA,69.6,2436,35,"ScoringAverageBeforeCut",2016
4,5,"Brendan Steele",NA,69.66,2020,29,"ScoringAverageBeforeCut",2016
5,8,"Rickie Fowler",NA,69.77,1535,22,"ScoringAverageBeforeCut",2016
6,6,"Adam Scott",NA,69.83,1257,18,"ScoringAverageBeforeCut",2016
7,7,"Graham DeLaet",NA,69.86,2026,29,"ScoringAverageBeforeCut",2016
8,16,"Roberto Castro",NA,69.88,2376,34,"ScoringAverageBeforeCut",2016
8,4,"Kevin Kisner",NA,69.88,1817,26,"ScoringAverageBeforeCut",2016
10,12,"Ryan Palmer",NA,69.92,1818,26,"ScoringAverageBeforeCut",2016
11,13,"Jason Day",NA,69.94,1189,17,"ScoringAverageBeforeCut",2016
11,13,"Chez Reavie",NA,69.94,2378,34,"ScoringAverageBeforeCut",2016
13,9,"Jamie Lovemark",NA,69.97,2449,35,"ScoringAverageBeforeCut",2016
14,15,"Kevin Chappell",NA,70,2100,30,"ScoringAverageBeforeCut",2016
14,10,"Rory McIlroy",NA,70,1120,16,"ScoringAverageBeforeCut",2016
16,17,"Charley Hoffman",NA,70.04,1891,27,"ScoringAverageBeforeCut",2016
17,18,"Scott Piercy",NA,70.05,1541,22,"ScoringAverageBeforeCut",2016
18,19,"Colt Knost",NA,70.13,2244,32,"ScoringAverageBeforeCut",2016
19,26,"Phil Mickelson",NA,70.14,1543,22,"ScoringAverageBeforeCut",2016
20,23,"Shane Bertsch",NA,70.15,1403,20,"ScoringAverageBeforeCut",2016
21,25,"Freddie Jacobson",NA,70.18,2386,34,"ScoringAverageBeforeCut",2016
22,26,"Jason Dufner",NA,70.2,2106,30,"ScoringAverageBeforeCut",2016
22,26,"Bubba Watson",NA,70.2,1053,15,"ScoringAverageBeforeCut",2016
24,10,"Jason Bohn",NA,70.21,1685,24,"ScoringAverageBeforeCut",2016
25,31,"Jimmy Walker",NA,70.22,1615,23,"ScoringAverageBeforeCut",2016
26,31,"Lucas Glover",NA,70.24,2388,34,"ScoringAverageBeforeCut",2016
27,36,"Justin Rose",NA,70.26,1335,19,"ScoringAverageBeforeCut",2016
28,36,"Kevin Na",NA,70.29,1968,28,"ScoringAverageBeforeCut",2016
28,21,"Gary Woodland",NA,70.29,1687,24,"ScoringAverageBeforeCut",2016
30,45,"Mark Hubbard",NA,70.31,2953,42,"ScoringAverageBeforeCut",2016
31,29,"Alex Cejka",NA,70.32,2180,31,"ScoringAverageBeforeCut",2016
32,24,"Martin Laird",NA,70.33,1899,27,"ScoringAverageBeforeCut",2016
32,40,"Steve Stricker",NA,70.33,1266,18,"ScoringAverageBeforeCut",2016
34,33,"Daniel Summerhays",NA,70.34,2251,32,"ScoringAverageBeforeCut",2016
35,42,"Jerry Kelly",NA,70.35,1829,26,"ScoringAverageBeforeCut",2016
35,42,"Jordan Spieth",NA,70.35,1196,17,"ScoringAverageBeforeCut",2016
37,33,"Luke Donald",NA,70.39,1971,28,"ScoringAverageBeforeCut",2016
37,41,"Jason Gore",NA,70.39,2182,31,"ScoringAverageBeforeCut",2016
37,20,"Justin Thomas",NA,70.39,1971,28,"ScoringAverageBeforeCut",2016
40,38,"William McGirt",NA,70.41,2253,32,"ScoringAverageBeforeCut",2016
41,48,"Sergio Garcia",NA,70.43,986,14,"ScoringAverageBeforeCut",2016
41,48,"Matt Kuchar",NA,70.43,1620,23,"ScoringAverageBeforeCut",2016
41,29,"Hideki Matsuyama",NA,70.43,1479,21,"ScoringAverageBeforeCut",2016
41,39,"Patrick Reed",NA,70.43,1972,28,"ScoringAverageBeforeCut",2016
45,35,"Si Woo Kim",NA,70.45,2818,40,"ScoringAverageBeforeCut",2016
46,50,"Tim Wilkinson",NA,70.46,1691,24,"ScoringAverageBeforeCut",2016
47,53,"Aaron Baddeley",NA,70.47,2255,32,"ScoringAverageBeforeCut",2016
48,54,"Russell Knox",NA,70.48,1903,27,"ScoringAverageBeforeCut",2016
48,47,"Danny Lee",NA,70.48,2185,31,"ScoringAverageBeforeCut",2016
48,54,"Marc Leishman",NA,70.48,1621,23,"ScoringAverageBeforeCut",2016
51,68,"Daniel Berger",NA,70.5,1974,28,"ScoringAverageBeforeCut",2016
52,71,"John Senden",NA,70.55,2187,31,"ScoringAverageBeforeCut",2016
53,21,"Henrik Stenson",NA,70.56,1129,16,"ScoringAverageBeforeCut",2016
54,66,"Seung Yul Noh",NA,70.57,2470,35,"ScoringAverageBeforeCut",2016
54,58,"Jhonattan Vegas",NA,70.57,2117,30,"ScoringAverageBeforeCut",2016
56,63,"Harris English",NA,70.59,2047,29,"ScoringAverageBeforeCut",2016
57,66,"David Lingmerth",NA,70.6,2118,30,"ScoringAverageBeforeCut",2016
58,54,"Adam Hadwin",NA,70.61,2330,33,"ScoringAverageBeforeCut",2016
58,72,"Smylie Kaufman",NA,70.61,2189,31,"ScoringAverageBeforeCut",2016
58,61,"Henrik Norlander",NA,70.61,1977,28,"ScoringAverageBeforeCut",2016
61,57,"Ricky Barnes",NA,70.62,2613,37,"ScoringAverageBeforeCut",2016
61,73,"Brooks Koepka",NA,70.62,1483,21,"ScoringAverageBeforeCut",2016
63,79,"Charl Schwartzel",NA,70.64,989,14,"ScoringAverageBeforeCut",2016
64,85,"Brian Harman",NA,70.65,2614,37,"ScoringAverageBeforeCut",2016
64,80,"Billy Horschel",NA,70.65,1625,23,"ScoringAverageBeforeCut",2016
64,46,"Spencer Levin",NA,70.65,2826,40,"ScoringAverageBeforeCut",2016
67,76,"Cameron Tringale",NA,70.66,2049,29,"ScoringAverageBeforeCut",2016
68,76,"Francesco Molinari",NA,70.67,1484,21,"ScoringAverageBeforeCut",2016
69,60,"David Hearn",NA,70.68,2686,38,"ScoringAverageBeforeCut",2016
69,58,"Sung Kang",NA,70.68,2403,34,"ScoringAverageBeforeCut",2016
69,76,"Michael Kim",NA,70.68,2615,37,"ScoringAverageBeforeCut",2016
72,82,"KJ Choi",NA,70.69,2050,29,"ScoringAverageBeforeCut",2016
72,81,"Sean OHair",NA,70.69,2050,29,"ScoringAverageBeforeCut",2016
72,82,"Brandt Snedeker",NA,70.69,1838,26,"ScoringAverageBeforeCut",2016
