"FinalRoundPerformance_RANKTHISWEEK_2008","FinalRoundPerformance_RANKLASTWEEK_2008","FinalRoundPerformance_PLAYERNAME_2008","FinalRoundPerformance_EVENTS_2008","FinalRoundPerformance_Pct_2008","stat_name","year"
1,1,"Travis Perkins",23,100,"FinalRoundPerformance",2008
2,2,"Padraig Harrington",15,90.91,"FinalRoundPerformance",2008
3,3,"Cody Freeman",26,80,"FinalRoundPerformance",2008
4,4,"John Senden",28,77.78,"FinalRoundPerformance",2008
5,5,"Vijay Singh",23,76.47,"FinalRoundPerformance",2008
6,6,"Carl Pettersson",29,76,"FinalRoundPerformance",2008
7,7,"Rod Pampling",28,75,"FinalRoundPerformance",2008
7,7,"Ron Whittaker",22,75,"FinalRoundPerformance",2008
9,9,"Ryuji Imada",25,73.33,"FinalRoundPerformance",2008
10,10,"Steve Lowery",25,72.73,"FinalRoundPerformance",2008
10,10,"Heath Slocum",29,72.73,"FinalRoundPerformance",2008
12,12,"Stewart Cink",23,72.22,"FinalRoundPerformance",2008
12,12,"Phil Mickelson",21,72.22,"FinalRoundPerformance",2008
14,14,"Steve Allan",21,71.43,"FinalRoundPerformance",2008
14,14,"Cameron Beckman",29,71.43,"FinalRoundPerformance",2008
14,14,"Jeff Gove",18,71.43,"FinalRoundPerformance",2008
14,14,"Richard Johnson",29,71.43,"FinalRoundPerformance",2008
14,14,"Kevin Stadler",30,71.43,"FinalRoundPerformance",2008
19,19,"Ken Duke",33,70.83,"FinalRoundPerformance",2008
20,20,"Steve Flesch",29,70.59,"FinalRoundPerformance",2008
21,21,"Ernie Els",16,70,"FinalRoundPerformance",2008
22,22,"Justin Leonard",25,69.57,"FinalRoundPerformance",2008
23,23,"Peter Lonard",30,68.75,"FinalRoundPerformance",2008
24,24,"Stephen Ames",24,66.67,"FinalRoundPerformance",2008
24,24,"KJ Choi",21,66.67,"FinalRoundPerformance",2008
24,24,"Glen Day",19,66.67,"FinalRoundPerformance",2008
24,24,"Mathias Gronberg",30,66.67,"FinalRoundPerformance",2008
24,24,"Freddie Jacobson",24,66.67,"FinalRoundPerformance",2008
24,24,"Ryan Palmer",22,66.67,"FinalRoundPerformance",2008
24,24,"Brett Rumford",26,66.67,"FinalRoundPerformance",2008
24,24,"Steve Stricker",22,66.67,"FinalRoundPerformance",2008
24,24,"Dean Wilson",32,66.67,"FinalRoundPerformance",2008
33,33,"Nicholas Thompson",36,65,"FinalRoundPerformance",2008
34,34,"Nathan Green",30,64.71,"FinalRoundPerformance",2008
34,34,"Hunter Mahan",27,64.71,"FinalRoundPerformance",2008
36,36,"Andres Romero",20,64.29,"FinalRoundPerformance",2008
37,37,"Paul Casey",16,63.64,"FinalRoundPerformance",2008
37,37,"Alex Cejka",25,63.64,"FinalRoundPerformance",2008
37,37,"Chad Collins",24,63.64,"FinalRoundPerformance",2008
37,37,"Ryan Moore",24,63.64,"FinalRoundPerformance",2008
41,41,"Lucas Glover",26,63.16,"FinalRoundPerformance",2008
41,41,"Joe Ogilvie",29,63.16,"FinalRoundPerformance",2008
41,41,"DJ Trahan",27,63.16,"FinalRoundPerformance",2008
44,44,"Davis Love III",23,62.5,"FinalRoundPerformance",2008
44,44,"Scott McCarron",22,62.5,"FinalRoundPerformance",2008
46,46,"Robert Allenby",28,61.54,"FinalRoundPerformance",2008
46,46,"Harrison Frazar",23,61.54,"FinalRoundPerformance",2008
46,46,"Trevor Immelman",22,61.54,"FinalRoundPerformance",2008
49,49,"Anthony Kim",22,61.11,"FinalRoundPerformance",2008
49,49,"Camilo Villegas",22,61.11,"FinalRoundPerformance",2008
51,51,"Aaron Baddeley",22,60,"FinalRoundPerformance",2008
51,51,"Brian Gay",31,60,"FinalRoundPerformance",2008
51,51,"Sean OHair",25,60,"FinalRoundPerformance",2008
51,51,"Pat Perez",27,60,"FinalRoundPerformance",2008
51,51,"Brett Quigley",25,60,"FinalRoundPerformance",2008
51,51,"Adam Scott",15,60,"FinalRoundPerformance",2008
51,51,"Scott Sterling",28,60,"FinalRoundPerformance",2008
58,58,"Sergio Garcia",19,58.82,"FinalRoundPerformance",2008
58,58,"Tim Wilkinson",29,58.82,"FinalRoundPerformance",2008
60,60,"Fred Couples",18,58.33,"FinalRoundPerformance",2008
60,60,"Retief Goosen",18,58.33,"FinalRoundPerformance",2008
60,60,"Mark Wilson",29,58.33,"FinalRoundPerformance",2008
63,63,"Shane Bertsch",29,57.89,"FinalRoundPerformance",2008
63,63,"Chad Campbell",28,57.89,"FinalRoundPerformance",2008
63,63,"JJ Henry",34,57.89,"FinalRoundPerformance",2008
63,63,"Kevin Na",29,57.89,"FinalRoundPerformance",2008
63,63,"Mike Weir",26,57.89,"FinalRoundPerformance",2008
68,68,"James Driscoll",28,57.14,"FinalRoundPerformance",2008
68,68,"JP Hayes",26,57.14,"FinalRoundPerformance",2008
68,68,"Jerry Kelly",31,57.14,"FinalRoundPerformance",2008
68,68,"Tag Ridings",29,57.14,"FinalRoundPerformance",2008
68,68,"Johnson Wagner",26,57.14,"FinalRoundPerformance",2008
73,73,"Charley Hoffman",29,56.25,"FinalRoundPerformance",2008
73,73,"Nick OHern",26,56.25,"FinalRoundPerformance",2008
73,73,"Jeff Quinney",28,56.25,"FinalRoundPerformance",2008
76,76,"Ben Crane",25,55.56,"FinalRoundPerformance",2008
76,76,"Ben Curtis",22,55.56,"FinalRoundPerformance",2008
76,76,"Brad Elder",23,55.56,"FinalRoundPerformance",2008
76,76,"Steve Marino",32,55.56,"FinalRoundPerformance",2008
76,76,"Chris Riley",17,55.56,"FinalRoundPerformance",2008
76,76,"John Rollins",28,55.56,"FinalRoundPerformance",2008
83,83,"Stuart Appleby",23,55,"FinalRoundPerformance",2008
83,83,"Brian Davis",34,55,"FinalRoundPerformance",2008
83,83,"John Mallinger",29,55,"FinalRoundPerformance",2008
86,86,"Kent Jones",23,54.55,"FinalRoundPerformance",2008
86,86,"Ian Poulter",15,54.55,"FinalRoundPerformance",2008
88,88,"Tommy Armour III",25,53.85,"FinalRoundPerformance",2008
88,88,"Geoff Ogilvy",20,53.85,"FinalRoundPerformance",2008
88,88,"Marc Turnesa",29,53.85,"FinalRoundPerformance",2008
