"BestRoundsin60sStreak_RANKTHISWEEK_2014","BestRoundsin60sStreak_RANKLASTWEEK_2014","BestRoundsin60sStreak_PLAYERNAME_2014","BestRoundsin60sStreak__2014","BestRoundsin60sStreak_CAREERBESTSTREAK_2014","BestRoundsin60sStreak_BESTYTDSTREAK_2014","BestRoundsin60sStreak_CURRENTSTREAK_2014","stat_name","year"
1,1,"Bob Estes",NA,17,4,NA,"BestRoundsin60sStreak",2014
2,2,"Charles Howell III",NA,16,5,NA,"BestRoundsin60sStreak",2014
3,3,"Chris DiMarco",NA,14,1,NA,"BestRoundsin60sStreak",2014
3,3,"Scott Hoch",NA,14,NA,NA,"BestRoundsin60sStreak",2014
3,3,"Tiger Woods",NA,14,2,NA,"BestRoundsin60sStreak",2014
6,6,"Brendon de Jonge",NA,13,6,NA,"BestRoundsin60sStreak",2014
6,6,"Harrison Frazar",NA,13,3,NA,"BestRoundsin60sStreak",2014
6,6,"Chris Kirk",NA,13,5,NA,"BestRoundsin60sStreak",2014
6,6,"Davis Love III",NA,13,4,NA,"BestRoundsin60sStreak",2014
6,6,"Scott Piercy",NA,13,3,NA,"BestRoundsin60sStreak",2014
6,6,"Webb Simpson",NA,13,6,NA,"BestRoundsin60sStreak",2014
12,12,"Briny Baird",NA,12,2,NA,"BestRoundsin60sStreak",2014
12,12,"Joe Durant",NA,12,3,NA,"BestRoundsin60sStreak",2014
12,12,"Billy Horschel",NA,12,12,NA,"BestRoundsin60sStreak",2014
12,12,"Shigeki Maruyama",NA,12,NA,NA,"BestRoundsin60sStreak",2014
12,12,"Mark OMeara",NA,12,NA,NA,"BestRoundsin60sStreak",2014
12,12,"Tim Petrovic",NA,12,2,NA,"BestRoundsin60sStreak",2014
12,12,"Chris Riley",NA,12,NA,NA,"BestRoundsin60sStreak",2014
12,12,"Kevin Sutherland",NA,12,NA,NA,"BestRoundsin60sStreak",2014
12,12,"David Toms",NA,12,7,NA,"BestRoundsin60sStreak",2014
12,12,"Johnson Wagner",NA,12,5,NA,"BestRoundsin60sStreak",2014
22,22,"Brian Bateman",NA,11,NA,NA,"BestRoundsin60sStreak",2014
22,22,"Steven Bowditch",NA,11,4,NA,"BestRoundsin60sStreak",2014
22,22,"Jonathan Byrd",NA,11,3,NA,"BestRoundsin60sStreak",2014
22,22,"Ben Crane",NA,11,4,NA,"BestRoundsin60sStreak",2014
22,22,"David Edwards",NA,11,NA,NA,"BestRoundsin60sStreak",2014
22,22,"Jim Furyk",NA,11,11,NA,"BestRoundsin60sStreak",2014
22,22,"JP Hayes",NA,11,NA,NA,"BestRoundsin60sStreak",2014
22,22,"Jerry Kelly",NA,11,8,NA,"BestRoundsin60sStreak",2014
22,22,"Bernhard Langer",NA,11,1,NA,"BestRoundsin60sStreak",2014
22,22,"Bruce Lietzke",NA,11,NA,NA,"BestRoundsin60sStreak",2014
22,22,"Mark McCumber",NA,11,NA,NA,"BestRoundsin60sStreak",2014
22,22,"Rory McIlroy",NA,11,8,NA,"BestRoundsin60sStreak",2014
22,22,"Jerry Pate",NA,11,NA,NA,"BestRoundsin60sStreak",2014
22,22,"Kenny Perry",NA,11,3,NA,"BestRoundsin60sStreak",2014
22,22,"John Senden",NA,11,4,NA,"BestRoundsin60sStreak",2014
22,22,"Scott Verplank",NA,11,1,NA,"BestRoundsin60sStreak",2014
38,38,"Woody Austin",NA,10,1,NA,"BestRoundsin60sStreak",2014
38,38,"Chad Campbell",NA,10,4,NA,"BestRoundsin60sStreak",2014
38,38,"Fred Couples",NA,10,1,NA,"BestRoundsin60sStreak",2014
38,38,"Brian Davis",NA,10,2,NA,"BestRoundsin60sStreak",2014
38,38,"Steve Flesch",NA,10,1,NA,"BestRoundsin60sStreak",2014
38,38,"Carlos Franco",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"David Frost",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"Fred Funk",NA,10,1,NA,"BestRoundsin60sStreak",2014
38,38,"Robert Gamez",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"Lucas Glover",NA,10,2,NA,"BestRoundsin60sStreak",2014
38,38,"Retief Goosen",NA,10,10,NA,"BestRoundsin60sStreak",2014
38,38,"Zach Johnson",NA,10,10,NA,"BestRoundsin60sStreak",2014
38,38,"Matt Kuchar",NA,10,6,NA,"BestRoundsin60sStreak",2014
38,38,"Rocco Mediate",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"James Nitties",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"Corey Pavin",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"David Peoples",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"Tom Pernice Jr",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"Carl Pettersson",NA,10,8,NA,"BestRoundsin60sStreak",2014
38,38,"Mike Reid",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"Loren Roberts",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"Gene Sauers",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"Tom Sieckmann",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"Joey Sindelar",NA,10,NA,NA,"BestRoundsin60sStreak",2014
38,38,"Chris Smith",NA,10,1,NA,"BestRoundsin60sStreak",2014
38,38,"Brandt Snedeker",NA,10,7,NA,"BestRoundsin60sStreak",2014
38,38,"Kevin Streelman",NA,10,4,NA,"BestRoundsin60sStreak",2014
38,38,"Jhonattan Vegas",NA,10,5,NA,"BestRoundsin60sStreak",2014
38,38,"Grant Waite",NA,10,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Billy Andrade",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Stuart Appleby",NA,9,5,NA,"BestRoundsin60sStreak",2014
67,67,"Tommy Armour III",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Aaron Baddeley",NA,9,4,NA,"BestRoundsin60sStreak",2014
67,67,"Cameron Beckman",NA,9,2,NA,"BestRoundsin60sStreak",2014
67,67,"Notah Begay III",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Bart Bryant",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Brad Bryant",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Mark Calcavecchia",NA,9,1,NA,"BestRoundsin60sStreak",2014
67,67,"Bud Cauley",NA,9,4,NA,"BestRoundsin60sStreak",2014
67,67,"KJ Choi",NA,9,6,NA,"BestRoundsin60sStreak",2014
67,67,"Stewart Cink",NA,9,4,NA,"BestRoundsin60sStreak",2014
67,67,"Lennie Clements",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Ernie Els",NA,9,4,NA,"BestRoundsin60sStreak",2014
67,67,"Rickie Fowler",NA,9,6,NA,"BestRoundsin60sStreak",2014
67,67,"Sergio Garcia",NA,9,5,NA,"BestRoundsin60sStreak",2014
67,67,"Brian Gay",NA,9,4,NA,"BestRoundsin60sStreak",2014
67,67,"Paul Goydos",NA,9,1,NA,"BestRoundsin60sStreak",2014
67,67,"Jay Haas",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Bill Haas",NA,9,4,NA,"BestRoundsin60sStreak",2014
67,67,"Padraig Harrington",NA,9,3,NA,"BestRoundsin60sStreak",2014
67,67,"Justin Hicks",NA,9,6,NA,"BestRoundsin60sStreak",2014
67,67,"John Huston",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Tom Lehman",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Justin Leonard",NA,9,6,NA,"BestRoundsin60sStreak",2014
67,67,"Steve Marino",NA,9,4,NA,"BestRoundsin60sStreak",2014
67,67,"Troy Matteson",NA,9,4,NA,"BestRoundsin60sStreak",2014
67,67,"Blaine McCallister",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Phil Mickelson",NA,9,6,NA,"BestRoundsin60sStreak",2014
67,67,"Gil Morgan",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Kevin Na",NA,9,6,NA,"BestRoundsin60sStreak",2014
67,67,"Greg Norman",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Jesper Parnevik",NA,9,1,NA,"BestRoundsin60sStreak",2014
67,67,"Chris Perry",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Heath Slocum",NA,9,5,NA,"BestRoundsin60sStreak",2014
67,67,"Jeff Sluman",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Steve Stricker",NA,9,4,NA,"BestRoundsin60sStreak",2014
67,67,"Hal Sutton",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Nicholas Thompson",NA,9,5,NA,"BestRoundsin60sStreak",2014
67,67,"Brendon Todd",NA,9,9,NA,"BestRoundsin60sStreak",2014
67,67,"Kirk Triplett",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Bob Tway",NA,9,NA,NA,"BestRoundsin60sStreak",2014
67,67,"Mike Weir",NA,9,4,NA,"BestRoundsin60sStreak",2014
67,67,"Mark Wilson",NA,9,2,NA,"BestRoundsin60sStreak",2014
111,111,"John Adams",NA,8,NA,NA,"BestRoundsin60sStreak",2014
111,111,"Robert Allenby",NA,8,3,NA,"BestRoundsin60sStreak",2014
111,111,"Paul Azinger",NA,8,NA,NA,"BestRoundsin60sStreak",2014
111,111,"Ian Baker Finch",NA,8,NA,NA,"BestRoundsin60sStreak",2014
111,111,"Andy Bean",NA,8,NA,NA,"BestRoundsin60sStreak",2014
111,111,"Matt Bettencourt",NA,8,3,NA,"BestRoundsin60sStreak",2014
111,111,"Jason Bohn",NA,8,7,NA,"BestRoundsin60sStreak",2014
