"DrivingDistance_RANKTHISWEEK_2012","DrivingDistance_RANKLASTWEEK_2012","DrivingDistance_PLAYERNAME_2012","DrivingDistance_ROUNDS_2012","DrivingDistance_AVG_2012","DrivingDistance_TOTALDISTANCE_2012","DrivingDistance_TOTALDRIVES_2012","stat_name","year"
1,1,"Bubba Watson",68,315.5,41652,132,"DrivingDistance",2012
2,2,"Charlie Beljan",61,311.6,33027,106,"DrivingDistance",2012
3,3,"Robert Garrigus",89,310.3,55241,178,"DrivingDistance",2012
4,4,"Dustin Johnson",70,310.2,40948,132,"DrivingDistance",2012
5,5,"Rory McIlroy",60,310.1,32868,106,"DrivingDistance",2012
6,6,"JB Holmes",90,309.7,50785,164,"DrivingDistance",2012
7,7,"Jason Day",57,308.6,33333,108,"DrivingDistance",2012
8,8,"Kyle Stanley",86,306.9,51249,167,"DrivingDistance",2012
9,9,"John Daly",50,306.7,28216,92,"DrivingDistance",2012
10,10,"Adam Scott",59,304.6,35335,116,"DrivingDistance",2012
10,10,"Jhonattan Vegas",77,304.6,45697,150,"DrivingDistance",2012
12,12,"Scott Piercy",95,304.5,57860,190,"DrivingDistance",2012
13,13,"Graham DeLaet",79,304.3,45649,150,"DrivingDistance",2012
14,14,"Jason Kokrak",79,304.1,45616,150,"DrivingDistance",2012
15,15,"Ryan Palmer",81,303.1,48797,161,"DrivingDistance",2012
16,16,"Keegan Bradley",90,302.7,52663,174,"DrivingDistance",2012
17,17,"Scott Stallings",78,302.4,46871,155,"DrivingDistance",2012
18,18,"Gary Woodland",70,301.6,40413,134,"DrivingDistance",2012
19,19,"Seung Yul Noh",105,300.4,58274,194,"DrivingDistance",2012
20,20,"Harris English",98,300.3,58851,196,"DrivingDistance",2012
21,21,"Bobby Gates",87,300.2,49837,166,"DrivingDistance",2012
22,22,"Angel Cabrera",54,299.7,29375,98,"DrivingDistance",2012
23,23,"Troy Kelly",68,299.5,37140,124,"DrivingDistance",2012
23,23,"Louis Oosthuizen",65,299.5,37141,124,"DrivingDistance",2012
25,25,"Brandt Jobe",57,299.2,31714,106,"DrivingDistance",2012
26,26,"Troy Matteson",100,298.9,56196,188,"DrivingDistance",2012
27,27,"Josh Teater",97,298.6,55543,186,"DrivingDistance",2012
28,28,"Martin Laird",77,298.2,42945,144,"DrivingDistance",2012
29,29,"Lee Westwood",60,298.1,31596,106,"DrivingDistance",2012
30,30,"Harrison Frazar",56,297.7,32147,108,"DrivingDistance",2012
31,31,"Sean OHair",84,297.5,49980,168,"DrivingDistance",2012
32,32,"Tiger Woods",69,297.4,39856,134,"DrivingDistance",2012
33,33,"Erik Compton",81,297.2,43385,146,"DrivingDistance",2012
33,33,"Tommy Gainey",98,297.2,57955,195,"DrivingDistance",2012
35,35,"Carl Pettersson",92,297.1,54366,183,"DrivingDistance",2012
36,36,"Nick Watney",97,296.8,55800,188,"DrivingDistance",2012
36,36,"Boo Weekley",74,296.8,39173,132,"DrivingDistance",2012
38,38,"Jimmy Walker",101,296.5,59902,202,"DrivingDistance",2012
39,39,"Davis Love III",64,296.3,37929,128,"DrivingDistance",2012
40,40,"Bo Van Pelt",84,296.1,49152,166,"DrivingDistance",2012
41,41,"Greg Owen",90,295.9,53268,180,"DrivingDistance",2012
42,42,"Charl Schwartzel",56,295.8,31652,107,"DrivingDistance",2012
43,43,"Mark Anderson",75,295.7,40806,138,"DrivingDistance",2012
44,44,"Daniel Chopra",55,295.6,30151,102,"DrivingDistance",2012
44,44,"Edward Loar",59,295.6,31329,106,"DrivingDistance",2012
46,46,"Charley Hoffman",88,295.5,51712,175,"DrivingDistance",2012
47,47,"John Rollins",81,295.4,45487,154,"DrivingDistance",2012
47,47,"Vijay Singh",99,295.4,58486,198,"DrivingDistance",2012
49,49,"Martin Flores",95,295,54877,186,"DrivingDistance",2012
