"Scramblingfrom_RANKTHISWEEK_2007","Scramblingfrom_RANKLASTWEEK_2007","Scramblingfrom_PLAYERNAME_2007","Scramblingfrom_ROUNDS_2007","Scramblingfrom_Pct_2007","Scramblingfrom_SUCCESSES_2007","Scramblingfrom_ATTEMPTS_2007","stat_name","year"
1,1,"Dicky Pride",71,93.68,89,95,"Scramblingfrom",2007
2,2,"Chris Tidland",59,93.65,59,63,"Scramblingfrom",2007
3,3,"Jerry Kelly",101,92.79,103,111,"Scramblingfrom",2007
4,4,"Michael Sim",52,92.5,74,80,"Scramblingfrom",2007
5,5,"Charles Howell III",89,92.31,72,78,"Scramblingfrom",2007
6,6,"Dean Wilson",92,91.95,80,87,"Scramblingfrom",2007
7,7,"Bubba Watson",80,91.57,76,83,"Scramblingfrom",2007
8,8,"Kent Jones",97,91.09,92,101,"Scramblingfrom",2007
9,9,"Matt Kuchar",85,90.7,78,86,"Scramblingfrom",2007
10,10,"Steve Elkington",87,90.63,87,96,"Scramblingfrom",2007
11,11,"Jason Schultz",63,90.48,57,63,"Scramblingfrom",2007
12,12,"Richard Johnson",93,90.36,75,83,"Scramblingfrom",2007
13,13,"Craig Bowden",78,90.22,83,92,"Scramblingfrom",2007
13,13,"Rod Pampling",92,90.22,83,92,"Scramblingfrom",2007
15,15,"Justin Leonard",95,89.81,97,108,"Scramblingfrom",2007
16,16,"Andrew Buckle",77,89.77,79,88,"Scramblingfrom",2007
17,17,"Ken Duke",112,89.73,131,146,"Scramblingfrom",2007
18,18,"Scott Gutschewski",67,89.61,69,77,"Scramblingfrom",2007
19,19,"Nick OHern",72,89.53,77,86,"Scramblingfrom",2007
20,20,"Arron Oberholser",69,89.33,67,75,"Scramblingfrom",2007
21,21,"Jay Williamson",50,89.19,66,74,"Scramblingfrom",2007
22,22,"JB Holmes",71,89.13,82,92,"Scramblingfrom",2007
23,23,"Billy Mayfair",98,89.01,81,91,"Scramblingfrom",2007
24,24,"Gavin Coles",87,88.89,104,117,"Scramblingfrom",2007
25,25,"George McNeill",95,88.6,101,114,"Scramblingfrom",2007
26,26,"Steve Stricker",81,88.46,69,78,"Scramblingfrom",2007
27,27,"Phil Mickelson",73,88.41,61,69,"Scramblingfrom",2007
28,28,"David Toms",80,88.37,76,86,"Scramblingfrom",2007
29,29,"Brian Bateman",55,88.24,45,51,"Scramblingfrom",2007
29,29,"Jarrod Lyle",77,88.24,75,85,"Scramblingfrom",2007
31,31,"Ted Purdy",102,88,110,125,"Scramblingfrom",2007
32,32,"Jim Furyk",84,87.95,73,83,"Scramblingfrom",2007
33,33,"Brian Gay",107,87.82,137,156,"Scramblingfrom",2007
34,34,"Kevin Sutherland",85,87.64,78,89,"Scramblingfrom",2007
35,35,"Eric Axley",107,87.61,99,113,"Scramblingfrom",2007
36,36,"Matt Hendrix",63,87.5,63,72,"Scramblingfrom",2007
