"OfficialWorldGolfRanking_RANKTHISWEEK_2012","OfficialWorldGolfRanking_RANKLASTWEEK_2012","OfficialWorldGolfRanking_PLAYERNAME_2012","OfficialWorldGolfRanking_EVENTS_2012","OfficialWorldGolfRanking_AVGPOINTS_2012","OfficialWorldGolfRanking_TOTALPOINTS_2012","OfficialWorldGolfRanking_POINTSLOST_2012","OfficialWorldGolfRanking_POINTSGAINED_2012","OfficialWorldGolfRanking_COUNTRY_2012","stat_name","year"
56,53,"Alexander Noren",52,2.13,110.79,-87.83,85.96,NA,"OfficialWorldGolfRanking",2012
57,56,"Richie Ramsay",52,2.13,110.75,-68.46,92.68,NA,"OfficialWorldGolfRanking",2012
58,58,"Rafa Cabrera Bello",52,2.12,110.2,-86.31,122.3,NA,"OfficialWorldGolfRanking",2012
59,59,"Padraig Harrington",52,2.09,108.42,-96.16,110.56,NA,"OfficialWorldGolfRanking",2012
60,61,"Marcel Siem",52,2.08,108.03,-51.09,120.55,NA,"OfficialWorldGolfRanking",2012
61,60,"Anders Hansen",49,2.06,101.02,-131.97,71.07,NA,"OfficialWorldGolfRanking",2012
62,62,"Freddie Jacobson",45,2.05,92.12,-114.37,49.39,NA,"OfficialWorldGolfRanking",2012
63,63,"Simon Dyson",52,2.02,105.12,-132.2,54.97,NA,"OfficialWorldGolfRanking",2012
64,64,"Greg Chalmers",52,2.02,104.94,-83.57,69.89,NA,"OfficialWorldGolfRanking",2012
65,66,"Bernd Wiesberger",52,2.01,104.77,-54.45,100.28,NA,"OfficialWorldGolfRanking",2012
66,65,"John Huh",41,2.01,82.54,-32.95,104.15,NA,"OfficialWorldGolfRanking",2012
67,67,"Bud Cauley",40,2,80.04,-33.55,84.67,NA,"OfficialWorldGolfRanking",2012
68,68,"Kevin Na",52,1.99,103.53,-108.32,104.31,NA,"OfficialWorldGolfRanking",2012
69,71,"Thaworn Wiratchant",52,1.99,103.34,-47.38,100.43,NA,"OfficialWorldGolfRanking",2012
70,69,"Sangmoon Bae",52,1.99,103.29,-107.87,72.46,NA,"OfficialWorldGolfRanking",2012
71,70,"Martin Laird",51,1.97,100.6,-152.04,103.34,NA,"OfficialWorldGolfRanking",2012
72,72,"KT Kim",52,1.95,101.49,-149.96,66.09,NA,"OfficialWorldGolfRanking",2012
73,73,"Brendan Jones",45,1.91,86.14,-68.89,80.4,NA,"OfficialWorldGolfRanking",2012
74,74,"Jonas Blixt",47,1.89,88.75,-33.22,83.29,NA,"OfficialWorldGolfRanking",2012
75,75,"Ryo Ishikawa",52,1.88,97.81,-128.17,93.46,NA,"OfficialWorldGolfRanking",2012
76,76,"Kyle Stanley",52,1.86,96.87,-79.4,112.59,NA,"OfficialWorldGolfRanking",2012
77,78,"Toru Taniguchi",49,1.82,89.12,-78.7,61.78,NA,"OfficialWorldGolfRanking",2012
78,77,"Aaron Baddeley",49,1.8,88.39,-125.57,66.05,NA,"OfficialWorldGolfRanking",2012
79,79,"Kristoffer Broberg",40,1.8,71.89,-3.76,75.64,NA,"OfficialWorldGolfRanking",2012
80,82,"Thongchai Jaidee",52,1.76,91.32,-63.22,92.67,NA,"OfficialWorldGolfRanking",2012
81,80,"Ben Crane",49,1.74,85.32,-118.9,80.89,NA,"OfficialWorldGolfRanking",2012
82,81,"Vijay Singh",52,1.73,90.2,-96.74,77.61,NA,"OfficialWorldGolfRanking",2012
83,83,"Brendon de Jonge",52,1.73,90.13,-70.28,93.52,NA,"OfficialWorldGolfRanking",2012
84,84,"Ben Curtis",48,1.7,81.82,-45.79,99.94,NA,"OfficialWorldGolfRanking",2012
85,85,"Pablo Larrazabal",52,1.7,88.14,-79.02,68.69,NA,"OfficialWorldGolfRanking",2012
86,86,"Michael Thompson",52,1.67,86.74,-48.56,81.59,NA,"OfficialWorldGolfRanking",2012
87,87,"Marc Leishman",52,1.67,86.64,-63.01,91.65,NA,"OfficialWorldGolfRanking",2012
88,88,"Fredrik Andersson Hed",51,1.66,84.79,-66.49,66.4,NA,"OfficialWorldGolfRanking",2012
89,90,"Gaganjeet Bhullar",41,1.65,67.8,-21.38,72.01,NA,"OfficialWorldGolfRanking",2012
90,89,"Alvaro Quiros",47,1.63,76.72,-142.57,31.85,NA,"OfficialWorldGolfRanking",2012
91,92,"Tim Clark",40,1.62,64.98,-74.02,71.65,NA,"OfficialWorldGolfRanking",2012
92,91,"Jonathan Byrd",49,1.61,79.12,-122.68,73.48,NA,"OfficialWorldGolfRanking",2012
93,93,"Danny Willett",52,1.61,83.93,-54.38,88.22,NA,"OfficialWorldGolfRanking",2012
94,94,"Ross Fisher",47,1.6,75.15,-80.59,69.19,NA,"OfficialWorldGolfRanking",2012
95,94,"Seung Yul Noh",52,1.6,83.07,-77,79.45,NA,"OfficialWorldGolfRanking",2012
96,97,"Jeev Milkha Singh",52,1.59,82.83,-51.12,80.58,NA,"OfficialWorldGolfRanking",2012
97,94,"Mark Wilson",52,1.58,82.17,-129.35,94.37,NA,"OfficialWorldGolfRanking",2012
98,98,"Stephen Gallacher",51,1.57,80.22,-71.94,83.74,NA,"OfficialWorldGolfRanking",2012
99,99,"Jeff Overton",52,1.55,80.56,-94.5,73.45,NA,"OfficialWorldGolfRanking",2012
100,100,"Koumei Oda",52,1.54,80.06,-63.09,50.46,NA,"OfficialWorldGolfRanking",2012
101,103,"Scott Jamieson",52,1.53,79.71,-40.83,79.22,NA,"OfficialWorldGolfRanking",2012
102,101,"Yuta Ikeda",52,1.53,79.7,-91.6,68.63,NA,"OfficialWorldGolfRanking",2012
103,102,"Toshinori Muto",52,1.53,79.39,-46.21,55.74,NA,"OfficialWorldGolfRanking",2012
104,105,"Robert Rock",52,1.51,78.48,-86.21,90.13,NA,"OfficialWorldGolfRanking",2012
105,104,"YE Yang",52,1.51,78.26,-120.84,45.61,NA,"OfficialWorldGolfRanking",2012
106,106,"Charlie Wi",52,1.49,77.45,-65.61,81.79,NA,"OfficialWorldGolfRanking",2012
107,107,"Retief Goosen",47,1.48,69.43,-137.04,69.72,NA,"OfficialWorldGolfRanking",2012
108,108,"Joost Luiten",52,1.47,76.43,-82.03,46.31,NA,"OfficialWorldGolfRanking",2012
109,109,"Johnson Wagner",52,1.43,74.28,-71.15,104.58,NA,"OfficialWorldGolfRanking",2012
110,110,"Casey Wittenberg",41,1.43,58.48,-17.28,64.89,NA,"OfficialWorldGolfRanking",2012
111,111,"Juvic Pagunsan",40,1.41,56.57,-28.94,40.28,NA,"OfficialWorldGolfRanking",2012
112,112,"Ted Potter Jr",44,1.4,61.72,-35.91,55.55,NA,"OfficialWorldGolfRanking",2012
113,113,"Thomas Aiken",52,1.4,72.55,-78.8,58.26,NA,"OfficialWorldGolfRanking",2012
114,117,"Luke Guthrie",40,1.39,55.5,-4.09,59.6,NA,"OfficialWorldGolfRanking",2012
115,114,"Chris Kirk",52,1.39,72.09,-72.41,61.4,NA,"OfficialWorldGolfRanking",2012
116,120,"Hyung Sung Kim",49,1.38,67.62,-25.29,65.14,NA,"OfficialWorldGolfRanking",2012
117,115,"Charles Howell III",52,1.38,71.66,-89.05,60.2,NA,"OfficialWorldGolfRanking",2012
118,116,"Ryan Palmer",51,1.37,70.08,-99.07,63.1,NA,"OfficialWorldGolfRanking",2012
119,119,"Raphael Jacquelin",52,1.37,71.43,-75.18,62.64,NA,"OfficialWorldGolfRanking",2012
120,122,"Jimmy Walker",52,1.37,71.11,-59.84,75.6,NA,"OfficialWorldGolfRanking",2012
121,118,"Robert Karlsson",52,1.36,70.87,-149.2,35.74,NA,"OfficialWorldGolfRanking",2012
122,121,"Paul Casey",48,1.36,65.29,-149.68,28.7,NA,"OfficialWorldGolfRanking",2012
123,123,"Scott Stallings",52,1.33,68.91,-53.06,55.36,NA,"OfficialWorldGolfRanking",2012
124,124,"Yoshinori Fujimoto",40,1.32,52.73,-11.62,58.61,NA,"OfficialWorldGolfRanking",2012
125,125,"Matt Every",50,1.31,65.47,-32.69,72.22,NA,"OfficialWorldGolfRanking",2012
126,126,"Kevin Stadler",52,1.3,67.81,-37.37,76,NA,"OfficialWorldGolfRanking",2012
127,128,"Hideki Matsuyama",40,1.29,51.68,-23.14,38.27,NA,"OfficialWorldGolfRanking",2012
128,127,"JB Holmes",42,1.28,53.96,-70.02,56.62,NA,"OfficialWorldGolfRanking",2012
129,129,"Tommy Gainey",52,1.28,66.48,-74.23,59.75,NA,"OfficialWorldGolfRanking",2012
130,130,"Kenichi Kuboya",52,1.28,66.32,-45.3,44.13,NA,"OfficialWorldGolfRanking",2012
131,131,"Russell Henley",40,1.27,50.97,-12.95,48.33,NA,"OfficialWorldGolfRanking",2012
132,134,"Victor Dubuisson",40,1.24,49.56,-28.25,50.92,NA,"OfficialWorldGolfRanking",2012
133,133,"Spencer Levin",52,1.24,64.29,-90.11,62.51,NA,"OfficialWorldGolfRanking",2012
134,132,"Rory Sabbatini",52,1.23,64.14,-99.68,56.96,NA,"OfficialWorldGolfRanking",2012
135,135,"Andres Romero",49,1.23,60.33,-52.41,51.76,NA,"OfficialWorldGolfRanking",2012
136,137,"Brian Davis",52,1.23,63.74,-80.77,63.01,NA,"OfficialWorldGolfRanking",2012
137,136,"Sean OHair",49,1.22,60.01,-83.94,52.45,NA,"OfficialWorldGolfRanking",2012
138,138,"Michael Hoey",52,1.22,63.49,-65.78,42.62,NA,"OfficialWorldGolfRanking",2012
139,139,"Chris Wood",50,1.2,60.18,-47.71,65.21,NA,"OfficialWorldGolfRanking",2012
140,142,"Harris English",40,1.18,47.39,-25.98,48.11,NA,"OfficialWorldGolfRanking",2012
141,144,"Brad Kennedy",44,1.18,52.05,-32.97,31.06,NA,"OfficialWorldGolfRanking",2012
142,141,"Pat Perez",49,1.18,57.9,-50.61,57.68,NA,"OfficialWorldGolfRanking",2012
143,145,"Blake Adams",52,1.18,61.34,-42.31,57.65,NA,"OfficialWorldGolfRanking",2012
144,143,"Tom Gillis",44,1.18,51.89,-44.79,59.48,NA,"OfficialWorldGolfRanking",2012
145,140,"Darren Clarke",47,1.17,55.2,-105.03,17.61,NA,"OfficialWorldGolfRanking",2012
146,147,"Jaco Van Zyl",52,1.17,61.06,-52.19,50.31,NA,"OfficialWorldGolfRanking",2012
147,146,"John Rollins",52,1.17,61,-59.4,64.72,NA,"OfficialWorldGolfRanking",2012
148,148,"DA Points",52,1.17,60.59,-79.42,69.14,NA,"OfficialWorldGolfRanking",2012
149,149,"Bryce Molder",52,1.16,60.37,-66.04,50.14,NA,"OfficialWorldGolfRanking",2012
150,152,"Darren Fichardt",42,1.15,48.46,-17.68,50.6,NA,"OfficialWorldGolfRanking",2012
151,151,"Davis Love III",42,1.14,48.04,-54.02,40.21,NA,"OfficialWorldGolfRanking",2012
152,150,"Gary Woodland",50,1.14,56.97,-104.57,26.15,NA,"OfficialWorldGolfRanking",2012
153,153,"Ken Duke",52,1.13,58.77,-34.19,59.24,NA,"OfficialWorldGolfRanking",2012
154,155,"Richard Sterne",40,1.12,44.69,-11.6,53.95,NA,"OfficialWorldGolfRanking",2012
155,154,"Peter Lawrie",52,1.11,57.94,-54.11,50.47,NA,"OfficialWorldGolfRanking",2012
156,157,"Junggon Hwang",51,1.11,56.8,-19.98,46.28,NA,"OfficialWorldGolfRanking",2012
157,159,"Hyunwoo Ryu",41,1.11,45.38,-10.44,43.3,NA,"OfficialWorldGolfRanking",2012
158,156,"Soren Kjeldsen",52,1.11,57.53,-54.61,61.58,NA,"OfficialWorldGolfRanking",2012
159,158,"Shingo Katayama",47,1.1,51.83,-50.81,34.16,NA,"OfficialWorldGolfRanking",2012
160,163,"Brian Harman",40,1.09,43.66,-8.16,51.82,NA,"OfficialWorldGolfRanking",2012
161,160,"George McNeill",46,1.09,50.2,-50,47.54,NA,"OfficialWorldGolfRanking",2012
162,164,"Prom Meesawat",42,1.09,45.78,-18.56,46.07,NA,"OfficialWorldGolfRanking",2012
163,161,"Gregory Bourdy",52,1.09,56.5,-59.91,43.2,NA,"OfficialWorldGolfRanking",2012
164,162,"Charley Hoffman",52,1.08,56.29,-89.64,52.71,NA,"OfficialWorldGolfRanking",2012
165,165,"Bob Estes",40,1.08,43.26,-24.38,45.26,NA,"OfficialWorldGolfRanking",2012
166,167,"Charlie Beljan",40,1.08,43.18,-2.69,45.88,NA,"OfficialWorldGolfRanking",2012
167,166,"Garth Mulroy",52,1.08,56.09,-39.04,43.56,NA,"OfficialWorldGolfRanking",2012
168,170,"Romain Wattel",51,1.06,53.87,-31.71,56.18,NA,"OfficialWorldGolfRanking",2012
169,168,"Cameron Tringale",52,1.06,54.9,-48.62,53.65,NA,"OfficialWorldGolfRanking",2012
170,171,"Wu Ashun",40,1.05,42.12,-3.81,42.67,NA,"OfficialWorldGolfRanking",2012
171,169,"Kurt Barnes",40,1.05,42.09,-36.04,25.7,NA,"OfficialWorldGolfRanking",2012
172,172,"Kyoung Hoon Lee",40,1.04,41.52,-10.34,45.99,NA,"OfficialWorldGolfRanking",2012
173,173,"Mark Foster",50,1.02,50.99,-53.38,36.38,NA,"OfficialWorldGolfRanking",2012
174,174,"John Mallinger",49,1.02,49.91,-42.63,48.46,NA,"OfficialWorldGolfRanking",2012
175,178,"Peter Senior",40,1.01,40.59,-18.49,35.8,NA,"OfficialWorldGolfRanking",2012
176,176,"Lee Slattery",52,1.01,52.66,-40.74,39.65,NA,"OfficialWorldGolfRanking",2012
177,177,"Graham DeLaet",40,1.01,40.28,-18.31,49.02,NA,"OfficialWorldGolfRanking",2012
178,175,"Chez Reavie",52,1,52.16,-61.51,23.48,NA,"OfficialWorldGolfRanking",2012
179,180,"JJ Henry",52,0.99,51.59,-43.16,54.01,NA,"OfficialWorldGolfRanking",2012
180,181,"Magnus Carlsson",46,0.99,45.56,-23.2,43.38,NA,"OfficialWorldGolfRanking",2012
181,179,"Hennie Otto",52,0.99,51.47,-53.88,28.22,NA,"OfficialWorldGolfRanking",2012
182,182,"Marc Warren",52,0.99,51.39,-24.35,50.2,NA,"OfficialWorldGolfRanking",2012
183,183,"Troy Matteson",52,0.98,51.2,-35.45,54.1,NA,"OfficialWorldGolfRanking",2012
184,185,"Han Lee",47,0.98,45.88,-22.09,43.73,NA,"OfficialWorldGolfRanking",2012
185,186,"Eduardo De La Riva",40,0.97,38.84,-11.17,40.21,NA,"OfficialWorldGolfRanking",2012
186,187,"Hideto Tanihara",51,0.97,49.51,-25.05,50.56,NA,"OfficialWorldGolfRanking",2012
187,184,"Tomohiro Kondo",49,0.96,47.23,-49.7,27.83,NA,"OfficialWorldGolfRanking",2012
188,188,"Julien Quesne",48,0.96,46.25,-28.87,46.75,NA,"OfficialWorldGolfRanking",2012
189,189,"Jbe Kruger",52,0.94,48.98,-58.85,51.48,NA,"OfficialWorldGolfRanking",2012
190,190,"WC Liang",49,0.94,45.94,-32.15,45.71,NA,"OfficialWorldGolfRanking",2012
191,192,"Espen Kofstad",49,0.93,45.77,-9.67,44.77,NA,"OfficialWorldGolfRanking",2012
192,191,"Chad Campbell",52,0.92,48.07,-48.44,39.36,NA,"OfficialWorldGolfRanking",2012
193,193,"Kiradech Aphibarnrat",52,0.92,47.9,-50.49,42.87,NA,"OfficialWorldGolfRanking",2012
194,194,"I J Jang",47,0.91,42.84,-19.95,43.7,NA,"OfficialWorldGolfRanking",2012
195,195,"John Daly",52,0.9,46.79,-19.61,51.47,NA,"OfficialWorldGolfRanking",2012
196,195,"William McGirt",52,0.9,46.78,-24.3,51.06,NA,"OfficialWorldGolfRanking",2012
197,197,"Robert Allenby",52,0.89,46.2,-103.72,31.65,NA,"OfficialWorldGolfRanking",2012
198,199,"Dicky Pride",42,0.89,37.3,-20.68,46.63,NA,"OfficialWorldGolfRanking",2012
199,200,"Shawn Stefani",40,0.88,35.38,-3.43,38.81,NA,"OfficialWorldGolfRanking",2012
200,198,"Trevor Immelman",50,0.88,44.21,-49.71,33.44,NA,"OfficialWorldGolfRanking",2012
201,201,"Josh Teater",52,0.88,45.58,-31.2,43.8,NA,"OfficialWorldGolfRanking",2012
202,202,"Cameron Percy",49,0.88,42.89,-19.92,43.09,NA,"OfficialWorldGolfRanking",2012
203,203,"Anirban Lahiri",40,0.87,34.84,-23.25,38.71,NA,"OfficialWorldGolfRanking",2012
204,205,"Masamichi Uehira",48,0.87,41.53,-13.88,40.96,NA,"OfficialWorldGolfRanking",2012
205,204,"Brendan Steele",52,0.86,44.46,-63.44,34.9,NA,"OfficialWorldGolfRanking",2012
206,207,"Siddikur Rahman",42,0.85,35.86,-41.93,32.65,NA,"OfficialWorldGolfRanking",2012
207,206,"Thomas Levet",43,0.85,36.68,-38.64,24.67,NA,"OfficialWorldGolfRanking",2012
208,210,"Alejandro Canizares",52,0.85,44.35,-43.29,45,NA,"OfficialWorldGolfRanking",2012
209,211,"Steve Webster",52,0.85,44.25,-29.61,31.28,NA,"OfficialWorldGolfRanking",2012
210,209,"Anthony Wall",49,0.85,41.6,-43.07,41.93,NA,"OfficialWorldGolfRanking",2012
211,208,"Harrison Frazar",40,0.85,33.85,-44.53,30.59,NA,"OfficialWorldGolfRanking",2012
212,216,"Jonathan Moore",40,0.84,33.75,-5.42,31.98,NA,"OfficialWorldGolfRanking",2012
213,212,"Richard Green",46,0.84,38.7,-66.48,30.03,NA,"OfficialWorldGolfRanking",2012
214,213,"Greg Owen",50,0.84,42.01,-17.33,47.69,NA,"OfficialWorldGolfRanking",2012
215,214,"Do Hoon Kim",52,0.84,43.58,-47.07,33,NA,"OfficialWorldGolfRanking",2012
216,215,"Rod Pampling",52,0.84,43.51,-26.65,42.89,NA,"OfficialWorldGolfRanking",2012
217,220,"David Drysdale",52,0.83,43.12,-31.91,47.37,NA,"OfficialWorldGolfRanking",2012
217,218,"Tetsuji Hiratsuka",52,0.83,43.12,-79.68,22.25,NA,"OfficialWorldGolfRanking",2012
217,219,"Brett Rumford",52,0.83,43.12,-39.65,41.35,NA,"OfficialWorldGolfRanking",2012
220,217,"Kevin Chappell",52,0.83,42.94,-50.4,33.61,NA,"OfficialWorldGolfRanking",2012
221,221,"Keith Horne",52,0.82,42.86,-31.55,48.44,NA,"OfficialWorldGolfRanking",2012
222,222,"Luke List",50,0.82,40.91,-17.7,45.98,NA,"OfficialWorldGolfRanking",2012
223,225,"Joachim B Hansen",40,0.82,32.6,-1.32,33.92,NA,"OfficialWorldGolfRanking",2012
224,223,"David Hearn",52,0.81,41.99,-34.75,39.4,NA,"OfficialWorldGolfRanking",2012
225,224,"Kevin Streelman",52,0.8,41.77,-62.31,32.96,NA,"OfficialWorldGolfRanking",2012
226,227,"Alessandro Tadini",51,0.8,40.59,-17.24,37.85,NA,"OfficialWorldGolfRanking",2012
227,226,"Simon Wakefield",49,0.8,39,-19.27,34.73,NA,"OfficialWorldGolfRanking",2012
228,228,"John Merrick",50,0.79,39.29,-27.91,39.96,NA,"OfficialWorldGolfRanking",2012
229,232,"Masanori Kobayashi",52,0.78,40.75,-17.15,38.6,NA,"OfficialWorldGolfRanking",2012
230,233,"Chris Doak",47,0.78,36.72,-11.88,33.64,NA,"OfficialWorldGolfRanking",2012
231,230,"James Morrison",52,0.78,40.62,-41.45,26.44,NA,"OfficialWorldGolfRanking",2012
232,231,"Daniel Summerhays",52,0.78,40.6,-30.55,50.55,NA,"OfficialWorldGolfRanking",2012
233,229,"Gregory Havret",52,0.78,40.39,-68.29,17.18,NA,"OfficialWorldGolfRanking",2012
234,234,"DH Lee",46,0.77,35.63,-26.43,21.14,NA,"OfficialWorldGolfRanking",2012
235,235,"Edoardo Molinari",45,0.77,34.6,-100.5,20.92,NA,"OfficialWorldGolfRanking",2012
236,236,"Jason Kokrak",46,0.77,35.33,-24.87,21.92,NA,"OfficialWorldGolfRanking",2012
237,237,"David Lingmerth",52,0.77,39.84,-13.16,34.3,NA,"OfficialWorldGolfRanking",2012
238,239,"Yusaku Miyazato",51,0.76,38.63,-20.92,25.31,NA,"OfficialWorldGolfRanking",2012
239,241,"Kunihiro Kamii",49,0.76,37.01,-23.52,30.27,NA,"OfficialWorldGolfRanking",2012
240,243,"James Hahn",50,0.75,37.69,-13.69,41.71,NA,"OfficialWorldGolfRanking",2012
241,244,"Doug McGuigan",40,0.75,30.15,-11.55,23.89,NA,"OfficialWorldGolfRanking",2012
242,238,"Felipe Aguilar",52,0.75,39.08,-39.18,26.65,NA,"OfficialWorldGolfRanking",2012
243,240,"Lorenzo Gagli",52,0.75,38.95,-42.67,18.79,NA,"OfficialWorldGolfRanking",2012
244,242,"Ricky Barnes",52,0.75,38.81,-65.38,34.49,NA,"OfficialWorldGolfRanking",2012
245,245,"Richard Finch",52,0.75,38.79,-36.54,38.37,NA,"OfficialWorldGolfRanking",2012
245,247,"Robert Streb",40,0.75,29.83,-3.48,33.32,NA,"OfficialWorldGolfRanking",2012
247,251,"Morgan Hoffmann",40,0.74,29.76,-4.31,30.12,NA,"OfficialWorldGolfRanking",2012
248,250,"David Lipsky",40,0.74,29.63,-9.16,38.79,NA,"OfficialWorldGolfRanking",2012
249,246,"Jhonattan Vegas",52,0.74,38.46,-69.96,32.71,NA,"OfficialWorldGolfRanking",2012
250,248,"Troy Kelly",45,0.74,33.24,-19.13,31.46,NA,"OfficialWorldGolfRanking",2012
251,249,"Camilo Villegas",52,0.73,38.17,-76.21,22.1,NA,"OfficialWorldGolfRanking",2012
