"LatePar5ScoringAverage_RANKTHISWEEK_2007","LatePar5ScoringAverage_RANKLASTWEEK_2007","LatePar5ScoringAverage_PLAYERNAME_2007","LatePar5ScoringAverage_ROUNDS_2007","LatePar5ScoringAverage_AVG_2007","LatePar5ScoringAverage_TOTALSTROKES_2007","LatePar5ScoringAverage_TOTALHOLES_2007","stat_name","year"
1,1,"Phil Mickelson",73,4.43,540,122,"LatePar5ScoringAverage",2007
2,2,"Justin Rose",63,4.48,417,93,"LatePar5ScoringAverage",2007
3,3,"Jonathan Byrd",73,4.49,530,118,"LatePar5ScoringAverage",2007
3,3,"Charles Howell III",89,4.49,566,126,"LatePar5ScoringAverage",2007
5,5,"Tiger Woods",63,4.51,532,118,"LatePar5ScoringAverage",2007
6,6,"Michael Allen",74,4.52,475,105,"LatePar5ScoringAverage",2007
7,7,"Aaron Baddeley",83,4.54,644,142,"LatePar5ScoringAverage",2007
7,7,"Rich Beem",89,4.54,618,136,"LatePar5ScoringAverage",2007
9,9,"Jason Bohn",57,4.55,437,96,"LatePar5ScoringAverage",2007
9,9,"Alex Cejka",80,4.55,523,115,"LatePar5ScoringAverage",2007
9,9,"Sergio Garcia",68,4.55,519,114,"LatePar5ScoringAverage",2007
9,9,"Sean OHair",98,4.55,746,164,"LatePar5ScoringAverage",2007
13,13,"Craig Barlow",52,4.56,328,72,"LatePar5ScoringAverage",2007
13,13,"Adam Scott",69,4.56,547,120,"LatePar5ScoringAverage",2007
15,15,"KJ Choi",87,4.58,756,165,"LatePar5ScoringAverage",2007
15,15,"Scott Gutschewski",67,4.58,435,95,"LatePar5ScoringAverage",2007
15,15,"Will Ma Kenzie",100,4.58,700,153,"LatePar5ScoringAverage",2007
15,15,"Steve Marino",106,4.58,870,190,"LatePar5ScoringAverage",2007
15,15,"Billy Mayfair",98,4.58,700,153,"LatePar5ScoringAverage",2007
15,15,"Kevin Na",84,4.58,595,130,"LatePar5ScoringAverage",2007
15,15,"Kenny Perry",83,4.58,568,124,"LatePar5ScoringAverage",2007
22,22,"Robert Allenby",90,4.59,643,140,"LatePar5ScoringAverage",2007
22,22,"Joe Ogilvie",102,4.59,725,158,"LatePar5ScoringAverage",2007
22,22,"Heath Slocum",101,4.59,743,162,"LatePar5ScoringAverage",2007
22,22,"Darron Stiles",65,4.59,477,104,"LatePar5ScoringAverage",2007
26,26,"Pat Perez",84,4.6,579,126,"LatePar5ScoringAverage",2007
26,26,"Vijay Singh",102,4.6,769,167,"LatePar5ScoringAverage",2007
28,28,"Bob Estes",88,4.61,595,129,"LatePar5ScoringAverage",2007
28,28,"Robert Garrigus",95,4.61,678,147,"LatePar5ScoringAverage",2007
28,28,"Hunter Mahan",91,4.61,595,129,"LatePar5ScoringAverage",2007
28,28,"John Merrick",92,4.61,636,138,"LatePar5ScoringAverage",2007
28,28,"Tim Petrovic",106,4.61,752,163,"LatePar5ScoringAverage",2007
28,28,"Steve Stricker",81,4.61,599,130,"LatePar5ScoringAverage",2007
28,28,"Charlie Wi",90,4.61,761,165,"LatePar5ScoringAverage",2007
35,35,"Cameron Beckman",96,4.62,698,151,"LatePar5ScoringAverage",2007
35,35,"Ernie Els",59,4.62,434,94,"LatePar5ScoringAverage",2007
35,35,"Tom Lehman",62,4.62,425,92,"LatePar5ScoringAverage",2007
35,35,"Michael Putnam",96,4.62,712,154,"LatePar5ScoringAverage",2007
35,35,"Rory Sabbatini",81,4.62,587,127,"LatePar5ScoringAverage",2007
40,40,"Stuart Appleby",74,4.63,602,130,"LatePar5ScoringAverage",2007
40,40,"Briny Baird",115,4.63,879,190,"LatePar5ScoringAverage",2007
40,40,"Joe Durant",88,4.63,532,115,"LatePar5ScoringAverage",2007
40,40,"Lucas Glover",98,4.63,797,172,"LatePar5ScoringAverage",2007
40,40,"Nathan Green",103,4.63,746,161,"LatePar5ScoringAverage",2007
40,40,"Bill Haas",93,4.63,694,150,"LatePar5ScoringAverage",2007
40,40,"Ryuji Imada",104,4.63,805,174,"LatePar5ScoringAverage",2007
40,40,"John Senden",97,4.63,634,137,"LatePar5ScoringAverage",2007
40,40,"Michael Sim",52,4.63,417,90,"LatePar5ScoringAverage",2007
40,40,"Kevin Sutherland",85,4.63,676,146,"LatePar5ScoringAverage",2007
50,50,"Craig Bowden",78,4.64,506,109,"LatePar5ScoringAverage",2007
50,50,"Mark Calcavecchia",93,4.64,640,138,"LatePar5ScoringAverage",2007
50,50,"Jason Gore",86,4.64,733,158,"LatePar5ScoringAverage",2007
50,50,"Jerry Kelly",101,4.64,691,149,"LatePar5ScoringAverage",2007
50,50,"Jeff Overton",60,4.64,506,109,"LatePar5ScoringAverage",2007
50,50,"Rod Pampling",92,4.64,622,134,"LatePar5ScoringAverage",2007
50,50,"Ian Poulter",63,4.64,385,83,"LatePar5ScoringAverage",2007
57,57,"Jeff Brehaut",59,4.65,512,110,"LatePar5ScoringAverage",2007
57,57,"Charley Hoffman",97,4.65,754,162,"LatePar5ScoringAverage",2007
57,57,"Matt Kuchar",85,4.65,600,129,"LatePar5ScoringAverage",2007
57,57,"Jarrod Lyle",77,4.65,470,101,"LatePar5ScoringAverage",2007
57,57,"Carl Pettersson",111,4.65,823,177,"LatePar5ScoringAverage",2007
57,57,"Chris Tidland",59,4.65,474,102,"LatePar5ScoringAverage",2007
57,57,"Duffy Waldorf",69,4.65,572,123,"LatePar5ScoringAverage",2007
57,57,"Charles Warren",101,4.65,725,156,"LatePar5ScoringAverage",2007
57,57,"Bubba Watson",80,4.65,656,141,"LatePar5ScoringAverage",2007
66,66,"Stewart Cink",91,4.66,667,143,"LatePar5ScoringAverage",2007
66,66,"Marco Dawson",73,4.66,443,95,"LatePar5ScoringAverage",2007
66,66,"Retief Goosen",50,4.66,298,64,"LatePar5ScoringAverage",2007
66,66,"JB Holmes",71,4.66,555,119,"LatePar5ScoringAverage",2007
66,66,"Nick Watney",87,4.66,638,137,"LatePar5ScoringAverage",2007
71,71,"Bart Bryant",87,4.67,686,147,"LatePar5ScoringAverage",2007
71,71,"Zach Johnson",76,4.67,546,117,"LatePar5ScoringAverage",2007
71,71,"Kent Jones",97,4.67,658,141,"LatePar5ScoringAverage",2007
71,71,"Frank Lickliter II",95,4.67,603,129,"LatePar5ScoringAverage",2007
71,71,"Troy Matteson",87,4.67,626,134,"LatePar5ScoringAverage",2007
71,71,"Tag Ridings",52,4.67,397,85,"LatePar5ScoringAverage",2007
71,71,"Brandt Snedeker",105,4.67,776,166,"LatePar5ScoringAverage",2007
71,71,"Paul Stankowski",52,4.67,392,84,"LatePar5ScoringAverage",2007
71,71,"Vaughn Taylor",91,4.67,658,141,"LatePar5ScoringAverage",2007
71,71,"Bo Van Pelt",104,4.67,673,144,"LatePar5ScoringAverage",2007
71,71,"Johnson Wagner",97,4.67,770,165,"LatePar5ScoringAverage",2007
71,71,"Mike Weir",82,4.67,532,114,"LatePar5ScoringAverage",2007
83,83,"Mathias Gronberg",95,4.68,669,143,"LatePar5ScoringAverage",2007
83,83,"Bob Heintz",85,4.68,604,129,"LatePar5ScoringAverage",2007
83,83,"JJ Henry",86,4.68,505,108,"LatePar5ScoringAverage",2007
83,83,"Parker McLachlin",83,4.68,623,133,"LatePar5ScoringAverage",2007
83,83,"Shaun Micheel",91,4.68,646,138,"LatePar5ScoringAverage",2007
83,83,"Ryan Moore",92,4.68,599,128,"LatePar5ScoringAverage",2007
83,83,"Jose Maria Olazabal",52,4.68,351,75,"LatePar5ScoringAverage",2007
83,83,"Ted Purdy",102,4.68,753,161,"LatePar5ScoringAverage",2007
83,83,"Jim Rutledge",59,4.68,435,93,"LatePar5ScoringAverage",2007
83,83,"Jason Schultz",63,4.68,463,99,"LatePar5ScoringAverage",2007
83,83,"Kirk Triplett",77,4.68,571,122,"LatePar5ScoringAverage",2007
83,83,"Steve Wheatcroft",73,4.68,604,129,"LatePar5ScoringAverage",2007
95,95,"Steve Allan",63,4.69,450,96,"LatePar5ScoringAverage",2007
95,95,"Billy Andrade",88,4.69,671,143,"LatePar5ScoringAverage",2007
95,95,"Jose Coceres",50,4.69,375,80,"LatePar5ScoringAverage",2007
95,95,"Brian Davis",101,4.69,647,138,"LatePar5ScoringAverage",2007
95,95,"Brendon de Jonge",76,4.69,666,142,"LatePar5ScoringAverage",2007
95,95,"Paul Goydos",60,4.69,375,80,"LatePar5ScoringAverage",2007
95,95,"Anthony Kim",93,4.69,628,134,"LatePar5ScoringAverage",2007
95,95,"Stephen Leaney",82,4.69,582,124,"LatePar5ScoringAverage",2007
95,95,"Daisuke Maruyama",86,4.69,539,115,"LatePar5ScoringAverage",2007
95,95,"Chris Riley",59,4.69,483,103,"LatePar5ScoringAverage",2007
105,105,"Rich Barcelo",80,4.7,569,121,"LatePar5ScoringAverage",2007
105,105,"John Daly",59,4.7,418,89,"LatePar5ScoringAverage",2007
105,105,"Jason Dufner",100,4.7,705,150,"LatePar5ScoringAverage",2007
105,105,"Steve Flesch",100,4.7,667,142,"LatePar5ScoringAverage",2007
105,105,"Jim Furyk",84,4.7,695,148,"LatePar5ScoringAverage",2007
105,105,"Mathew Goggin",97,4.7,761,162,"LatePar5ScoringAverage",2007
105,105,"Jeff Gove",103,4.7,842,179,"LatePar5ScoringAverage",2007
105,105,"Tom Johnson",74,4.7,512,109,"LatePar5ScoringAverage",2007
105,105,"Craig Kanada",109,4.7,851,181,"LatePar5ScoringAverage",2007
105,105,"John Mallinger",96,4.7,677,144,"LatePar5ScoringAverage",2007
105,105,"Shigeki Maruyama",84,4.7,625,133,"LatePar5ScoringAverage",2007
105,105,"Tom Pernice Jr",104,4.7,832,177,"LatePar5ScoringAverage",2007
105,105,"Jeff Quinney",95,4.7,668,142,"LatePar5ScoringAverage",2007
118,118,"Tommy Armour III",81,4.71,626,133,"LatePar5ScoringAverage",2007
118,118,"Ryan Armour",107,4.71,824,175,"LatePar5ScoringAverage",2007
118,118,"Tim Clark",66,4.71,537,114,"LatePar5ScoringAverage",2007
118,118,"Luke Donald",69,4.71,457,97,"LatePar5ScoringAverage",2007
118,118,"Craig Lile",77,4.71,593,126,"LatePar5ScoringAverage",2007
118,118,"Davis Love III",66,4.71,480,102,"LatePar5ScoringAverage",2007
118,118,"George McNeill",95,4.71,641,136,"LatePar5ScoringAverage",2007
118,118,"Joey Sindelar",75,4.71,546,116,"LatePar5ScoringAverage",2007
118,118,"Brett Wetterich",88,4.71,598,127,"LatePar5ScoringAverage",2007
127,127,"Stephen Ames",81,4.72,581,123,"LatePar5ScoringAverage",2007
127,127,"Eric Axley",107,4.72,789,167,"LatePar5ScoringAverage",2007
127,127,"Chad Campbell",96,4.72,590,125,"LatePar5ScoringAverage",2007
127,127,"Glen Day",85,4.72,599,127,"LatePar5ScoringAverage",2007
127,127,"Ken Duke",112,4.72,755,160,"LatePar5ScoringAverage",2007
127,127,"Lee Janzen",66,4.72,529,112,"LatePar5ScoringAverage",2007
127,127,"Geoff Ogilvy",84,4.72,609,129,"LatePar5ScoringAverage",2007
127,127,"Greg Owen",81,4.72,590,125,"LatePar5ScoringAverage",2007
127,127,"Jesper Parnevik",88,4.72,609,129,"LatePar5ScoringAverage",2007
127,127,"John Rollins",102,4.72,632,134,"LatePar5ScoringAverage",2007
127,127,"Camilo Villegas",82,4.72,580,123,"LatePar5ScoringAverage",2007
