"Last5EventsScoring_RANKTHISWEEK_2014","Last5EventsScoring_RANKLASTWEEK_2014","Last5EventsScoring_PLAYERNAME_2014","Last5EventsScoring_EVENTS_2014","Last5EventsScoring_RATING_2014","stat_name","year"
1,1,"Brandt Snedeker",3,9,"Last5EventsScoring",2014
2,2,"Billy Horschel",4,8.9,"Last5EventsScoring",2014
3,3,"Brad Fritsch",3,8.8,"Last5EventsScoring",2014
3,3,"Kevin Kisner",3,8.8,"Last5EventsScoring",2014
3,3,"Rory McIlroy",5,8.8,"Last5EventsScoring",2014
3,3,"David Toms",3,8.8,"Last5EventsScoring",2014
7,7,"Thomas Bjorn",1,8.7,"Last5EventsScoring",2014
7,7,"Bob Estes",1,8.7,"Last5EventsScoring",2014
7,7,"Rickie Fowler",5,8.7,"Last5EventsScoring",2014
7,7,"Jim Renner",1,8.7,"Last5EventsScoring",2014
11,11,"Robert Allenby",1,8.6,"Last5EventsScoring",2014
11,11,"Jason Day",4,8.6,"Last5EventsScoring",2014
11,11,"Jim Furyk",5,8.6,"Last5EventsScoring",2014
11,11,"Justin Hicks",2,8.6,"Last5EventsScoring",2014
11,11,"Andres Romero",3,8.6,"Last5EventsScoring",2014
11,11,"Robert Streb",2,8.6,"Last5EventsScoring",2014
11,11,"Hideto Tanihara",1,8.6,"Last5EventsScoring",2014
11,11,"Jhonattan Vegas",3,8.6,"Last5EventsScoring",2014
11,11,"Marc Warren",1,8.6,"Last5EventsScoring",2014
11,11,"Nick Watney",3,8.6,"Last5EventsScoring",2014
11,11,"Brady Watt",1,8.6,"Last5EventsScoring",2014
11,11,"Will Wilcox",3,8.6,"Last5EventsScoring",2014
23,23,"Sangmoon Bae",2,8.5,"Last5EventsScoring",2014
23,23,"Justin Bolli",1,8.5,"Last5EventsScoring",2014
23,23,"Chad Campbell",1,8.5,"Last5EventsScoring",2014
23,23,"Paul Casey",2,8.5,"Last5EventsScoring",2014
23,23,"Scott Gardiner",1,8.5,"Last5EventsScoring",2014
