"FirstTeeLateScoringAverage_RANKTHISWEEK_2014","FirstTeeLateScoringAverage_RANKLASTWEEK_2014","FirstTeeLateScoringAverage_PLAYERNAME_2014","FirstTeeLateScoringAverage_ROUNDS_2014","FirstTeeLateScoringAverage_AVG_2014","FirstTeeLateScoringAverage_TOTALSTROKES_2014","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2014","stat_name","year"
1,1,"Will Wilcox",51,68.88,1102,16,"FirstTeeLateScoringAverage",2014
2,2,"Sergio Garcia",61,69.13,2212,32,"FirstTeeLateScoringAverage",2014
3,3,"Rory McIlroy",66,69.27,2840,41,"FirstTeeLateScoringAverage",2014
4,4,"David Toms",64,69.48,1459,21,"FirstTeeLateScoringAverage",2014
5,5,"Jim Furyk",84,69.55,3408,49,"FirstTeeLateScoringAverage",2014
6,6,"Tim Clark",75,69.58,1322,19,"FirstTeeLateScoringAverage",2014
7,7,"Carl Pettersson",91,69.67,1672,24,"FirstTeeLateScoringAverage",2014
8,8,"Chris Stroud",88,69.68,2369,34,"FirstTeeLateScoringAverage",2014
9,9,"Jerry Kelly",80,69.7,1603,23,"FirstTeeLateScoringAverage",2014
10,10,"Zach Johnson",97,69.74,3278,47,"FirstTeeLateScoringAverage",2014
11,11,"Robert Streb",75,69.8,1745,25,"FirstTeeLateScoringAverage",2014
12,12,"Graham DeLaet",80,69.81,2164,31,"FirstTeeLateScoringAverage",2014
13,13,"Ryan Palmer",85,69.82,2304,33,"FirstTeeLateScoringAverage",2014
14,14,"Adam Scott",68,69.87,3214,46,"FirstTeeLateScoringAverage",2014
15,15,"Sangmoon Bae",76,69.88,1188,17,"FirstTeeLateScoringAverage",2014
16,16,"Brian Harman",111,69.89,2446,35,"FirstTeeLateScoringAverage",2014
16,16,"Matt Kuchar",91,69.89,3914,56,"FirstTeeLateScoringAverage",2014
18,18,"Brian Stuard",91,69.96,1819,26,"FirstTeeLateScoringAverage",2014
19,19,"Bubba Watson",76,70.08,2663,38,"FirstTeeLateScoringAverage",2014
20,20,"Jhonattan Vegas",77,70.11,1332,19,"FirstTeeLateScoringAverage",2014
21,21,"Shawn Stefani",60,70.13,1052,15,"FirstTeeLateScoringAverage",2014
21,21,"Brendon Todd",108,70.13,2805,40,"FirstTeeLateScoringAverage",2014
23,23,"Rickie Fowler",91,70.14,2595,37,"FirstTeeLateScoringAverage",2014
24,24,"William McGirt",96,70.16,2245,32,"FirstTeeLateScoringAverage",2014
25,25,"Chad Campbell",57,70.18,1193,17,"FirstTeeLateScoringAverage",2014
