"Back9Par4ScoringAverage_RANKTHISWEEK_2011","Back9Par4ScoringAverage_RANKLASTWEEK_2011","Back9Par4ScoringAverage_PLAYERNAME_2011","Back9Par4ScoringAverage_ROUNDS_2011","Back9Par4ScoringAverage_AVG_2011","Back9Par4ScoringAverage_TOTALSTROKES_2011","Back9Par4ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Zach Johnson",79,3.97,1701,428,"Back9Par4ScoringAverage",2011
1,1,"Webb Simpson",98,3.97,2097,528,"Back9Par4ScoringAverage",2011
1,1,"Steve Stricker",70,3.97,1498,377,"Back9Par4ScoringAverage",2011
1,1,"David Toms",78,3.97,1669,420,"Back9Par4ScoringAverage",2011
5,5,"Bill Haas",93,3.98,1976,496,"Back9Par4ScoringAverage",2011
5,5,"Spencer Levin",113,3.98,2426,609,"Back9Par4ScoringAverage",2011
5,5,"Ryan Moore",79,3.98,1595,401,"Back9Par4ScoringAverage",2011
5,5,"Kevin Stadler",88,3.98,1831,460,"Back9Par4ScoringAverage",2011
5,5,"Kevin Streelman",90,3.98,1935,486,"Back9Par4ScoringAverage",2011
10,10,"Cameron Beckman",71,3.99,1499,376,"Back9Par4ScoringAverage",2011
10,10,"Freddie Jacobson",92,3.99,2035,510,"Back9Par4ScoringAverage",2011
10,10,"John Merrick",71,3.99,1535,385,"Back9Par4ScoringAverage",2011
10,10,"Carl Pettersson",95,3.99,2065,517,"Back9Par4ScoringAverage",2011
10,10,"Charl Schwartzel",58,3.99,1228,308,"Back9Par4ScoringAverage",2011
10,10,"Adam Scott",60,3.99,1330,333,"Back9Par4ScoringAverage",2011
16,16,"Woody Austin",59,4,1236,309,"Back9Par4ScoringAverage",2011
16,16,"Jonathan Byrd",83,4,1769,442,"Back9Par4ScoringAverage",2011
16,16,"Chris Couch",73,4,1529,382,"Back9Par4ScoringAverage",2011
16,16,"Luke Donald",73,4,1476,369,"Back9Par4ScoringAverage",2011
16,16,"Steve Marino",76,4,1615,404,"Back9Par4ScoringAverage",2011
16,16,"Bryce Molder",82,4,1720,430,"Back9Par4ScoringAverage",2011
16,16,"Geoff Ogilvy",69,4,1432,358,"Back9Par4ScoringAverage",2011
16,16,"Justin Rose",79,4,1651,413,"Back9Par4ScoringAverage",2011
24,24,"Aaron Baddeley",77,4.01,1672,417,"Back9Par4ScoringAverage",2011
24,24,"Briny Baird",60,4.01,1298,324,"Back9Par4ScoringAverage",2011
24,24,"Shane Bertsch",62,4.01,1346,336,"Back9Par4ScoringAverage",2011
24,24,"Ben Crane",76,4.01,1636,408,"Back9Par4ScoringAverage",2011
24,24,"Brian Davis",105,4.01,2216,553,"Back9Par4ScoringAverage",2011
24,24,"Jason Dufner",78,4.01,1685,420,"Back9Par4ScoringAverage",2011
24,24,"David Hearn",88,4.01,1916,478,"Back9Par4ScoringAverage",2011
24,24,"JB Holmes",57,4.01,1107,276,"Back9Par4ScoringAverage",2011
24,24,"Brandt Jobe",100,4.01,2115,528,"Back9Par4ScoringAverage",2011
