"SandSavesfrom1020yards_RANKTHISWEEK_2015","SandSavesfrom1020yards_RANKLASTWEEK_2015","SandSavesfrom1020yards_PLAYERNAME_2015","SandSavesfrom1020yards_ROUNDS_2015","SandSavesfrom1020yards_Pct_2015","SandSavesfrom1020yards_OFSAVES_2015","SandSavesfrom1020yards_OFBUNKERS_2015","stat_name","year"
1,1,"Luke Donald",71,81.58,31,38,"SandSavesfrom1020yards",2015
2,2,"Louis Oosthuizen",68,75,30,40,"SandSavesfrom1020yards",2015
3,3,"Jason Day",75,73.81,31,42,"SandSavesfrom1020yards",2015
4,4,"Matt Kuchar",97,72.22,39,54,"SandSavesfrom1020yards",2015
5,5,"Jamie Donaldson",50,71.43,20,28,"SandSavesfrom1020yards",2015
5,5,"Lee Westwood",56,71.43,20,28,"SandSavesfrom1020yards",2015
7,7,"Kevin Na",98,70.37,38,54,"SandSavesfrom1020yards",2015
8,8,"Brendon Todd",96,70.31,45,64,"SandSavesfrom1020yards",2015
9,9,"KJ Choi",66,68.75,33,48,"SandSavesfrom1020yards",2015
10,10,"Aaron Baddeley",76,67.24,39,58,"SandSavesfrom1020yards",2015
11,11,"Sean OHair",86,66.2,47,71,"SandSavesfrom1020yards",2015
12,12,"Chris Kirk",76,66.04,35,53,"SandSavesfrom1020yards",2015
13,13,"Ernie Els",57,65.52,19,29,"SandSavesfrom1020yards",2015
14,14,"David Toms",62,65.31,32,49,"SandSavesfrom1020yards",2015
15,15,"Zach Johnson",90,64.81,35,54,"SandSavesfrom1020yards",2015
16,16,"SJ Park",79,64.71,33,51,"SandSavesfrom1020yards",2015
17,17,"Chad Collins",79,64.58,31,48,"SandSavesfrom1020yards",2015
18,18,"Justin Rose",69,64.44,29,45,"SandSavesfrom1020yards",2015
19,19,"Chad Campbell",97,64.06,41,64,"SandSavesfrom1020yards",2015
19,19,"Adam Hadwin",95,64.06,41,64,"SandSavesfrom1020yards",2015
21,21,"Charl Schwartzel",67,63.89,23,36,"SandSavesfrom1020yards",2015
22,22,"Brian Harman",90,63.51,47,74,"SandSavesfrom1020yards",2015
22,22,"Matt Jones",89,63.51,47,74,"SandSavesfrom1020yards",2015
24,24,"Hideki Matsuyama",95,63.46,33,52,"SandSavesfrom1020yards",2015
25,25,"Stewart Cink",77,63.04,29,46,"SandSavesfrom1020yards",2015
26,26,"Eric Axley",57,62.96,34,54,"SandSavesfrom1020yards",2015
26,26,"Keegan Bradley",87,62.96,34,54,"SandSavesfrom1020yards",2015
26,26,"Rory Sabbatini",81,62.96,34,54,"SandSavesfrom1020yards",2015
29,29,"Hunter Mahan",88,62.9,39,62,"SandSavesfrom1020yards",2015
29,29,"Cameron Tringale",96,62.9,39,62,"SandSavesfrom1020yards",2015
31,31,"Kyle Reifers",96,62.82,49,78,"SandSavesfrom1020yards",2015
32,32,"Steven Alker",62,62.79,27,43,"SandSavesfrom1020yards",2015
32,32,"Heath Slocum",57,62.79,27,43,"SandSavesfrom1020yards",2015
34,34,"Zac Blair",108,62.5,40,64,"SandSavesfrom1020yards",2015
34,34,"George McNeill",93,62.5,45,72,"SandSavesfrom1020yards",2015
34,34,"Phil Mickelson",70,62.5,40,64,"SandSavesfrom1020yards",2015
37,37,"Pat Perez",96,62.3,38,61,"SandSavesfrom1020yards",2015
38,38,"Danny Lee",120,62.2,51,82,"SandSavesfrom1020yards",2015
39,39,"Rickie Fowler",76,62.07,36,58,"SandSavesfrom1020yards",2015
40,40,"Roberto Castro",54,61.76,21,34,"SandSavesfrom1020yards",2015
41,41,"Webb Simpson",81,61.7,29,47,"SandSavesfrom1020yards",2015
42,42,"John Huh",102,61.25,49,80,"SandSavesfrom1020yards",2015
43,43,"Jon Curran",83,61.22,30,49,"SandSavesfrom1020yards",2015
44,44,"Brian Stuard",97,61.11,44,72,"SandSavesfrom1020yards",2015
45,45,"James Hahn",94,61.02,36,59,"SandSavesfrom1020yards",2015
45,45,"Michael Putnam",87,61.02,36,59,"SandSavesfrom1020yards",2015
47,47,"Scott Langley",94,60.87,42,69,"SandSavesfrom1020yards",2015
47,47,"Bill Lunde",50,60.87,14,23,"SandSavesfrom1020yards",2015
49,49,"Padraig Harrington",60,60,24,40,"SandSavesfrom1020yards",2015
49,49,"Francesco Molinari",56,60,15,25,"SandSavesfrom1020yards",2015
51,51,"Brandt Snedeker",98,59.74,46,77,"SandSavesfrom1020yards",2015
52,52,"John Senden",80,59.65,34,57,"SandSavesfrom1020yards",2015
53,53,"Vijay Singh",78,59.32,35,59,"SandSavesfrom1020yards",2015
54,54,"Roger Sloan",56,59.26,16,27,"SandSavesfrom1020yards",2015
55,55,"Ryo Ishikawa",90,59.18,29,49,"SandSavesfrom1020yards",2015
56,56,"Carlos Ortiz",100,59.09,39,66,"SandSavesfrom1020yards",2015
57,57,"Jordan Spieth",91,59.02,36,61,"SandSavesfrom1020yards",2015
58,58,"Scott Brown",97,58.93,33,56,"SandSavesfrom1020yards",2015
58,58,"Derek Fathauer",81,58.93,33,56,"SandSavesfrom1020yards",2015
60,60,"Jonathan Byrd",69,58.82,30,51,"SandSavesfrom1020yards",2015
61,61,"Brendan Steele",88,58.62,34,58,"SandSavesfrom1020yards",2015
61,61,"Steve Wheatcroft",87,58.62,34,58,"SandSavesfrom1020yards",2015
63,63,"Nick Watney",91,58.06,36,62,"SandSavesfrom1020yards",2015
64,64,"Patrick Reed",103,57.81,37,64,"SandSavesfrom1020yards",2015
65,65,"Jonathan Randolph",72,57.78,26,45,"SandSavesfrom1020yards",2015
66,66,"Brice Garnett",81,57.5,23,40,"SandSavesfrom1020yards",2015
67,67,"Daniel Berger",97,57.14,36,63,"SandSavesfrom1020yards",2015
67,67,"Russell Knox",96,57.14,28,49,"SandSavesfrom1020yards",2015
67,67,"DA Points",72,57.14,20,35,"SandSavesfrom1020yards",2015
67,67,"Mark Wilson",89,57.14,28,49,"SandSavesfrom1020yards",2015
71,71,"Bryce Molder",91,56.92,37,65,"SandSavesfrom1020yards",2015
72,72,"Andres Gonzales",90,56.86,29,51,"SandSavesfrom1020yards",2015
72,72,"Jhonattan Vegas",90,56.86,29,51,"SandSavesfrom1020yards",2015
74,74,"Steven Bowditch",103,56.82,50,88,"SandSavesfrom1020yards",2015
75,75,"Cameron Percy",72,56.76,21,37,"SandSavesfrom1020yards",2015
76,76,"Blayne Barber",76,56.52,26,46,"SandSavesfrom1020yards",2015
77,77,"Carl Pettersson",106,56.47,48,85,"SandSavesfrom1020yards",2015
78,78,"Ricky Barnes",82,56.14,32,57,"SandSavesfrom1020yards",2015
79,79,"Sam Saunders",83,55.88,38,68,"SandSavesfrom1020yards",2015
80,80,"Martin Flores",95,55.56,35,63,"SandSavesfrom1020yards",2015
80,80,"Tim Wilkinson",73,55.56,30,54,"SandSavesfrom1020yards",2015
82,82,"Brian Davis",86,55.41,41,74,"SandSavesfrom1020yards",2015
83,83,"Martin Laird",77,55.36,31,56,"SandSavesfrom1020yards",2015
84,84,"Ben Crane",62,55.1,27,49,"SandSavesfrom1020yards",2015
85,85,"Jerry Kelly",79,55,22,40,"SandSavesfrom1020yards",2015
86,86,"Jonas Blixt",78,54.9,28,51,"SandSavesfrom1020yards",2015
87,87,"Tony Finau",106,54.84,34,62,"SandSavesfrom1020yards",2015
88,88,"Andres Romero",69,54.76,23,42,"SandSavesfrom1020yards",2015
89,89,"Mark Hubbard",79,54.72,29,53,"SandSavesfrom1020yards",2015
90,90,"Ian Poulter",68,54.35,25,46,"SandSavesfrom1020yards",2015
91,91,"Kevin Chappell",86,54.29,38,70,"SandSavesfrom1020yards",2015
92,92,"Erik Compton",86,54.17,26,48,"SandSavesfrom1020yards",2015
92,92,"Will Wilcox",58,54.17,13,24,"SandSavesfrom1020yards",2015
94,94,"Bill Haas",89,54.05,20,37,"SandSavesfrom1020yards",2015
95,95,"Michael Thompson",83,53.97,34,63,"SandSavesfrom1020yards",2015
96,96,"Sangmoon Bae",98,53.93,48,89,"SandSavesfrom1020yards",2015
97,97,"Brooks Koepka",84,53.85,35,65,"SandSavesfrom1020yards",2015
98,98,"Luke Guthrie",84,53.7,29,54,"SandSavesfrom1020yards",2015
99,99,"Jimmy Walker",89,53.62,37,69,"SandSavesfrom1020yards",2015
100,100,"Tyrone Van Aswegen",58,53.57,15,28,"SandSavesfrom1020yards",2015
101,101,"Shawn Stefani",94,53.52,38,71,"SandSavesfrom1020yards",2015
102,102,"Robert Garrigus",70,53.49,23,43,"SandSavesfrom1020yards",2015
103,103,"Colt Knost",90,53.33,24,45,"SandSavesfrom1020yards",2015
103,103,"Greg Owen",58,53.33,16,30,"SandSavesfrom1020yards",2015
105,105,"William McGirt",103,53.16,42,79,"SandSavesfrom1020yards",2015
106,106,"Harris English",105,53.13,34,64,"SandSavesfrom1020yards",2015
107,107,"John Peterson",84,52.63,30,57,"SandSavesfrom1020yards",2015
108,108,"Daniel Summerhays",101,52.31,34,65,"SandSavesfrom1020yards",2015
109,109,"Andrew Putnam",68,52.27,23,44,"SandSavesfrom1020yards",2015
110,110,"Robert Streb",110,52.05,38,73,"SandSavesfrom1020yards",2015
111,111,"Troy Merritt",91,52,39,75,"SandSavesfrom1020yards",2015
112,112,"Lucas Glover",79,51.79,29,56,"SandSavesfrom1020yards",2015
113,113,"Jim Furyk",71,51.72,15,29,"SandSavesfrom1020yards",2015
114,114,"Ken Duke",93,51.67,31,60,"SandSavesfrom1020yards",2015
115,115,"Geoff Ogilvy",50,51.52,17,33,"SandSavesfrom1020yards",2015
116,116,"Henrik Stenson",63,51.43,18,35,"SandSavesfrom1020yards",2015
117,117,"Seung Yul Noh",65,51.28,20,39,"SandSavesfrom1020yards",2015
117,117,"Johnson Wagner",68,51.28,20,39,"SandSavesfrom1020yards",2015
119,119,"Robert Allenby",63,51.22,21,41,"SandSavesfrom1020yards",2015
119,119,"Whee Kim",71,51.22,21,41,"SandSavesfrom1020yards",2015
121,121,"Graham DeLaet",65,51.02,25,49,"SandSavesfrom1020yards",2015
