"LongestPutts_RANKTHISWEEK_2015","LongestPutts_RANKLASTWEEK_2015","LongestPutts_PLAYERNAME_2015","LongestPutts_ROUNDS_2015","LongestPutts_DISTANCE_2015","LongestPutts_YEARTOURN_2015","LongestPutts_ROUND_2015","LongestPutts_HOLE_2015","stat_name","year"
1,1,"Chad Campbell",97,NA,NA,2,17,"LongestPutts",2015
2,2,"Justin Thomas",106,NA,NA,4,14,"LongestPutts",2015
3,3,"Michael Thompson",83,NA,NA,1,17,"LongestPutts",2015
4,4,"Trevor Immelman",48,NA,NA,3,1,"LongestPutts",2015
5,5,"Rickie Fowler",76,NA,NA,2,3,"LongestPutts",2015
6,6,"John Huh",102,NA,NA,1,6,"LongestPutts",2015
7,7,"Brandt Snedeker",98,NA,NA,4,18,"LongestPutts",2015
8,8,"Matt Jones",89,NA,NA,3,17,"LongestPutts",2015
9,9,"Zac Blair",108,NA,NA,3,12,"LongestPutts",2015
10,10,"Scott Langley",94,NA,NA,2,11,"LongestPutts",2015
11,11,"Danny Willett",37,NA,NA,1,14,"LongestPutts",2015
12,12,"Derek Ernst",75,NA,NA,3,14,"LongestPutts",2015
13,13,"Russell Henley",87,NA,NA,2,7,"LongestPutts",2015
14,14,"Cameron Percy",72,NA,NA,2,17,"LongestPutts",2015
15,15,"Vijay Singh",78,NA,NA,2,7,"LongestPutts",2015
16,16,"Kyle Stanley",41,NA,NA,1,14,"LongestPutts",2015
17,17,"Andres Gonzales",90,NA,NA,2,1,"LongestPutts",2015
20,20,"Chesson Hadley",101,NA,NA,3,2,"LongestPutts",2015
22,22,"Kevin Kisner",104,NA,NA,2,7,"LongestPutts",2015
23,23,"Charley Hoffman",97,NA,NA,2,13,"LongestPutts",2015
23,24,"Gary Woodland",81,NA,NA,1,6,"LongestPutts",2015
25,25,"Ben Martin",93,NA,NA,1,3,"LongestPutts",2015
26,26,"Hunter Mahan",88,NA,NA,1,12,"LongestPutts",2015
27,27,"Kevin Tway",4,NA,NA,2,8,"LongestPutts",2015
28,28,"DJ Trahan",18,NA,NA,4,13,"LongestPutts",2015
29,29,"Mark Hubbard",79,NA,NA,1,4,"LongestPutts",2015
30,30,"Scott Pinckney",88,NA,NA,4,9,"LongestPutts",2015
31,31,"Paul Casey",87,NA,NA,1,1,"LongestPutts",2015
32,32,"Blake Adams",33,NA,NA,2,1,"LongestPutts",2015
33,33,"Bill Haas",89,NA,NA,2,18,"LongestPutts",2015
34,34,"John Merrick",78,NA,NA,1,16,"LongestPutts",2015
34,35,"Tom Hoge",83,NA,NA,2,10,"LongestPutts",2015
36,36,"Luke Donald",71,NA,NA,4,1,"LongestPutts",2015
37,38,"Adam Scott",51,NA,NA,4,7,"LongestPutts",2015
37,37,"Chad Collins",79,NA,NA,2,13,"LongestPutts",2015
39,39,"Jason Dufner",76,NA,NA,1,6,"LongestPutts",2015
40,40,"Hideki Matsuyama",95,NA,NA,2,18,"LongestPutts",2015
42,43,"Sergio Garcia",59,NA,NA,2,9,"LongestPutts",2015
42,42,"Chez Reavie",56,NA,NA,2,9,"LongestPutts",2015
44,45,"Austin Cook",26,NA,NA,3,13,"LongestPutts",2015
46,46,"Dustin Johnson",75,NA,NA,4,10,"LongestPutts",2015
48,48,"Jerry Kelly",79,NA,NA,2,10,"LongestPutts",2015
48,49,"Scott Piercy",90,NA,NA,2,18,"LongestPutts",2015
51,52,"Charles Howell III",105,NA,NA,3,3,"LongestPutts",2015
51,51,"Danie van Tonder",4,NA,NA,3,4,"LongestPutts",2015
54,54,"John Daly",26,NA,NA,4,7,"LongestPutts",2015
55,55,"Michael Putnam",87,NA,NA,2,13,"LongestPutts",2015
56,59,"David Toms",62,NA,NA,3,16,"LongestPutts",2015
56,56,"Tim Clark",42,NA,NA,1,2,"LongestPutts",2015
56,57,"Jonas Blixt",78,NA,NA,4,6,"LongestPutts",2015
56,58,"Kyle Reifers",96,NA,NA,2,8,"LongestPutts",2015
56,60,"Will Wilcox",58,NA,NA,3,16,"LongestPutts",2015
62,62,"Josh Teater",33,NA,NA,4,2,"LongestPutts",2015
63,63,"Freddie Jacobson",48,NA,NA,4,5,"LongestPutts",2015
64,64,"Brian Harman",90,NA,NA,3,2,"LongestPutts",2015
65,67,"Mark Wilson",89,NA,NA,1,5,"LongestPutts",2015
65,66,"KJ Choi",66,NA,NA,4,3,"LongestPutts",2015
71,71,"Chris DiMarco",8,NA,NA,2,7,"LongestPutts",2015
71,72,"Brendan Steele",88,NA,NA,4,5,"LongestPutts",2015
73,73,"Patrick Reed",103,NA,NA,3,1,"LongestPutts",2015
74,74,"Aaron Baddeley",76,NA,NA,2,10,"LongestPutts",2015
76,76,"Bill Lunde",50,NA,NA,1,7,"LongestPutts",2015
77,77,"Arjun Atwal",22,NA,NA,2,8,"LongestPutts",2015
80,80,"Brendon de Jonge",106,NA,NA,4,16,"LongestPutts",2015
83,84,"Steve Stricker",32,NA,NA,2,6,"LongestPutts",2015
83,85,"Stewart Cink",77,NA,NA,2,15,"LongestPutts",2015
83,83,"Angel Cabrera",53,NA,NA,1,18,"LongestPutts",2015
86,87,"Spencer Levin",99,NA,NA,4,15,"LongestPutts",2015
89,90,"Jimmy Walker",89,NA,NA,4,4,"LongestPutts",2015
91,91,"Carlos Ortiz",100,NA,NA,1,3,"LongestPutts",2015
92,92,"Alex Cejka",94,NA,NA,2,15,"LongestPutts",2015
92,93,"Andres Romero",69,NA,NA,4,4,"LongestPutts",2015
95,95,"Henrik Stenson",63,NA,NA,4,18,"LongestPutts",2015
96,97,"Nicholas Thompson",90,NA,NA,4,14,"LongestPutts",2015
98,98,"Tony Finau",106,NA,NA,2,4,"LongestPutts",2015
100,100,"Nick Taylor",91,NA,NA,1,7,"LongestPutts",2015
101,101,"Ernie Els",57,NA,NA,1,15,"LongestPutts",2015
102,103,"DA Points",72,NA,NA,1,6,"LongestPutts",2015
102,104,"Brendon Todd",96,NA,NA,1,5,"LongestPutts",2015
102,102,"James Hahn",94,NA,NA,4,16,"LongestPutts",2015
105,105,"Ken Duke",93,NA,NA,1,14,"LongestPutts",2015
106,106,"Harrison Frazar",20,NA,NA,2,9,"LongestPutts",2015
107,107,"Justin Leonard",61,NA,NA,1,6,"LongestPutts",2015
107,111,"Brian Stuard",97,NA,NA,1,11,"LongestPutts",2015
113,113,"Luke Guthrie",84,NA,NA,2,17,"LongestPutts",2015
114,114,"Carl Pettersson",106,NA,NA,1,14,"LongestPutts",2015
115,115,"Kevin Na",98,NA,NA,3,15,"LongestPutts",2015
116,116,"Hudson Swafford",97,NA,NA,1,13,"LongestPutts",2015
117,117,"Byron Smith",59,NA,NA,2,7,"LongestPutts",2015
117,119,"Martin Flores",95,NA,NA,2,18,"LongestPutts",2015
117,120,"John Peterson",84,NA,NA,2,10,"LongestPutts",2015
121,122,"Sean OHair",86,NA,NA,1,11,"LongestPutts",2015
123,123,"Jon Rahm",10,NA,NA,1,11,"LongestPutts",2015
124,124,"Camilo Villegas",83,NA,NA,1,13,"LongestPutts",2015
124,125,"Scott Brown",97,NA,NA,1,15,"LongestPutts",2015
127,127,"Jhonattan Vegas",90,NA,NA,3,10,"LongestPutts",2015
128,128,"Sam Saunders",83,NA,NA,1,14,"LongestPutts",2015
130,131,"Bubba Watson",71,NA,NA,4,3,"LongestPutts",2015
130,130,"Louis Oosthuizen",68,NA,NA,4,11,"LongestPutts",2015
132,132,"Matt Kuchar",97,NA,NA,1,15,"LongestPutts",2015
133,133,"Ben Crane",62,NA,NA,4,14,"LongestPutts",2015
133,134,"Robert Streb",110,NA,NA,1,5,"LongestPutts",2015
135,136,"Pat Perez",96,NA,NA,3,7,"LongestPutts",2015
135,137,"Kevin Chappell",86,NA,NA,3,3,"LongestPutts",2015
138,139,"Jason Kokrak",88,NA,NA,1,15,"LongestPutts",2015
140,140,"Graeme McDowell",43,NA,NA,1,3,"LongestPutts",2015
141,141,"Andrew Putnam",68,NA,NA,1,16,"LongestPutts",2015
148,149,"Cameron Smith",43,NA,NA,4,18,"LongestPutts",2015
153,153,"Geoff Ogilvy",50,NA,NA,2,7,"LongestPutts",2015
153,154,"Webb Simpson",81,NA,NA,4,13,"LongestPutts",2015
155,155,"Nick Cullen",4,NA,NA,2,15,"LongestPutts",2015
160,162,"Jin Park",4,NA,NA,2,3,"LongestPutts",2015
160,164,"Charlie Beljan",76,NA,NA,2,11,"LongestPutts",2015
166,167,"Brooks Koepka",84,NA,NA,1,15,"LongestPutts",2015
170,170,"Chris Stroud",84,NA,NA,2,11,"LongestPutts",2015
172,173,"Jim Furyk",71,NA,NA,1,10,"LongestPutts",2015
172,174,"Rory Sabbatini",81,NA,NA,2,5,"LongestPutts",2015
175,176,"Shawn Stefani",94,NA,NA,1,13,"LongestPutts",2015
175,175,"Daniel Berger",97,NA,NA,1,6,"LongestPutts",2015
177,179,"Marc Warren",33,NA,NA,2,18,"LongestPutts",2015
177,178,"Ryo Ishikawa",90,NA,NA,1,14,"LongestPutts",2015
180,181,"Jason Bohn",95,NA,NA,2,12,"LongestPutts",2015
180,183,"Branden Grace",48,NA,NA,3,9,"LongestPutts",2015
180,180,"Derek Fathauer",81,NA,NA,2,2,"LongestPutts",2015
184,187,"George McNeill",93,NA,NA,2,1,"LongestPutts",2015
192,193,"Fabian Gomez",83,NA,NA,1,16,"LongestPutts",2015
192,192,"Garrett Osborn",10,NA,NA,1,4,"LongestPutts",2015
194,194,"Scott Verplank",29,NA,NA,1,18,"LongestPutts",2015
194,196,"Johnson Wagner",68,NA,NA,3,1,"LongestPutts",2015
194,197,"Matt Every",73,NA,NA,1,5,"LongestPutts",2015
198,198,"Ricky Barnes",82,NA,NA,1,4,"LongestPutts",2015
