"OfficialWorldGolfRanking_RANKTHISWEEK_2014","OfficialWorldGolfRanking_RANKLASTWEEK_2014","OfficialWorldGolfRanking_PLAYERNAME_2014","OfficialWorldGolfRanking_EVENTS_2014","OfficialWorldGolfRanking_AVGPOINTS_2014","OfficialWorldGolfRanking_TOTALPOINTS_2014","OfficialWorldGolfRanking_POINTSLOST_2014","OfficialWorldGolfRanking_POINTSGAINED_2014","OfficialWorldGolfRanking_COUNTRY_2014","stat_name","year"
1,1,"Rory McIlroy",51,11.7,596.6,-262.71,540.87,NA,"OfficialWorldGolfRanking",2014
2,2,"Adam Scott",41,8.84,362.45,-241.99,211.01,NA,"OfficialWorldGolfRanking",2014
3,3,"Sergio Garcia",48,7.66,367.6,-178.7,281,NA,"OfficialWorldGolfRanking",2014
4,4,"Jim Furyk",46,7.52,345.92,-152.45,280.17,NA,"OfficialWorldGolfRanking",2014
5,5,"Henrik Stenson",52,7.33,381.41,-250.17,156.06,NA,"OfficialWorldGolfRanking",2014
6,6,"Justin Rose",50,7.12,355.78,-242.37,225.65,NA,"OfficialWorldGolfRanking",2014
7,7,"Bubba Watson",47,6.98,327.83,-156.21,321.71,NA,"OfficialWorldGolfRanking",2014
8,8,"Jason Day",41,6.72,275.7,-147.28,190.33,NA,"OfficialWorldGolfRanking",2014
9,9,"Matt Kuchar",52,6.28,326.65,-217.24,224.33,NA,"OfficialWorldGolfRanking",2014
10,10,"Rickie Fowler",52,5.78,300.38,-100.63,267.89,NA,"OfficialWorldGolfRanking",2014
11,11,"Phil Mickelson",47,5.59,262.79,-220.34,137.21,NA,"OfficialWorldGolfRanking",2014
12,12,"Martin Kaymer",52,5.06,262.88,-104.37,231.51,NA,"OfficialWorldGolfRanking",2014
13,14,"Billy Horschel",52,4.99,259.33,-85.94,209.42,NA,"OfficialWorldGolfRanking",2014
14,13,"Jordan Spieth",52,4.98,258.77,-112.05,204.77,NA,"OfficialWorldGolfRanking",2014
15,17,"Dustin Johnson",44,4.68,205.73,-162.07,137.25,NA,"OfficialWorldGolfRanking",2014
16,15,"Zach Johnson",52,4.66,242.12,-179.32,138.21,NA,"OfficialWorldGolfRanking",2014
17,16,"Tiger Woods",40,4.57,182.88,-303.17,6.57,NA,"OfficialWorldGolfRanking",2014
18,18,"Graeme McDowell",48,4.46,213.96,-174.09,127.73,NA,"OfficialWorldGolfRanking",2014
