"DrivingDistanceAllDrives_RANKTHISWEEK_2011","DrivingDistanceAllDrives_RANKLASTWEEK_2011","DrivingDistanceAllDrives_PLAYERNAME_2011","DrivingDistanceAllDrives_ROUNDS_2011","DrivingDistanceAllDrives_ALLDRIVES_2011","DrivingDistanceAllDrives_TOTALDISTANCE_2011","DrivingDistanceAllDrives_OFDRIVES_2011","stat_name","year"
1,1,"JB Holmes",57,306,201374,658,"DrivingDistanceAllDrives",2011
2,2,"Dustin Johnson",72,302.1,229594,760,"DrivingDistanceAllDrives",2011
2,2,"Bubba Watson",85,302.1,249198,825,"DrivingDistanceAllDrives",2011
4,4,"Robert Garrigus",83,299.9,290316,968,"DrivingDistanceAllDrives",2011
5,5,"Gary Woodland",93,297.4,289627,974,"DrivingDistanceAllDrives",2011
6,6,"Steven Bowditch",86,295.6,321568,1088,"DrivingDistanceAllDrives",2011
7,7,"Jhonattan Vegas",84,295.2,288710,978,"DrivingDistanceAllDrives",2011
8,8,"Charley Hoffman",93,293.3,303541,1035,"DrivingDistanceAllDrives",2011
9,9,"Phil Mickelson",79,293.1,237970,812,"DrivingDistanceAllDrives",2011
10,10,"Harrison Frazar",58,292.8,170999,584,"DrivingDistanceAllDrives",2011
11,11,"Martin Laird",77,292.7,252277,862,"DrivingDistanceAllDrives",2011
12,12,"Scott Stallings",84,292.6,281155,961,"DrivingDistanceAllDrives",2011
13,13,"Scott Piercy",78,292.5,257957,882,"DrivingDistanceAllDrives",2011
14,14,"Tag Ridings",87,292.3,301990,1033,"DrivingDistanceAllDrives",2011
15,15,"Angel Cabrera",50,292.2,143162,490,"DrivingDistanceAllDrives",2011
16,16,"Alex Prugh",82,292,289415,991,"DrivingDistanceAllDrives",2011
17,17,"Nick Watney",80,291.9,252239,864,"DrivingDistanceAllDrives",2011
18,18,"Adam Scott",60,291.1,184549,634,"DrivingDistanceAllDrives",2011
18,18,"Kyle Stanley",98,291.1,324861,1116,"DrivingDistanceAllDrives",2011
20,20,"Will Strickler",51,291,175195,602,"DrivingDistanceAllDrives",2011
20,20,"Josh Teater",104,291,373893,1285,"DrivingDistanceAllDrives",2011
22,22,"Troy Matteson",91,290.7,328156,1129,"DrivingDistanceAllDrives",2011
23,23,"Ryan Palmer",82,290.2,243158,838,"DrivingDistanceAllDrives",2011
23,23,"DJ Trahan",91,290.2,336004,1158,"DrivingDistanceAllDrives",2011
25,25,"Sergio Garcia",61,290.1,181590,626,"DrivingDistanceAllDrives",2011
26,26,"Keegan Bradley",91,289.6,311062,1074,"DrivingDistanceAllDrives",2011
26,26,"Bill Haas",93,289.6,291934,1008,"DrivingDistanceAllDrives",2011
28,28,"Rickie Fowler",84,289.5,267539,924,"DrivingDistanceAllDrives",2011
29,29,"Jason Day",76,289.4,239067,826,"DrivingDistanceAllDrives",2011
30,30,"Jeff Overton",92,289.3,295058,1020,"DrivingDistanceAllDrives",2011
31,31,"Jim Herman",69,289.1,230672,798,"DrivingDistanceAllDrives",2011
