"Last5EventsShortGame_RANKTHISWEEK_2006","Last5EventsShortGame_RANKLASTWEEK_2006","Last5EventsShortGame_PLAYERNAME_2006","Last5EventsShortGame_EVENTS_2006","Last5EventsShortGame_RATING_2006","stat_name","year"
205,206,"Wes Short Jr",2,5.7,"Last5EventsShortGame",2006
205,206,"Kevin Stadler",4,5.7,"Last5EventsShortGame",2006
205,206,"Scott Sterling",1,5.7,"Last5EventsShortGame",2006
205,206,"Nicholas Thompson",4,5.7,"Last5EventsShortGame",2006
205,206,"Thaworn Wiratchant",1,5.7,"Last5EventsShortGame",2006
218,219,"Kris Cox",2,5.6,"Last5EventsShortGame",2006
218,219,"Scott Gump",1,5.6,"Last5EventsShortGame",2006
218,219,"Todd Hamilton",2,5.6,"Last5EventsShortGame",2006
218,219,"Donnie Hammond",1,5.6,"Last5EventsShortGame",2006
218,219,"Yasuharu Imano",1,5.6,"Last5EventsShortGame",2006
218,219,"Peter Jacobsen",2,5.6,"Last5EventsShortGame",2006
218,219,"Jamie Lovemark",1,5.6,"Last5EventsShortGame",2006
218,219,"Parker McLachlin",2,5.6,"Last5EventsShortGame",2006
218,219,"Sean OHair",4,5.6,"Last5EventsShortGame",2006
218,219,"DA Points",3,5.6,"Last5EventsShortGame",2006
218,219,"Dean Wilson",4,5.6,"Last5EventsShortGame",2006
229,230,"Craig Barlow",2,5.5,"Last5EventsShortGame",2006
229,230,"Henrik Bjornstad",3,5.5,"Last5EventsShortGame",2006
229,230,"Jason Caron",1,5.5,"Last5EventsShortGame",2006
229,230,"Jason Day",2,5.5,"Last5EventsShortGame",2006
229,230,"Robert Gamez",2,5.5,"Last5EventsShortGame",2006
229,230,"Mathew Goggin",1,5.5,"Last5EventsShortGame",2006
229,230,"Nathan Green",4,5.5,"Last5EventsShortGame",2006
229,230,"JP Hayes",3,5.5,"Last5EventsShortGame",2006
229,230,"Peter Lonard",4,5.5,"Last5EventsShortGame",2006
229,230,"Nick OHern",4,5.5,"Last5EventsShortGame",2006
229,230,"Corey Pavin",1,5.5,"Last5EventsShortGame",2006
229,230,"Scott Verplank",3,5.5,"Last5EventsShortGame",2006
241,243,"Jay Delsing",2,5.4,"Last5EventsShortGame",2006
241,243,"Harrison Frazar",4,5.4,"Last5EventsShortGame",2006
241,243,"David Frost",2,5.4,"Last5EventsShortGame",2006
241,243,"Andres Gonzales",1,5.4,"Last5EventsShortGame",2006
241,243,"Hank Kuehne",1,5.4,"Last5EventsShortGame",2006
241,243,"John Mallinger",1,5.4,"Last5EventsShortGame",2006
241,243,"Len Mattiace",2,5.4,"Last5EventsShortGame",2006
241,243,"Shaun Micheel",5,5.4,"Last5EventsShortGame",2006
241,243,"DJ Trahan",2,5.4,"Last5EventsShortGame",2006
241,243,"Tjaart van der Walt",2,5.4,"Last5EventsShortGame",2006
241,243,"Mike Weir",2,5.4,"Last5EventsShortGame",2006
252,254,"Guy Boros",1,5.3,"Last5EventsShortGame",2006
252,254,"Bob Estes",3,5.3,"Last5EventsShortGame",2006
252,254,"Bill Glasson",2,5.3,"Last5EventsShortGame",2006
252,254,"Brandt Jobe",3,5.3,"Last5EventsShortGame",2006
252,254,"Robert Karlsson",3,5.3,"Last5EventsShortGame",2006
252,254,"Jonathan Kaye",1,5.3,"Last5EventsShortGame",2006
252,254,"Ian Leggatt",2,5.3,"Last5EventsShortGame",2006
252,254,"Blaine McCallister",1,5.3,"Last5EventsShortGame",2006
252,254,"Yusaku Miyazato",1,5.3,"Last5EventsShortGame",2006
252,254,"Colin Montgomerie",1,5.3,"Last5EventsShortGame",2006
252,254,"David Peoples",1,5.3,"Last5EventsShortGame",2006
252,254,"Ted Purdy",3,5.3,"Last5EventsShortGame",2006
252,254,"Chris Smith",4,5.3,"Last5EventsShortGame",2006
252,254,"Ted Tryba",1,5.3,"Last5EventsShortGame",2006
252,254,"Bob Tway",3,5.3,"Last5EventsShortGame",2006
267,269,"Gabriel Hjertstedt",2,5.2,"Last5EventsShortGame",2006
268,270,"James McLean",1,5.1,"Last5EventsShortGame",2006
268,270,"Bubba Watson",4,5.1,"Last5EventsShortGame",2006
270,272,"Mathias Gronberg",2,5,"Last5EventsShortGame",2006
270,272,"Tetsuji Hiratsuka",1,5,"Last5EventsShortGame",2006
270,272,"Zach Johnson",3,5,"Last5EventsShortGame",2006
270,272,"Jerry Kelly",2,5,"Last5EventsShortGame",2006
270,272,"Greg Kraft",4,5,"Last5EventsShortGame",2006
270,272,"Spencer Levin",1,5,"Last5EventsShortGame",2006
270,272,"Daisuke Maruyama",3,5,"Last5EventsShortGame",2006
270,272,"Dicky Pride",3,5,"Last5EventsShortGame",2006
270,272,"Chris Starkjohann",2,5,"Last5EventsShortGame",2006
270,272,"Ron Whittaker",4,5,"Last5EventsShortGame",2006
270,197,"Tiger Woods",2,5,"Last5EventsShortGame",2006
281,282,"Dan Forsman",1,4.9,"Last5EventsShortGame",2006
281,282,"Skip Kendall",2,4.9,"Last5EventsShortGame",2006
281,282,"John Rollins",5,4.9,"Last5EventsShortGame",2006
284,285,"Gregory Bourdy",1,4.8,"Last5EventsShortGame",2006
284,285,"Paul McGinley",1,4.8,"Last5EventsShortGame",2006
284,285,"Duffy Waldorf",3,4.8,"Last5EventsShortGame",2006
284,285,"Kaname Yokoo",1,4.8,"Last5EventsShortGame",2006
288,289,"James Driscoll",1,4.7,"Last5EventsShortGame",2006
288,289,"Jesper Parnevik",3,4.7,"Last5EventsShortGame",2006
288,289,"Chris Riley",1,4.7,"Last5EventsShortGame",2006
288,289,"Don Yrene",1,4.7,"Last5EventsShortGame",2006
292,293,"Lee Janzen",2,4.6,"Last5EventsShortGame",2006
293,294,"Chris Parra",1,4.5,"Last5EventsShortGame",2006
293,294,"Craig Stadler",2,4.5,"Last5EventsShortGame",2006
295,296,"Phil Schmitt",1,4.4,"Last5EventsShortGame",2006
296,297,"Stephen Dodd",1,4.3,"Last5EventsShortGame",2006
296,297,"Scott Dunlap",1,4.3,"Last5EventsShortGame",2006
298,299,"Alex Cejka",2,4.2,"Last5EventsShortGame",2006
298,299,"Phil Mickelson",2,4.2,"Last5EventsShortGame",2006
298,299,"Patrick Sheehan",2,4.2,"Last5EventsShortGame",2006
301,302,"Scott McCarron",2,4.1,"Last5EventsShortGame",2006
302,303,"Gary Hallberg",1,4,"Last5EventsShortGame",2006
303,304,"Camilo Villegas",1,3.9,"Last5EventsShortGame",2006
304,305,"Pat Perez",1,3.8,"Last5EventsShortGame",2006
305,306,"Miguel Angel Jimenez",1,3.5,"Last5EventsShortGame",2006
306,307,"Joey Sindelar",1,3.3,"Last5EventsShortGame",2006
307,308,"Steven Bowditch",1,3.2,"Last5EventsShortGame",2006
308,309,"Bob Burns",1,3,"Last5EventsShortGame",2006
308,309,"Brad Lardon",1,3,"Last5EventsShortGame",2006
308,309,"Anthony Wall",1,3,"Last5EventsShortGame",2006
311,312,"Danny Ellis",1,2.8,"Last5EventsShortGame",2006
312,313,"Tatsuhiko Takahashi",1,2.5,"Last5EventsShortGame",2006
313,314,"Jeff Maggert",1,2.3,"Last5EventsShortGame",2006
313,314,"Toru Taniguchi",1,2.3,"Last5EventsShortGame",2006
315,316,"Hidemichi Tanaka",1,2,"Last5EventsShortGame",2006
316,317,"Hideto Tanihara",1,1.5,"Last5EventsShortGame",2006
