"HitFairwayPercentage_RANKTHISWEEK_2006","HitFairwayPercentage_RANKLASTWEEK_2006","HitFairwayPercentage_PLAYERNAME_2006","HitFairwayPercentage_ROUNDS_2006","HitFairwayPercentage_Pct_2006","HitFairwayPercentage_FAIRWAYSHIT_2006","HitFairwayPercentage_POSSIBLEFAIRWAYS_2006","HitFairwayPercentage_RELATIVETOPAR_2006","stat_name","year"
1,1,"Fred Funk",106,78.55,996,1268,-0.13,"HitFairwayPercentage",2006
2,2,"Joe Durant",101,78.43,1102,1405,-0.13,"HitFairwayPercentage",2006
3,3,"Scott Verplank",88,75.46,775,1027,-0.16,"HitFairwayPercentage",2006
4,4,"Jim Furyk",89,75.07,759,1011,-0.23,"HitFairwayPercentage",2006
5,5,"Heath Slocum",96,74.82,930,1243,-0.13,"HitFairwayPercentage",2006
6,6,"Larry Mize",53,74.58,487,653,-0.09,"HitFairwayPercentage",2006
7,7,"Omar Uresti",61,74.42,611,821,-0.11,"HitFairwayPercentage",2006
8,8,"Steve Elkington",52,74.01,504,681,-0.12,"HitFairwayPercentage",2006
9,9,"Olin Browne",108,73.86,972,1316,-0.13,"HitFairwayPercentage",2006
10,10,"Bart Bryant",87,73.55,762,1036,-0.13,"HitFairwayPercentage",2006
11,11,"Paul Goydos",72,73.4,734,1000,-0.11,"HitFairwayPercentage",2006
12,12,"Skip Kendall",72,73.39,695,947,-0.14,"HitFairwayPercentage",2006
13,13,"Kirk Triplett",58,73.21,552,754,-0.08,"HitFairwayPercentage",2006
14,14,"Ian Poulter",53,72.62,427,588,-0.18,"HitFairwayPercentage",2006
15,15,"Daisuke Maruyama",83,71.93,792,1101,-0.16,"HitFairwayPercentage",2006
16,16,"Jeff Maggert",81,71.89,752,1046,-0.11,"HitFairwayPercentage",2006
17,17,"Briny Baird",81,71.85,771,1073,-0.14,"HitFairwayPercentage",2006
18,18,"Chris Riley",86,70.97,770,1085,-0.14,"HitFairwayPercentage",2006
19,19,"John Cook",67,70.94,620,874,-0.15,"HitFairwayPercentage",2006
20,20,"Billy Mayfair",94,70.59,828,1173,-0.12,"HitFairwayPercentage",2006
21,21,"Greg Kraft",79,70.56,719,1019,-0.1,"HitFairwayPercentage",2006
22,22,"Brian Davis",92,70.22,882,1256,-0.12,"HitFairwayPercentage",2006
22,22,"Zach Johnson",98,70.22,764,1088,-0.19,"HitFairwayPercentage",2006
24,24,"Jerry Kelly",100,70.16,898,1280,-0.18,"HitFairwayPercentage",2006
25,25,"Mark Brooks",90,70.1,830,1184,-0.09,"HitFairwayPercentage",2006
26,26,"Tjaart van der Walt",60,70.06,557,795,-0.12,"HitFairwayPercentage",2006
27,27,"Robert Allenby",79,69.95,596,852,-0.18,"HitFairwayPercentage",2006
28,28,"Robert Gamez",94,69.94,898,1284,-0.12,"HitFairwayPercentage",2006
29,29,"David Toms",76,69.84,609,872,-0.16,"HitFairwayPercentage",2006
30,30,"Jerry Smith",94,69.73,894,1282,-0.15,"HitFairwayPercentage",2006
31,31,"Kenny Perry",73,69.59,604,868,-0.13,"HitFairwayPercentage",2006
32,32,"Brian Gay",107,68.95,1026,1488,-0.18,"HitFairwayPercentage",2006
33,33,"Corey Pavin",74,68.76,612,890,-0.1,"HitFairwayPercentage",2006
34,34,"Hunter Mahan",98,68.71,898,1307,-0.16,"HitFairwayPercentage",2006
35,35,"David Branshaw",98,68.67,936,1363,-0.19,"HitFairwayPercentage",2006
36,36,"Duffy Waldorf",96,68.64,858,1250,-0.12,"HitFairwayPercentage",2006
37,37,"Ron Whittaker",81,68.57,755,1101,-0.12,"HitFairwayPercentage",2006
38,38,"Kent Jones",103,68.4,922,1348,-0.18,"HitFairwayPercentage",2006
39,39,"Richard Johnson",94,68.31,873,1278,-0.16,"HitFairwayPercentage",2006
40,40,"Justin Leonard",83,68.18,677,993,-0.13,"HitFairwayPercentage",2006
41,41,"Steve Stricker",64,67.91,510,751,-0.23,"HitFairwayPercentage",2006
42,42,"Shane Bertsch",104,67.7,960,1418,-0.15,"HitFairwayPercentage",2006
43,43,"Doug Barron",74,67.68,689,1018,-0.12,"HitFairwayPercentage",2006
44,44,"Ryan Moore",68,67.61,576,852,-0.16,"HitFairwayPercentage",2006
45,45,"David McKenzie",82,67.59,753,1114,-0.18,"HitFairwayPercentage",2006
45,45,"Nicholas Thompson",96,67.59,857,1268,-0.1,"HitFairwayPercentage",2006
47,47,"Luke Donald",66,67.58,444,657,-0.24,"HitFairwayPercentage",2006
48,48,"JP Hayes",55,67.41,517,767,-0.18,"HitFairwayPercentage",2006
49,49,"Tommy Armour III",65,67.38,570,846,-0.07,"HitFairwayPercentage",2006
50,50,"Brent Geiberger",99,67.33,911,1353,-0.16,"HitFairwayPercentage",2006
51,51,"Jason Bohn",104,67.23,919,1367,-0.16,"HitFairwayPercentage",2006
51,51,"Mark Wilson",79,67.23,712,1059,-0.18,"HitFairwayPercentage",2006
53,53,"Frank Lickliter II",99,66.91,902,1348,-0.2,"HitFairwayPercentage",2006
54,54,"Ben Curtis",86,66.77,671,1005,-0.14,"HitFairwayPercentage",2006
55,55,"Tim Clark",80,66.7,603,904,-0.16,"HitFairwayPercentage",2006
56,56,"Greg Owen",79,66.57,659,990,-0.18,"HitFairwayPercentage",2006
57,57,"Steve Jones",83,66.45,723,1088,-0.12,"HitFairwayPercentage",2006
58,58,"Joey Sindelar",90,66.44,778,1171,-0.14,"HitFairwayPercentage",2006
59,59,"Alex Cejka",93,66.4,842,1268,-0.17,"HitFairwayPercentage",2006
60,60,"Padraig Harrington",54,66.35,353,532,-0.21,"HitFairwayPercentage",2006
61,61,"Jeff Brehaut",100,66.32,886,1336,-0.14,"HitFairwayPercentage",2006
62,62,"Chris Smith",67,66.13,617,933,-0.14,"HitFairwayPercentage",2006
63,63,"Steve Flesch",119,66.09,1023,1548,-0.17,"HitFairwayPercentage",2006
64,64,"Ben Crane",85,66,627,950,-0.17,"HitFairwayPercentage",2006
64,64,"Ted Purdy",103,66,821,1244,-0.17,"HitFairwayPercentage",2006
