"StrokesGainedTotal_RANKTHISWEEK_2014","StrokesGainedTotal_RANKLASTWEEK_2014","StrokesGainedTotal_PLAYERNAME_2014","StrokesGainedTotal_ROUNDS_2014","StrokesGainedTotal_AVERAGE_2014","StrokesGainedTotal_TOTALSGT_2014","StrokesGainedTotal_TOTALSGT2G_2014","StrokesGainedTotal_TOTALSGP_2014","StrokesGainedTotal_MEASUREDROUNDS_2014","stat_name","year"
1,1,"Rory McIlroy",66,2.266,108.746,95.596,13.15,48,"StrokesGainedTotal",2014
2,2,"Sergio Garcia",61,1.984,79.369,72.707,6.662,40,"StrokesGainedTotal",2014
3,3,"Jim Furyk",84,1.796,118.54,112.517,6.024,66,"StrokesGainedTotal",2014
4,4,"Adam Scott",68,1.72,96.308,84.001,12.309,56,"StrokesGainedTotal",2014
5,5,"Matt Kuchar",91,1.573,119.574,84.859,34.717,76,"StrokesGainedTotal",2014
6,6,"Justin Rose",70,1.466,76.256,78.322,-2.062,52,"StrokesGainedTotal",2014
7,7,"Jason Day",54,1.389,45.849,35.398,10.451,33,"StrokesGainedTotal",2014
8,8,"Bubba Watson",76,1.352,75.695,78.51,-2.812,56,"StrokesGainedTotal",2014
9,9,"Charl Schwartzel",64,1.341,72.436,69.444,2.994,54,"StrokesGainedTotal",2014
10,10,"Dustin Johnson",58,1.331,54.553,51.193,3.362,41,"StrokesGainedTotal",2014
11,11,"Ryan Palmer",85,1.265,84.769,65.041,19.733,67,"StrokesGainedTotal",2014
12,12,"Jimmy Walker",98,1.253,91.491,56.508,34.989,73,"StrokesGainedTotal",2014
13,13,"Graeme McDowell",66,1.171,53.881,13.29,40.589,46,"StrokesGainedTotal",2014
14,14,"Graham DeLaet",80,1.168,74.753,80.741,-5.982,64,"StrokesGainedTotal",2014
15,15,"Hideki Matsuyama",82,1.152,73.751,98.883,-25.129,64,"StrokesGainedTotal",2014
16,16,"Bill Haas",107,1.09,89.418,77.36,12.063,82,"StrokesGainedTotal",2014
17,17,"Paul Casey",56,1.008,44.336,31.892,12.446,44,"StrokesGainedTotal",2014
18,18,"Keegan Bradley",89,0.994,66.589,49.587,17.003,67,"StrokesGainedTotal",2014
19,19,"Henrik Stenson",56,0.992,37.693,44.141,-6.447,38,"StrokesGainedTotal",2014
20,20,"Jordan Spieth",102,0.98,77.4,45.885,31.52,79,"StrokesGainedTotal",2014
21,21,"Brooks Koepka",56,0.958,40.255,33.472,6.783,42,"StrokesGainedTotal",2014
22,22,"Charley Hoffman",93,0.956,72.688,52.502,20.191,76,"StrokesGainedTotal",2014
23,23,"Kevin Na",94,0.954,74.378,49.791,24.589,78,"StrokesGainedTotal",2014
24,24,"Jason Kokrak",65,0.908,55.384,41.851,13.532,61,"StrokesGainedTotal",2014
25,25,"Gary Woodland",93,0.9,65.73,76.581,-10.847,73,"StrokesGainedTotal",2014
26,26,"Webb Simpson",87,0.88,65.133,42.933,22.203,74,"StrokesGainedTotal",2014
27,27,"Phil Mickelson",71,0.868,43.419,31.697,11.722,50,"StrokesGainedTotal",2014
28,28,"Chris Kirk",105,0.862,74.138,42.014,32.127,86,"StrokesGainedTotal",2014
29,29,"Zach Johnson",97,0.857,72.001,63.114,8.889,84,"StrokesGainedTotal",2014
30,30,"Ryan Moore",86,0.836,51.844,49.218,2.629,62,"StrokesGainedTotal",2014
31,31,"Russell Knox",92,0.822,68.253,77.881,-9.627,83,"StrokesGainedTotal",2014
32,32,"John Senden",99,0.805,65.177,26.594,38.587,81,"StrokesGainedTotal",2014
33,33,"George McNeill",79,0.799,55.92,36.968,18.955,70,"StrokesGainedTotal",2014
34,34,"Brendon Todd",108,0.793,72.207,11.781,60.431,91,"StrokesGainedTotal",2014
35,35,"Rickie Fowler",91,0.769,47.703,29.729,17.976,62,"StrokesGainedTotal",2014
36,36,"Charles Howell III",106,0.755,71.686,68.141,3.549,95,"StrokesGainedTotal",2014
37,37,"Marc Leishman",81,0.749,51.681,52.826,-1.14,69,"StrokesGainedTotal",2014
38,38,"Billy Horschel",92,0.738,50.919,35.712,15.21,69,"StrokesGainedTotal",2014
39,39,"Kevin Chappell",100,0.692,60.194,84.364,-24.167,87,"StrokesGainedTotal",2014
40,40,"Luke Donald",57,0.69,30.361,7.628,22.733,44,"StrokesGainedTotal",2014
41,41,"Harris English",95,0.677,50.126,52.223,-2.092,74,"StrokesGainedTotal",2014
42,42,"Daniel Summerhays",98,0.675,59.422,16.152,43.275,88,"StrokesGainedTotal",2014
43,43,"Cameron Tringale",111,0.668,65.428,54.924,10.507,98,"StrokesGainedTotal",2014
44,44,"Lee Westwood",57,0.646,27.796,21.287,6.509,43,"StrokesGainedTotal",2014
45,45,"Brandt Snedeker",89,0.644,42.505,20.967,21.541,66,"StrokesGainedTotal",2014
46,46,"Nick Watney",80,0.613,34.303,38.498,-4.191,56,"StrokesGainedTotal",2014
47,47,"Jerry Kelly",80,0.527,34.784,19.033,15.752,66,"StrokesGainedTotal",2014
48,48,"Jason Dufner",57,0.522,21.916,46.128,-24.208,42,"StrokesGainedTotal",2014
49,49,"Hunter Mahan",88,0.52,37.461,22.576,14.888,72,"StrokesGainedTotal",2014
50,50,"Brendan Steele",89,0.519,36.317,27.856,8.462,70,"StrokesGainedTotal",2014
51,51,"Brian Harman",111,0.515,52.053,40.657,11.399,101,"StrokesGainedTotal",2014
52,52,"Matt Every",85,0.497,32.337,-15.331,47.669,65,"StrokesGainedTotal",2014
53,53,"Ernie Els",85,0.483,30.434,41.192,-10.756,63,"StrokesGainedTotal",2014
