"RightRoughTendency_RANKTHISWEEK_2015","RightRoughTendency_RANKLASTWEEK_2015","RightRoughTendency_PLAYERNAME_2015","RightRoughTendency_ROUNDS_2015","RightRoughTendency_Pct_2015","RightRoughTendency_TOTALRIGHTROUGH_2015","RightRoughTendency_POSSIBLEFWYS_2015","RightRoughTendency_RELATIVETOPAR_2015","stat_name","year"
1,1,"Francesco Molinari",56,9.08,54,595,0,"RightRoughTendency",2015
2,2,"Robert Allenby",63,9.19,65,707,0.09,"RightRoughTendency",2015
2,2,"Justin Leonard",61,9.19,69,751,0.22,"RightRoughTendency",2015
4,4,"Zach Johnson",90,9.93,97,977,0.02,"RightRoughTendency",2015
5,5,"Henrik Stenson",63,10.51,64,609,0,"RightRoughTendency",2015
6,6,"Russell Henley",87,10.72,100,933,0.01,"RightRoughTendency",2015
7,7,"Spencer Levin",99,10.74,124,1155,0.23,"RightRoughTendency",2015
8,8,"Jerry Kelly",79,11.2,103,920,0.07,"RightRoughTendency",2015
9,9,"Danny Lee",120,11.26,156,1385,0.07,"RightRoughTendency",2015
10,10,"William McGirt",103,11.39,154,1352,0.13,"RightRoughTendency",2015
11,11,"Ben Crane",62,11.51,83,721,0.12,"RightRoughTendency",2015
12,12,"Roberto Castro",54,11.58,58,501,0.1,"RightRoughTendency",2015
13,13,"Matt Kuchar",97,11.6,124,1069,-0.09,"RightRoughTendency",2015
14,14,"Jon Curran",83,11.65,105,901,0.08,"RightRoughTendency",2015
15,15,"Tim Wilkinson",73,11.69,94,804,0.15,"RightRoughTendency",2015
16,16,"Webb Simpson",81,11.7,104,889,0.03,"RightRoughTendency",2015
17,17,"Chez Reavie",56,11.83,82,693,0.23,"RightRoughTendency",2015
18,18,"Billy Horschel",99,11.91,121,1016,0.07,"RightRoughTendency",2015
19,19,"Brian Stuard",97,11.94,131,1097,0.15,"RightRoughTendency",2015
20,20,"Jason Bohn",95,11.97,145,1211,0.11,"RightRoughTendency",2015
21,21,"Kevin Streelman",95,12.01,122,1016,0.11,"RightRoughTendency",2015
22,22,"Blayne Barber",76,12.03,105,873,-0.03,"RightRoughTendency",2015
23,23,"Brendon Todd",96,12.06,128,1061,0.09,"RightRoughTendency",2015
24,24,"Jason Gore",76,12.1,98,810,0.11,"RightRoughTendency",2015
25,25,"Ryan Moore",81,12.12,103,850,0.17,"RightRoughTendency",2015
26,26,"Brandt Snedeker",98,12.19,127,1042,0.1,"RightRoughTendency",2015
27,27,"Justin Rose",69,12.24,83,678,0.05,"RightRoughTendency",2015
28,28,"John Merrick",78,12.25,99,808,0.14,"RightRoughTendency",2015
29,29,"SJ Park",79,12.26,107,873,0.13,"RightRoughTendency",2015
30,30,"Kevin Kisner",104,12.27,160,1304,0.03,"RightRoughTendency",2015
31,31,"Billy Hurley III",83,12.28,107,871,0.12,"RightRoughTendency",2015
32,32,"David Lingmerth",90,12.33,127,1030,0.09,"RightRoughTendency",2015
33,33,"Graham DeLaet",65,12.6,94,746,0.15,"RightRoughTendency",2015
33,33,"Adam Hadwin",95,12.6,141,1119,0.2,"RightRoughTendency",2015
35,35,"Jim Furyk",71,12.62,91,721,0.04,"RightRoughTendency",2015
36,36,"John Peterson",84,12.63,135,1069,0.1,"RightRoughTendency",2015
37,37,"Davis Love III",51,12.65,74,585,0.07,"RightRoughTendency",2015
38,38,"Russell Knox",96,12.66,153,1209,0.16,"RightRoughTendency",2015
39,39,"Brian Davis",86,12.7,125,984,0.1,"RightRoughTendency",2015
40,40,"Chad Campbell",97,12.74,161,1264,0.14,"RightRoughTendency",2015
