"RightRoughTendency_RANKTHISWEEK_2007","RightRoughTendency_RANKLASTWEEK_2007","RightRoughTendency_PLAYERNAME_2007","RightRoughTendency_ROUNDS_2007","RightRoughTendency_Pct_2007","RightRoughTendency_TOTALRIGHTROUGH_2007","RightRoughTendency_POSSIBLEFWYS_2007","RightRoughTendency_RELATIVETOPAR_2007","stat_name","year"
1,1,"Mark Brooks",53,8.08,53,656,0.34,"RightRoughTendency",2007
2,2,"Michael Boyd",61,8.51,68,799,0.21,"RightRoughTendency",2007
3,3,"Doug LaBelle II",104,8.6,120,1396,0.23,"RightRoughTendency",2007
4,4,"Tommy Armour III",81,8.64,93,1076,0.11,"RightRoughTendency",2007
5,5,"Bob Tway",103,9.19,122,1327,0.06,"RightRoughTendency",2007
6,6,"Alex Cejka",80,9.2,100,1087,0.03,"RightRoughTendency",2007
7,7,"Charles Warren",101,9.22,130,1410,0.25,"RightRoughTendency",2007
8,8,"Jose Coceres",50,9.25,57,616,0.28,"RightRoughTendency",2007
9,9,"Nick OHern",72,9.44,74,784,0.09,"RightRoughTendency",2007
10,10,"Brian Davis",101,9.66,131,1356,0.05,"RightRoughTendency",2007
11,11,"Craig Bowden",78,9.7,103,1062,0.07,"RightRoughTendency",2007
12,12,"Jaco Van Zyl",51,9.78,67,685,0.15,"RightRoughTendency",2007
13,13,"Tim Clark",66,9.97,75,752,0.09,"RightRoughTendency",2007
14,14,"Hunter Mahan",91,9.98,110,1102,0.2,"RightRoughTendency",2007
15,15,"Paul Stankowski",52,10.03,67,668,0.04,"RightRoughTendency",2007
16,16,"Bob Heintz",85,10.04,113,1126,0.1,"RightRoughTendency",2007
17,17,"Darron Stiles",65,10.3,85,825,0.15,"RightRoughTendency",2007
17,17,"Chris Tidland",59,10.3,79,767,0.1,"RightRoughTendency",2007
19,19,"Joey Sindelar",75,10.34,105,1015,0.08,"RightRoughTendency",2007
20,20,"Glen Day",85,10.45,118,1129,0.14,"RightRoughTendency",2007
21,21,"Jim Rutledge",59,10.52,81,770,0.21,"RightRoughTendency",2007
22,22,"Tom Byrum",50,10.61,68,641,0.15,"RightRoughTendency",2007
23,23,"Joe Durant",88,10.62,115,1083,0.11,"RightRoughTendency",2007
24,24,"Justin Rose",63,10.65,64,601,0.17,"RightRoughTendency",2007
25,25,"Fred Funk",65,10.66,79,741,0.3,"RightRoughTendency",2007
25,25,"Heath Slocum",101,10.66,144,1351,0.05,"RightRoughTendency",2007
27,27,"Brian Gay",107,10.7,154,1439,0.14,"RightRoughTendency",2007
28,28,"Gavin Coles",87,10.72,124,1157,0.1,"RightRoughTendency",2007
29,29,"Steve Elkington",87,10.75,118,1098,0.11,"RightRoughTendency",2007
29,29,"Nathan Green",103,10.75,139,1293,0.12,"RightRoughTendency",2007
31,31,"Anders Hansen",55,11.01,60,545,0.12,"RightRoughTendency",2007
32,32,"Shaun Micheel",91,11.03,117,1061,0.11,"RightRoughTendency",2007
33,33,"Kent Jones",97,11.08,150,1354,0.15,"RightRoughTendency",2007
34,34,"Jesper Parnevik",88,11.11,130,1170,0.02,"RightRoughTendency",2007
35,35,"Ben Curtis",80,11.16,107,959,0.22,"RightRoughTendency",2007
36,36,"Tom Lehman",62,11.19,84,751,0.18,"RightRoughTendency",2007
37,37,"Cameron Beckman",96,11.21,144,1285,0.1,"RightRoughTendency",2007
38,38,"Scott Verplank",82,11.33,103,909,0.1,"RightRoughTendency",2007
39,39,"Ryan Moore",92,11.37,133,1170,0.14,"RightRoughTendency",2007
40,40,"Jerry Kelly",101,11.45,133,1162,0.07,"RightRoughTendency",2007
41,41,"Matt Kuchar",85,11.48,127,1106,0.08,"RightRoughTendency",2007
42,42,"Lee Janzen",66,11.58,97,838,0.26,"RightRoughTendency",2007
43,43,"Tom Pernice Jr",104,11.59,149,1286,0.2,"RightRoughTendency",2007
44,44,"Kirk Triplett",77,11.66,122,1046,0.23,"RightRoughTendency",2007
45,45,"Briny Baird",115,11.68,181,1549,0.15,"RightRoughTendency",2007
46,46,"Mark Hensby",81,11.73,129,1100,0.16,"RightRoughTendency",2007
47,47,"Kenny Perry",83,11.76,129,1097,0.03,"RightRoughTendency",2007
48,48,"Stephen Leaney",82,11.77,131,1113,0.05,"RightRoughTendency",2007
49,49,"Mark Calcavecchia",93,11.8,130,1102,0.08,"RightRoughTendency",2007
50,50,"Jeff Gove",103,11.84,170,1436,0.15,"RightRoughTendency",2007
51,51,"Jay Williamson",50,11.86,83,700,0.17,"RightRoughTendency",2007
52,52,"Billy Mayfair",98,11.89,149,1253,0.06,"RightRoughTendency",2007
53,53,"Jason Gore",86,11.92,143,1200,0.15,"RightRoughTendency",2007
53,53,"Padraig Harrington",64,11.92,80,671,0,"RightRoughTendency",2007
53,53,"Mark Wilson",87,11.92,134,1124,0.18,"RightRoughTendency",2007
56,56,"Frank Lickliter II",95,11.96,152,1271,0.13,"RightRoughTendency",2007
57,57,"Corey Pavin",81,11.99,129,1076,0.15,"RightRoughTendency",2007
58,58,"Eric Axley",107,12.01,173,1440,0.09,"RightRoughTendency",2007
59,59,"Jeff Brehaut",59,12.04,89,739,0.06,"RightRoughTendency",2007
59,59,"Justin Leonard",95,12.04,150,1246,0.11,"RightRoughTendency",2007
61,61,"Duffy Waldorf",69,12.05,113,938,0.11,"RightRoughTendency",2007
62,62,"Bill Haas",93,12.09,150,1241,0.09,"RightRoughTendency",2007
62,62,"Tripp Isenhour",86,12.09,135,1117,0.23,"RightRoughTendency",2007
64,64,"Zach Johnson",76,12.12,103,850,0.24,"RightRoughTendency",2007
65,65,"Dean Wilson",92,12.13,139,1146,0.08,"RightRoughTendency",2007
66,66,"Lucas Glover",98,12.14,141,1161,0.13,"RightRoughTendency",2007
67,67,"Kevin Stadler",95,12.17,148,1216,0.13,"RightRoughTendency",2007
68,68,"Steve Flesch",100,12.23,164,1341,0.11,"RightRoughTendency",2007
69,69,"Bart Bryant",87,12.24,137,1119,0.2,"RightRoughTendency",2007
70,70,"Michael Putnam",96,12.3,148,1203,0.09,"RightRoughTendency",2007
71,71,"JB Holmes",71,12.32,119,966,0.13,"RightRoughTendency",2007
71,71,"Peter Lonard",85,12.32,139,1128,0.1,"RightRoughTendency",2007
