"Total3Putts510_RANKTHISWEEK_2008","Total3Putts510_RANKLASTWEEK_2008","Total3Putts510_PLAYERNAME_2008","Total3Putts510_ROUNDS_2008","Total3Putts510_TOTAL3PUTTS510_2008","Total3Putts510_TOTAL3PUTTS_2008","stat_name","year"
1,1,"Nathan Green",95,5,53,"Total3Putts510",2008
1,1,"Jeff Maggert",86,5,57,"Total3Putts510",2008
1,1,"Joe Ogilvie",100,5,46,"Total3Putts510",2008
1,1,"Jeff Overton",103,5,53,"Total3Putts510",2008
1,1,"Jesper Parnevik",88,5,49,"Total3Putts510",2008
1,1,"Pat Perez",93,5,48,"Total3Putts510",2008
1,1,"Rory Sabbatini",77,5,46,"Total3Putts510",2008
1,1,"Nicholas Thompson",113,5,87,"Total3Putts510",2008
1,1,"DJ Trahan",94,5,52,"Total3Putts510",2008
10,10,"Brad Adamonis",87,4,46,"Total3Putts510",2008
10,10,"Ryan Armour",87,4,46,"Total3Putts510",2008
10,10,"Woody Austin",109,4,52,"Total3Putts510",2008
10,10,"Cody Freeman",66,4,34,"Total3Putts510",2008
10,10,"Tommy Gainey",60,4,47,"Total3Putts510",2008
10,10,"Robert Gamez",79,4,66,"Total3Putts510",2008
10,10,"Michael Letzig",88,4,41,"Total3Putts510",2008
10,10,"Steve Marino",119,4,68,"Total3Putts510",2008
10,10,"Kevin Na",97,4,51,"Total3Putts510",2008
10,10,"Carl Pettersson",110,4,47,"Total3Putts510",2008
10,10,"John Rollins",94,4,57,"Total3Putts510",2008
10,10,"Bo Van Pelt",101,4,61,"Total3Putts510",2008
10,10,"Nick Watney",96,4,52,"Total3Putts510",2008
23,23,"Cameron Beckman",87,3,51,"Total3Putts510",2008
23,23,"Daniel Chopra",84,3,19,"Total3Putts510",2008
23,23,"Todd Demsey",80,3,47,"Total3Putts510",2008
23,23,"Brad Elder",67,3,24,"Total3Putts510",2008
23,23,"Carlos Franco",73,3,39,"Total3Putts510",2008
23,23,"Harrison Frazar",73,3,58,"Total3Putts510",2008
23,23,"JP Hayes",67,3,31,"Total3Putts510",2008
23,23,"Tim Herron",97,3,50,"Total3Putts510",2008
23,23,"Ryuji Imada",80,3,24,"Total3Putts510",2008
23,23,"Steve Lowery",74,3,45,"Total3Putts510",2008
23,23,"David Lutterus",59,3,48,"Total3Putts510",2008
23,23,"Will Ma Kenzie",62,3,36,"Total3Putts510",2008
23,23,"Troy Matteson",94,3,66,"Total3Putts510",2008
23,23,"Tom Pernice Jr",104,3,56,"Total3Putts510",2008
23,23,"Jeff Quinney",87,3,34,"Total3Putts510",2008
23,23,"Heath Slocum",104,3,45,"Total3Putts510",2008
23,23,"Brandt Snedeker",85,3,41,"Total3Putts510",2008
23,23,"Kevin Streelman",114,3,61,"Total3Putts510",2008
23,23,"Omar Uresti",74,3,43,"Total3Putts510",2008
42,42,"Steve Allan",58,2,37,"Total3Putts510",2008
42,42,"Eric Axley",113,2,49,"Total3Putts510",2008
42,42,"Shane Bertsch",96,2,35,"Total3Putts510",2008
42,42,"Bart Bryant",81,2,37,"Total3Putts510",2008
42,42,"Jonathan Byrd",88,2,44,"Total3Putts510",2008
42,42,"Alex Cejka",75,2,36,"Total3Putts510",2008
42,42,"Tim Clark",90,2,38,"Total3Putts510",2008
42,42,"Joe Durant",92,2,78,"Total3Putts510",2008
42,42,"David Duval",51,2,32,"Total3Putts510",2008
42,42,"Steve Elkington",84,2,33,"Total3Putts510",2008
42,42,"Ernie Els",51,2,25,"Total3Putts510",2008
42,42,"Robert Garrigus",90,2,63,"Total3Putts510",2008
42,42,"Brian Gay",102,2,31,"Total3Putts510",2008
42,42,"Jason Gore",94,2,54,"Total3Putts510",2008
42,42,"Bill Haas",99,2,45,"Total3Putts510",2008
42,42,"Dudley Hart",74,2,39,"Total3Putts510",2008
42,42,"JJ Henry",108,2,51,"Total3Putts510",2008
42,42,"Mark Hensby",71,2,42,"Total3Putts510",2008
42,42,"John Huston",56,2,23,"Total3Putts510",2008
42,42,"Zach Johnson",85,2,35,"Total3Putts510",2008
42,42,"Craig Kanada",65,2,19,"Total3Putts510",2008
42,42,"Stephen Leaney",53,2,24,"Total3Putts510",2008
42,42,"Frank Lickliter II",107,2,61,"Total3Putts510",2008
42,42,"Peter Lonard",92,2,49,"Total3Putts510",2008
42,42,"John Mallinger",95,2,34,"Total3Putts510",2008
42,42,"Scott McCarron",63,2,42,"Total3Putts510",2008
42,42,"George McNeill",97,2,60,"Total3Putts510",2008
42,42,"Sean OHair",81,2,37,"Total3Putts510",2008
42,42,"Geoff Ogilvy",65,2,20,"Total3Putts510",2008
42,42,"Rod Pampling",83,2,39,"Total3Putts510",2008
42,42,"Chez Reavie",102,2,59,"Total3Putts510",2008
42,42,"Chris Riley",51,2,16,"Total3Putts510",2008
42,42,"Andres Romero",69,2,29,"Total3Putts510",2008
42,42,"Vijay Singh",82,2,30,"Total3Putts510",2008
42,42,"Vaughn Taylor",103,2,50,"Total3Putts510",2008
42,42,"Johnson Wagner",83,2,45,"Total3Putts510",2008
42,42,"Charles Warren",79,2,60,"Total3Putts510",2008
42,42,"Bubba Watson",97,2,53,"Total3Putts510",2008
42,42,"Mike Weir",88,2,24,"Total3Putts510",2008
42,42,"Jay Williamson",96,2,56,"Total3Putts510",2008
82,82,"Michael Allen",91,1,37,"Total3Putts510",2008
82,82,"Jason Allred",63,1,45,"Total3Putts510",2008
82,82,"Stuart Appleby",87,1,31,"Total3Putts510",2008
82,82,"Tommy Armour III",77,1,46,"Total3Putts510",2008
82,82,"Aaron Baddeley",76,1,15,"Total3Putts510",2008
82,82,"Briny Baird",113,1,58,"Total3Putts510",2008
82,82,"Rich Beem",90,1,42,"Total3Putts510",2008
82,82,"Olin Browne",77,1,44,"Total3Putts510",2008
82,82,"Mark Calcavecchia",67,1,42,"Total3Putts510",2008
82,82,"Paul Claxton",63,1,20,"Total3Putts510",2008
82,82,"Gavin Coles",54,1,22,"Total3Putts510",2008
82,82,"Fred Couples",60,1,30,"Total3Putts510",2008
82,82,"Ben Curtis",80,1,22,"Total3Putts510",2008
82,82,"Brian Davis",108,1,67,"Total3Putts510",2008
82,82,"Glen Day",64,1,20,"Total3Putts510",2008
82,82,"Jason Day",81,1,38,"Total3Putts510",2008
82,82,"Chris DiMarco",87,1,42,"Total3Putts510",2008
82,82,"Ken Duke",116,1,42,"Total3Putts510",2008
82,82,"Kenneth Ferrie",72,1,46,"Total3Putts510",2008
82,82,"Nick Flanagan",89,1,62,"Total3Putts510",2008
82,82,"Steve Flesch",95,1,50,"Total3Putts510",2008
82,82,"Lucas Glover",91,1,43,"Total3Putts510",2008
82,82,"Mathew Goggin",91,1,40,"Total3Putts510",2008
82,82,"Retief Goosen",59,1,22,"Total3Putts510",2008
82,82,"Jeff Gove",50,1,30,"Total3Putts510",2008
82,82,"Todd Hamilton",92,1,30,"Total3Putts510",2008
82,82,"Charley Hoffman",94,1,56,"Total3Putts510",2008
82,82,"JB Holmes",86,1,47,"Total3Putts510",2008
82,82,"Trevor Immelman",70,1,31,"Total3Putts510",2008
82,82,"Brandt Jobe",52,1,29,"Total3Putts510",2008
82,82,"Richard Johnson",77,1,34,"Total3Putts510",2008
82,82,"Dustin Johnson",92,1,36,"Total3Putts510",2008
82,82,"Jerry Kelly",89,1,30,"Total3Putts510",2008
82,82,"Anthony Kim",81,1,33,"Total3Putts510",2008
82,82,"Greg Kraft",63,1,27,"Total3Putts510",2008
82,82,"Tom Lehman",51,1,27,"Total3Putts510",2008
82,82,"Justin Leonard",101,1,28,"Total3Putts510",2008
82,82,"Hunter Mahan",87,1,38,"Total3Putts510",2008
82,82,"Jim McGovern",75,1,38,"Total3Putts510",2008
82,82,"Rocco Mediate",87,1,39,"Total3Putts510",2008
82,82,"John Merrick",98,1,49,"Total3Putts510",2008
82,82,"Phil Mickelson",80,1,26,"Total3Putts510",2008
82,82,"Ryan Moore",72,1,39,"Total3Putts510",2008
82,82,"Nick OHern",82,1,31,"Total3Putts510",2008
82,82,"Ryan Palmer",69,1,30,"Total3Putts510",2008
82,82,"Brenden Pappas",66,1,32,"Total3Putts510",2008
82,82,"Travis Perkins",53,1,30,"Total3Putts510",2008
82,82,"Ted Purdy",68,1,40,"Total3Putts510",2008
82,82,"Brett Quigley",80,1,30,"Total3Putts510",2008
82,82,"John Riegger",73,1,45,"Total3Putts510",2008
82,82,"Brett Rumford",72,1,34,"Total3Putts510",2008
82,82,"Tom Scherrer",56,1,24,"Total3Putts510",2008
82,82,"Adam Scott",51,1,25,"Total3Putts510",2008
82,82,"John Senden",93,1,51,"Total3Putts510",2008
82,82,"Patrick Sheehan",124,1,42,"Total3Putts510",2008
82,82,"Steve Stricker",75,1,26,"Total3Putts510",2008
82,82,"Kevin Sutherland",98,1,42,"Total3Putts510",2008
82,82,"David Toms",70,1,27,"Total3Putts510",2008
82,82,"Marc Turnesa",87,1,33,"Total3Putts510",2008
82,82,"Camilo Villegas",79,1,27,"Total3Putts510",2008
82,82,"Boo Weekley",86,1,54,"Total3Putts510",2008
82,82,"Ron Whittaker",54,1,29,"Total3Putts510",2008
82,82,"Tim Wilkinson",95,1,32,"Total3Putts510",2008
82,82,"Dean Wilson",109,1,45,"Total3Putts510",2008
82,82,"Mark Wilson",107,1,53,"Total3Putts510",2008
