"DrivingAccuracyPercentage_RANKTHISWEEK_2010","DrivingAccuracyPercentage_RANKLASTWEEK_2010","DrivingAccuracyPercentage_PLAYERNAME_2010","DrivingAccuracyPercentage_ROUNDS_2010","DrivingAccuracyPercentage_Pct_2010","DrivingAccuracyPercentage_FAIRWAYSHIT_2010","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2010","stat_name","year"
1,1,"Omar Uresti",74,76.08,719,945,"DrivingAccuracyPercentage",2010
2,2,"Joe Durant",67,75.94,644,848,"DrivingAccuracyPercentage",2010
3,3,"Brian Gay",101,74,1016,1373,"DrivingAccuracyPercentage",2010
4,4,"Tim Clark",88,73.72,875,1187,"DrivingAccuracyPercentage",2010
5,5,"Craig Bowden",56,72.86,518,711,"DrivingAccuracyPercentage",2010
6,6,"Heath Slocum",97,72.42,948,1309,"DrivingAccuracyPercentage",2010
7,7,"David Toms",86,71.88,851,1184,"DrivingAccuracyPercentage",2010
8,8,"Zach Johnson",93,71.24,914,1283,"DrivingAccuracyPercentage",2010
9,9,"Ben Crane",85,71.13,818,1150,"DrivingAccuracyPercentage",2010
10,10,"Jim Furyk",76,71.01,735,1035,"DrivingAccuracyPercentage",2010
11,11,"Richard Johnson",90,70.92,817,1152,"DrivingAccuracyPercentage",2010
12,12,"Paul Goydos",78,70.58,770,1091,"DrivingAccuracyPercentage",2010
13,13,"Jerry Kelly",99,70.5,939,1332,"DrivingAccuracyPercentage",2010
14,14,"Garrett Willis",82,70.44,765,1086,"DrivingAccuracyPercentage",2010
15,15,"Jeff Quinney",91,70.34,849,1207,"DrivingAccuracyPercentage",2010
16,16,"Alex Cejka",81,70.31,772,1098,"DrivingAccuracyPercentage",2010
17,17,"Billy Mayfair",78,70.29,686,976,"DrivingAccuracyPercentage",2010
18,18,"Chris DiMarco",88,70.13,817,1165,"DrivingAccuracyPercentage",2010
19,19,"Ben Curtis",78,70.07,768,1096,"DrivingAccuracyPercentage",2010
20,20,"Jay Williamson",76,69.87,661,946,"DrivingAccuracyPercentage",2010
21,21,"Skip Kendall",58,69.63,486,698,"DrivingAccuracyPercentage",2010
22,22,"Justin Leonard",89,69.46,855,1231,"DrivingAccuracyPercentage",2010
23,23,"John Mallinger",78,69.34,735,1060,"DrivingAccuracyPercentage",2010
