"Approaches100125yardsRghRTP_RANKTHISWEEK_2008","Approaches100125yardsRghRTP_RANKLASTWEEK_2008","Approaches100125yardsRghRTP_PLAYERNAME_2008","Approaches100125yardsRghRTP_ROUNDS_2008","Approaches100125yardsRghRTP_AVGRTP_2008","stat_name","year"
1,1,"Ian Poulter",51,-0.353,"Approaches100125yardsRghRTP",2008
2,2,"Steve Allan",58,-0.258,"Approaches100125yardsRghRTP",2008
3,3,"David Duval",51,-0.231,"Approaches100125yardsRghRTP",2008
4,4,"Adam Scott",51,-0.217,"Approaches100125yardsRghRTP",2008
5,5,"Chris Riley",51,-0.214,"Approaches100125yardsRghRTP",2008
6,6,"Alejandro Canizares",52,-0.167,"Approaches100125yardsRghRTP",2008
7,7,"Robert Allenby",108,-0.161,"Approaches100125yardsRghRTP",2008
8,8,"Aaron Baddeley",76,-0.16,"Approaches100125yardsRghRTP",2008
9,9,"Jonathan Byrd",88,-0.154,"Approaches100125yardsRghRTP",2008
10,10,"Anthony Kim",81,-0.146,"Approaches100125yardsRghRTP",2008
11,11,"Marc Turnesa",87,-0.143,"Approaches100125yardsRghRTP",2008
12,12,"Ben Curtis",80,-0.133,"Approaches100125yardsRghRTP",2008
13,13,"Chez Reavie",102,-0.13,"Approaches100125yardsRghRTP",2008
14,14,"Steve Elkington",84,-0.12,"Approaches100125yardsRghRTP",2008
14,14,"John Huston",56,-0.12,"Approaches100125yardsRghRTP",2008
14,14,"Heath Slocum",104,-0.12,"Approaches100125yardsRghRTP",2008
14,14,"Steve Stricker",75,-0.12,"Approaches100125yardsRghRTP",2008
14,14,"Scott Verplank",82,-0.12,"Approaches100125yardsRghRTP",2008
19,19,"David Toms",70,-0.115,"Approaches100125yardsRghRTP",2008
19,19,"Mike Weir",88,-0.115,"Approaches100125yardsRghRTP",2008
21,21,"Stuart Appleby",87,-0.114,"Approaches100125yardsRghRTP",2008
22,22,"Michael Allen",91,-0.107,"Approaches100125yardsRghRTP",2008
23,23,"Scott McCarron",63,-0.091,"Approaches100125yardsRghRTP",2008
24,24,"Peter Lonard",92,-0.079,"Approaches100125yardsRghRTP",2008
25,25,"Billy Andrade",71,-0.077,"Approaches100125yardsRghRTP",2008
26,26,"Mark Calcavecchia",67,-0.074,"Approaches100125yardsRghRTP",2008
27,27,"Brian Gay",102,-0.063,"Approaches100125yardsRghRTP",2008
27,27,"Todd Hamilton",92,-0.063,"Approaches100125yardsRghRTP",2008
29,29,"Jeff Overton",103,-0.058,"Approaches100125yardsRghRTP",2008
30,30,"Bill Haas",99,-0.053,"Approaches100125yardsRghRTP",2008
30,30,"Lee Janzen",89,-0.053,"Approaches100125yardsRghRTP",2008
32,32,"Kevin Stadler",90,-0.051,"Approaches100125yardsRghRTP",2008
33,33,"Kenneth Ferrie",72,-0.048,"Approaches100125yardsRghRTP",2008
34,34,"Jerry Kelly",89,-0.045,"Approaches100125yardsRghRTP",2008
34,34,"John Riegger",73,-0.045,"Approaches100125yardsRghRTP",2008
36,36,"Bart Bryant",81,-0.042,"Approaches100125yardsRghRTP",2008
37,37,"Cameron Beckman",87,-0.038,"Approaches100125yardsRghRTP",2008
37,37,"Ben Crane",86,-0.038,"Approaches100125yardsRghRTP",2008
37,37,"Nathan Green",95,-0.038,"Approaches100125yardsRghRTP",2008
40,40,"Charlie Wi",97,-0.037,"Approaches100125yardsRghRTP",2008
41,41,"Tom Pernice Jr",104,-0.034,"Approaches100125yardsRghRTP",2008
42,42,"Kenny Perry",97,-0.032,"Approaches100125yardsRghRTP",2008
43,43,"Jason Day",81,-0.031,"Approaches100125yardsRghRTP",2008
43,43,"Scott Sterling",89,-0.031,"Approaches100125yardsRghRTP",2008
45,45,"Bob Estes",90,-0.029,"Approaches100125yardsRghRTP",2008
46,46,"Daniel Chopra",84,-0.025,"Approaches100125yardsRghRTP",2008
47,47,"Tommy Armour III",77,-0.024,"Approaches100125yardsRghRTP",2008
48,48,"Boo Weekley",86,-0.022,"Approaches100125yardsRghRTP",2008
49,49,"Lucas Glover",91,-0.021,"Approaches100125yardsRghRTP",2008
50,50,"Nick Watney",96,-0.019,"Approaches100125yardsRghRTP",2008
51,51,"Dustin Johnson",92,-0.018,"Approaches100125yardsRghRTP",2008
52,52,"Rich Beem",90,0,"Approaches100125yardsRghRTP",2008
52,52,"Glen Day",64,0,"Approaches100125yardsRghRTP",2008
52,52,"Chris DiMarco",87,0,"Approaches100125yardsRghRTP",2008
52,52,"Ernie Els",51,0,"Approaches100125yardsRghRTP",2008
52,52,"Jim Furyk",95,0,"Approaches100125yardsRghRTP",2008
52,52,"JP Hayes",67,0,"Approaches100125yardsRghRTP",2008
52,52,"Zach Johnson",85,0,"Approaches100125yardsRghRTP",2008
52,52,"Craig Kanada",65,0,"Approaches100125yardsRghRTP",2008
52,52,"Greg Kraft",63,0,"Approaches100125yardsRghRTP",2008
52,52,"Stephen Leaney",53,0,"Approaches100125yardsRghRTP",2008
52,52,"Steve Lowery",74,0,"Approaches100125yardsRghRTP",2008
52,52,"Jeff Maggert",86,0,"Approaches100125yardsRghRTP",2008
52,52,"Steve Marino",119,0,"Approaches100125yardsRghRTP",2008
52,52,"John Merrick",98,0,"Approaches100125yardsRghRTP",2008
52,52,"Corey Pavin",69,0,"Approaches100125yardsRghRTP",2008
52,52,"Vijay Singh",82,0,"Approaches100125yardsRghRTP",2008
52,52,"Chris Stroud",81,0,"Approaches100125yardsRghRTP",2008
52,52,"Camilo Villegas",79,0,"Approaches100125yardsRghRTP",2008
52,52,"Bubba Watson",97,0,"Approaches100125yardsRghRTP",2008
71,71,"Tim Herron",97,0.027,"Approaches100125yardsRghRTP",2008
71,71,"Joe Ogilvie",100,0.027,"Approaches100125yardsRghRTP",2008
73,73,"Phil Mickelson",80,0.029,"Approaches100125yardsRghRTP",2008
74,74,"Jason Gore",94,0.033,"Approaches100125yardsRghRTP",2008
74,74,"Davis Love III",78,0.033,"Approaches100125yardsRghRTP",2008
76,76,"Fred Couples",60,0.034,"Approaches100125yardsRghRTP",2008
77,77,"Shane Bertsch",96,0.038,"Approaches100125yardsRghRTP",2008
77,77,"Richard Johnson",77,0.038,"Approaches100125yardsRghRTP",2008
79,79,"Stephen Ames",83,0.04,"Approaches100125yardsRghRTP",2008
79,79,"Brandt Jobe",52,0.04,"Approaches100125yardsRghRTP",2008
79,79,"Rocco Mediate",87,0.04,"Approaches100125yardsRghRTP",2008
79,79,"Brett Rumford",72,0.04,"Approaches100125yardsRghRTP",2008
83,83,"Ryan Moore",72,0.042,"Approaches100125yardsRghRTP",2008
83,83,"Geoff Ogilvy",65,0.042,"Approaches100125yardsRghRTP",2008
85,85,"Ryan Palmer",69,0.045,"Approaches100125yardsRghRTP",2008
85,85,"Jimmy Walker",73,0.045,"Approaches100125yardsRghRTP",2008
87,87,"Carl Pettersson",110,0.047,"Approaches100125yardsRghRTP",2008
88,88,"Jon Mills",95,0.056,"Approaches100125yardsRghRTP",2008
89,89,"Chad Campbell",94,0.059,"Approaches100125yardsRghRTP",2008
90,90,"Troy Matteson",94,0.065,"Approaches100125yardsRghRTP",2008
90,90,"Parker McLachlin",88,0.065,"Approaches100125yardsRghRTP",2008
90,90,"Kevin Na",97,0.065,"Approaches100125yardsRghRTP",2008
93,93,"Frank Lickliter II",107,0.067,"Approaches100125yardsRghRTP",2008
93,93,"Brandt Snedeker",85,0.067,"Approaches100125yardsRghRTP",2008
96,96,"David Lutterus",59,0.071,"Approaches100125yardsRghRTP",2008
96,96,"Jim McGovern",75,0.071,"Approaches100125yardsRghRTP",2008
98,98,"Hunter Mahan",87,0.074,"Approaches100125yardsRghRTP",2008
99,99,"Joe Durant",92,0.077,"Approaches100125yardsRghRTP",2008
100,100,"Brad Adamonis",87,0.079,"Approaches100125yardsRghRTP",2008
101,101,"John Senden",93,0.08,"Approaches100125yardsRghRTP",2008
102,102,"Mark Hensby",71,0.081,"Approaches100125yardsRghRTP",2008
103,103,"Steve Flesch",95,0.083,"Approaches100125yardsRghRTP",2008
103,103,"Shigeki Maruyama",50,0.083,"Approaches100125yardsRghRTP",2008
103,103,"Nick OHern",82,0.083,"Approaches100125yardsRghRTP",2008
103,103,"Omar Uresti",74,0.083,"Approaches100125yardsRghRTP",2008
