"ClubHeadSpeed_RANKTHISWEEK_2015","ClubHeadSpeed_RANKLASTWEEK_2015","ClubHeadSpeed_PLAYERNAME_2015","ClubHeadSpeed_ROUNDS_2015","ClubHeadSpeed_AVG_2015","ClubHeadSpeed_TOTALCLUBHEADSPEED_2015","ClubHeadSpeed_TOTALATTEMPTS_2015","ClubHeadSpeed_FASTESTSPEED_2015","ClubHeadSpeed_SLOWESTSPEED_2015","stat_name","year"
1,1,"Tony Finau",106,124.07,11910.53,96,129.38,120.27,"ClubHeadSpeed",2015
2,2,"Charlie Beljan",76,124.02,7813.01,63,127.9,120.4,"ClubHeadSpeed",2015
3,3,"Bubba Watson",71,123.52,6546.32,53,128.17,120.62,"ClubHeadSpeed",2015
4,4,"Brooks Koepka",84,122.77,10558.18,86,129.11,114.72,"ClubHeadSpeed",2015
5,5,"Jhonattan Vegas",90,122.51,9678.26,79,128.71,118.35,"ClubHeadSpeed",2015
6,6,"Henrik Stenson",63,121.67,3528.53,29,125.68,117.85,"ClubHeadSpeed",2015
7,7,"Dustin Johnson",75,121.49,5953.09,49,125.92,112.62,"ClubHeadSpeed",2015
8,8,"Hudson Swafford",97,121.43,10564.53,87,126.19,116.18,"ClubHeadSpeed",2015
9,9,"Gary Woodland",81,121.14,7389.56,61,125.45,116.59,"ClubHeadSpeed",2015
10,10,"JB Holmes",89,120.62,8563.75,71,124.05,116.26,"ClubHeadSpeed",2015
11,11,"Adam Scott",51,120.27,4449.89,37,122.85,109.8,"ClubHeadSpeed",2015
12,12,"Jason Day",75,120.16,7329.66,61,125.78,115.06,"ClubHeadSpeed",2015
13,13,"Patrick Rodgers",57,120.08,5643.74,47,123.61,116.41,"ClubHeadSpeed",2015
14,14,"Jason Kokrak",88,119.82,10184.99,85,123.4,116.16,"ClubHeadSpeed",2015
15,15,"Sergio Garcia",59,119.78,4910.79,41,125.07,115.96,"ClubHeadSpeed",2015
16,16,"Derek Ernst",75,119.67,8377.1,70,122.54,116.78,"ClubHeadSpeed",2015
17,17,"Daniel Berger",97,119.57,8608.96,72,125.52,116,"ClubHeadSpeed",2015
18,18,"Charles Howell III",105,119.26,12999.31,109,122.02,115.64,"ClubHeadSpeed",2015
19,19,"John Senden",80,119.07,7263.22,61,125.16,113.95,"ClubHeadSpeed",2015
20,20,"Martin Flores",95,118.68,10799.68,91,124.42,114.05,"ClubHeadSpeed",2015
21,21,"Kevin Chappell",86,118.61,7591.08,64,124.56,115.2,"ClubHeadSpeed",2015
22,22,"Phil Mickelson",70,118.09,6140.63,52,123.56,114.79,"ClubHeadSpeed",2015
22,22,"Nick Watney",91,118.09,10628.18,90,124.25,113.99,"ClubHeadSpeed",2015
24,24,"Aaron Baddeley",76,118.04,4839.59,41,122.81,114.9,"ClubHeadSpeed",2015
25,25,"Brendan Steele",88,118.01,10857.24,92,120.94,114.1,"ClubHeadSpeed",2015
26,26,"Ricky Barnes",82,117.94,7548.35,64,123.81,112.04,"ClubHeadSpeed",2015
27,27,"Keegan Bradley",87,117.87,9665.16,82,120.87,115.33,"ClubHeadSpeed",2015
28,28,"Robert Garrigus",70,117.85,6246.1,53,122.77,114.16,"ClubHeadSpeed",2015
28,28,"Patrick Reed",103,117.85,9899.53,84,120.9,114.64,"ClubHeadSpeed",2015
30,30,"Graham DeLaet",65,117.83,6362.71,54,122.71,113.8,"ClubHeadSpeed",2015
31,31,"Harris English",105,117.74,11656.06,99,121.38,114.35,"ClubHeadSpeed",2015
32,32,"Stewart Cink",77,117.72,7887.15,67,122.36,114.23,"ClubHeadSpeed",2015
33,33,"Steven Bowditch",103,117.61,11643.65,99,121.19,111.63,"ClubHeadSpeed",2015
34,34,"Rickie Fowler",76,117.5,7754.68,66,122.39,114.45,"ClubHeadSpeed",2015
35,35,"Charl Schwartzel",67,117.41,4931.23,42,121.97,114.8,"ClubHeadSpeed",2015
