"Back9Round3ScoringAverage_RANKTHISWEEK_2008","Back9Round3ScoringAverage_RANKLASTWEEK_2008","Back9Round3ScoringAverage_PLAYERNAME_2008","Back9Round3ScoringAverage__2008","Back9Round3ScoringAverage_AVG_2008","Back9Round3ScoringAverage_TOTALSTROKES_2008","Back9Round3ScoringAverage_TOTALROUNDS_2008","stat_name","year"
1,1,"Tommy Gainey",NA,33.71,236,7,"Back9Round3ScoringAverage",2008
2,2,"Vijay Singh",NA,34.18,581,17,"Back9Round3ScoringAverage",2008
3,3,"Scott McCarron",NA,34.4,344,10,"Back9Round3ScoringAverage",2008
4,4,"Michael Letzig",NA,34.44,551,16,"Back9Round3ScoringAverage",2008
5,5,"Ernie Els",NA,34.5,345,10,"Back9Round3ScoringAverage",2008
6,6,"John Riegger",NA,34.54,449,13,"Back9Round3ScoringAverage",2008
7,7,"Bob Estes",NA,34.59,588,17,"Back9Round3ScoringAverage",2008
8,8,"George McNeill",NA,34.6,692,20,"Back9Round3ScoringAverage",2008
9,9,"Hunter Mahan",NA,34.67,624,18,"Back9Round3ScoringAverage",2008
10,10,"Chris Stroud",NA,34.69,451,13,"Back9Round3ScoringAverage",2008
11,11,"Bill Haas",NA,34.72,625,18,"Back9Round3ScoringAverage",2008
12,12,"Jim Furyk",NA,34.73,764,22,"Back9Round3ScoringAverage",2008
12,12,"Tom Pernice Jr",NA,34.73,764,22,"Back9Round3ScoringAverage",2008
14,14,"Charles Warren",NA,34.75,417,12,"Back9Round3ScoringAverage",2008
15,15,"Tag Ridings",NA,34.8,522,15,"Back9Round3ScoringAverage",2008
16,16,"Stewart Cink",NA,34.83,627,18,"Back9Round3ScoringAverage",2008
17,17,"Cliff Kresge",NA,34.86,488,14,"Back9Round3ScoringAverage",2008
17,17,"Charlie Wi",NA,34.86,732,21,"Back9Round3ScoringAverage",2008
19,19,"Matt Kuchar",NA,34.88,593,17,"Back9Round3ScoringAverage",2008
19,19,"Davis Love III",NA,34.88,558,16,"Back9Round3ScoringAverage",2008
21,21,"Brian Gay",NA,34.9,698,20,"Back9Round3ScoringAverage",2008
22,22,"Greg Kraft",NA,34.91,384,11,"Back9Round3ScoringAverage",2008
23,23,"Kent Jones",NA,34.92,419,12,"Back9Round3ScoringAverage",2008
24,24,"Bob Tway",NA,34.93,524,15,"Back9Round3ScoringAverage",2008
25,25,"Rich Beem",NA,34.94,594,17,"Back9Round3ScoringAverage",2008
25,25,"Robert Garrigus",NA,34.94,594,17,"Back9Round3ScoringAverage",2008
27,27,"Bubba Watson",NA,34.95,664,19,"Back9Round3ScoringAverage",2008
27,27,"Mike Weir",NA,34.95,664,19,"Back9Round3ScoringAverage",2008
29,29,"Shane Bertsch",NA,35,700,20,"Back9Round3ScoringAverage",2008
29,29,"Jason Day",NA,35,455,13,"Back9Round3ScoringAverage",2008
29,29,"Ken Duke",NA,35,875,25,"Back9Round3ScoringAverage",2008
29,29,"Jerry Kelly",NA,35,490,14,"Back9Round3ScoringAverage",2008
29,29,"Justin Leonard",NA,35,805,23,"Back9Round3ScoringAverage",2008
29,29,"Jim McGovern",NA,35,420,12,"Back9Round3ScoringAverage",2008
29,29,"Scott Verplank",NA,35,595,17,"Back9Round3ScoringAverage",2008
36,36,"Chad Campbell",NA,35.05,666,19,"Back9Round3ScoringAverage",2008
37,37,"Aaron Baddeley",NA,35.06,561,16,"Back9Round3ScoringAverage",2008
37,37,"Nick OHern",NA,35.06,561,16,"Back9Round3ScoringAverage",2008
37,37,"Jeff Quinney",NA,35.06,561,16,"Back9Round3ScoringAverage",2008
37,37,"Scott Sterling",NA,35.06,596,17,"Back9Round3ScoringAverage",2008
37,37,"Boo Weekley",NA,35.06,631,18,"Back9Round3ScoringAverage",2008
42,42,"Briny Baird",NA,35.07,947,27,"Back9Round3ScoringAverage",2008
43,43,"Doug LaBelle II",NA,35.08,421,12,"Back9Round3ScoringAverage",2008
44,44,"Tim Clark",NA,35.11,667,19,"Back9Round3ScoringAverage",2008
44,44,"Tom Scherrer",NA,35.11,316,9,"Back9Round3ScoringAverage",2008
46,46,"Troy Matteson",NA,35.12,597,17,"Back9Round3ScoringAverage",2008
47,47,"Rory Sabbatini",NA,35.13,562,16,"Back9Round3ScoringAverage",2008
47,47,"Marc Turnesa",NA,35.13,527,15,"Back9Round3ScoringAverage",2008
49,49,"Jin Park",NA,35.15,457,13,"Back9Round3ScoringAverage",2008
50,50,"Bo Van Pelt",NA,35.16,668,19,"Back9Round3ScoringAverage",2008
