"SubParRounds_RANKTHISWEEK_2007","SubParRounds_RANKLASTWEEK_2007","SubParRounds_PLAYERNAME_2007","SubParRounds_EVENTS_2007","stat_name","year"
1,1,"Bo Van Pelt",30,"SubParRounds",2007
2,2,"Heath Slocum",28,"SubParRounds",2007
3,3,"Briny Baird",31,"SubParRounds",2007
4,4,"Daniel Chopra",34,"SubParRounds",2007
5,5,"Nathan Green",29,"SubParRounds",2007
6,6,"Steve Marino",31,"SubParRounds",2007
6,6,"Vijay Singh",27,"SubParRounds",2007
8,8,"Ken Duke",31,"SubParRounds",2007
8,8,"Sean OHair",28,"SubParRounds",2007
10,10,"Jim Furyk",23,"SubParRounds",2007
10,10,"Ryuji Imada",32,"SubParRounds",2007
10,10,"Brandt Snedeker",29,"SubParRounds",2007
13,13,"Brian Gay",32,"SubParRounds",2007
13,13,"Carl Pettersson",31,"SubParRounds",2007
15,15,"Brian Davis",28,"SubParRounds",2007
15,15,"Craig Kanada",34,"SubParRounds",2007
15,15,"Billy Mayfair",30,"SubParRounds",2007
15,15,"Joe Ogilvie",31,"SubParRounds",2007
15,15,"Tim Petrovic",32,"SubParRounds",2007
20,20,"Cameron Beckman",29,"SubParRounds",2007
20,20,"Jerry Kelly",28,"SubParRounds",2007
20,20,"Cliff Kresge",30,"SubParRounds",2007
20,20,"Charles Warren",29,"SubParRounds",2007
24,24,"Woody Austin",27,"SubParRounds",2007
24,24,"KJ Choi",25,"SubParRounds",2007
24,24,"Mathew Goggin",30,"SubParRounds",2007
24,24,"Kent Jones",30,"SubParRounds",2007
24,24,"Ted Purdy",33,"SubParRounds",2007
24,24,"John Rollins",29,"SubParRounds",2007
30,30,"Ryan Armour",32,"SubParRounds",2007
30,30,"Stewart Cink",25,"SubParRounds",2007
30,30,"George McNeill",30,"SubParRounds",2007
33,33,"Lucas Glover",29,"SubParRounds",2007
33,33,"Ryan Moore",28,"SubParRounds",2007
35,35,"Bob Estes",28,"SubParRounds",2007
35,35,"Jeff Gove",30,"SubParRounds",2007
35,35,"Mathias Gronberg",31,"SubParRounds",2007
35,35,"Bill Haas",30,"SubParRounds",2007
35,35,"Anthony Kim",26,"SubParRounds",2007
35,35,"Matt Kuchar",26,"SubParRounds",2007
35,35,"Will Ma Kenzie",30,"SubParRounds",2007
35,35,"Kevin Na",27,"SubParRounds",2007
35,35,"Pat Perez",27,"SubParRounds",2007
35,35,"Tom Pernice Jr",31,"SubParRounds",2007
35,35,"Jeff Quinney",29,"SubParRounds",2007
35,35,"Rory Sabbatini",23,"SubParRounds",2007
35,35,"Boo Weekley",29,"SubParRounds",2007
35,35,"Charlie Wi",27,"SubParRounds",2007
49,49,"Robert Allenby",28,"SubParRounds",2007
49,49,"Alex Cejka",25,"SubParRounds",2007
49,49,"Steve Elkington",25,"SubParRounds",2007
