"TotalDriving_RANKTHISWEEK_2006","TotalDriving_RANKLASTWEEK_2006","TotalDriving_PLAYERNAME_2006","TotalDriving_EVENTS_2006","TotalDriving_TOTAL_2006","TotalDriving_DISTANCERANK_2006","TotalDriving_ACCURACYRANK_2006","stat_name","year"
1,1,"Scott Gutschewski",19,83,11,72,"TotalDriving",2006
2,2,"Chris Smith",21,84,24,60,"TotalDriving",2006
3,3,"Nicholas Thompson",32,89,48,41,"TotalDriving",2006
4,4,"Hunter Mahan",29,91,57,34,"TotalDriving",2006
5,5,"Robert Allenby",22,93,64,29,"TotalDriving",2006
6,6,"Joe Durant",28,94,93,1,"TotalDriving",2006
7,7,"Greg Owen",24,101,54,47,"TotalDriving",2006
8,8,"Kenny Perry",22,102,69,33,"TotalDriving",2006
9,9,"Charles Warren",27,104,20,84,"TotalDriving",2006
10,10,"Lucas Glover",31,114,23,91,"TotalDriving",2006
11,11,"Jonathan Byrd",20,115,33,82,"TotalDriving",2006
12,12,"John Senden",28,117,44,73,"TotalDriving",2006
13,13,"Padraig Harrington",15,119,60,59,"TotalDriving",2006
14,14,"Ian Poulter",15,120,100,20,"TotalDriving",2006
15,15,"Ryan Moore",22,124,74,50,"TotalDriving",2006
16,16,"Brett Wetterich",25,126,4,122,"TotalDriving",2006
17,17,"Jonathan Kaye",32,128,61,67,"TotalDriving",2006
18,18,"John Rollins",28,129,50,79,"TotalDriving",2006
19,19,"Bubba Dickerson",32,132,27,105,"TotalDriving",2006
20,20,"Adam Scott",19,133,16,117,"TotalDriving",2006
21,21,"Steve Elkington",17,134,127,7,"TotalDriving",2006
22,22,"David Branshaw",29,137,102,35,"TotalDriving",2006
22,22,"Brian Davis",28,137,115,22,"TotalDriving",2006
24,24,"Nick Watney",29,139,18,121,"TotalDriving",2006
25,25,"Mathew Goggin",26,140,45,95,"TotalDriving",2006
26,26,"Will Ma Kenzie",29,143,40,103,"TotalDriving",2006
26,26,"Kevin Sutherland",29,143,67,76,"TotalDriving",2006
28,28,"Harrison Frazar",29,145,9,136,"TotalDriving",2006
28,28,"Tiger Woods",15,145,6,139,"TotalDriving",2006
30,30,"Rich Beem",27,146,48,98,"TotalDriving",2006
30,30,"Henrik Bjornstad",31,146,39,107,"TotalDriving",2006
32,32,"Kent Jones",32,147,110,37,"TotalDriving",2006
33,33,"Jason Bohn",29,148,95,53,"TotalDriving",2006
34,34,"Briny Baird",25,151,135,16,"TotalDriving",2006
35,35,"Jeff Gove",29,152,88,64,"TotalDriving",2006
36,36,"Eric Axley",29,153,61,92,"TotalDriving",2006
36,36,"Alex Cejka",30,153,96,57,"TotalDriving",2006
36,36,"Duffy Waldorf",28,153,115,38,"TotalDriving",2006
39,39,"Daisuke Maruyama",25,154,139,15,"TotalDriving",2006
40,40,"Chris Couch",27,155,21,134,"TotalDriving",2006
41,41,"Chris Riley",27,157,139,18,"TotalDriving",2006
42,42,"Davis Love III",23,158,14,144,"TotalDriving",2006
43,43,"JP Hayes",19,159,108,51,"TotalDriving",2006
44,44,"Brent Geiberger",30,161,113,48,"TotalDriving",2006
44,44,"Sean OHair",30,161,71,90,"TotalDriving",2006
46,46,"Ted Purdy",33,162,101,61,"TotalDriving",2006
47,47,"Ryan Palmer",30,163,47,116,"TotalDriving",2006
47,47,"David Toms",22,163,133,30,"TotalDriving",2006
49,49,"Mathias Gronberg",30,164,54,110,"TotalDriving",2006
49,49,"Matt Hansen",25,164,19,145,"TotalDriving",2006
51,51,"Jason Gore",29,165,22,143,"TotalDriving",2006
51,51,"Brandt Jobe",28,165,37,128,"TotalDriving",2006
53,53,"Bart Bryant",26,167,156,11,"TotalDriving",2006
53,53,"Jim Furyk",24,167,159,8,"TotalDriving",2006
53,53,"DJ Trahan",33,167,81,86,"TotalDriving",2006
56,56,"Heath Slocum",30,169,165,4,"TotalDriving",2006
57,57,"Zach Johnson",27,171,145,26,"TotalDriving",2006
57,57,"Justin Rose",28,171,82,89,"TotalDriving",2006
59,59,"Geoff Ogilvy",20,172,53,119,"TotalDriving",2006
60,60,"Trevor Immelman",24,173,58,115,"TotalDriving",2006
60,60,"Bo Van Pelt",28,173,35,138,"TotalDriving",2006
62,62,"Tjaart van der Walt",21,174,150,24,"TotalDriving",2006
63,63,"Billy Mayfair",29,175,154,21,"TotalDriving",2006
64,64,"Patrick Sheehan",34,176,105,71,"TotalDriving",2006
64,64,"Paul Stankowski",22,176,51,125,"TotalDriving",2006
66,66,"Charley Hoffman",29,177,10,167,"TotalDriving",2006
66,66,"Phil Mickelson",19,177,17,160,"TotalDriving",2006
66,66,"Omar Uresti",22,177,171,6,"TotalDriving",2006
69,69,"Skip Kendall",22,178,165,13,"TotalDriving",2006
69,69,"Jeff Maggert",26,178,164,14,"TotalDriving",2006
69,69,"Camilo Villegas",29,178,13,165,"TotalDriving",2006
72,72,"Troy Matteson",32,179,28,151,"TotalDriving",2006
72,72,"Kirk Triplett",18,179,168,11,"TotalDriving",2006
74,74,"Robert Garrigus",28,180,3,177,"TotalDriving",2006
74,74,"Frank Lickliter II",29,180,125,55,"TotalDriving",2006
76,76,"KJ Choi",26,182,112,70,"TotalDriving",2006
77,77,"Jeff Brehaut",33,183,125,58,"TotalDriving",2006
77,77,"Larry Mize",18,183,178,5,"TotalDriving",2006
77,77,"Steve Stricker",17,183,134,49,"TotalDriving",2006
80,80,"Kris Cox",28,184,30,154,"TotalDriving",2006
80,80,"Richard Johnson",29,184,148,36,"TotalDriving",2006
80,80,"David McKenzie",28,184,142,42,"TotalDriving",2006
80,80,"Pat Perez",19,184,30,154,"TotalDriving",2006
84,84,"Brian Bateman",26,186,40,146,"TotalDriving",2006
85,85,"Jeff Overton",28,187,26,161,"TotalDriving",2006
86,86,"JJ Henry",28,188,46,142,"TotalDriving",2006
87,87,"Stephen Ames",21,189,88,101,"TotalDriving",2006
87,87,"Steve Flesch",33,189,124,65,"TotalDriving",2006
87,87,"JB Holmes",26,189,2,187,"TotalDriving",2006
87,87,"Bob May",21,189,71,118,"TotalDriving",2006
87,87,"Scott Verplank",25,189,186,3,"TotalDriving",2006
92,92,"Joe Ogilvie",29,192,107,85,"TotalDriving",2006
92,92,"Bubba Watson",27,192,1,191,"TotalDriving",2006
94,94,"Olin Browne",30,193,184,9,"TotalDriving",2006
94,94,"Ron Whittaker",28,193,161,32,"TotalDriving",2006
96,96,"John Daly",21,195,5,190,"TotalDriving",2006
96,96,"Freddie Jacobson",18,195,84,111,"TotalDriving",2006
98,98,"Fred Funk",29,196,194,2,"TotalDriving",2006
98,98,"Tag Ridings",33,196,8,188,"TotalDriving",2006
100,100,"Luke Donald",18,197,145,52,"TotalDriving",2006
101,101,"Jerry Kelly",31,198,179,19,"TotalDriving",2006
101,101,"Roger Tambellini",25,198,24,174,"TotalDriving",2006
103,103,"John Cook",22,199,182,17,"TotalDriving",2006
103,103,"Justin Leonard",26,199,154,45,"TotalDriving",2006
105,105,"Arjun Atwal",33,200,102,98,"TotalDriving",2006
105,105,"Sergio Garcia",17,200,71,129,"TotalDriving",2006
105,105,"Thomas Levet",18,200,113,87,"TotalDriving",2006
108,108,"Fred Couples",17,201,15,186,"TotalDriving",2006
108,108,"Robert Gamez",30,201,174,27,"TotalDriving",2006
108,108,"Ryan Hietala",23,201,7,194,"TotalDriving",2006
108,108,"Mike Sposa",25,201,138,63,"TotalDriving",2006
112,112,"Paul Goydos",24,202,192,10,"TotalDriving",2006
113,113,"Marco Dawson",27,203,77,126,"TotalDriving",2006
113,113,"Mark Wilson",24,203,157,46,"TotalDriving",2006
115,115,"Alex Aragon",26,204,12,192,"TotalDriving",2006
116,116,"Jerry Smith",29,205,180,25,"TotalDriving",2006
117,117,"Tommy Armour III",25,206,152,54,"TotalDriving",2006
117,117,"Danny Ellis",23,206,66,140,"TotalDriving",2006
117,117,"David Howell",14,206,93,113,"TotalDriving",2006
117,117,"DA Points",28,206,92,114,"TotalDriving",2006
121,121,"Bob Estes",25,207,120,87,"TotalDriving",2006
122,122,"Daniel Chopra",33,208,29,179,"TotalDriving",2006
122,122,"Ian Leggatt",29,208,77,131,"TotalDriving",2006
124,124,"Jesper Parnevik",24,209,86,123,"TotalDriving",2006
124,124,"Joey Sindelar",29,209,143,66,"TotalDriving",2006
126,126,"Retief Goosen",18,210,34,176,"TotalDriving",2006
126,126,"Bill Haas",30,210,40,170,"TotalDriving",2006
126,126,"Greg Kraft",26,210,187,23,"TotalDriving",2006
126,126,"Jon Mills",27,210,32,178,"TotalDriving",2006
130,130,"Vaughn Taylor",26,212,115,97,"TotalDriving",2006
131,131,"Tom Pernice Jr",33,213,144,69,"TotalDriving",2006
132,132,"Shaun Micheel",29,217,97,120,"TotalDriving",2006
133,133,"Vijay Singh",27,218,65,153,"TotalDriving",2006
134,134,"Shane Bertsch",34,219,176,43,"TotalDriving",2006
134,134,"Steve Lowery",31,219,110,109,"TotalDriving",2006
136,136,"Mark Brooks",36,220,192,28,"TotalDriving",2006
136,136,"Mark Calcavecchia",27,220,152,68,"TotalDriving",2006
136,136,"Brian Gay",31,220,189,31,"TotalDriving",2006
136,136,"Tim Herron",27,220,59,161,"TotalDriving",2006
140,140,"Ben Crane",26,221,127,94,"TotalDriving",2006
140,140,"Jason Schultz",28,221,69,152,"TotalDriving",2006
142,142,"Stewart Cink",26,223,75,148,"TotalDriving",2006
143,143,"Ernie Els",18,225,54,171,"TotalDriving",2006
144,144,"Tim Clark",22,227,183,44,"TotalDriving",2006
145,145,"Doug Barron",28,228,188,40,"TotalDriving",2006
145,145,"David Duval",24,228,35,193,"TotalDriving",2006
147,147,"Craig Barlow",22,229,63,166,"TotalDriving",2006
148,148,"Chad Campbell",25,230,83,147,"TotalDriving",2006
149,149,"Woody Austin",31,231,102,129,"TotalDriving",2006
150,150,"Paul Azinger",30,233,127,106,"TotalDriving",2006
150,150,"Ben Curtis",26,233,177,56,"TotalDriving",2006
150,150,"Charles Howell III",30,233,51,182,"TotalDriving",2006
150,150,"John Huston",27,233,75,158,"TotalDriving",2006
154,154,"Jimmy Walker",21,234,38,196,"TotalDriving",2006
155,155,"Aaron Baddeley",25,235,98,137,"TotalDriving",2006
155,155,"Corey Pavin",23,235,196,39,"TotalDriving",2006
157,157,"Billy Andrade",24,236,132,104,"TotalDriving",2006
158,158,"James Driscoll",29,238,43,195,"TotalDriving",2006
159,159,"Bernhard Langer",24,239,127,112,"TotalDriving",2006
160,160,"Stuart Appleby",23,240,90,150,"TotalDriving",2006
160,160,"Rod Pampling",24,240,99,141,"TotalDriving",2006
162,162,"Arron Oberholser",23,244,136,108,"TotalDriving",2006
163,163,"Shigeki Maruyama",30,245,122,123,"TotalDriving",2006
163,163,"Dean Wilson",34,245,149,96,"TotalDriving",2006
165,165,"Michael Allen",25,246,79,167,"TotalDriving",2006
166,166,"Stephen Leaney",27,247,185,62,"TotalDriving",2006
166,166,"Carl Pettersson",28,247,115,132,"TotalDriving",2006
166,166,"Jeff Sluman",29,247,172,75,"TotalDriving",2006
169,169,"Brett Quigley",33,248,91,157,"TotalDriving",2006
169,169,"Mike Weir",24,248,165,83,"TotalDriving",2006
171,171,"Wes Short Jr",33,249,80,169,"TotalDriving",2006
172,172,"Tom Lehman",20,250,115,135,"TotalDriving",2006
173,173,"Peter Lonard",22,251,170,81,"TotalDriving",2006
174,174,"Chris DiMarco",26,253,175,78,"TotalDriving",2006
174,174,"Carlos Franco",29,253,68,185,"TotalDriving",2006
174,174,"JL Lewis",17,253,173,80,"TotalDriving",2006
177,177,"Nathan Green",30,257,157,100,"TotalDriving",2006
177,177,"Jose Maria Olazabal",18,257,108,149,"TotalDriving",2006
179,179,"Steve Jones",27,258,181,77,"TotalDriving",2006
180,180,"Tim Petrovic",30,261,168,93,"TotalDriving",2006
181,181,"Robert Damron",31,264,162,102,"TotalDriving",2006
181,181,"Todd Fischer",35,264,190,74,"TotalDriving",2006
183,183,"Len Mattiace",22,265,85,180,"TotalDriving",2006
184,184,"Bob Tway",25,266,139,127,"TotalDriving",2006
185,185,"Rory Sabbatini",24,268,87,181,"TotalDriving",2006
