"FairwayProximity_RANKTHISWEEK_2013","FairwayProximity_RANKLASTWEEK_2013","FairwayProximity_PLAYERNAME_2013","FairwayProximity_ROUNDS_2013","FairwayProximity_AVG_2013","FairwayProximity_ATTEMPTS_2013","FairwayProximity_TOTALDISTANCEFEET_2013","FairwayProximity_RELATIVETOPAR_2013","stat_name","year"
1,1,"Jim Furyk",80,NA,929,26188.917,-110,"FairwayProximity",2013
1,1,"Jeff Maggert",63,NA,785,22106.833,-53,"FairwayProximity",2013
3,3,"Ryan Palmer",79,NA,878,24839.083,-120,"FairwayProximity",2013
3,3,"Tiger Woods",61,NA,589,16656.25,-104,"FairwayProximity",2013
5,5,"Justin Rose",62,NA,619,17662,-90,"FairwayProximity",2013
6,6,"Dustin Johnson",71,NA,597,17117.25,-64,"FairwayProximity",2013
6,6,"Chris Kirk",89,NA,1079,30950.25,-145,"FairwayProximity",2013
8,8,"Chez Reavie",72,NA,946,27225.333,-62,"FairwayProximity",2013
9,9,"Brad Fritsch",81,NA,874,25233.833,-68,"FairwayProximity",2013
10,10,"Camilo Villegas",79,NA,835,24226.583,-73,"FairwayProximity",2013
11,11,"Charl Schwartzel",69,NA,696,20268.75,-88,"FairwayProximity",2013
12,12,"Darron Stiles",51,NA,597,17432.333,-6,"FairwayProximity",2013
13,13,"Kevin Chappell",80,NA,893,26106.333,-70,"FairwayProximity",2013
13,13,"David Toms",49,NA,439,12849.75,-26,"FairwayProximity",2013
15,15,"Rory Sabbatini",86,NA,915,26827.25,-116,"FairwayProximity",2013
15,15,"Vijay Singh",61,NA,624,18310.417,-33,"FairwayProximity",2013
17,17,"Kevin Stadler",83,NA,913,26880.25,-84,"FairwayProximity",2013
18,18,"Tag Ridings",69,NA,714,21079.417,-50,"FairwayProximity",2013
19,19,"Robert Garrigus",69,NA,596,17692.083,-29,"FairwayProximity",2013
20,20,"Zach Johnson",84,NA,948,28193.25,-103,"FairwayProximity",2013
20,20,"Ben Kohles",75,NA,853,25362.167,-38,"FairwayProximity",2013
20,20,"Matt Kuchar",93,NA,878,26096.917,-123,"FairwayProximity",2013
20,20,"Greg Owen",73,NA,856,25473.833,-50,"FairwayProximity",2013
20,20,"Brandt Snedeker",79,NA,774,23003.083,-104,"FairwayProximity",2013
25,25,"Rory McIlroy",56,NA,510,15196,-59,"FairwayProximity",2013
25,25,"John Merrick",79,NA,901,26849.167,-77,"FairwayProximity",2013
25,25,"John Rollins",77,NA,874,26083.667,-66,"FairwayProximity",2013
28,28,"Chad Campbell",78,NA,963,28805.833,-81,"FairwayProximity",2013
28,28,"Bud Cauley",67,NA,735,21995.167,-53,"FairwayProximity",2013
28,28,"KJ Choi",85,NA,888,26547.917,-75,"FairwayProximity",2013
28,28,"James Hahn",78,NA,862,25821.333,-67,"FairwayProximity",2013
28,28,"Steve LeBrun",66,NA,687,20545.083,-41,"FairwayProximity",2013
33,33,"Robert Allenby",58,NA,685,20536.417,-12,"FairwayProximity",2013
33,33,"Jason Bohn",70,NA,916,27474.167,-72,"FairwayProximity",2013
33,33,"Graham DeLaet",94,NA,1145,34329.833,-99,"FairwayProximity",2013
33,33,"Ken Duke",87,NA,1051,31559.917,-67,"FairwayProximity",2013
37,37,"Brian Davis",91,NA,1161,34927.25,-114,"FairwayProximity",2013
37,37,"Bryce Molder",82,NA,982,29549.083,-97,"FairwayProximity",2013
37,37,"Brian Stuard",78,NA,881,26517.833,-31,"FairwayProximity",2013
37,37,"Boo Weekley",100,NA,1138,34277.917,-99,"FairwayProximity",2013
