"LongestDrives_RANKTHISWEEK_2012","LongestDrives_RANKLASTWEEK_2012","LongestDrives_PLAYERNAME_2012","LongestDrives_ROUNDS_2012","LongestDrives_DISTANCE_2012","LongestDrives_TOURNAMENT_2012","LongestDrives_ROUND_2012","LongestDrives_HOLE_2012","LongestDrives_COURSE_2012","stat_name","year"
1,1,"Gary Woodland",70,450,NA,1,18,656,"LongestDrives",2012
2,2,"Bubba Watson",68,442,NA,3,16,36,"LongestDrives",2012
2,2,"Keegan Bradley",90,442,NA,2,16,36,"LongestDrives",2012
4,4,"Louis Oosthuizen",65,430,NA,3,16,36,"LongestDrives",2012
5,5,"Kyle Stanley",86,429,NA,3,16,36,"LongestDrives",2012
6,6,"Branden Grace",22,427,NA,1,16,36,"LongestDrives",2012
8,8,"Joost Luiten",12,425,NA,3,16,36,"LongestDrives",2012
9,9,"Paul Lawrie",23,422,NA,3,16,36,"LongestDrives",2012
9,9,"John Senden",81,422,NA,3,16,36,"LongestDrives",2012
12,12,"Michael Bradley",63,421,NA,2,7,656,"LongestDrives",2012
15,15,"Nicolas Colsaerts",31,420,NA,1,16,36,"LongestDrives",2012
15,15,"Martin Laird",77,420,NA,1,12,656,"LongestDrives",2012
20,20,"Sean OHair",84,415,NA,3,18,656,"LongestDrives",2012
20,20,"Jhonattan Vegas",77,415,NA,2,12,656,"LongestDrives",2012
20,20,"Alvaro Quiros",21,415,NA,3,16,36,"LongestDrives",2012
20,20,"Rickie Fowler",84,415,NA,3,16,36,"LongestDrives",2012
24,24,"Johnson Wagner",88,414,NA,4,7,656,"LongestDrives",2012
26,26,"Steve Stricker",73,411,NA,2,7,656,"LongestDrives",2012
30,30,"Aaron Baddeley",73,409,NA,2,18,656,"LongestDrives",2012
30,30,"Rory McIlroy",60,409,NA,3,9,36,"LongestDrives",2012
30,30,"Webb Simpson",77,409,NA,3,7,656,"LongestDrives",2012
33,33,"Harrison Frazar",56,408,NA,2,7,656,"LongestDrives",2012
33,33,"Rory Sabbatini",84,408,NA,1,7,656,"LongestDrives",2012
33,33,"Nick Watney",97,408,NA,3,16,36,"LongestDrives",2012
40,40,"Adam Scott",59,407,NA,3,16,36,"LongestDrives",2012
40,40,"Dustin Johnson",70,407,NA,1,16,36,"LongestDrives",2012
44,44,"Charl Schwartzel",56,406,NA,2,16,36,"LongestDrives",2012
47,47,"Scott Piercy",95,405,NA,3,16,36,"LongestDrives",2012
48,48,"Kevin Na",80,404,NA,1,18,656,"LongestDrives",2012
48,48,"Kevin Kisner",69,404,NA,1,18,752,"LongestDrives",2012
55,55,"Peter Hanson",40,402,NA,3,8,36,"LongestDrives",2012
55,55,"Gonzalo Fdez Castano",23,402,NA,2,16,36,"LongestDrives",2012
60,60,"Retief Goosen",39,401,NA,4,7,8,"LongestDrives",2012
60,60,"Scott Stallings",78,401,NA,1,12,656,"LongestDrives",2012
60,60,"Chris Kirk",93,401,NA,3,18,656,"LongestDrives",2012
65,65,"Bill Haas",79,400,NA,1,7,656,"LongestDrives",2012
68,68,"Tom Pernice Jr",62,399,NA,2,18,752,"LongestDrives",2012
68,68,"Bryce Molder",83,399,NA,1,7,656,"LongestDrives",2012
68,68,"Jason Kokrak",79,399,NA,2,13,6,"LongestDrives",2012
75,75,"Brendan Steele",77,398,NA,2,6,656,"LongestDrives",2012
82,82,"Rafa Cabrera Bello",17,397,NA,3,8,36,"LongestDrives",2012
92,92,"Mark Wilson",84,396,NA,1,7,656,"LongestDrives",2012
92,92,"DA Points",88,396,NA,1,7,656,"LongestDrives",2012
92,92,"JB Holmes",90,396,NA,1,3,500,"LongestDrives",2012
104,104,"KJ Choi",71,395,NA,1,7,656,"LongestDrives",2012
104,104,"Robert Garrigus",89,395,NA,4,17,669,"LongestDrives",2012
104,104,"Jonathan Byrd",69,395,NA,2,18,656,"LongestDrives",2012
115,115,"Billy Mayfair",90,394,NA,2,6,771,"LongestDrives",2012
129,129,"Phil Mickelson",79,392,NA,4,16,36,"LongestDrives",2012
133,133,"Ryan Palmer",81,391,NA,4,10,510,"LongestDrives",2012
133,133,"Hunter Mahan",88,391,NA,1,16,36,"LongestDrives",2012
133,133,"Troy Matteson",100,391,NA,1,3,500,"LongestDrives",2012
148,148,"Carl Pettersson",92,389,NA,3,8,36,"LongestDrives",2012
155,155,"Ben Crane",73,388,NA,4,7,656,"LongestDrives",2012
155,155,"Thomas Aiken",12,388,NA,2,5,733,"LongestDrives",2012
155,155,"Jimmy Walker",101,388,NA,3,10,19,"LongestDrives",2012
155,155,"Brandt Snedeker",81,388,NA,3,8,36,"LongestDrives",2012
155,155,"Robert McClellan",2,388,NA,1,7,771,"LongestDrives",2012
166,166,"Davis Love III",64,387,NA,2,17,771,"LongestDrives",2012
166,166,"Tiger Woods",69,387,NA,2,8,36,"LongestDrives",2012
166,166,"Danny Willett",4,387,NA,2,8,36,"LongestDrives",2012
179,179,"Harris English",98,386,NA,4,10,510,"LongestDrives",2012
185,185,"Freddie Jacobson",61,385,NA,1,3,500,"LongestDrives",2012
194,194,"Jim Furyk",85,384,NA,3,18,36,"LongestDrives",2012
