"PuttingfromInside5_RANKTHISWEEK_2010","PuttingfromInside5_RANKLASTWEEK_2010","PuttingfromInside5_PLAYERNAME_2010","PuttingfromInside5_ROUNDS_2010","PuttingfromInside5_Pct_2010","PuttingfromInside5_ATTEMPTS_2010","PuttingfromInside5_PUTTSMADE_2010","stat_name","year"
109,109,"Stuart Appleby",101,96.23,1273,1225,"PuttingfromInside5",2010
110,110,"Chris DiMarco",88,96.21,1135,1092,"PuttingfromInside5",2010
110,110,"Steve Lowery",67,96.21,818,787,"PuttingfromInside5",2010
112,112,"Brad Faxon",58,96.2,684,658,"PuttingfromInside5",2010
112,112,"Steve Flesch",78,96.2,921,886,"PuttingfromInside5",2010
114,114,"Lee Janzen",77,96.18,1021,982,"PuttingfromInside5",2010
114,114,"Shaun Micheel",70,96.18,759,730,"PuttingfromInside5",2010
116,116,"Brian Stuard",81,96.16,1015,976,"PuttingfromInside5",2010
116,116,"Jay Williamson",76,96.16,886,852,"PuttingfromInside5",2010
118,118,"Henrik Bjornstad",72,96.15,882,848,"PuttingfromInside5",2010
119,119,"Cliff Kresge",50,96.14,673,647,"PuttingfromInside5",2010
119,119,"John Mallinger",78,96.14,932,896,"PuttingfromInside5",2010
119,119,"Brenden Pappas",66,96.14,804,773,"PuttingfromInside5",2010
122,122,"Bob Estes",79,96.13,1034,994,"PuttingfromInside5",2010
122,122,"Sergio Garcia",58,96.13,543,522,"PuttingfromInside5",2010
124,124,"Andrew McLardy",52,96.1,641,616,"PuttingfromInside5",2010
125,125,"George McNeill",79,96.09,972,934,"PuttingfromInside5",2010
126,126,"Paul Goydos",78,96.06,939,902,"PuttingfromInside5",2010
127,127,"JP Hayes",79,96.04,960,922,"PuttingfromInside5",2010
127,127,"Trevor Immelman",55,96.04,631,606,"PuttingfromInside5",2010
129,129,"Michael Letzig",84,96.02,1155,1109,"PuttingfromInside5",2010
130,130,"Troy Matteson",84,96,1175,1128,"PuttingfromInside5",2010
131,131,"Steve Marino",81,95.99,897,861,"PuttingfromInside5",2010
131,131,"Chris Tidland",77,95.99,972,933,"PuttingfromInside5",2010
133,133,"Brian Davis",101,95.91,1271,1219,"PuttingfromInside5",2010
