"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2011","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2011","BirdieorBetterPercentageRightRough_PLAYERNAME_2011","BirdieorBetterPercentageRightRough_ROUNDS_2011","BirdieorBetterPercentageRightRough_Pct_2011","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2011","BirdieorBetterPercentageRightRough_TOTALHOLES_2011","stat_name","year"
1,1,"Graeme McDowell",50,35.19,19,54,"BirdieorBetterPercentageRightRough",2011
2,2,"Luke Donald",73,26.56,17,64,"BirdieorBetterPercentageRightRough",2011
3,3,"Harrison Frazar",58,24.42,21,86,"BirdieorBetterPercentageRightRough",2011
4,4,"Ian Poulter",52,23.73,14,59,"BirdieorBetterPercentageRightRough",2011
5,5,"Stewart Cink",72,23.66,22,93,"BirdieorBetterPercentageRightRough",2011
6,6,"Chris Couch",73,22.95,28,122,"BirdieorBetterPercentageRightRough",2011
7,7,"Dustin Johnson",72,22.32,25,112,"BirdieorBetterPercentageRightRough",2011
8,8,"Gary Woodland",93,21.38,31,145,"BirdieorBetterPercentageRightRough",2011
9,9,"David Toms",78,21.21,21,99,"BirdieorBetterPercentageRightRough",2011
10,10,"Rory Sabbatini",85,20.29,28,138,"BirdieorBetterPercentageRightRough",2011
11,11,"Billy Horschel",75,20,15,75,"BirdieorBetterPercentageRightRough",2011
12,12,"Brendon de Jonge",105,19.51,32,164,"BirdieorBetterPercentageRightRough",2011
13,13,"Colt Knost",80,19.35,18,93,"BirdieorBetterPercentageRightRough",2011
14,14,"Charley Hoffman",93,19.29,27,140,"BirdieorBetterPercentageRightRough",2011
15,15,"Bill Haas",93,19.27,21,109,"BirdieorBetterPercentageRightRough",2011
16,16,"Kyle Stanley",98,18.89,34,180,"BirdieorBetterPercentageRightRough",2011
17,17,"Alex Cejka",59,18.84,13,69,"BirdieorBetterPercentageRightRough",2011
18,18,"Steve Stricker",70,18.6,16,86,"BirdieorBetterPercentageRightRough",2011
19,19,"Aaron Baddeley",77,18.59,29,156,"BirdieorBetterPercentageRightRough",2011
20,20,"JB Holmes",57,18.45,19,103,"BirdieorBetterPercentageRightRough",2011
21,21,"Hunter Haas",96,18.42,28,152,"BirdieorBetterPercentageRightRough",2011
22,22,"Robert Garrigus",83,18.4,30,163,"BirdieorBetterPercentageRightRough",2011
23,23,"Phil Mickelson",79,18.35,20,109,"BirdieorBetterPercentageRightRough",2011
24,24,"Robert Karlsson",61,18.07,15,83,"BirdieorBetterPercentageRightRough",2011
25,25,"Bobby Gates",82,18.06,26,144,"BirdieorBetterPercentageRightRough",2011
26,26,"Michael Bradley",74,18.02,20,111,"BirdieorBetterPercentageRightRough",2011
27,27,"Chris Stroud",88,17.98,32,178,"BirdieorBetterPercentageRightRough",2011
28,28,"Charlie Wi",83,17.96,30,167,"BirdieorBetterPercentageRightRough",2011
29,29,"Bubba Watson",85,17.74,22,124,"BirdieorBetterPercentageRightRough",2011
30,30,"Scott Stallings",84,17.65,30,170,"BirdieorBetterPercentageRightRough",2011
31,31,"Padraig Harrington",60,17.5,14,80,"BirdieorBetterPercentageRightRough",2011
