"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2005","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2005","TenthTeeEarlyScoringAverage_PLAYERNAME_2005","TenthTeeEarlyScoringAverage_ROUNDS_2005","TenthTeeEarlyScoringAverage_AVG_2005","TenthTeeEarlyScoringAverage_TOTALSTROKES_2005","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2005","stat_name","year"
68,68,"Cameron Beckman",96,70.67,848,12,"TenthTeeEarlyScoringAverage",2005
68,68,"Paul Claxton",79,70.67,1272,18,"TenthTeeEarlyScoringAverage",2005
68,68,"Todd Hamilton",94,70.67,1272,18,"TenthTeeEarlyScoringAverage",2005
71,71,"Carl Pettersson",109,70.68,1555,22,"TenthTeeEarlyScoringAverage",2005
72,72,"Padraig Harrington",50,70.7,707,10,"TenthTeeEarlyScoringAverage",2005
73,73,"Hunter Haas",83,70.74,1344,19,"TenthTeeEarlyScoringAverage",2005
73,73,"Hidemichi Tanaka",106,70.74,1344,19,"TenthTeeEarlyScoringAverage",2005
75,75,"Craig Barlow",81,70.78,1274,18,"TenthTeeEarlyScoringAverage",2005
75,75,"Chris DiMarco",83,70.78,637,9,"TenthTeeEarlyScoringAverage",2005
77,77,"Patrick Sheehan",114,70.8,1416,20,"TenthTeeEarlyScoringAverage",2005
78,78,"Joe Durant",81,70.81,1133,16,"TenthTeeEarlyScoringAverage",2005
79,79,"Fred Couples",72,70.82,1204,17,"TenthTeeEarlyScoringAverage",2005
79,79,"Justin Leonard",78,70.82,779,11,"TenthTeeEarlyScoringAverage",2005
81,81,"Jim Furyk",94,70.83,850,12,"TenthTeeEarlyScoringAverage",2005
81,81,"Kevin Sutherland",89,70.83,1275,18,"TenthTeeEarlyScoringAverage",2005
83,83,"Bernhard Langer",67,70.85,921,13,"TenthTeeEarlyScoringAverage",2005
83,83,"Pat Perez",89,70.85,921,13,"TenthTeeEarlyScoringAverage",2005
85,85,"Zach Johnson",96,70.88,1205,17,"TenthTeeEarlyScoringAverage",2005
85,85,"Charles Warren",89,70.88,1205,17,"TenthTeeEarlyScoringAverage",2005
87,87,"Robert Gamez",91,70.89,1276,18,"TenthTeeEarlyScoringAverage",2005
88,88,"Steve Elkington",67,70.91,780,11,"TenthTeeEarlyScoringAverage",2005
88,88,"Bob Heintz",67,70.91,780,11,"TenthTeeEarlyScoringAverage",2005
90,90,"Brad Faxon",75,70.92,851,12,"TenthTeeEarlyScoringAverage",2005
90,90,"Bo Van Pelt",112,70.92,1702,24,"TenthTeeEarlyScoringAverage",2005
92,92,"Tim Clark",92,70.93,993,14,"TenthTeeEarlyScoringAverage",2005
92,92,"Darron Stiles",78,70.93,1064,15,"TenthTeeEarlyScoringAverage",2005
94,94,"JJ Henry",102,70.96,1845,26,"TenthTeeEarlyScoringAverage",2005
94,94,"John Rollins",97,70.96,1632,23,"TenthTeeEarlyScoringAverage",2005
96,96,"Aaron Baddeley",84,71,1136,16,"TenthTeeEarlyScoringAverage",2005
96,96,"Franklin Langham",91,71,1207,17,"TenthTeeEarlyScoringAverage",2005
96,96,"Andrew Magee",82,71,1065,15,"TenthTeeEarlyScoringAverage",2005
96,96,"Omar Uresti",84,71,1349,19,"TenthTeeEarlyScoringAverage",2005
100,100,"Jonathan Byrd",103,71.05,1492,21,"TenthTeeEarlyScoringAverage",2005
100,100,"Neal Lancaster",95,71.05,1563,22,"TenthTeeEarlyScoringAverage",2005
100,100,"Ted Purdy",122,71.05,1350,19,"TenthTeeEarlyScoringAverage",2005
100,100,"Joey Sindelar",104,71.05,1421,20,"TenthTeeEarlyScoringAverage",2005
104,104,"Kent Jones",99,71.06,1279,18,"TenthTeeEarlyScoringAverage",2005
104,104,"Billy Mayfair",114,71.06,1279,18,"TenthTeeEarlyScoringAverage",2005
106,106,"Matt Kuchar",60,71.07,995,14,"TenthTeeEarlyScoringAverage",2005
107,107,"Greg Owen",84,71.1,711,10,"TenthTeeEarlyScoringAverage",2005
108,108,"Woody Austin",100,71.13,569,8,"TenthTeeEarlyScoringAverage",2005
109,109,"Fred Funk",102,71.14,1494,21,"TenthTeeEarlyScoringAverage",2005
110,110,"KJ Choi",78,71.19,1139,16,"TenthTeeEarlyScoringAverage",2005
110,110,"Scott McCarron",78,71.19,1139,16,"TenthTeeEarlyScoringAverage",2005
110,110,"Scott Verplank",87,71.19,1139,16,"TenthTeeEarlyScoringAverage",2005
113,113,"Freddie Jacobson",72,71.2,712,10,"TenthTeeEarlyScoringAverage",2005
113,113,"JL Lewis",98,71.2,1068,15,"TenthTeeEarlyScoringAverage",2005
115,115,"Tag Ridings",93,71.22,1282,18,"TenthTeeEarlyScoringAverage",2005
