"Total1PuttsInside5_RANKTHISWEEK_2012","Total1PuttsInside5_RANKLASTWEEK_2012","Total1PuttsInside5_PLAYERNAME_2012","Total1PuttsInside5_ROUNDS_2012","Total1PuttsInside5_TOTAL_2012","Total1PuttsInside5_TOTALFORALLDISTANCES_2012","Total1PuttsInside5_PCTOFALL1PUTTS_2012","stat_name","year"
1,1,"JJ Killeen",101,357,629,56.8,"Total1PuttsInside5",2012
1,1,"Jeff Overton",101,357,695,51.4,"Total1PuttsInside5",2012
3,3,"Bud Cauley",99,349,649,53.8,"Total1PuttsInside5",2012
4,4,"Ken Duke",104,334,679,49.2,"Total1PuttsInside5",2012
5,5,"Tommy Gainey",98,332,653,50.8,"Total1PuttsInside5",2012
6,6,"Brian Harman",101,325,638,50.9,"Total1PuttsInside5",2012
7,7,"Brendon de Jonge",115,319,691,46.2,"Total1PuttsInside5",2012
8,8,"John Huh",99,314,594,52.9,"Total1PuttsInside5",2012
9,9,"Seung Yul Noh",105,310,578,53.6,"Total1PuttsInside5",2012
10,10,"Greg Chalmers",88,309,584,52.9,"Total1PuttsInside5",2012
10,10,"JB Holmes",90,309,562,55,"Total1PuttsInside5",2012
10,10,"Josh Teater",97,309,583,53,"Total1PuttsInside5",2012
13,13,"Marc Leishman",84,304,531,57.3,"Total1PuttsInside5",2012
14,14,"Scott Piercy",95,302,623,48.5,"Total1PuttsInside5",2012
14,14,"Vijay Singh",99,302,549,55,"Total1PuttsInside5",2012
16,16,"Brian Gay",91,301,589,51.1,"Total1PuttsInside5",2012
17,17,"Jimmy Walker",101,298,630,47.3,"Total1PuttsInside5",2012
18,18,"Carl Pettersson",92,296,602,49.2,"Total1PuttsInside5",2012
19,19,"David Hearn",95,295,607,48.6,"Total1PuttsInside5",2012
20,20,"Rory Sabbatini",84,294,539,54.5,"Total1PuttsInside5",2012
21,21,"Chris Kirk",93,291,590,49.3,"Total1PuttsInside5",2012
22,22,"Zach Johnson",95,289,580,49.8,"Total1PuttsInside5",2012
23,23,"Will Claxton",99,287,568,50.5,"Total1PuttsInside5",2012
24,24,"Chris DiMarco",83,284,524,54.2,"Total1PuttsInside5",2012
25,25,"Billy Mayfair",90,283,531,53.3,"Total1PuttsInside5",2012
26,26,"Harris English",98,281,571,49.2,"Total1PuttsInside5",2012
26,26,"Martin Flores",95,281,581,48.4,"Total1PuttsInside5",2012
28,28,"Kevin Streelman",89,278,529,52.6,"Total1PuttsInside5",2012
29,29,"Brian Davis",91,277,600,46.2,"Total1PuttsInside5",2012
30,30,"Troy Matteson",100,276,576,47.9,"Total1PuttsInside5",2012
