"LongestHoleOutsinyards_RANKTHISWEEK_2014","LongestHoleOutsinyards_RANKLASTWEEK_2014","LongestHoleOutsinyards_PLAYERNAME_2014","LongestHoleOutsinyards_ROUNDS_2014","LongestHoleOutsinyards_DISTANCE_2014","LongestHoleOutsinyards_TOURNAMENT_2014","LongestHoleOutsinyards_ROUNDCOURSE_2014","LongestHoleOutsinyards_HOLE_2014","stat_name","year"
1,1,"Trevor Immelman",84,246,NA,1,13,"LongestHoleOutsinyards",2014
2,2,"Peter Hanson",37,223,NA,3,2,"LongestHoleOutsinyards",2014
3,3,"George McNeill",79,219,NA,4,8,"LongestHoleOutsinyards",2014
3,4,"Scottie Scheffler",6,219,NA,3,2,"LongestHoleOutsinyards",2014
5,5,"Andrew Svoboda",77,216,NA,2,5,"LongestHoleOutsinyards",2014
6,6,"Graeme McDowell",66,213,NA,1,11,"LongestHoleOutsinyards",2014
7,7,"David Toms",64,200,NA,3,7,"LongestHoleOutsinyards",2014
8,8,"Shawn Stefani",60,199,NA,2,12,"LongestHoleOutsinyards",2014
9,10,"Brian Davis",93,197,NA,4,10,"LongestHoleOutsinyards",2014
9,9,"Cameron Tringale",111,197,NA,2,12,"LongestHoleOutsinyards",2014
11,11,"Kevin Foley",38,195,NA,3,12,"LongestHoleOutsinyards",2014
12,12,"Chad Campbell",57,194,NA,3,9,"LongestHoleOutsinyards",2014
13,13,"James Hahn",82,193,NA,2,9,"LongestHoleOutsinyards",2014
14,14,"Dawie van der Walt",6,185,NA,4,7,"LongestHoleOutsinyards",2014
15,15,"Josh Teater",90,184,NA,2,17,"LongestHoleOutsinyards",2014
15,16,"Gonzalo Fdez Castano",83,184,NA,1,1,"LongestHoleOutsinyards",2014
17,18,"Charlie Beljan",76,183,NA,2,3,"LongestHoleOutsinyards",2014
19,19,"Chad Collins",78,182,NA,2,1,"LongestHoleOutsinyards",2014
20,20,"Aaron Goldberg",2,181,NA,2,18,"LongestHoleOutsinyards",2014
21,21,"Charlie Wi",72,179,NA,3,9,"LongestHoleOutsinyards",2014
21,22,"Luke Guthrie",85,179,NA,2,18,"LongestHoleOutsinyards",2014
23,23,"Jonas Blixt",64,178,NA,2,15,"LongestHoleOutsinyards",2014
24,24,"Bud Cauley",56,176,NA,4,18,"LongestHoleOutsinyards",2014
24,25,"Angel Cabrera",69,176,NA,4,13,"LongestHoleOutsinyards",2014
24,26,"Ben Martin",80,176,NA,1,18,"LongestHoleOutsinyards",2014
27,27,"Scott Brown",100,171,NA,2,8,"LongestHoleOutsinyards",2014
28,28,"Kevin Kisner",85,170,NA,1,12,"LongestHoleOutsinyards",2014
28,29,"Charles Howell III",106,170,NA,1,11,"LongestHoleOutsinyards",2014
30,30,"Johnson Wagner",69,167,NA,2,9,"LongestHoleOutsinyards",2014
31,31,"Brian Harman",111,166,NA,3,12,"LongestHoleOutsinyards",2014
32,33,"Thomas Aiken",8,165,NA,4,15,"LongestHoleOutsinyards",2014
34,34,"Roberto Castro",76,164,NA,2,12,"LongestHoleOutsinyards",2014
35,35,"Geoff Ogilvy",84,162,NA,3,9,"LongestHoleOutsinyards",2014
36,36,"William McGirt",96,159,NA,3,7,"LongestHoleOutsinyards",2014
37,38,"Stuart Appleby",92,157,NA,1,8,"LongestHoleOutsinyards",2014
37,37,"Matt Jones",83,157,NA,2,6,"LongestHoleOutsinyards",2014
39,39,"DH Lee",54,156,NA,2,8,"LongestHoleOutsinyards",2014
41,42,"Jonathan Byrd",76,154,NA,2,11,"LongestHoleOutsinyards",2014
43,43,"Kyle Stanley",87,152,NA,1,2,"LongestHoleOutsinyards",2014
43,44,"Justin Hicks",103,152,NA,1,6,"LongestHoleOutsinyards",2014
43,45,"Max Homa",25,152,NA,4,10,"LongestHoleOutsinyards",2014
46,46,"Jim Furyk",84,151,NA,1,2,"LongestHoleOutsinyards",2014
47,48,"Russell Henley",92,150,NA,3,14,"LongestHoleOutsinyards",2014
47,49,"YE Yang",79,150,NA,2,7,"LongestHoleOutsinyards",2014
50,50,"Justin Leonard",75,147,NA,1,1,"LongestHoleOutsinyards",2014
50,51,"Daniel Summerhays",98,147,NA,3,5,"LongestHoleOutsinyards",2014
53,53,"Kevin Chappell",100,145,NA,4,9,"LongestHoleOutsinyards",2014
54,54,"Steve Marino",40,144,NA,3,9,"LongestHoleOutsinyards",2014
55,55,"John Rollins",84,142,NA,2,6,"LongestHoleOutsinyards",2014
55,56,"Ben Curtis",77,142,NA,1,8,"LongestHoleOutsinyards",2014
57,57,"Stephen Ames",48,139,NA,1,1,"LongestHoleOutsinyards",2014
57,58,"Stewart Cink",91,139,NA,3,7,"LongestHoleOutsinyards",2014
59,59,"Charley Hoffman",93,138,NA,4,3,"LongestHoleOutsinyards",2014
59,60,"Hideki Matsuyama",82,138,NA,3,5,"LongestHoleOutsinyards",2014
62,62,"Brice Garnett",92,137,NA,2,3,"LongestHoleOutsinyards",2014
63,63,"Keegan Bradley",89,134,NA,4,3,"LongestHoleOutsinyards",2014
63,64,"Justin Thomas",21,134,NA,2,3,"LongestHoleOutsinyards",2014
65,65,"Gary Woodland",93,133,NA,2,7,"LongestHoleOutsinyards",2014
67,67,"Seung Yul Noh",92,131,NA,4,9,"LongestHoleOutsinyards",2014
69,69,"David Hearn",97,130,NA,3,10,"LongestHoleOutsinyards",2014
69,70,"Jason Kokrak",65,130,NA,3,1,"LongestHoleOutsinyards",2014
71,71,"Brendan Steele",89,129,NA,1,1,"LongestHoleOutsinyards",2014
71,72,"Danny Lee",84,129,NA,1,2,"LongestHoleOutsinyards",2014
73,74,"Jeff Overton",80,128,NA,1,1,"LongestHoleOutsinyards",2014
75,75,"Marc Leishman",81,127,NA,2,9,"LongestHoleOutsinyards",2014
76,76,"Bryce Molder",77,126,NA,1,16,"LongestHoleOutsinyards",2014
76,77,"Sergio Garcia",61,126,NA,2,7,"LongestHoleOutsinyards",2014
79,80,"Jordan Spieth",102,125,NA,1,7,"LongestHoleOutsinyards",2014
81,82,"Paul Casey",56,123,NA,1,2,"LongestHoleOutsinyards",2014
81,83,"Jason Bohn",81,123,NA,2,10,"LongestHoleOutsinyards",2014
84,84,"Erik Compton",88,122,NA,4,8,"LongestHoleOutsinyards",2014
85,85,"Patrick Rodgers",23,118,NA,1,1,"LongestHoleOutsinyards",2014
85,86,"Harris English",95,118,NA,3,1,"LongestHoleOutsinyards",2014
85,87,"David Lingmerth",80,118,NA,3,6,"LongestHoleOutsinyards",2014
90,91,"Spencer Levin",59,116,NA,4,5,"LongestHoleOutsinyards",2014
90,92,"Will Ma Kenzie",82,116,NA,1,8,"LongestHoleOutsinyards",2014
93,93,"Morgan Hoffmann",103,114,NA,3,7,"LongestHoleOutsinyards",2014
94,94,"Scott Gardiner",46,112,NA,4,4,"LongestHoleOutsinyards",2014
95,95,"John Senden",99,111,NA,1,6,"LongestHoleOutsinyards",2014
95,96,"Russell Knox",92,111,NA,3,18,"LongestHoleOutsinyards",2014
95,97,"Harrison Frazar",38,111,NA,2,18,"LongestHoleOutsinyards",2014
95,98,"Chesson Hadley",84,111,NA,1,18,"LongestHoleOutsinyards",2014
99,99,"Ken Duke",80,110,NA,4,17,"LongestHoleOutsinyards",2014
100,100,"Joe Ogilvie",35,109,NA,4,1,"LongestHoleOutsinyards",2014
101,101,"Henrik Stenson",56,108,NA,2,10,"LongestHoleOutsinyards",2014
103,103,"Scott Langley",95,107,NA,2,6,"LongestHoleOutsinyards",2014
104,104,"Ernie Els",85,105,NA,1,4,"LongestHoleOutsinyards",2014
104,106,"Martin Flores",85,105,NA,2,11,"LongestHoleOutsinyards",2014
107,108,"Patrick Reed",92,104,NA,4,17,"LongestHoleOutsinyards",2014
109,109,"Pat Perez",84,103,NA,2,11,"LongestHoleOutsinyards",2014
109,110,"Jason Dufner",57,103,NA,1,11,"LongestHoleOutsinyards",2014
111,111,"DJ Trahan",13,102,NA,2,16,"LongestHoleOutsinyards",2014
112,112,"Brendon Todd",108,100,NA,2,9,"LongestHoleOutsinyards",2014
113,113,"Ryo Ishikawa",75,99,NA,3,10,"LongestHoleOutsinyards",2014
113,114,"Jim Renner",61,99,NA,2,12,"LongestHoleOutsinyards",2014
115,115,"David Lynn",33,98,NA,3,18,"LongestHoleOutsinyards",2014
115,117,"Alex Prugh",40,98,NA,3,13,"LongestHoleOutsinyards",2014
119,119,"Kevin Streelman",79,97,NA,1,3,"LongestHoleOutsinyards",2014
121,121,"Billy Horschel",92,95,NA,4,18,"LongestHoleOutsinyards",2014
123,123,"Steve Stricker",41,94,NA,3,5,"LongestHoleOutsinyards",2014
125,125,"Glen Day",12,93,NA,2,5,"LongestHoleOutsinyards",2014
127,127,"Phil Mickelson",71,92,NA,4,13,"LongestHoleOutsinyards",2014
130,130,"Marc Warren",8,90,NA,2,10,"LongestHoleOutsinyards",2014
131,131,"Fabrizio Zanotti",8,89,NA,4,4,"LongestHoleOutsinyards",2014
131,132,"Brandt Snedeker",89,89,NA,2,1,"LongestHoleOutsinyards",2014
135,135,"Andres Romero",81,86,NA,1,13,"LongestHoleOutsinyards",2014
135,136,"Billy Hurley III",86,86,NA,2,9,"LongestHoleOutsinyards",2014
139,139,"Steven Bowditch",93,83,NA,2,12,"LongestHoleOutsinyards",2014
140,140,"Thongchai Jaidee",27,82,NA,4,2,"LongestHoleOutsinyards",2014
141,142,"James Driscoll",71,81,NA,1,9,"LongestHoleOutsinyards",2014
143,143,"Brad Fritsch",50,76,NA,3,8,"LongestHoleOutsinyards",2014
145,146,"DA Points",75,71,NA,4,11,"LongestHoleOutsinyards",2014
147,147,"Ben Crane",81,68,NA,3,17,"LongestHoleOutsinyards",2014
148,148,"Martin Kaymer",65,67,NA,1,8,"LongestHoleOutsinyards",2014
149,149,"Brian Gay",81,61,NA,3,10,"LongestHoleOutsinyards",2014
150,150,"Graham DeLaet",80,60,NA,2,8,"LongestHoleOutsinyards",2014
153,153,"Rory McIlroy",66,56,NA,4,7,"LongestHoleOutsinyards",2014
154,155,"Tim Clark",75,50,NA,3,2,"LongestHoleOutsinyards",2014
154,156,"Matt Every",85,50,NA,2,13,"LongestHoleOutsinyards",2014
157,157,"Jason Allred",28,49,NA,2,10,"LongestHoleOutsinyards",2014
157,158,"Martin Laird",66,49,NA,3,5,"LongestHoleOutsinyards",2014
160,160,"Scott Verplank",24,47,NA,1,9,"LongestHoleOutsinyards",2014
163,163,"Ryan Palmer",85,46,NA,2,7,"LongestHoleOutsinyards",2014
166,166,"Ben Kohles",8,41,NA,1,12,"LongestHoleOutsinyards",2014
166,168,"Johan Kok",2,41,NA,2,6,"LongestHoleOutsinyards",2014
166,170,"Thorbjorn Olesen",37,41,NA,2,15,"LongestHoleOutsinyards",2014
171,174,"Jimmy Walker",98,40,NA,1,10,"LongestHoleOutsinyards",2014
175,175,"Toshinori Muto",3,39,NA,1,12,"LongestHoleOutsinyards",2014
175,180,"Rafa Cabrera Bello",15,39,NA,1,15,"LongestHoleOutsinyards",2014
181,181,"Chris Stroud",88,38,NA,4,13,"LongestHoleOutsinyards",2014
