"3PuttAvoidanceInside5_RANKTHISWEEK_2009","3PuttAvoidanceInside5_RANKLASTWEEK_2009","3PuttAvoidanceInside5_PLAYERNAME_2009","3PuttAvoidanceInside5_ROUNDS_2009","3PuttAvoidanceInside5_Pct_2009","3PuttAvoidanceInside5_TOTAL3PUTTS_2009","3PuttAvoidanceInside5_ATTEMPTS_2009","3PuttAvoidanceInside5_2PUTTORBETTERPct_2009","stat_name","year"
1,1,"Brad Adamonis",70,0,NA,246,100,"3PuttAvoidanceInside5",2009
1,1,"Michael Allen",73,0,NA,233,100,"3PuttAvoidanceInside5",2009
1,1,"Robert Allenby",71,0,NA,209,100,"3PuttAvoidanceInside5",2009
1,1,"Stephen Ames",77,0,NA,204,100,"3PuttAvoidanceInside5",2009
1,1,"Eric Axley",71,0,NA,248,100,"3PuttAvoidanceInside5",2009
1,1,"Briny Baird",89,0,NA,266,100,"3PuttAvoidanceInside5",2009
1,1,"Brian Bateman",55,0,NA,184,100,"3PuttAvoidanceInside5",2009
1,1,"Cameron Beckman",87,0,NA,279,100,"3PuttAvoidanceInside5",2009
1,1,"Rich Beem",77,0,NA,226,100,"3PuttAvoidanceInside5",2009
1,1,"Matt Bettencourt",98,0,NA,341,100,"3PuttAvoidanceInside5",2009
1,1,"Kris Blanks",60,0,NA,179,100,"3PuttAvoidanceInside5",2009
1,1,"Jason Bohn",88,0,NA,315,100,"3PuttAvoidanceInside5",2009
1,1,"Bart Bryant",58,0,NA,204,100,"3PuttAvoidanceInside5",2009
1,1,"Chad Campbell",90,0,NA,269,100,"3PuttAvoidanceInside5",2009
1,1,"Greg Chalmers",85,0,NA,267,100,"3PuttAvoidanceInside5",2009
1,1,"Stewart Cink",79,0,NA,218,100,"3PuttAvoidanceInside5",2009
1,1,"Tim Clark",81,0,NA,250,100,"3PuttAvoidanceInside5",2009
1,1,"Ben Crane",93,0,NA,310,100,"3PuttAvoidanceInside5",2009
1,1,"Ben Curtis",63,0,NA,193,100,"3PuttAvoidanceInside5",2009
1,1,"Glen Day",79,0,NA,244,100,"3PuttAvoidanceInside5",2009
1,1,"Brendon de Jonge",90,0,NA,293,100,"3PuttAvoidanceInside5",2009
1,1,"Chris DiMarco",97,0,NA,383,100,"3PuttAvoidanceInside5",2009
1,1,"Luke Donald",79,0,NA,251,100,"3PuttAvoidanceInside5",2009
