"ScramblingAverageDistancetoHole_RANKTHISWEEK_2013","ScramblingAverageDistancetoHole_RANKLASTWEEK_2013","ScramblingAverageDistancetoHole_PLAYERNAME_2013","ScramblingAverageDistancetoHole_ROUNDS_2013","ScramblingAverageDistancetoHole_AVGDTP_2013","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2013","ScramblingAverageDistancetoHole_ATTEMPTS_2013","stat_name","year"
1,NA,"Justin Rose",62,NA,1440.583,225,"ScramblingAverageDistancetoHole",2013
1,NA,"Lee Williams",62,NA,2017.417,313,"ScramblingAverageDistancetoHole",2013
3,NA,"Tim Clark",64,NA,1775.833,271,"ScramblingAverageDistancetoHole",2013
4,NA,"Roberto Castro",97,NA,2964.5,440,"ScramblingAverageDistancetoHole",2013
4,NA,"Luke Donald",60,NA,1793.333,265,"ScramblingAverageDistancetoHole",2013
4,NA,"Bob Estes",66,NA,2292.667,339,"ScramblingAverageDistancetoHole",2013
7,NA,"Steve Stricker",51,NA,1091,160,"ScramblingAverageDistancetoHole",2013
8,NA,"Stuart Appleby",88,NA,2947.583,423,"ScramblingAverageDistancetoHole",2013
8,NA,"Bryce Molder",82,NA,2896.583,413,"ScramblingAverageDistancetoHole",2013
10,NA,"KJ Choi",85,NA,2384.667,335,"ScramblingAverageDistancetoHole",2013
10,NA,"Webb Simpson",92,NA,2608.25,368,"ScramblingAverageDistancetoHole",2013
10,NA,"Casey Wittenberg",72,NA,2501.583,352,"ScramblingAverageDistancetoHole",2013
13,NA,"Jim Furyk",80,NA,2329.167,326,"ScramblingAverageDistancetoHole",2013
13,NA,"Peter Hanson",45,NA,1388.667,193,"ScramblingAverageDistancetoHole",2013
13,NA,"Padraig Harrington",52,NA,1508.75,211,"ScramblingAverageDistancetoHole",2013
13,NA,"Matt Kuchar",93,NA,2659.667,371,"ScramblingAverageDistancetoHole",2013
13,NA,"Justin Leonard",86,NA,3200.5,446,"ScramblingAverageDistancetoHole",2013
13,NA,"Geoff Ogilvy",57,NA,1820.917,253,"ScramblingAverageDistancetoHole",2013
19,NA,"Lucas Glover",65,NA,1933.667,268,"ScramblingAverageDistancetoHole",2013
19,NA,"Charles Howell III",87,NA,2984.583,414,"ScramblingAverageDistancetoHole",2013
19,NA,"Ian Poulter",59,NA,1603.833,222,"ScramblingAverageDistancetoHole",2013
19,NA,"Lee Westwood",70,NA,1941,268,"ScramblingAverageDistancetoHole",2013
23,NA,"Freddie Jacobson",63,NA,1972.167,269,"ScramblingAverageDistancetoHole",2013
23,NA,"Robert Karlsson",56,NA,1543.417,211,"ScramblingAverageDistancetoHole",2013
23,NA,"Kevin Streelman",86,NA,2580.333,352,"ScramblingAverageDistancetoHole",2013
26,NA,"Steven Bowditch",67,NA,2551.167,343,"ScramblingAverageDistancetoHole",2013
26,NA,"Jason Dufner",78,NA,2397.083,325,"ScramblingAverageDistancetoHole",2013
26,NA,"Bill Haas",85,NA,2614.667,352,"ScramblingAverageDistancetoHole",2013
26,NA,"Greg Owen",73,NA,2539.917,341,"ScramblingAverageDistancetoHole",2013
26,NA,"Henrik Stenson",65,NA,1422.083,192,"ScramblingAverageDistancetoHole",2013
