"OnePuttPercentageRound1_RANKTHISWEEK_2013","OnePuttPercentageRound1_RANKLASTWEEK_2013","OnePuttPercentageRound1_PLAYERNAME_2013","OnePuttPercentageRound1_ROUNDS_2013","OnePuttPercentageRound1_Pct_2013","OnePuttPercentageRound1_OF1PUTTS_2013","OnePuttPercentageRound1_OFHOLES_2013","stat_name","year"
1,1,"Freddie Jacobson",63,45.37,147,324,"OnePuttPercentageRound1",2013
2,2,"Aaron Baddeley",68,45.17,187,414,"OnePuttPercentageRound1",2013
3,3,"Brian Gay",79,45.14,195,432,"OnePuttPercentageRound1",2013
4,4,"Chris Kirk",89,44.68,193,432,"OnePuttPercentageRound1",2013
5,5,"Greg Chalmers",77,44.44,192,432,"OnePuttPercentageRound1",2013
6,6,"Chris Stroud",88,44.23,207,468,"OnePuttPercentageRound1",2013
7,7,"Vaughn Taylor",50,44.07,119,270,"OnePuttPercentageRound1",2013
8,8,"Steven Bowditch",67,43.92,166,378,"OnePuttPercentageRound1",2013
9,9,"Mike Weir",60,43.65,165,378,"OnePuttPercentageRound1",2013
10,10,"Jerry Kelly",75,43.43,172,396,"OnePuttPercentageRound1",2013
11,11,"Roberto Castro",97,43.3,226,522,"OnePuttPercentageRound1",2013
12,12,"Kevin Chappell",80,43.06,186,432,"OnePuttPercentageRound1",2013
12,12,"Matt Every",89,43.06,217,504,"OnePuttPercentageRound1",2013
14,14,"Tiger Woods",61,42.96,116,270,"OnePuttPercentageRound1",2013
15,15,"Charlie Wi",75,42.93,170,396,"OnePuttPercentageRound1",2013
16,16,"Brandt Snedeker",79,42.75,177,414,"OnePuttPercentageRound1",2013
17,17,"Morgan Hoffmann",64,42.5,153,360,"OnePuttPercentageRound1",2013
18,18,"Luke Donald",60,42.36,122,288,"OnePuttPercentageRound1",2013
19,19,"Bryce Molder",82,42.27,175,414,"OnePuttPercentageRound1",2013
20,20,"James Driscoll",76,42.17,167,396,"OnePuttPercentageRound1",2013
21,21,"Jonas Blixt",76,42.13,182,432,"OnePuttPercentageRound1",2013
22,22,"Daniel Summerhays",83,42.09,197,468,"OnePuttPercentageRound1",2013
23,23,"Lee Williams",62,42.06,159,378,"OnePuttPercentageRound1",2013
24,24,"Russell Henley",80,42.03,174,414,"OnePuttPercentageRound1",2013
25,25,"Ian Poulter",59,41.85,113,270,"OnePuttPercentageRound1",2013
26,26,"Geoff Ogilvy",57,41.81,143,342,"OnePuttPercentageRound1",2013
27,27,"Carl Pettersson",82,41.79,173,414,"OnePuttPercentageRound1",2013
28,28,"Scott Stallings",79,41.77,203,486,"OnePuttPercentageRound1",2013
29,29,"Jason Day",86,41.67,150,360,"OnePuttPercentageRound1",2013
29,29,"Bob Estes",66,41.67,135,324,"OnePuttPercentageRound1",2013
29,29,"Sergio Garcia",65,41.67,120,288,"OnePuttPercentageRound1",2013
29,29,"Matt Jones",83,41.67,180,432,"OnePuttPercentageRound1",2013
29,29,"Justin Leonard",86,41.67,180,432,"OnePuttPercentageRound1",2013
29,29,"Patrick Reed",83,41.67,195,468,"OnePuttPercentageRound1",2013
35,35,"DJ Trahan",48,41.48,112,270,"OnePuttPercentageRound1",2013
36,36,"Peter Hanson",45,41.45,97,234,"OnePuttPercentageRound1",2013
37,37,"Jeff Maggert",63,41.39,149,360,"OnePuttPercentageRound1",2013
38,38,"Fabian Gomez",65,41.3,171,414,"OnePuttPercentageRound1",2013
39,39,"Casey Wittenberg",72,41.24,193,468,"OnePuttPercentageRound1",2013
40,40,"Colt Knost",69,41.2,178,432,"OnePuttPercentageRound1",2013
41,41,"Matt Kuchar",93,41.16,163,396,"OnePuttPercentageRound1",2013
42,42,"Alistair Presnell",59,41.01,155,378,"OnePuttPercentageRound1",2013
43,43,"Andres Romero",63,40.83,147,360,"OnePuttPercentageRound1",2013
44,44,"Jimmy Walker",84,40.74,176,432,"OnePuttPercentageRound1",2013
45,45,"Doug LaBelle II",72,40.66,161,396,"OnePuttPercentageRound1",2013
46,46,"David Hearn",88,40.6,190,468,"OnePuttPercentageRound1",2013
46,46,"Billy Horschel",96,40.6,190,468,"OnePuttPercentageRound1",2013
48,48,"Cameron Percy",68,40.56,146,360,"OnePuttPercentageRound1",2013
49,49,"Rickie Fowler",75,40.48,153,378,"OnePuttPercentageRound1",2013
50,50,"Tim Herron",45,40.37,109,270,"OnePuttPercentageRound1",2013
51,51,"Jason Bohn",70,40.34,167,414,"OnePuttPercentageRound1",2013
52,52,"Luke Guthrie",82,40.33,196,486,"OnePuttPercentageRound1",2013
53,53,"Phil Mickelson",78,40.21,152,378,"OnePuttPercentageRound1",2013
54,54,"Dicky Pride",71,40.15,159,396,"OnePuttPercentageRound1",2013
55,55,"Scott Brown",65,39.95,151,378,"OnePuttPercentageRound1",2013
55,55,"Ryan Moore",72,39.95,151,378,"OnePuttPercentageRound1",2013
57,57,"Ryan Palmer",79,39.9,158,396,"OnePuttPercentageRound1",2013
58,58,"Ken Duke",87,39.88,201,504,"OnePuttPercentageRound1",2013
59,59,"Zach Johnson",84,39.86,165,414,"OnePuttPercentageRound1",2013
59,59,"Johnson Wagner",64,39.86,165,414,"OnePuttPercentageRound1",2013
61,61,"Steve Stricker",51,39.81,86,216,"OnePuttPercentageRound1",2013
62,62,"Brendan Steele",86,39.78,179,450,"OnePuttPercentageRound1",2013
63,63,"Ted Potter Jr",65,39.68,150,378,"OnePuttPercentageRound1",2013
64,64,"Padraig Harrington",52,39.63,107,270,"OnePuttPercentageRound1",2013
65,65,"Tag Ridings",69,39.61,164,414,"OnePuttPercentageRound1",2013
66,66,"Jeff Overton",78,39.58,171,432,"OnePuttPercentageRound1",2013
67,67,"Sangmoon Bae",83,39.53,185,468,"OnePuttPercentageRound1",2013
68,68,"Jin Park",52,39.47,135,342,"OnePuttPercentageRound1",2013
69,69,"Ben Crane",62,39.44,142,360,"OnePuttPercentageRound1",2013
69,69,"Shawn Stefani",63,39.44,142,360,"OnePuttPercentageRound1",2013
71,71,"Michael Thompson",66,39.39,156,396,"OnePuttPercentageRound1",2013
71,71,"Camilo Villegas",79,39.39,156,396,"OnePuttPercentageRound1",2013
73,73,"Charley Hoffman",84,39.37,163,414,"OnePuttPercentageRound1",2013
74,74,"Seung Yul Noh",71,39.35,170,432,"OnePuttPercentageRound1",2013
74,74,"Webb Simpson",92,39.35,170,432,"OnePuttPercentageRound1",2013
76,76,"Justin Rose",62,39.24,113,288,"OnePuttPercentageRound1",2013
77,77,"Robert Karlsson",56,39.22,120,306,"OnePuttPercentageRound1",2013
78,78,"Nicholas Thompson",99,39.08,204,522,"OnePuttPercentageRound1",2013
79,79,"Stephen Ames",49,38.89,126,324,"OnePuttPercentageRound1",2013
79,79,"Brian Davis",91,38.89,196,504,"OnePuttPercentageRound1",2013
79,79,"Robert Streb",75,38.89,168,432,"OnePuttPercentageRound1",2013
82,82,"Tommy Gainey",84,38.69,195,504,"OnePuttPercentageRound1",2013
82,82,"DA Points",87,38.69,195,504,"OnePuttPercentageRound1",2013
84,84,"Jason Dufner",78,38.62,146,378,"OnePuttPercentageRound1",2013
85,85,"Aaron Watkins",46,38.58,125,324,"OnePuttPercentageRound1",2013
86,86,"Graeme McDowell",53,38.52,104,270,"OnePuttPercentageRound1",2013
87,87,"Harris English",95,38.46,180,468,"OnePuttPercentageRound1",2013
88,88,"Charles Howell III",87,38.44,173,450,"OnePuttPercentageRound1",2013
89,89,"James Hahn",78,38.22,172,450,"OnePuttPercentageRound1",2013
90,90,"William McGirt",75,38.19,165,432,"OnePuttPercentageRound1",2013
91,91,"KJ Choi",85,38.16,158,414,"OnePuttPercentageRound1",2013
91,91,"Marc Leishman",77,38.16,158,414,"OnePuttPercentageRound1",2013
93,93,"Graham DeLaet",94,38.03,178,468,"OnePuttPercentageRound1",2013
94,94,"Martin Flores",83,38,171,450,"OnePuttPercentageRound1",2013
94,94,"Jason Kokrak",78,38,171,450,"OnePuttPercentageRound1",2013
96,96,"Chez Reavie",72,37.88,150,396,"OnePuttPercentageRound1",2013
97,97,"Keegan Bradley",88,37.73,163,432,"OnePuttPercentageRound1",2013
98,98,"Richard Lee",81,37.68,156,414,"OnePuttPercentageRound1",2013
98,98,"Troy Matteson",68,37.68,156,414,"OnePuttPercentageRound1",2013
100,100,"Ernie Els",63,37.65,122,324,"OnePuttPercentageRound1",2013
101,101,"Scott Langley",79,37.61,176,468,"OnePuttPercentageRound1",2013
102,102,"Jim Furyk",80,37.57,142,378,"OnePuttPercentageRound1",2013
102,102,"David Lynn",70,37.57,142,378,"OnePuttPercentageRound1",2013
104,104,"Andrew Svoboda",46,37.5,108,288,"OnePuttPercentageRound1",2013
105,105,"Bobby Gates",49,37.43,128,342,"OnePuttPercentageRound1",2013
106,106,"Lee Westwood",70,37.35,121,324,"OnePuttPercentageRound1",2013
107,107,"John Huh",88,37.3,188,504,"OnePuttPercentageRound1",2013
108,108,"Stuart Appleby",88,37.27,161,432,"OnePuttPercentageRound1",2013
108,108,"Bill Haas",85,37.27,161,432,"OnePuttPercentageRound1",2013
110,110,"Ryo Ishikawa",72,37.12,147,396,"OnePuttPercentageRound1",2013
111,111,"Brian Harman",89,37.1,187,504,"OnePuttPercentageRound1",2013
112,112,"Jim Herman",59,37.04,120,324,"OnePuttPercentageRound1",2013
112,112,"George McNeill",68,37.04,140,378,"OnePuttPercentageRound1",2013
112,112,"Rod Pampling",46,37.04,100,270,"OnePuttPercentageRound1",2013
115,115,"Jordan Spieth",82,36.96,153,414,"OnePuttPercentageRound1",2013
116,116,"Henrik Stenson",65,36.93,113,306,"OnePuttPercentageRound1",2013
117,117,"David Toms",49,36.9,93,252,"OnePuttPercentageRound1",2013
118,118,"JJ Henry",83,36.89,166,450,"OnePuttPercentageRound1",2013
118,118,"Rory Sabbatini",86,36.89,166,450,"OnePuttPercentageRound1",2013
120,120,"Justin Bolli",59,36.87,146,396,"OnePuttPercentageRound1",2013
120,120,"Sean OHair",56,36.87,146,396,"OnePuttPercentageRound1",2013
122,122,"Tim Clark",64,36.84,126,342,"OnePuttPercentageRound1",2013
123,123,"Martin Kaymer",61,36.81,106,288,"OnePuttPercentageRound1",2013
124,124,"Brad Fritsch",81,36.71,152,414,"OnePuttPercentageRound1",2013
125,125,"Gary Woodland",94,36.67,165,450,"OnePuttPercentageRound1",2013
126,126,"Erik Compton",74,36.57,158,432,"OnePuttPercentageRound1",2013
127,127,"Tom Gillis",69,36.51,138,378,"OnePuttPercentageRound1",2013
128,128,"Scott Piercy",78,36.47,151,414,"OnePuttPercentageRound1",2013
129,129,"Charl Schwartzel",69,36.42,118,324,"OnePuttPercentageRound1",2013
130,130,"DH Lee",65,36.36,144,396,"OnePuttPercentageRound1",2013
131,131,"Chad Campbell",78,36.34,157,432,"OnePuttPercentageRound1",2013
131,131,"Hunter Mahan",91,36.34,157,432,"OnePuttPercentageRound1",2013
133,133,"Angel Cabrera",73,36.24,137,378,"OnePuttPercentageRound1",2013
134,134,"Josh Teater",86,36.23,150,414,"OnePuttPercentageRound1",2013
135,135,"Ricky Barnes",74,36,162,450,"OnePuttPercentageRound1",2013
136,136,"Will Claxton",67,35.99,149,414,"OnePuttPercentageRound1",2013
136,136,"John Rollins",77,35.99,149,414,"OnePuttPercentageRound1",2013
138,138,"Dustin Johnson",71,35.98,136,378,"OnePuttPercentageRound1",2013
138,138,"Martin Laird",68,35.98,136,378,"OnePuttPercentageRound1",2013
140,140,"YE Yang",56,35.96,123,342,"OnePuttPercentageRound1",2013
141,141,"Brendon de Jonge",110,35.93,194,540,"OnePuttPercentageRound1",2013
141,141,"Rory McIlroy",56,35.93,97,270,"OnePuttPercentageRound1",2013
143,143,"Ben Kohles",75,35.88,155,432,"OnePuttPercentageRound1",2013
143,143,"Brian Stuard",78,35.88,155,432,"OnePuttPercentageRound1",2013
143,143,"Cameron Tringale",80,35.88,155,432,"OnePuttPercentageRound1",2013
146,146,"Derek Ernst",58,35.71,135,378,"OnePuttPercentageRound1",2013
146,146,"Pat Perez",69,35.71,135,378,"OnePuttPercentageRound1",2013
146,146,"Bo Van Pelt",72,35.71,135,378,"OnePuttPercentageRound1",2013
149,149,"Ben Curtis",59,35.67,122,342,"OnePuttPercentageRound1",2013
150,150,"Boo Weekley",100,35.6,173,486,"OnePuttPercentageRound1",2013
151,151,"Nick Watney",88,35.33,159,450,"OnePuttPercentageRound1",2013
152,152,"Steve LeBrun",66,35.28,127,360,"OnePuttPercentageRound1",2013
153,153,"Luke List",65,35.27,146,414,"OnePuttPercentageRound1",2013
154,154,"Justin Hicks",79,35.19,152,432,"OnePuttPercentageRound1",2013
