"YTDConsecutiveCuts_RANKTHISWEEK_2013","YTDConsecutiveCuts_RANKLASTWEEK_2013","YTDConsecutiveCuts_PLAYERNAME_2013","YTDConsecutiveCuts__2013","YTDConsecutiveCuts_NUMBEROFCUTS_2013","stat_name","year"
1,1,"Matt Kuchar",NA,23,"YTDConsecutiveCuts",2013
2,2,"Jason Day",NA,21,"YTDConsecutiveCuts",2013
3,3,"Sergio Garcia",NA,17,"YTDConsecutiveCuts",2013
4,4,"Adam Scott",NA,16,"YTDConsecutiveCuts",2013
4,4,"Tiger Woods",NA,16,"YTDConsecutiveCuts",2013
6,6,"Steve Stricker",NA,13,"YTDConsecutiveCuts",2013
7,7,"Webb Simpson",NA,11,"YTDConsecutiveCuts",2013
7,7,"Henrik Stenson",NA,11,"YTDConsecutiveCuts",2013
9,9,"Gary Woodland",NA,10,"YTDConsecutiveCuts",2013
10,10,"Keegan Bradley",NA,9,"YTDConsecutiveCuts",2013
10,10,"Brendon de Jonge",NA,9,"YTDConsecutiveCuts",2013
10,10,"Zach Johnson",NA,9,"YTDConsecutiveCuts",2013
10,10,"Martin Kaymer",NA,9,"YTDConsecutiveCuts",2013
10,10,"Boo Weekley",NA,9,"YTDConsecutiveCuts",2013
15,15,"Ryan Moore",NA,8,"YTDConsecutiveCuts",2013
15,15,"Kevin Streelman",NA,8,"YTDConsecutiveCuts",2013
15,15,"Lee Westwood",NA,8,"YTDConsecutiveCuts",2013
18,18,"Stuart Appleby",NA,7,"YTDConsecutiveCuts",2013
18,18,"KJ Choi",NA,7,"YTDConsecutiveCuts",2013
18,18,"Jason Dufner",NA,7,"YTDConsecutiveCuts",2013
18,18,"Jim Furyk",NA,7,"YTDConsecutiveCuts",2013
18,18,"Hunter Mahan",NA,7,"YTDConsecutiveCuts",2013
18,18,"Phil Mickelson",NA,7,"YTDConsecutiveCuts",2013
18,18,"Rory Sabbatini",NA,7,"YTDConsecutiveCuts",2013
18,18,"Nicholas Thompson",NA,7,"YTDConsecutiveCuts",2013
26,26,"Jonas Blixt",NA,6,"YTDConsecutiveCuts",2013
26,26,"David Hearn",NA,6,"YTDConsecutiveCuts",2013
26,26,"Hideki Matsuyama",NA,6,"YTDConsecutiveCuts",2013
26,26,"John Merrick",NA,6,"YTDConsecutiveCuts",2013
26,26,"Scott Piercy",NA,6,"YTDConsecutiveCuts",2013
26,26,"Justin Rose",NA,6,"YTDConsecutiveCuts",2013
32,32,"Stephen Gallacher",NA,5,"YTDConsecutiveCuts",2013
32,32,"Charley Hoffman",NA,5,"YTDConsecutiveCuts",2013
32,32,"Steve LeBrun",NA,5,"YTDConsecutiveCuts",2013
32,32,"David Mathis",NA,5,"YTDConsecutiveCuts",2013
32,32,"Rory McIlroy",NA,5,"YTDConsecutiveCuts",2013
32,32,"Jordan Spieth",NA,5,"YTDConsecutiveCuts",2013
32,32,"Camilo Villegas",NA,5,"YTDConsecutiveCuts",2013
39,39,"Rafa Cabrera Bello",NA,4,"YTDConsecutiveCuts",2013
39,39,"Roberto Castro",NA,4,"YTDConsecutiveCuts",2013
39,39,"Kevin Chappell",NA,4,"YTDConsecutiveCuts",2013
39,39,"Will Claxton",NA,4,"YTDConsecutiveCuts",2013
39,39,"Fred Couples",NA,4,"YTDConsecutiveCuts",2013
39,39,"Graham DeLaet",NA,4,"YTDConsecutiveCuts",2013
39,39,"Luke Donald",NA,4,"YTDConsecutiveCuts",2013
39,39,"Bob Estes",NA,4,"YTDConsecutiveCuts",2013
39,39,"Matt Every",NA,4,"YTDConsecutiveCuts",2013
39,39,"Tommy Gainey",NA,4,"YTDConsecutiveCuts",2013
