"TotalDrivingEfficiency_RANKTHISWEEK_2008","TotalDrivingEfficiency_RANKLASTWEEK_2008","TotalDrivingEfficiency_PLAYERNAME_2008","TotalDrivingEfficiency_ROUNDS_2008","TotalDrivingEfficiency_COMBINEDRANK_2008","TotalDrivingEfficiency_CARRYEFFICIENCYRANK_2008","TotalDrivingEfficiency_TOTALDISTEFFICRANK_2008","stat_name","year"
1,NA,"Mark Wilson",107,11,4,7,"TotalDrivingEfficiency",2008
2,NA,"Vijay Singh",82,13,3,10,"TotalDrivingEfficiency",2008
3,NA,"Steve Stricker",75,23,11,12,"TotalDrivingEfficiency",2008
4,NA,"Justin Bolli",87,26,8,18,"TotalDrivingEfficiency",2008
4,NA,"Joe Ogilvie",100,26,21,5,"TotalDrivingEfficiency",2008
6,NA,"Hunter Mahan",87,31,16,15,"TotalDrivingEfficiency",2008
6,NA,"Steve Marino",119,31,11,20,"TotalDrivingEfficiency",2008
6,NA,"Brandt Snedeker",85,31,9,22,"TotalDrivingEfficiency",2008
9,NA,"Jeff Gove",50,33,22,11,"TotalDrivingEfficiency",2008
10,NA,"KJ Choi",74,34,31,3,"TotalDrivingEfficiency",2008
11,NA,"Brenden Pappas",66,37,5,32,"TotalDrivingEfficiency",2008
12,NA,"Chez Reavie",102,43,22,21,"TotalDrivingEfficiency",2008
13,NA,"Robert Garrigus",90,45,2,43,"TotalDrivingEfficiency",2008
14,NA,"Doug LaBelle II",65,49,31,18,"TotalDrivingEfficiency",2008
15,NA,"Ryan Palmer",69,52,7,45,"TotalDrivingEfficiency",2008
16,NA,"Jeff Maggert",86,58,28,30,"TotalDrivingEfficiency",2008
17,NA,"Mathew Goggin",91,60,44,16,"TotalDrivingEfficiency",2008
18,NA,"Angel Cabrera",55,63,1,62,"TotalDrivingEfficiency",2008
19,NA,"Nicholas Thompson",113,67,14,53,"TotalDrivingEfficiency",2008
20,NA,"Steve Lowery",74,72,38,34,"TotalDrivingEfficiency",2008
20,NA,"Vaughn Taylor",103,72,35,37,"TotalDrivingEfficiency",2008
22,NA,"Charley Hoffman",94,73,9,64,"TotalDrivingEfficiency",2008
23,NA,"Ryan Armour",87,74,51,23,"TotalDrivingEfficiency",2008
24,NA,"Scott Verplank",82,75,74,1,"TotalDrivingEfficiency",2008
25,NA,"Billy Mayfair",103,77,26,51,"TotalDrivingEfficiency",2008
26,NA,"Ben Crane",86,81,36,45,"TotalDrivingEfficiency",2008
27,NA,"Daniel Chopra",84,83,60,23,"TotalDrivingEfficiency",2008
27,NA,"George McNeill",97,83,17,66,"TotalDrivingEfficiency",2008
29,NA,"Paul Goydos",78,84,80,4,"TotalDrivingEfficiency",2008
29,NA,"Ian Poulter",51,84,82,2,"TotalDrivingEfficiency",2008
31,NA,"JB Holmes",86,87,6,81,"TotalDrivingEfficiency",2008
32,NA,"Cameron Beckman",87,88,60,28,"TotalDrivingEfficiency",2008
32,NA,"Tim Herron",97,88,51,37,"TotalDrivingEfficiency",2008
34,NA,"Kenny Perry",97,89,31,58,"TotalDrivingEfficiency",2008
34,NA,"David Toms",70,89,31,58,"TotalDrivingEfficiency",2008
36,NA,"Bo Van Pelt",101,90,29,61,"TotalDrivingEfficiency",2008
37,NA,"Tom Pernice Jr",104,91,64,27,"TotalDrivingEfficiency",2008
38,NA,"Jim Furyk",95,97,72,25,"TotalDrivingEfficiency",2008
39,NA,"Kevin Sutherland",98,101,17,84,"TotalDrivingEfficiency",2008
40,NA,"Anthony Kim",81,103,15,88,"TotalDrivingEfficiency",2008
41,NA,"Harrison Frazar",73,105,17,88,"TotalDrivingEfficiency",2008
42,NA,"Jason Gore",94,106,25,81,"TotalDrivingEfficiency",2008
42,NA,"Adam Scott",51,106,80,26,"TotalDrivingEfficiency",2008
44,NA,"Heath Slocum",104,107,77,30,"TotalDrivingEfficiency",2008
45,NA,"Steve Allan",58,109,38,71,"TotalDrivingEfficiency",2008
45,NA,"Jim McGovern",75,109,102,7,"TotalDrivingEfficiency",2008
45,NA,"Rory Sabbatini",77,109,102,7,"TotalDrivingEfficiency",2008
48,NA,"Zach Johnson",85,115,98,17,"TotalDrivingEfficiency",2008
49,NA,"Nick OHern",82,116,102,14,"TotalDrivingEfficiency",2008
50,NA,"Cliff Kresge",84,118,42,76,"TotalDrivingEfficiency",2008
51,NA,"Stewart Cink",87,119,22,97,"TotalDrivingEfficiency",2008
52,NA,"Todd Hamilton",92,122,36,86,"TotalDrivingEfficiency",2008
53,NA,"Ben Curtis",80,123,57,66,"TotalDrivingEfficiency",2008
54,NA,"JP Hayes",67,126,86,40,"TotalDrivingEfficiency",2008
54,NA,"Greg Kraft",63,126,89,37,"TotalDrivingEfficiency",2008
54,NA,"Geoff Ogilvy",65,126,11,115,"TotalDrivingEfficiency",2008
54,NA,"Jay Williamson",96,126,75,51,"TotalDrivingEfficiency",2008
58,NA,"Robert Gamez",79,131,96,35,"TotalDrivingEfficiency",2008
58,NA,"Kyle Thompson",70,131,69,62,"TotalDrivingEfficiency",2008
60,NA,"Mike Weir",88,135,123,12,"TotalDrivingEfficiency",2008
61,NA,"Tim Clark",90,136,93,43,"TotalDrivingEfficiency",2008
62,NA,"Dustin Johnson",92,139,45,94,"TotalDrivingEfficiency",2008
63,NA,"Stuart Appleby",87,141,75,66,"TotalDrivingEfficiency",2008
64,NA,"Eric Axley",113,142,45,97,"TotalDrivingEfficiency",2008
65,NA,"Jason Day",81,143,77,66,"TotalDrivingEfficiency",2008
65,NA,"DJ Trahan",94,143,96,47,"TotalDrivingEfficiency",2008
67,NA,"Billy Andrade",71,144,53,91,"TotalDrivingEfficiency",2008
68,NA,"Brian Davis",108,145,57,88,"TotalDrivingEfficiency",2008
69,NA,"Craig Kanada",65,149,144,5,"TotalDrivingEfficiency",2008
69,NA,"Matt Kuchar",88,149,117,32,"TotalDrivingEfficiency",2008
69,NA,"John Mallinger",95,149,114,35,"TotalDrivingEfficiency",2008
72,NA,"Andres Romero",69,151,17,134,"TotalDrivingEfficiency",2008
73,NA,"Kevin Stadler",90,154,57,97,"TotalDrivingEfficiency",2008
74,NA,"Brad Elder",67,155,89,66,"TotalDrivingEfficiency",2008
75,NA,"Paul Casey",55,156,49,107,"TotalDrivingEfficiency",2008
75,NA,"Charles Warren",79,156,26,130,"TotalDrivingEfficiency",2008
77,NA,"Patrick Sheehan",124,160,113,47,"TotalDrivingEfficiency",2008
78,NA,"Frank Lickliter II",107,166,92,74,"TotalDrivingEfficiency",2008
79,NA,"Fred Couples",60,167,64,103,"TotalDrivingEfficiency",2008
79,NA,"Boo Weekley",86,167,114,53,"TotalDrivingEfficiency",2008
81,NA,"Mathias Gronberg",87,168,38,130,"TotalDrivingEfficiency",2008
82,NA,"Steve Flesch",95,169,141,28,"TotalDrivingEfficiency",2008
83,NA,"Tommy Armour III",77,172,55,117,"TotalDrivingEfficiency",2008
83,NA,"Woody Austin",109,172,50,122,"TotalDrivingEfficiency",2008
85,NA,"Glen Day",64,174,69,105,"TotalDrivingEfficiency",2008
86,NA,"Alex Cejka",75,175,29,146,"TotalDrivingEfficiency",2008
87,NA,"Richard Johnson",77,176,38,138,"TotalDrivingEfficiency",2008
88,NA,"Michael Letzig",88,178,107,71,"TotalDrivingEfficiency",2008
88,NA,"Brett Quigley",80,178,60,118,"TotalDrivingEfficiency",2008
90,NA,"John Rollins",94,179,45,134,"TotalDrivingEfficiency",2008
90,NA,"Nick Watney",96,179,72,107,"TotalDrivingEfficiency",2008
92,NA,"Kent Jones",68,180,84,96,"TotalDrivingEfficiency",2008
93,NA,"Brad Adamonis",87,181,107,74,"TotalDrivingEfficiency",2008
93,NA,"Davis Love III",78,181,43,138,"TotalDrivingEfficiency",2008
93,NA,"Jeff Quinney",87,181,134,47,"TotalDrivingEfficiency",2008
96,NA,"Rich Beem",90,183,86,97,"TotalDrivingEfficiency",2008
97,NA,"Stephen Leaney",53,186,64,122,"TotalDrivingEfficiency",2008
98,NA,"Lucas Glover",91,190,69,121,"TotalDrivingEfficiency",2008
99,NA,"Briny Baird",113,193,117,76,"TotalDrivingEfficiency",2008
99,NA,"Justin Leonard",101,193,146,47,"TotalDrivingEfficiency",2008
99,NA,"Omar Uresti",74,193,102,91,"TotalDrivingEfficiency",2008
102,NA,"Olin Browne",77,196,139,57,"TotalDrivingEfficiency",2008
103,NA,"Carl Pettersson",110,198,54,144,"TotalDrivingEfficiency",2008
104,NA,"Pat Perez",93,202,84,118,"TotalDrivingEfficiency",2008
105,NA,"Peter Lonard",92,203,117,86,"TotalDrivingEfficiency",2008
106,NA,"Sean OHair",81,204,89,115,"TotalDrivingEfficiency",2008
107,NA,"Mark Calcavecchia",67,205,129,76,"TotalDrivingEfficiency",2008
107,NA,"Mark Hensby",71,205,111,94,"TotalDrivingEfficiency",2008
107,NA,"Jerry Kelly",89,205,129,76,"TotalDrivingEfficiency",2008
