"FedExCupPointsperEventLeaders_RANKTHISWEEK_2015","FedExCupPointsperEventLeaders_RANKLASTWEEK_2015","FedExCupPointsperEventLeaders_PLAYERNAME_2015","FedExCupPointsperEventLeaders_EVENTS_2015","FedExCupPointsperEventLeaders_POINTSPEREVENT_2015","FedExCupPointsperEventLeaders_TOTALPOINTS_2015","stat_name","year"
1,1,"Jordan Spieth",21,198.515,4168.809,"FedExCupPointsperEventLeaders",2015
2,2,"Rory McIlroy",9,174.159,1567.433,"FedExCupPointsperEventLeaders",2015
3,3,"Bubba Watson",15,160.441,2406.614,"FedExCupPointsperEventLeaders",2015
4,4,"Jason Day",16,153.667,2458.666,"FedExCupPointsperEventLeaders",2015
5,5,"Justin Rose",16,108.847,1741.559,"FedExCupPointsperEventLeaders",2015
6,6,"Dustin Johnson",17,101.072,1718.219,"FedExCupPointsperEventLeaders",2015
7,7,"Jimmy Walker",20,100.717,2014.333,"FedExCupPointsperEventLeaders",2015
8,8,"Rickie Fowler",17,88.094,1497.597,"FedExCupPointsperEventLeaders",2015
9,9,"Jim Furyk",16,87.556,1400.9,"FedExCupPointsperEventLeaders",2015
10,10,"Brooks Koepka",19,81.284,1544.405,"FedExCupPointsperEventLeaders",2015
11,11,"Henrik Stenson",12,79.363,952.357,"FedExCupPointsperEventLeaders",2015
12,12,"Sergio Garcia",14,75.037,1050.512,"FedExCupPointsperEventLeaders",2015
13,13,"Zach Johnson",21,74.226,1558.742,"FedExCupPointsperEventLeaders",2015
14,14,"JB Holmes",21,70.66,1483.853,"FedExCupPointsperEventLeaders",2015
15,15,"Paul Casey",20,69.467,1389.348,"FedExCupPointsperEventLeaders",2015
16,16,"Patrick Reed",23,69.253,1592.809,"FedExCupPointsperEventLeaders",2015
17,17,"Brandt Snedeker",23,66.841,1537.353,"FedExCupPointsperEventLeaders",2015
18,18,"Robert Streb",26,66.156,1720.066,"FedExCupPointsperEventLeaders",2015
19,19,"Hideki Matsuyama",21,65.441,1374.252,"FedExCupPointsperEventLeaders",2015
20,20,"Louis Oosthuizen",17,63.976,1087.59,"FedExCupPointsperEventLeaders",2015
21,21,"Charley Hoffman",24,63.02,1512.475,"FedExCupPointsperEventLeaders",2015
22,22,"Bill Haas",21,61.023,1281.489,"FedExCupPointsperEventLeaders",2015
23,23,"Chris Kirk",18,60.409,1087.369,"FedExCupPointsperEventLeaders",2015
24,24,"Ryan Moore",21,57.538,1208.3,"FedExCupPointsperEventLeaders",2015
25,25,"Matt Kuchar",21,55.405,1163.5,"FedExCupPointsperEventLeaders",2015
26,26,"Kevin Kisner",26,54.473,1416.303,"FedExCupPointsperEventLeaders",2015
27,27,"Phil Mickelson",16,53.031,848.5,"FedExCupPointsperEventLeaders",2015
28,28,"David Lingmerth",25,52.196,1304.904,"FedExCupPointsperEventLeaders",2015
29,29,"Ben Martin",24,50.717,1217.199,"FedExCupPointsperEventLeaders",2015
30,30,"Webb Simpson",19,50.148,952.809,"FedExCupPointsperEventLeaders",2015
31,31,"Gary Woodland",21,49.373,1036.833,"FedExCupPointsperEventLeaders",2015
32,32,"Danny Lee",32,48.791,1561.327,"FedExCupPointsperEventLeaders",2015
33,33,"Ian Poulter",16,48.549,776.791,"FedExCupPointsperEventLeaders",2015
34,34,"Scott Piercy",24,46.97,1127.27,"FedExCupPointsperEventLeaders",2015
35,35,"Russell Henley",21,46.961,986.175,"FedExCupPointsperEventLeaders",2015
36,36,"Kevin Na",23,46.168,1061.871,"FedExCupPointsperEventLeaders",2015
37,37,"Steven Bowditch",28,45.977,1287.355,"FedExCupPointsperEventLeaders",2015
38,38,"Jason Bohn",24,43.199,1036.77,"FedExCupPointsperEventLeaders",2015
39,39,"Ryan Palmer",19,43.003,817.056,"FedExCupPointsperEventLeaders",2015
40,40,"Shawn Stefani",23,42.921,987.186,"FedExCupPointsperEventLeaders",2015
41,41,"Brendan Steele",21,42.614,894.9,"FedExCupPointsperEventLeaders",2015
42,42,"Adam Scott",14,41.762,584.667,"FedExCupPointsperEventLeaders",2015
43,43,"Marc Leishman",21,40.655,853.75,"FedExCupPointsperEventLeaders",2015
44,44,"Will Wilcox",16,40.568,649.083,"FedExCupPointsperEventLeaders",2015
45,45,"Davis Love III",16,40.545,648.715,"FedExCupPointsperEventLeaders",2015
46,46,"James Hahn",25,40.469,1011.725,"FedExCupPointsperEventLeaders",2015
47,47,"Tim Clark",12,40.042,480.5,"FedExCupPointsperEventLeaders",2015
48,48,"Sangmoon Bae",26,39.404,1024.5,"FedExCupPointsperEventLeaders",2015
