"AverageApproachShotDistance_RANKTHISWEEK_2010","AverageApproachShotDistance_RANKLASTWEEK_2010","AverageApproachShotDistance_PLAYERNAME_2010","AverageApproachShotDistance_ROUNDS_2010","AverageApproachShotDistance_AVG_2010","AverageApproachShotDistance_TOTALDISTOFAPPRSHOT_2010","AverageApproachShotDistance_TOTALHOLES_2010","stat_name","year"
1,NA,"Jay Williamson",76,158.2,6224179,1093,"AverageApproachShotDistance",2010
2,NA,"John Daly",63,158.4,4789826,840,"AverageApproachShotDistance",2010
3,NA,"Greg Kraft",52,159.3,3990999,696,"AverageApproachShotDistance",2010
4,NA,"Alex Prugh",88,159.4,8226957,1434,"AverageApproachShotDistance",2010
5,NA,"Jerod Turner",54,159.9,4122469,716,"AverageApproachShotDistance",2010
6,NA,"Michael Bradley",77,160.1,7032992,1220,"AverageApproachShotDistance",2010
6,NA,"Omar Uresti",74,160.1,6304225,1094,"AverageApproachShotDistance",2010
8,NA,"Blake Adams",84,160.3,7769318,1346,"AverageApproachShotDistance",2010
9,NA,"Justin Bolli",55,160.4,4319091,748,"AverageApproachShotDistance",2010
9,NA,"JP Hayes",79,160.4,7033064,1218,"AverageApproachShotDistance",2010
11,NA,"Andrew McLardy",52,160.5,4540972,786,"AverageApproachShotDistance",2010
11,NA,"Greg Owen",69,160.5,6409591,1109,"AverageApproachShotDistance",2010
11,NA,"Webb Simpson",98,160.5,9478883,1641,"AverageApproachShotDistance",2010
14,NA,"Brian Stuard",81,160.6,7330791,1268,"AverageApproachShotDistance",2010
15,NA,"Jeff Gove",57,160.7,4570420,790,"AverageApproachShotDistance",2010
15,NA,"Josh Teater",101,160.7,9532139,1648,"AverageApproachShotDistance",2010
15,NA,"Chris Wilson",65,160.7,5351115,925,"AverageApproachShotDistance",2010
18,NA,"Joe Durant",67,160.8,5926638,1024,"AverageApproachShotDistance",2010
18,NA,"Tim Herron",79,160.8,7130401,1232,"AverageApproachShotDistance",2010
20,NA,"Brent Delahoussaye",57,160.9,4882082,843,"AverageApproachShotDistance",2010
21,NA,"Matt Bettencourt",91,161,7229282,1247,"AverageApproachShotDistance",2010
21,NA,"Daniel Chopra",74,161,6918280,1194,"AverageApproachShotDistance",2010
23,NA,"Tim Clark",88,161.1,7052784,1216,"AverageApproachShotDistance",2010
23,NA,"Jeff Overton",89,161.1,7378346,1272,"AverageApproachShotDistance",2010
23,NA,"Carl Pettersson",99,161.1,8610047,1485,"AverageApproachShotDistance",2010
26,NA,"Cameron Tringale",55,161.2,4653922,802,"AverageApproachShotDistance",2010
27,NA,"Michael Connell",89,161.3,8025138,1382,"AverageApproachShotDistance",2010
27,NA,"David Toms",86,161.3,7300829,1257,"AverageApproachShotDistance",2010
29,NA,"Robert Garrigus",71,161.4,6326622,1089,"AverageApproachShotDistance",2010
29,NA,"Justin Leonard",89,161.4,7511238,1293,"AverageApproachShotDistance",2010
31,NA,"Brian Gay",101,161.6,8557230,1471,"AverageApproachShotDistance",2010
31,NA,"Skip Kendall",58,161.6,5113371,879,"AverageApproachShotDistance",2010
31,NA,"Michael Sim",64,161.6,5527602,950,"AverageApproachShotDistance",2010
31,NA,"Jeev Milkha Singh",59,161.6,5417238,931,"AverageApproachShotDistance",2010
31,NA,"Vance Veazey",58,161.6,4998106,859,"AverageApproachShotDistance",2010
36,NA,"Graham DeLaet",88,161.7,7917343,1360,"AverageApproachShotDistance",2010
36,NA,"Matt Every",60,161.7,5298088,910,"AverageApproachShotDistance",2010
36,NA,"Rickie Fowler",98,161.7,8645610,1485,"AverageApproachShotDistance",2010
36,NA,"Boo Weekley",88,161.7,7703177,1323,"AverageApproachShotDistance",2010
40,NA,"Bob Estes",79,161.8,7402497,1271,"AverageApproachShotDistance",2010
40,NA,"Freddie Jacobson",83,161.8,8047829,1382,"AverageApproachShotDistance",2010
40,NA,"Brett Wetterich",54,161.8,5515474,947,"AverageApproachShotDistance",2010
43,NA,"Craig Bowden",56,161.9,4987703,856,"AverageApproachShotDistance",2010
43,NA,"Cliff Kresge",50,161.9,4704165,807,"AverageApproachShotDistance",2010
43,NA,"Jeff Maggert",76,161.9,6580247,1129,"AverageApproachShotDistance",2010
43,NA,"Vijay Singh",75,161.9,5956678,1022,"AverageApproachShotDistance",2010
