"Total1PuttsInside5_RANKTHISWEEK_2009","Total1PuttsInside5_RANKLASTWEEK_2009","Total1PuttsInside5_PLAYERNAME_2009","Total1PuttsInside5_ROUNDS_2009","Total1PuttsInside5_TOTAL_2009","Total1PuttsInside5_TOTALFORALLDISTANCES_2009","Total1PuttsInside5_PCTOFALL1PUTTS_2009","stat_name","year"
1,1,"Nathan Green",104,356,688,51.7,"Total1PuttsInside5",2009
1,1,"Tim Petrovic",97,356,649,54.9,"Total1PuttsInside5",2009
3,3,"Brian Davis",103,355,691,51.4,"Total1PuttsInside5",2009
4,4,"Chris DiMarco",97,352,619,56.9,"Total1PuttsInside5",2009
5,5,"Daniel Chopra",89,344,639,53.8,"Total1PuttsInside5",2009
6,6,"Charley Hoffman",97,342,640,53.4,"Total1PuttsInside5",2009
7,7,"Brian Gay",96,340,658,51.7,"Total1PuttsInside5",2009
8,8,"Michael Letzig",96,339,633,53.6,"Total1PuttsInside5",2009
9,9,"Webb Simpson",94,332,691,48,"Total1PuttsInside5",2009
10,10,"Harrison Frazar",93,324,625,51.8,"Total1PuttsInside5",2009
10,10,"DA Points",99,324,608,53.3,"Total1PuttsInside5",2009
12,12,"Joe Ogilvie",85,321,618,51.9,"Total1PuttsInside5",2009
13,13,"Jeff Overton",92,317,588,53.9,"Total1PuttsInside5",2009
14,14,"Jeff Klauk",97,314,610,51.5,"Total1PuttsInside5",2009
14,14,"Nicholas Thompson",96,314,590,53.2,"Total1PuttsInside5",2009
16,16,"Scott McCarron",91,312,590,52.9,"Total1PuttsInside5",2009
17,17,"Steve Marino",98,311,585,53.2,"Total1PuttsInside5",2009
17,17,"Bo Van Pelt",100,311,621,50.1,"Total1PuttsInside5",2009
19,19,"Matt Bettencourt",98,310,634,48.9,"Total1PuttsInside5",2009
20,20,"Bill Haas",91,309,585,52.8,"Total1PuttsInside5",2009
21,21,"John Rollins",92,306,565,54.2,"Total1PuttsInside5",2009
22,22,"Tim Herron",87,304,576,52.8,"Total1PuttsInside5",2009
23,23,"Nick OHern",90,303,601,50.4,"Total1PuttsInside5",2009
24,24,"Jerry Kelly",90,300,589,50.9,"Total1PuttsInside5",2009
25,25,"Ben Crane",93,299,596,50.2,"Total1PuttsInside5",2009
26,26,"Kevin Na",91,296,605,48.9,"Total1PuttsInside5",2009
26,26,"Charlie Wi",92,296,598,49.5,"Total1PuttsInside5",2009
28,28,"Ted Purdy",101,295,622,47.4,"Total1PuttsInside5",2009
28,28,"Mark Wilson",99,295,635,46.5,"Total1PuttsInside5",2009
30,30,"Justin Leonard",95,292,546,53.5,"Total1PuttsInside5",2009
31,31,"Jason Dufner",90,291,555,52.4,"Total1PuttsInside5",2009
32,32,"Kevin Streelman",97,290,597,48.6,"Total1PuttsInside5",2009
33,33,"Charles Howell III",99,289,559,51.7,"Total1PuttsInside5",2009
33,33,"John Senden",100,289,594,48.7,"Total1PuttsInside5",2009
33,33,"Heath Slocum",95,289,565,51.2,"Total1PuttsInside5",2009
33,33,"Vaughn Taylor",88,289,568,50.9,"Total1PuttsInside5",2009
37,37,"Lucas Glover",93,287,574,50,"Total1PuttsInside5",2009
37,37,"Zach Johnson",94,287,581,49.4,"Total1PuttsInside5",2009
39,39,"James Nitties",86,286,550,52,"Total1PuttsInside5",2009
40,40,"Ken Duke",87,285,509,56,"Total1PuttsInside5",2009
40,40,"John Mallinger",90,285,518,55,"Total1PuttsInside5",2009
42,42,"Tom Pernice Jr",82,284,545,52.1,"Total1PuttsInside5",2009
42,42,"Scott Verplank",88,284,559,50.8,"Total1PuttsInside5",2009
44,44,"Bob Estes",78,282,521,54.1,"Total1PuttsInside5",2009
45,45,"Jason Bohn",88,281,542,51.8,"Total1PuttsInside5",2009
46,46,"Freddie Jacobson",83,280,550,50.9,"Total1PuttsInside5",2009
46,46,"George McNeill",82,280,569,49.2,"Total1PuttsInside5",2009
48,48,"David Toms",98,279,560,49.8,"Total1PuttsInside5",2009
49,49,"Marc Leishman",91,278,583,47.7,"Total1PuttsInside5",2009
49,49,"Steve Lowery",83,278,557,49.9,"Total1PuttsInside5",2009
51,51,"Troy Matteson",95,277,580,47.8,"Total1PuttsInside5",2009
52,52,"Jeff Quinney",78,276,526,52.5,"Total1PuttsInside5",2009
53,53,"Davis Love III",89,275,511,53.8,"Total1PuttsInside5",2009
53,53,"Brett Quigley",92,275,523,52.6,"Total1PuttsInside5",2009
55,55,"Ryuji Imada",85,274,530,51.7,"Total1PuttsInside5",2009
56,56,"Jonathan Byrd",89,273,531,51.4,"Total1PuttsInside5",2009
57,57,"Kenny Perry",92,272,542,50.2,"Total1PuttsInside5",2009
57,57,"Chris Riley",77,272,500,54.4,"Total1PuttsInside5",2009
59,59,"DJ Trahan",96,271,517,52.4,"Total1PuttsInside5",2009
59,59,"Jimmy Walker",74,271,472,57.4,"Total1PuttsInside5",2009
61,61,"Brendon de Jonge",90,268,533,50.3,"Total1PuttsInside5",2009
61,61,"Mike Weir",85,268,534,50.2,"Total1PuttsInside5",2009
63,63,"Woody Austin",84,266,548,48.5,"Total1PuttsInside5",2009
63,63,"Jim Furyk",86,266,506,52.6,"Total1PuttsInside5",2009
63,63,"Aron Price",89,266,529,50.3,"Total1PuttsInside5",2009
66,66,"Steve Stricker",81,265,484,54.8,"Total1PuttsInside5",2009
