"CurrentParorBetterStreak_RANKTHISWEEK_2016","CurrentParorBetterStreak_RANKLASTWEEK_2016","CurrentParorBetterStreak_PLAYERNAME_2016","CurrentParorBetterStreak_EVENTS_2016","CurrentParorBetterStreak_NUMBEROFROUNDS_2016","stat_name","year"
1,1,"Gary Woodland",156,11,"CurrentParorBetterStreak",2016
2,6,"Roberto Castro",113,10,"CurrentParorBetterStreak",2016
3,42,"Lucas Glover",324,7,"CurrentParorBetterStreak",2016
3,1,"Billy Horschel",138,7,"CurrentParorBetterStreak",2016
3,1,"Chris Kirk",148,7,"CurrentParorBetterStreak",2016
3,42,"Justin Rose",265,7,"CurrentParorBetterStreak",2016
7,6,"Keegan Bradley",138,6,"CurrentParorBetterStreak",2016
7,6,"Branden Grace",48,6,"CurrentParorBetterStreak",2016
9,14,"SSP Chawrasia",4,5,"CurrentParorBetterStreak",2016
9,14,"Tommy Fleetwood",10,5,"CurrentParorBetterStreak",2016
11,22,"Jason Day",173,4,"CurrentParorBetterStreak",2016
11,22,"Martin Flores",140,4,"CurrentParorBetterStreak",2016
11,NA,"James Hahn",95,4,"CurrentParorBetterStreak",2016
11,22,"Lucas Lee",11,4,"CurrentParorBetterStreak",2016
11,22,"Nick Mason",5,4,"CurrentParorBetterStreak",2016
11,22,"James Morrison",5,4,"CurrentParorBetterStreak",2016
11,22,"Trey Mullinax",3,4,"CurrentParorBetterStreak",2016
11,22,"Ryan Palmer",324,4,"CurrentParorBetterStreak",2016
11,22,"Paul Peterson",1,4,"CurrentParorBetterStreak",2016
11,22,"Jon Rahm",4,4,"CurrentParorBetterStreak",2016
11,22,"Brandt Snedeker",250,4,"CurrentParorBetterStreak",2016
11,NA,"Brendan Steele",137,4,"CurrentParorBetterStreak",2016
23,42,"Aaron Baddeley",335,3,"CurrentParorBetterStreak",2016
23,42,"Ryan Blaum",8,3,"CurrentParorBetterStreak",2016
23,42,"Michael Bradley",388,3,"CurrentParorBetterStreak",2016
23,NA,"Fabian Gomez",93,3,"CurrentParorBetterStreak",2016
23,42,"David Howell",56,3,"CurrentParorBetterStreak",2016
23,42,"Freddie Jacobson",284,3,"CurrentParorBetterStreak",2016
23,42,"Miguel Angel Jimenez",134,3,"CurrentParorBetterStreak",2016
23,42,"Dustin Johnson",180,3,"CurrentParorBetterStreak",2016
23,42,"Marc Leishman",183,3,"CurrentParorBetterStreak",2016
23,NA,"Hideki Matsuyama",69,3,"CurrentParorBetterStreak",2016
23,42,"Lee McCoy",4,3,"CurrentParorBetterStreak",2016
23,42,"Troy Merritt",115,3,"CurrentParorBetterStreak",2016
23,42,"Bryce Molder",244,3,"CurrentParorBetterStreak",2016
23,42,"Kevin Na",307,3,"CurrentParorBetterStreak",2016
23,42,"Seung Yul Noh",126,3,"CurrentParorBetterStreak",2016
23,42,"John Peterson",66,3,"CurrentParorBetterStreak",2016
23,42,"Dicky Pride",434,3,"CurrentParorBetterStreak",2016
23,42,"Curtis Reed",1,3,"CurrentParorBetterStreak",2016
23,42,"Ryan Ruffels",7,3,"CurrentParorBetterStreak",2016
23,NA,"Adam Scott",240,3,"CurrentParorBetterStreak",2016
23,42,"Steve Stricker",437,3,"CurrentParorBetterStreak",2016
23,42,"Benjamin Taylor",2,3,"CurrentParorBetterStreak",2016
23,42,"Marc Turnesa",107,3,"CurrentParorBetterStreak",2016
46,86,"Arjun Atwal",193,2,"CurrentParorBetterStreak",2016
46,86,"Glen Day",457,2,"CurrentParorBetterStreak",2016
46,86,"Nacho Elvira",1,2,"CurrentParorBetterStreak",2016
46,86,"Tommy Gainey",172,2,"CurrentParorBetterStreak",2016
46,86,"Brian Gay",479,2,"CurrentParorBetterStreak",2016
46,86,"Tom Gillis",179,2,"CurrentParorBetterStreak",2016
46,86,"Tyrrell Hatton",6,2,"CurrentParorBetterStreak",2016
46,86,"Zach Johnson",311,2,"CurrentParorBetterStreak",2016
46,86,"Matt Kuchar",354,2,"CurrentParorBetterStreak",2016
46,86,"Prayad Marksaeng",14,2,"CurrentParorBetterStreak",2016
46,86,"Louis Oosthuizen",99,2,"CurrentParorBetterStreak",2016
46,86,"Rod Pampling",314,2,"CurrentParorBetterStreak",2016
46,14,"Daniel Summerhays",153,2,"CurrentParorBetterStreak",2016
46,86,"Lee Westwood",199,2,"CurrentParorBetterStreak",2016
46,86,"Danny Willett",21,2,"CurrentParorBetterStreak",2016
