"AverageApproachShotDistance_RANKTHISWEEK_2005","AverageApproachShotDistance_RANKLASTWEEK_2005","AverageApproachShotDistance_PLAYERNAME_2005","AverageApproachShotDistance_ROUNDS_2005","AverageApproachShotDistance_AVG_2005","AverageApproachShotDistance_TOTALDISTOFAPPRSHOT_2005","AverageApproachShotDistance_TOTALHOLES_2005","stat_name","year"
139,139,"Brian Davis",75,164.2,6737467,1140,"AverageApproachShotDistance",2005
139,139,"Scott Gutschewski",86,164.2,7552231,1278,"AverageApproachShotDistance",2005
139,139,"Hank Kuehne",84,164.2,7831086,1325,"AverageApproachShotDistance",2005
139,139,"Bernhard Langer",67,164.2,4800018,812,"AverageApproachShotDistance",2005
139,139,"Jeff Maggert",79,164.2,6343813,1073,"AverageApproachShotDistance",2005
139,139,"Shaun Micheel",81,164.2,6739506,1140,"AverageApproachShotDistance",2005
139,139,"Chris Riley",67,164.2,4456546,754,"AverageApproachShotDistance",2005
147,147,"Mark Calcavecchia",92,164.3,8077808,1366,"AverageApproachShotDistance",2005
147,147,"Jay Haas",54,164.3,4140935,700,"AverageApproachShotDistance",2005
147,147,"Mark Hensby",70,164.3,5215716,882,"AverageApproachShotDistance",2005
147,147,"Steve Jones",56,164.3,4885783,826,"AverageApproachShotDistance",2005
147,147,"John Senden",101,164.3,9572009,1618,"AverageApproachShotDistance",2005
152,152,"Stephen Ames",82,164.4,6492973,1097,"AverageApproachShotDistance",2005
152,152,"Ryuji Imada",78,164.4,7011347,1185,"AverageApproachShotDistance",2005
152,152,"Ryan Palmer",101,164.4,8524689,1440,"AverageApproachShotDistance",2005
152,152,"Dean Wilson",86,164.4,8417858,1422,"AverageApproachShotDistance",2005
156,156,"Billy Andrade",83,164.5,7776122,1313,"AverageApproachShotDistance",2005
156,156,"Kevin Sutherland",89,164.5,7868375,1329,"AverageApproachShotDistance",2005
158,158,"Robert Damron",89,164.6,8416363,1420,"AverageApproachShotDistance",2005
158,158,"Sergio Garcia",73,164.6,5517023,931,"AverageApproachShotDistance",2005
158,158,"Padraig Harrington",50,164.6,4283919,723,"AverageApproachShotDistance",2005
161,161,"Steve Allan",102,164.9,9387536,1581,"AverageApproachShotDistance",2005
161,161,"Steve Elkington",67,164.9,5848985,985,"AverageApproachShotDistance",2005
161,161,"Scott Hend",75,164.9,6821889,1149,"AverageApproachShotDistance",2005
161,161,"Bradley Hughes",52,164.9,5216728,879,"AverageApproachShotDistance",2005
165,165,"Alex Cejka",84,165,7381373,1243,"AverageApproachShotDistance",2005
166,166,"Brandt Jobe",96,165.1,8648833,1455,"AverageApproachShotDistance",2005
167,167,"Robert Allenby",95,165.2,7726845,1299,"AverageApproachShotDistance",2005
167,167,"Brad Faxon",75,165.2,6070364,1021,"AverageApproachShotDistance",2005
167,167,"Tom Lehman",69,165.2,5339766,898,"AverageApproachShotDistance",2005
167,167,"Kevin Na",88,165.2,8458171,1422,"AverageApproachShotDistance",2005
167,167,"Kevin Stadler",96,165.2,8755797,1472,"AverageApproachShotDistance",2005
172,172,"Paul Gow",78,165.3,7154379,1202,"AverageApproachShotDistance",2005
172,172,"Mathias Gronberg",60,165.3,5957504,1001,"AverageApproachShotDistance",2005
172,172,"Dennis Paulson",63,165.3,5980685,1005,"AverageApproachShotDistance",2005
175,175,"Daniel Chopra",108,165.4,9821496,1649,"AverageApproachShotDistance",2005
176,176,"Charles Howell III",95,165.5,7685095,1290,"AverageApproachShotDistance",2005
176,176,"Greg Owen",84,165.5,7527203,1263,"AverageApproachShotDistance",2005
176,176,"DA Points",94,165.5,8762955,1471,"AverageApproachShotDistance",2005
176,176,"Joey Snyder III",102,165.5,9736313,1634,"AverageApproachShotDistance",2005
180,180,"Jesper Parnevik",84,165.6,7189975,1206,"AverageApproachShotDistance",2005
180,180,"Justin Rose",99,165.6,9443630,1584,"AverageApproachShotDistance",2005
182,182,"Phil Mickelson",81,165.7,5346421,896,"AverageApproachShotDistance",2005
182,182,"Nick Watney",91,165.7,8448802,1416,"AverageApproachShotDistance",2005
184,184,"Arjun Atwal",65,165.9,6534946,1094,"AverageApproachShotDistance",2005
184,184,"Joe Durant",81,165.9,7290884,1221,"AverageApproachShotDistance",2005
184,184,"Lucas Glover",88,165.9,8384101,1404,"AverageApproachShotDistance",2005
184,184,"Scott Verplank",87,165.9,7077151,1185,"AverageApproachShotDistance",2005
188,188,"JJ Henry",102,166,9269172,1551,"AverageApproachShotDistance",2005
188,188,"Duffy Waldorf",86,166,7589441,1270,"AverageApproachShotDistance",2005
190,190,"Hunter Haas",83,166.1,7756237,1297,"AverageApproachShotDistance",2005
191,191,"Carlos Franco",78,166.2,7180922,1200,"AverageApproachShotDistance",2005
191,191,"Tom Pernice Jr",111,166.2,9460782,1581,"AverageApproachShotDistance",2005
191,191,"Vijay Singh",111,166.2,9379243,1568,"AverageApproachShotDistance",2005
191,191,"DJ Trahan",81,166.2,7556929,1263,"AverageApproachShotDistance",2005
195,195,"Billy Mayfair",114,166.4,10903825,1820,"AverageApproachShotDistance",2005
196,196,"Steve Lowery",100,166.5,9251020,1543,"AverageApproachShotDistance",2005
197,197,"Scott McCarron",78,166.9,6502234,1082,"AverageApproachShotDistance",2005
198,198,"James Driscoll",73,167,6708338,1116,"AverageApproachShotDistance",2005
199,199,"Aaron Baddeley",84,167.2,8107588,1347,"AverageApproachShotDistance",2005
200,200,"Corey Pavin",77,167.6,6620087,1097,"AverageApproachShotDistance",2005
201,201,"Tiger Woods",76,167.9,5954995,985,"AverageApproachShotDistance",2005
202,202,"Thomas Levet",54,168.4,3921954,647,"AverageApproachShotDistance",2005
