"StrokesGainedTeetoGreen_RANKTHISWEEK_2010","StrokesGainedTeetoGreen_RANKLASTWEEK_2010","StrokesGainedTeetoGreen_PLAYERNAME_2010","StrokesGainedTeetoGreen_ROUNDS_2010","StrokesGainedTeetoGreen_AVERAGE_2010","StrokesGainedTeetoGreen_TOTALSGT2G_2010","StrokesGainedTeetoGreen_SGTOTAL_2010","StrokesGainedTeetoGreen_TOTALSGP_2010","StrokesGainedTeetoGreen_MEASUREDROUNDS_2010","stat_name","year"
1,1,"Adam Scott",70,1.566,81.44,42.673,-38.767,52,"StrokesGainedTeetoGreen",2010
2,2,"Vijay Singh",75,1.443,82.254,40.134,-42.12,57,"StrokesGainedTeetoGreen",2010
3,3,"Steve Stricker",73,1.382,77.376,101.847,24.471,56,"StrokesGainedTeetoGreen",2010
4,4,"Jim Furyk",76,1.131,67.875,91.98,24.105,60,"StrokesGainedTeetoGreen",2010
5,5,"Camilo Villegas",78,1.088,60.954,38.757,-22.197,56,"StrokesGainedTeetoGreen",2010
6,6,"Phil Mickelson",76,1.076,61.337,52.968,-8.369,57,"StrokesGainedTeetoGreen",2010
7,7,"Bo Van Pelt",104,1.064,92.579,101.078,8.499,87,"StrokesGainedTeetoGreen",2010
8,8,"Robert Allenby",76,0.978,59.629,67.968,8.339,61,"StrokesGainedTeetoGreen",2010
9,9,"Bill Haas",87,0.954,71.533,66.623,-4.91,75,"StrokesGainedTeetoGreen",2010
10,10,"Ernie Els",72,0.947,52.062,70.196,18.134,55,"StrokesGainedTeetoGreen",2010
11,11,"Rory McIlroy",54,0.94,37.588,28.583,-9.005,40,"StrokesGainedTeetoGreen",2010
12,12,"DJ Trahan",92,0.924,75.774,37.445,-38.329,82,"StrokesGainedTeetoGreen",2010
13,13,"Justin Rose",78,0.906,63.42,80.452,17.032,70,"StrokesGainedTeetoGreen",2010
14,14,"Retief Goosen",75,0.879,46.6,82.575,35.975,53,"StrokesGainedTeetoGreen",2010
15,15,"KJ Choi",82,0.857,52.301,55.606,3.305,61,"StrokesGainedTeetoGreen",2010
16,16,"Charley Hoffman",85,0.828,63.789,71.811,8.022,77,"StrokesGainedTeetoGreen",2010
17,17,"JB Holmes",100,0.806,70.909,76.576,5.667,88,"StrokesGainedTeetoGreen",2010
18,18,"Dustin Johnson",83,0.803,50.579,57.655,7.076,63,"StrokesGainedTeetoGreen",2010
19,19,"Heath Slocum",97,0.8,58.39,39.518,-18.872,73,"StrokesGainedTeetoGreen",2010
20,20,"Matt Kuchar",97,0.782,58.643,107.263,48.62,75,"StrokesGainedTeetoGreen",2010
21,21,"Nick Watney",91,0.767,52.941,59.119,6.178,69,"StrokesGainedTeetoGreen",2010
22,22,"Padraig Harrington",57,0.747,32.862,44.623,11.761,44,"StrokesGainedTeetoGreen",2010
23,23,"Bubba Watson",77,0.739,49.502,44.318,-5.184,67,"StrokesGainedTeetoGreen",2010
24,24,"Joe Durant",67,0.731,41.69,25.032,-16.658,57,"StrokesGainedTeetoGreen",2010
25,25,"John Senden",103,0.706,61.403,49.306,-12.097,87,"StrokesGainedTeetoGreen",2010
26,26,"Chad Campbell",95,0.705,57.114,48.532,-8.582,81,"StrokesGainedTeetoGreen",2010
27,27,"Graham DeLaet",88,0.695,52.849,25.467,-27.382,76,"StrokesGainedTeetoGreen",2010
28,28,"Brendon de Jonge",114,0.689,62.718,62.758,0.04,91,"StrokesGainedTeetoGreen",2010
29,29,"Jason Day",82,0.684,48.588,47.933,-0.655,71,"StrokesGainedTeetoGreen",2010
30,30,"John Rollins",81,0.662,49.673,33.464,-16.209,75,"StrokesGainedTeetoGreen",2010
31,31,"Kenny Perry",69,0.645,36.111,22.462,-13.649,56,"StrokesGainedTeetoGreen",2010
32,32,"Davis Love III",79,0.641,42.296,8.65,-33.646,66,"StrokesGainedTeetoGreen",2010
33,33,"Jerry Kelly",99,0.638,52.349,15.85,-36.437,82,"StrokesGainedTeetoGreen",2010
34,34,"Sean OHair",84,0.633,41.149,36.558,-4.591,65,"StrokesGainedTeetoGreen",2010
35,35,"Stewart Cink",84,0.617,40.116,52.475,12.359,65,"StrokesGainedTeetoGreen",2010
36,36,"Paul Casey",64,0.6,26.419,62.138,35.719,44,"StrokesGainedTeetoGreen",2010
37,37,"Rickie Fowler",98,0.591,49.089,59.769,10.68,83,"StrokesGainedTeetoGreen",2010
38,38,"Will Ma Kenzie",72,0.563,38.31,7.88,-30.43,68,"StrokesGainedTeetoGreen",2010
39,39,"Ben Crane",85,0.562,37.106,54.651,17.545,66,"StrokesGainedTeetoGreen",2010
40,40,"Jason Dufner",87,0.559,38.579,-2.792,-41.371,69,"StrokesGainedTeetoGreen",2010
41,41,"Luke Donald",71,0.539,28.573,74.705,46.132,53,"StrokesGainedTeetoGreen",2010
42,42,"Hunter Mahan",85,0.535,35.855,40.419,4.564,67,"StrokesGainedTeetoGreen",2010
43,43,"Boo Weekley",88,0.532,39.336,11.495,-27.841,74,"StrokesGainedTeetoGreen",2010
44,44,"Ricky Barnes",103,0.529,43.935,45.683,1.748,83,"StrokesGainedTeetoGreen",2010
45,45,"Tim Clark",88,0.525,35.68,53.953,18.273,68,"StrokesGainedTeetoGreen",2010
46,46,"Kevin Sutherland",86,0.502,39.151,31.835,-7.316,78,"StrokesGainedTeetoGreen",2010
47,47,"Marc Leishman",87,0.498,35.873,25.356,-10.517,72,"StrokesGainedTeetoGreen",2010
48,48,"Charles Warren",64,0.497,27.357,4.758,-22.599,55,"StrokesGainedTeetoGreen",2010
49,49,"Billy Mayfair",78,0.483,31.396,-34.118,-65.514,65,"StrokesGainedTeetoGreen",2010
50,50,"Jonathan Byrd",85,0.445,36.456,38.838,2.382,82,"StrokesGainedTeetoGreen",2010
51,51,"Freddie Jacobson",83,0.441,33.981,52.537,18.556,77,"StrokesGainedTeetoGreen",2010
52,52,"David Toms",86,0.417,29.224,48.404,19.18,70,"StrokesGainedTeetoGreen",2010
53,53,"Angel Cabrera",64,0.398,20.305,12.739,-7.566,51,"StrokesGainedTeetoGreen",2010
54,54,"Vaughn Taylor",87,0.394,31.132,26.706,-4.426,79,"StrokesGainedTeetoGreen",2010
55,55,"Martin Laird",91,0.389,30.713,6.671,-24.042,79,"StrokesGainedTeetoGreen",2010
56,56,"Sergio Garcia",58,0.384,13.819,0.867,-12.952,36,"StrokesGainedTeetoGreen",2010
57,57,"Spencer Levin",110,0.381,37.347,50.3,12.953,98,"StrokesGainedTeetoGreen",2010
58,58,"Lucas Glover",75,0.369,21.762,14.998,-6.764,59,"StrokesGainedTeetoGreen",2010
59,59,"Geoff Ogilvy",62,0.366,18.282,36.801,18.519,50,"StrokesGainedTeetoGreen",2010
