"BirdieorBetterPercentageFairway_RANKTHISWEEK_2010","BirdieorBetterPercentageFairway_RANKLASTWEEK_2010","BirdieorBetterPercentageFairway_PLAYERNAME_2010","BirdieorBetterPercentageFairway_ROUNDS_2010","BirdieorBetterPercentageFairway_Pct_2010","BirdieorBetterPercentageFairway_TOTALBIRDIES_2010","BirdieorBetterPercentageFairway_TOTALHOLES_2010","stat_name","year"
1,1,"Dustin Johnson",83,26.03,196,753,"BirdieorBetterPercentageFairway",2010
2,2,"Matt Kuchar",97,25.95,265,1021,"BirdieorBetterPercentageFairway",2010
3,3,"Geoff Ogilvy",62,25.63,163,636,"BirdieorBetterPercentageFairway",2010
4,4,"Phil Mickelson",76,25.46,165,648,"BirdieorBetterPercentageFairway",2010
5,5,"Nick Watney",91,25.22,228,904,"BirdieorBetterPercentageFairway",2010
6,6,"Paul Stankowski",62,25.14,183,728,"BirdieorBetterPercentageFairway",2010
7,7,"Chris Couch",66,24.97,198,793,"BirdieorBetterPercentageFairway",2010
8,8,"Steve Stricker",73,24.87,192,772,"BirdieorBetterPercentageFairway",2010
9,9,"Charley Hoffman",85,24.83,251,1011,"BirdieorBetterPercentageFairway",2010
10,10,"Paul Casey",64,24.82,141,568,"BirdieorBetterPercentageFairway",2010
11,11,"Steve Marino",81,24.72,202,817,"BirdieorBetterPercentageFairway",2010
12,12,"Tom Gillis",97,24.66,310,1257,"BirdieorBetterPercentageFairway",2010
13,13,"Rory Sabbatini",79,24.56,207,843,"BirdieorBetterPercentageFairway",2010
14,14,"Robert Allenby",76,24.27,200,824,"BirdieorBetterPercentageFairway",2010
14,14,"Zach Johnson",93,24.27,256,1055,"BirdieorBetterPercentageFairway",2010
16,16,"Charles Warren",64,24.18,178,736,"BirdieorBetterPercentageFairway",2010
17,17,"Ryan Moore",80,24.1,200,830,"BirdieorBetterPercentageFairway",2010
18,18,"Mike Weir",59,24.02,116,483,"BirdieorBetterPercentageFairway",2010
19,19,"Lucas Glover",75,24.01,187,779,"BirdieorBetterPercentageFairway",2010
20,20,"Aron Price",70,23.93,206,861,"BirdieorBetterPercentageFairway",2010
21,21,"Scott Piercy",88,23.89,231,967,"BirdieorBetterPercentageFairway",2010
22,22,"Matt Every",60,23.82,156,655,"BirdieorBetterPercentageFairway",2010
23,23,"Bo Van Pelt",104,23.81,276,1159,"BirdieorBetterPercentageFairway",2010
24,24,"Jeff Overton",89,23.74,203,855,"BirdieorBetterPercentageFairway",2010
24,24,"Ryan Palmer",84,23.74,208,876,"BirdieorBetterPercentageFairway",2010
26,26,"Pat Perez",90,23.7,269,1135,"BirdieorBetterPercentageFairway",2010
27,27,"Kevin Na",94,23.62,243,1029,"BirdieorBetterPercentageFairway",2010
28,28,"David Duval",71,23.57,165,700,"BirdieorBetterPercentageFairway",2010
29,29,"Brendon de Jonge",114,23.56,294,1248,"BirdieorBetterPercentageFairway",2010
29,29,"Freddie Jacobson",83,23.56,238,1010,"BirdieorBetterPercentageFairway",2010
31,31,"Retief Goosen",75,23.44,169,721,"BirdieorBetterPercentageFairway",2010
32,32,"Brandt Snedeker",89,23.43,238,1016,"BirdieorBetterPercentageFairway",2010
33,33,"Stewart Cink",84,23.35,198,848,"BirdieorBetterPercentageFairway",2010
33,33,"Ernie Els",72,23.35,159,681,"BirdieorBetterPercentageFairway",2010
35,35,"DJ Trahan",92,23.34,242,1037,"BirdieorBetterPercentageFairway",2010
36,36,"Jason Bohn",84,23.31,241,1034,"BirdieorBetterPercentageFairway",2010
37,37,"Vaughn Taylor",87,23.29,255,1095,"BirdieorBetterPercentageFairway",2010
38,38,"John Daly",63,23.27,128,550,"BirdieorBetterPercentageFairway",2010
39,39,"Graham DeLaet",88,23.24,234,1007,"BirdieorBetterPercentageFairway",2010
