"FirstTeeLateRound2ScoringAverage_RANKTHISWEEK_2016","FirstTeeLateRound2ScoringAverage_RANKLASTWEEK_2016","FirstTeeLateRound2ScoringAverage_PLAYERNAME_2016","FirstTeeLateRound2ScoringAverage__2016","FirstTeeLateRound2ScoringAverage_AVG_2016","FirstTeeLateRound2ScoringAverage_TOTALSTROKES_2016","FirstTeeLateRound2ScoringAverage_TOTALROUNDS_2016","stat_name","year"
1,1,"Graham DeLaet",NA,66.25,265,4,"FirstTeeLateRound2ScoringAverage",2016
2,2,"Derek Fathauer",NA,66.33,199,3,"FirstTeeLateRound2ScoringAverage",2016
3,3,"Luke Donald",NA,67,134,2,"FirstTeeLateRound2ScoringAverage",2016
3,3,"Jason Kokrak",NA,67,201,3,"FirstTeeLateRound2ScoringAverage",2016
5,5,"Fabian Gomez",NA,67.5,135,2,"FirstTeeLateRound2ScoringAverage",2016
5,5,"Bill Haas",NA,67.5,135,2,"FirstTeeLateRound2ScoringAverage",2016
5,5,"John Huh",NA,67.5,135,2,"FirstTeeLateRound2ScoringAverage",2016
5,5,"Chris Stroud",NA,67.5,135,2,"FirstTeeLateRound2ScoringAverage",2016
9,9,"Steve Stricker",NA,67.67,203,3,"FirstTeeLateRound2ScoringAverage",2016
10,10,"Russell Knox",NA,68,204,3,"FirstTeeLateRound2ScoringAverage",2016
10,10,"Nick Taylor",NA,68,136,2,"FirstTeeLateRound2ScoringAverage",2016
12,14,"John Senden",NA,68.33,205,3,"FirstTeeLateRound2ScoringAverage",2016
13,16,"Zac Blair",NA,68.4,342,5,"FirstTeeLateRound2ScoringAverage",2016
14,14,"Rory McIlroy",NA,68.5,274,4,"FirstTeeLateRound2ScoringAverage",2016
15,19,"Dustin Johnson",NA,68.67,206,3,"FirstTeeLateRound2ScoringAverage",2016
15,17,"Scott Langley",NA,68.67,206,3,"FirstTeeLateRound2ScoringAverage",2016
15,19,"Chez Reavie",NA,68.67,206,3,"FirstTeeLateRound2ScoringAverage",2016
18,21,"Daniel Berger",NA,69,414,6,"FirstTeeLateRound2ScoringAverage",2016
18,21,"Padraig Harrington",NA,69,138,2,"FirstTeeLateRound2ScoringAverage",2016
18,21,"Jerry Kelly",NA,69,69,1,"FirstTeeLateRound2ScoringAverage",2016
18,21,"Ryan Moore",NA,69,69,1,"FirstTeeLateRound2ScoringAverage",2016
22,28,"Jon Curran",NA,69.17,415,6,"FirstTeeLateRound2ScoringAverage",2016
23,29,"Matt Kuchar",NA,69.2,346,5,"FirstTeeLateRound2ScoringAverage",2016
24,30,"Peter Malnati",NA,69.25,554,8,"FirstTeeLateRound2ScoringAverage",2016
25,36,"Rickie Fowler",NA,69.29,485,7,"FirstTeeLateRound2ScoringAverage",2016
25,31,"Luke List",NA,69.29,485,7,"FirstTeeLateRound2ScoringAverage",2016
27,32,"Ernie Els",NA,69.33,208,3,"FirstTeeLateRound2ScoringAverage",2016
27,32,"Brendan Steele",NA,69.33,208,3,"FirstTeeLateRound2ScoringAverage",2016
29,34,"Whee Kim",NA,69.4,347,5,"FirstTeeLateRound2ScoringAverage",2016
30,35,"Adam Scott",NA,69.43,486,7,"FirstTeeLateRound2ScoringAverage",2016
31,36,"Sergio Garcia",NA,69.5,139,2,"FirstTeeLateRound2ScoringAverage",2016
31,10,"David Lingmerth",NA,69.5,139,2,"FirstTeeLateRound2ScoringAverage",2016
33,38,"Kevin Kisner",NA,69.57,487,7,"FirstTeeLateRound2ScoringAverage",2016
34,39,"Brooks Koepka",NA,69.6,348,5,"FirstTeeLateRound2ScoringAverage",2016
35,40,"Charl Schwartzel",NA,69.67,209,3,"FirstTeeLateRound2ScoringAverage",2016
35,21,"Justin Thomas",NA,69.67,627,9,"FirstTeeLateRound2ScoringAverage",2016
35,40,"Bubba Watson",NA,69.67,209,3,"FirstTeeLateRound2ScoringAverage",2016
38,43,"Chad Campbell",NA,69.75,279,4,"FirstTeeLateRound2ScoringAverage",2016
38,43,"Danny Lee",NA,69.75,279,4,"FirstTeeLateRound2ScoringAverage",2016
40,45,"Ricky Barnes",NA,69.8,349,5,"FirstTeeLateRound2ScoringAverage",2016
40,45,"Steve Wheatcroft",NA,69.8,349,5,"FirstTeeLateRound2ScoringAverage",2016
42,47,"Mark Hubbard",NA,69.86,489,7,"FirstTeeLateRound2ScoringAverage",2016
43,48,"Robert Allenby",NA,70,210,3,"FirstTeeLateRound2ScoringAverage",2016
43,10,"Byeong Hun An",NA,70,210,3,"FirstTeeLateRound2ScoringAverage",2016
43,48,"Alex Cejka",NA,70,210,3,"FirstTeeLateRound2ScoringAverage",2016
43,48,"Brian Gay",NA,70,70,1,"FirstTeeLateRound2ScoringAverage",2016
43,48,"Brian Harman",NA,70,210,3,"FirstTeeLateRound2ScoringAverage",2016
43,48,"Billy Hurley III",NA,70,210,3,"FirstTeeLateRound2ScoringAverage",2016
43,48,"Michael Kim",NA,70,350,5,"FirstTeeLateRound2ScoringAverage",2016
43,48,"Chris Kirk",NA,70,420,6,"FirstTeeLateRound2ScoringAverage",2016
43,48,"William McGirt",NA,70,140,2,"FirstTeeLateRound2ScoringAverage",2016
43,48,"Troy Merritt",NA,70,70,1,"FirstTeeLateRound2ScoringAverage",2016
43,48,"Kevin Na",NA,70,280,4,"FirstTeeLateRound2ScoringAverage",2016
43,48,"Ryan Palmer",NA,70,70,1,"FirstTeeLateRound2ScoringAverage",2016
43,48,"Jordan Spieth",NA,70,350,5,"FirstTeeLateRound2ScoringAverage",2016
43,48,"Kyle Stanley",NA,70,350,5,"FirstTeeLateRound2ScoringAverage",2016
57,62,"Sung Kang",NA,70.2,351,5,"FirstTeeLateRound2ScoringAverage",2016
58,63,"Scott Brown",NA,70.25,281,4,"FirstTeeLateRound2ScoringAverage",2016
58,21,"Adam Hadwin",NA,70.25,281,4,"FirstTeeLateRound2ScoringAverage",2016
58,63,"Webb Simpson",NA,70.25,281,4,"FirstTeeLateRound2ScoringAverage",2016
61,65,"Ben Crane",NA,70.33,211,3,"FirstTeeLateRound2ScoringAverage",2016
62,67,"Robert Streb",NA,70.4,352,5,"FirstTeeLateRound2ScoringAverage",2016
63,69,"Roberto Castro",NA,70.5,282,4,"FirstTeeLateRound2ScoringAverage",2016
63,69,"Jason Day",NA,70.5,282,4,"FirstTeeLateRound2ScoringAverage",2016
63,69,"Retief Goosen",NA,70.5,141,2,"FirstTeeLateRound2ScoringAverage",2016
63,65,"Henrik Norlander",NA,70.5,282,4,"FirstTeeLateRound2ScoringAverage",2016
67,72,"Bronson Burgoon",NA,70.57,494,7,"FirstTeeLateRound2ScoringAverage",2016
68,73,"Justin Rose",NA,70.6,353,5,"FirstTeeLateRound2ScoringAverage",2016
69,21,"Davis Love III",NA,70.67,212,3,"FirstTeeLateRound2ScoringAverage",2016
69,74,"Scott Pinckney",NA,70.67,212,3,"FirstTeeLateRound2ScoringAverage",2016
71,40,"Erik Compton",NA,70.75,283,4,"FirstTeeLateRound2ScoringAverage",2016
71,76,"Freddie Jacobson",NA,70.75,283,4,"FirstTeeLateRound2ScoringAverage",2016
71,76,"Martin Laird",NA,70.75,283,4,"FirstTeeLateRound2ScoringAverage",2016
71,76,"Henrik Stenson",NA,70.75,283,4,"FirstTeeLateRound2ScoringAverage",2016
75,79,"Seung Yul Noh",NA,70.8,354,5,"FirstTeeLateRound2ScoringAverage",2016
76,80,"Patrick Reed",NA,70.86,496,7,"FirstTeeLateRound2ScoringAverage",2016
77,82,"Tyler Aldridge",NA,71,355,5,"FirstTeeLateRound2ScoringAverage",2016
77,82,"Aaron Baddeley",NA,71,355,5,"FirstTeeLateRound2ScoringAverage",2016
77,82,"Emiliano Grillo",NA,71,213,3,"FirstTeeLateRound2ScoringAverage",2016
77,82,"Billy Horschel",NA,71,213,3,"FirstTeeLateRound2ScoringAverage",2016
77,82,"Kelly Kraft",NA,71,213,3,"FirstTeeLateRound2ScoringAverage",2016
77,82,"Andrew Landry",NA,71,142,2,"FirstTeeLateRound2ScoringAverage",2016
77,82,"Will Ma Kenzie",NA,71,355,5,"FirstTeeLateRound2ScoringAverage",2016
77,82,"Carlos Ortiz",NA,71,426,6,"FirstTeeLateRound2ScoringAverage",2016
77,82,"Jeff Overton",NA,71,142,2,"FirstTeeLateRound2ScoringAverage",2016
77,82,"Cameron Percy",NA,71,71,1,"FirstTeeLateRound2ScoringAverage",2016
77,80,"Kyle Reifers",NA,71,497,7,"FirstTeeLateRound2ScoringAverage",2016
77,82,"Hudson Swafford",NA,71,213,3,"FirstTeeLateRound2ScoringAverage",2016
77,82,"Camilo Villegas",NA,71,284,4,"FirstTeeLateRound2ScoringAverage",2016
77,17,"Will Wilcox",NA,71,213,3,"FirstTeeLateRound2ScoringAverage",2016
91,97,"Jason Dufner",NA,71.14,498,7,"FirstTeeLateRound2ScoringAverage",2016
92,98,"Patton Kizzire",NA,71.2,356,5,"FirstTeeLateRound2ScoringAverage",2016
93,99,"Kevin Chappell",NA,71.25,285,4,"FirstTeeLateRound2ScoringAverage",2016
93,99,"Charley Hoffman",NA,71.25,285,4,"FirstTeeLateRound2ScoringAverage",2016
93,68,"Morgan Hoffmann",NA,71.25,570,8,"FirstTeeLateRound2ScoringAverage",2016
93,99,"Smylie Kaufman",NA,71.25,285,4,"FirstTeeLateRound2ScoringAverage",2016
93,99,"Brett Stegmaier",NA,71.25,570,8,"FirstTeeLateRound2ScoringAverage",2016
93,99,"Tyrone Van Aswegen",NA,71.25,285,4,"FirstTeeLateRound2ScoringAverage",2016
99,104,"Shane Bertsch",NA,71.33,214,3,"FirstTeeLateRound2ScoringAverage",2016
99,114,"Lucas Glover",NA,71.33,428,6,"FirstTeeLateRound2ScoringAverage",2016
99,104,"Luke Guthrie",NA,71.33,214,3,"FirstTeeLateRound2ScoringAverage",2016
99,104,"Justin Hicks",NA,71.33,214,3,"FirstTeeLateRound2ScoringAverage",2016
99,104,"Rob Oppenheim",NA,71.33,214,3,"FirstTeeLateRound2ScoringAverage",2016
99,104,"Pat Perez",NA,71.33,214,3,"FirstTeeLateRound2ScoringAverage",2016
99,82,"Vijay Singh",NA,71.33,214,3,"FirstTeeLateRound2ScoringAverage",2016
106,126,"Harold Varner III",NA,71.4,357,5,"FirstTeeLateRound2ScoringAverage",2016
107,74,"Thomas Aiken",NA,71.5,286,4,"FirstTeeLateRound2ScoringAverage",2016
107,109,"Jason Bohn",NA,71.5,143,2,"FirstTeeLateRound2ScoringAverage",2016
107,109,"JB Holmes",NA,71.5,286,4,"FirstTeeLateRound2ScoringAverage",2016
107,109,"Anirban Lahiri",NA,71.5,286,4,"FirstTeeLateRound2ScoringAverage",2016
107,123,"Jamie Lovemark",NA,71.5,429,6,"FirstTeeLateRound2ScoringAverage",2016
