"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2015","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2015","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2015","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2015","ofPotentialPtswonFedExCupPlayoffs_Pct_2015","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2015","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2015","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2015","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2015","stat_name","year"
1,1,"Jason Day",20,56.39,4511,8000,2,3,"ofPotentialPtswonFedExCupPlayoffs",2015
2,2,"Henrik Stenson",16,44.33,3547,8000,NA,4,"ofPotentialPtswonFedExCupPlayoffs",2015
3,3,"Rickie Fowler",21,33.73,2698,8000,1,2,"ofPotentialPtswonFedExCupPlayoffs",2015
4,4,"Jordan Spieth",25,27.79,2223,8000,1,1,"ofPotentialPtswonFedExCupPlayoffs",2015
5,5,"Daniel Berger",31,20.74,1659,8000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
6,6,"Bubba Watson",19,20.03,1602,8000,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2015
7,7,"Justin Rose",20,16.3,1304,8000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
8,8,"Danny Lee",36,15.63,1251,8000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
9,9,"Zach Johnson",25,15.44,1235,8000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2015
10,10,"Dustin Johnson",21,14.2,1136,8000,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2015
11,11,"Rory McIlroy",12,14,840,6000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
12,12,"Charley Hoffman",28,13.05,1044,8000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
13,13,"Daniel Summerhays",29,13.01,781,6000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2015
14,14,"Hideki Matsuyama",25,12.33,987,8000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
15,15,"Scott Piercy",28,12.18,974,8000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
16,16,"JB Holmes",25,11.53,922,8000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2015
17,17,"Jim Furyk",19,11.43,686,6000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
18,18,"Matt Jones",25,10.4,624,6000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
19,19,"Matt Kuchar",25,10.28,822,8000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2015
20,20,"Patrick Reed",27,9.85,788,8000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
21,21,"Zac Blair",34,9.8,588,6000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
22,22,"Kevin Chappell",26,9.72,583,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
23,23,"Sean OHair",26,9.57,574,6000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
23,23,"Cameron Tringale",28,9.57,574,6000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
25,25,"Harris English",29,9.54,763,8000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
26,26,"Ryan Palmer",22,9.48,569,6000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
27,27,"Sangmoon Bae",30,9.43,755,8000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
