"BirdieorBetterConversionPercentage_RANKTHISWEEK_2008","BirdieorBetterConversionPercentage_RANKLASTWEEK_2008","BirdieorBetterConversionPercentage_PLAYERNAME_2008","BirdieorBetterConversionPercentage_ROUNDS_2008","BirdieorBetterConversionPercentage_Pct_2008","BirdieorBetterConversionPercentage_BIRDIES_2008","BirdieorBetterConversionPercentage_GREENSHIT_2008","stat_name","year"
1,1,"Ryan Palmer",69,34.39,260,756,"BirdieorBetterConversionPercentage",2008
2,2,"Bob Tway",70,32.56,252,774,"BirdieorBetterConversionPercentage",2008
3,3,"Padraig Harrington",52,32.48,177,545,"BirdieorBetterConversionPercentage",2008
4,4,"Nathan Green",95,32.13,328,1021,"BirdieorBetterConversionPercentage",2008
5,5,"Camilo Villegas",79,31.86,289,907,"BirdieorBetterConversionPercentage",2008
6,6,"JB Holmes",86,31.57,304,963,"BirdieorBetterConversionPercentage",2008
7,7,"Phil Mickelson",80,31.42,290,923,"BirdieorBetterConversionPercentage",2008
8,8,"Michael Letzig",88,31.34,299,954,"BirdieorBetterConversionPercentage",2008
9,9,"Martin Laird",98,31.26,346,1107,"BirdieorBetterConversionPercentage",2008
10,10,"Jesper Parnevik",88,31.2,287,920,"BirdieorBetterConversionPercentage",2008
11,11,"Daniel Chopra",84,31.19,277,888,"BirdieorBetterConversionPercentage",2008
12,12,"Robert Garrigus",90,30.82,339,1100,"BirdieorBetterConversionPercentage",2008
13,13,"Aaron Baddeley",76,30.59,249,814,"BirdieorBetterConversionPercentage",2008
14,14,"Tag Ridings",88,30.5,308,1010,"BirdieorBetterConversionPercentage",2008
15,15,"Ken Duke",116,30.47,412,1352,"BirdieorBetterConversionPercentage",2008
16,16,"Tommy Gainey",60,30.46,191,627,"BirdieorBetterConversionPercentage",2008
17,17,"Joe Ogilvie",100,30.38,336,1106,"BirdieorBetterConversionPercentage",2008
18,18,"Adam Scott",51,30.3,170,561,"BirdieorBetterConversionPercentage",2008
19,19,"Stewart Cink",87,30.15,294,975,"BirdieorBetterConversionPercentage",2008
20,20,"Jason Gore",94,30.14,340,1128,"BirdieorBetterConversionPercentage",2008
21,21,"Anthony Kim",81,30.09,288,957,"BirdieorBetterConversionPercentage",2008
22,22,"Mark Hensby",71,30.07,246,818,"BirdieorBetterConversionPercentage",2008
23,23,"Ryan Moore",72,30.04,240,799,"BirdieorBetterConversionPercentage",2008
23,23,"Rory Sabbatini",77,30.04,271,902,"BirdieorBetterConversionPercentage",2008
25,25,"John Huston",56,29.98,197,657,"BirdieorBetterConversionPercentage",2008
26,26,"Ben Crane",86,29.92,304,1016,"BirdieorBetterConversionPercentage",2008
26,26,"Marc Turnesa",87,29.92,283,946,"BirdieorBetterConversionPercentage",2008
28,28,"Pat Perez",93,29.83,329,1103,"BirdieorBetterConversionPercentage",2008
29,29,"Kenny Perry",97,29.81,350,1174,"BirdieorBetterConversionPercentage",2008
