"Par4Performance_RANKTHISWEEK_2010","Par4Performance_RANKLASTWEEK_2010","Par4Performance_PLAYERNAME_2010","Par4Performance_ROUNDS_2010","Par4Performance_STATUS_2010","Par4Performance_PAR4AVG_2010","Par4Performance_TOTALPAR_2010","stat_name","year"
1,1,"Matt Kuchar",97,-46,3.96,4152,"Par4Performance",2010
2,2,"Carl Pettersson",99,-36,3.97,4248,"Par4Performance",2010
3,3,"Joe Durant",67,-34,3.95,2928,"Par4Performance",2010
4,4,"Charlie Wi",95,-18,3.98,4124,"Par4Performance",2010
4,4,"Dean Wilson",54,-18,3.97,2368,"Par4Performance",2010
6,6,"Ernie Els",72,-16,3.98,3040,"Par4Performance",2010
7,7,"Graham DeLaet",88,-14,3.99,3824,"Par4Performance",2010
8,8,"Paul Casey",64,-13,3.98,2608,"Par4Performance",2010
9,9,"Freddie Jacobson",83,-12,3.99,3620,"Par4Performance",2010
10,10,"Bryce Molder",84,-11,3.99,3600,"Par4Performance",2010
10,10,"Bo Van Pelt",104,-11,3.99,4560,"Par4Performance",2010
12,12,"Steve Stricker",73,-8,3.99,3168,"Par4Performance",2010
13,13,"Rory McIlroy",54,-7,3.99,2296,"Par4Performance",2010
13,13,"Chris Riley",73,-7,3.99,3216,"Par4Performance",2010
15,15,"Jim Furyk",76,-6,3.99,3200,"Par4Performance",2010
16,16,"Retief Goosen",75,-5,3.99,3128,"Par4Performance",2010
16,16,"Pat Perez",90,-5,3.99,3880,"Par4Performance",2010
18,18,"Chris Couch",66,-4,3.99,2816,"Par4Performance",2010
18,18,"Ben Crane",85,-4,4,3588,"Par4Performance",2010
18,18,"John Rollins",81,-4,4,3532,"Par4Performance",2010
18,18,"Justin Rose",78,-4,4,3424,"Par4Performance",2010
22,22,"Steve Elkington",74,-1,4,3120,"Par4Performance",2010
22,22,"Kevin Na",94,-1,4,4060,"Par4Performance",2010
22,22,"Ryan Palmer",84,-1,4,3592,"Par4Performance",2010
25,25,"Charles Howell III",103,0,4,4408,"Par4Performance",2010
25,25,"Kevin Sutherland",86,0,4,3648,"Par4Performance",2010
27,27,"Ricky Barnes",103,1,4,4456,"Par4Performance",2010
28,28,"Charley Hoffman",85,2,4,3656,"Par4Performance",2010
28,28,"Nick Watney",91,2,4,3816,"Par4Performance",2010
30,30,"Luke Donald",71,3,4,2944,"Par4Performance",2010
30,30,"Jeev Milkha Singh",59,3,4,2456,"Par4Performance",2010
32,32,"Brendon de Jonge",114,4,4,4864,"Par4Performance",2010
33,33,"Tim Clark",88,5,4.01,3680,"Par4Performance",2010
33,33,"Matt Every",60,5,4.01,2560,"Par4Performance",2010
33,33,"DJ Trahan",92,5,4.01,3948,"Par4Performance",2010
36,36,"Michael Connell",89,6,4.01,3872,"Par4Performance",2010
37,37,"Stephen Ames",75,7,4.01,3208,"Par4Performance",2010
37,37,"JB Holmes",100,7,4.01,4376,"Par4Performance",2010
37,37,"Bubba Watson",77,7,4.01,3320,"Par4Performance",2010
40,40,"Rickie Fowler",98,8,4.01,4248,"Par4Performance",2010
40,40,"Paul Stankowski",62,8,4.01,2712,"Par4Performance",2010
42,42,"Greg Chalmers",93,9,4.01,3984,"Par4Performance",2010
42,42,"Brian Gay",101,9,4.01,4268,"Par4Performance",2010
44,44,"Phil Mickelson",76,10,4.01,3272,"Par4Performance",2010
44,44,"Heath Slocum",97,10,4.01,4200,"Par4Performance",2010
46,46,"Jonathan Byrd",85,11,4.01,3696,"Par4Performance",2010
46,46,"John Senden",103,11,4.01,4456,"Par4Performance",2010
48,48,"Chris DiMarco",88,12,4.01,3772,"Par4Performance",2010
48,48,"Jeff Quinney",91,12,4.01,3920,"Par4Performance",2010
48,48,"David Toms",86,12,4.01,3672,"Par4Performance",2010
51,51,"Scott McCarron",90,13,4.01,3848,"Par4Performance",2010
51,51,"Kenny Perry",69,13,4.02,2960,"Par4Performance",2010
51,51,"Michael Sim",64,13,4.02,2752,"Par4Performance",2010
51,51,"Chris Stroud",90,13,4.01,3868,"Par4Performance",2010
51,51,"Charles Warren",64,13,4.02,2776,"Par4Performance",2010
56,56,"Stewart Cink",84,14,4.02,3528,"Par4Performance",2010
56,56,"Chad Collins",87,14,4.01,3788,"Par4Performance",2010
56,56,"Spencer Levin",110,14,4.01,4760,"Par4Performance",2010
56,56,"Shaun Micheel",70,14,4.02,3048,"Par4Performance",2010
56,56,"Jeff Overton",89,14,4.01,3916,"Par4Performance",2010
56,56,"Andres Romero",73,14,4.02,3148,"Par4Performance",2010
56,56,"Brett Wetterich",54,14,4.02,2360,"Par4Performance",2010
63,63,"Aaron Baddeley",94,15,4.01,4044,"Par4Performance",2010
63,63,"Billy Mayfair",78,15,4.02,3364,"Par4Performance",2010
63,63,"Geoff Ogilvy",62,15,4.02,2592,"Par4Performance",2010
63,63,"Tom Pernice Jr",74,15,4.02,3256,"Par4Performance",2010
63,63,"Boo Weekley",88,15,4.02,3848,"Par4Performance",2010
68,68,"Jarrod Lyle",54,17,4.03,2352,"Par4Performance",2010
68,68,"Steve Marino",81,17,4.02,3496,"Par4Performance",2010
70,70,"JJ Henry",92,18,4.02,3972,"Par4Performance",2010
70,70,"Cliff Kresge",50,18,4.03,2168,"Par4Performance",2010
70,70,"Kevin Streelman",90,18,4.02,3872,"Par4Performance",2010
73,73,"Robert Allenby",76,19,4.02,3272,"Par4Performance",2010
73,73,"KJ Choi",82,19,4.02,3536,"Par4Performance",2010
75,75,"Bill Haas",87,20,4.02,3728,"Par4Performance",2010
75,75,"Tim Petrovic",105,20,4.02,4536,"Par4Performance",2010
75,75,"Adam Scott",70,20,4.03,2912,"Par4Performance",2010
75,75,"Brandt Snedeker",89,20,4.02,3832,"Par4Performance",2010
75,75,"Jimmy Walker",82,20,4.02,3504,"Par4Performance",2010
75,75,"Jay Williamson",76,20,4.02,3296,"Par4Performance",2010
81,81,"Chad Campbell",95,21,4.02,4076,"Par4Performance",2010
81,81,"Bob Estes",79,21,4.02,3408,"Par4Performance",2010
83,83,"Skip Kendall",58,22,4.04,2504,"Par4Performance",2010
83,83,"Sean OHair",84,22,4.02,3560,"Par4Performance",2010
83,83,"Omar Uresti",74,22,4.03,3160,"Par4Performance",2010
