"Last5EventsPutting_RANKTHISWEEK_2011","Last5EventsPutting_RANKLASTWEEK_2011","Last5EventsPutting_PLAYERNAME_2011","Last5EventsPutting_EVENTS_2011","Last5EventsPutting_RATING_2011","stat_name","year"
1,1,"Jordan Spieth",1,9.5,"Last5EventsPutting",2011
2,2,"Ryo Ishikawa",1,9.3,"Last5EventsPutting",2011
3,3,"Shigeki Maruyama",1,9.2,"Last5EventsPutting",2011
4,4,"Todd Fischer",1,9,"Last5EventsPutting",2011
4,4,"Jeff Klauk",1,9,"Last5EventsPutting",2011
6,6,"Luke Donald",4,8.8,"Last5EventsPutting",2011
6,6,"Tommy Gainey",1,8.8,"Last5EventsPutting",2011
6,6,"Martin Kaymer",1,8.8,"Last5EventsPutting",2011
6,6,"Kevin Na",2,8.8,"Last5EventsPutting",2011
6,6,"Anthony Paolucci",1,8.8,"Last5EventsPutting",2011
6,6,"Patrick Reed",1,8.8,"Last5EventsPutting",2011
12,12,"Chris DiMarco",1,8.7,"Last5EventsPutting",2011
12,12,"Ryuji Imada",2,8.7,"Last5EventsPutting",2011
12,12,"Freddie Jacobson",3,8.7,"Last5EventsPutting",2011
12,12,"Michael Letzig",3,8.7,"Last5EventsPutting",2011
12,12,"Nick OHern",3,8.7,"Last5EventsPutting",2011
12,12,"Ted Purdy",1,8.7,"Last5EventsPutting",2011
12,12,"Chris Tidland",1,8.7,"Last5EventsPutting",2011
19,19,"Paul Casey",2,8.6,"Last5EventsPutting",2011
19,19,"Mathias Gronberg",1,8.6,"Last5EventsPutting",2011
19,19,"Skip Kendall",1,8.6,"Last5EventsPutting",2011
19,19,"Peter Lonard",2,8.6,"Last5EventsPutting",2011
19,19,"Bryce Molder",3,8.6,"Last5EventsPutting",2011
19,19,"Michael Thompson",2,8.6,"Last5EventsPutting",2011
25,25,"DJ Brigman",1,8.5,"Last5EventsPutting",2011
25,25,"Greg Chalmers",4,8.5,"Last5EventsPutting",2011
25,25,"Jason Day",3,8.5,"Last5EventsPutting",2011
25,25,"David Duval",1,8.5,"Last5EventsPutting",2011
25,25,"Scott McCarron",1,8.5,"Last5EventsPutting",2011
25,25,"Graeme McDowell",1,8.5,"Last5EventsPutting",2011
25,25,"Jose Maria Olazabal",1,8.5,"Last5EventsPutting",2011
25,25,"Rod Pampling",2,8.5,"Last5EventsPutting",2011
25,25,"Nate Smith",2,8.5,"Last5EventsPutting",2011
25,25,"Will Strickler",2,8.5,"Last5EventsPutting",2011
25,25,"Willie Wood",1,8.5,"Last5EventsPutting",2011
36,36,"Michael Bradley",3,8.4,"Last5EventsPutting",2011
36,36,"Billy Horschel",3,8.4,"Last5EventsPutting",2011
36,36,"Jerry Kelly",2,8.4,"Last5EventsPutting",2011
36,36,"Kevin Kisner",3,8.4,"Last5EventsPutting",2011
36,36,"John Mallinger",2,8.4,"Last5EventsPutting",2011
36,36,"Alexander Noren",1,8.4,"Last5EventsPutting",2011
36,36,"Chez Reavie",2,8.4,"Last5EventsPutting",2011
36,36,"Mike Weir",1,8.4,"Last5EventsPutting",2011
44,44,"Stephen Ames",3,8.3,"Last5EventsPutting",2011
44,44,"Shane Bertsch",2,8.3,"Last5EventsPutting",2011
44,44,"Daniel Chopra",2,8.3,"Last5EventsPutting",2011
44,44,"Ben Crane",2,8.3,"Last5EventsPutting",2011
44,44,"Richard Green",1,8.3,"Last5EventsPutting",2011
44,44,"Morgan Hoffmann",2,8.3,"Last5EventsPutting",2011
44,44,"Steve Marino",2,8.3,"Last5EventsPutting",2011
44,44,"Andres Romero",3,8.3,"Last5EventsPutting",2011
44,44,"Michael Sim",1,8.3,"Last5EventsPutting",2011
44,44,"Tiger Woods",2,8.3,"Last5EventsPutting",2011
54,54,"Kevin Chappell",2,8.2,"Last5EventsPutting",2011
54,54,"Marcus Fraser",1,8.2,"Last5EventsPutting",2011
54,54,"Harrison Frazar",1,8.2,"Last5EventsPutting",2011
54,54,"Richard Johnson",2,8.2,"Last5EventsPutting",2011
54,54,"Robert Karlsson",2,8.2,"Last5EventsPutting",2011
