"OfficialWorldGolfRanking_RANKTHISWEEK_2006","OfficialWorldGolfRanking_RANKLASTWEEK_2006","OfficialWorldGolfRanking_PLAYERNAME_2006","OfficialWorldGolfRanking_EVENTS_2006","OfficialWorldGolfRanking_AVGPOINTS_2006","OfficialWorldGolfRanking_TOTALPOINTS_2006","OfficialWorldGolfRanking_POINTSLOST_2006","OfficialWorldGolfRanking_POINTSGAINED_2006","OfficialWorldGolfRanking_COUNTRY_2006","stat_name","year"
1,1,"Tiger Woods",42,20.83,874.89,-626.58,746.28,NA,"OfficialWorldGolfRanking",2006
2,2,"Jim Furyk",54,9.06,489.37,-226.09,477.66,NA,"OfficialWorldGolfRanking",2006
3,3,"Phil Mickelson",41,7.38,302.58,-355.5,291.82,NA,"OfficialWorldGolfRanking",2006
4,4,"Adam Scott",51,7.16,365.25,-234.23,365.29,NA,"OfficialWorldGolfRanking",2006
5,8,"Ernie Els",48,6.21,298.26,-351.69,272.52,NA,"OfficialWorldGolfRanking",2006
6,5,"Retief Goosen",60,5.93,355.57,-342.45,268.67,NA,"OfficialWorldGolfRanking",2006
7,6,"Vijay Singh",61,5.76,351.09,-543.63,278.79,NA,"OfficialWorldGolfRanking",2006
8,7,"Padraig Harrington",55,5.67,311.77,-190.32,294.03,NA,"OfficialWorldGolfRanking",2006
9,9,"Luke Donald",51,5.4,275.51,-219.07,260.65,NA,"OfficialWorldGolfRanking",2006
10,10,"Sergio Garcia",49,5.26,257.67,-262.37,187.63,NA,"OfficialWorldGolfRanking",2006
11,11,"Geoff Ogilvy",50,5.24,261.93,-168.36,302.56,NA,"OfficialWorldGolfRanking",2006
12,12,"Henrik Stenson",52,4.69,243.93,-148.65,245.54,NA,"OfficialWorldGolfRanking",2006
13,13,"Trevor Immelman",54,4.63,250.04,-122.78,263.67,NA,"OfficialWorldGolfRanking",2006
14,14,"Paul Casey",53,3.86,204.59,-113.53,202.89,NA,"OfficialWorldGolfRanking",2006
15,15,"David Howell",55,3.84,211.29,-195.17,172.93,NA,"OfficialWorldGolfRanking",2006
16,16,"Davis Love III",47,3.77,177,-159.59,150.07,NA,"OfficialWorldGolfRanking",2006
17,17,"Colin Montgomerie",58,3.7,214.49,-187.42,134.47,NA,"OfficialWorldGolfRanking",2006
18,18,"Jose Maria Olazabal",52,3.68,191.57,-151.98,164.63,NA,"OfficialWorldGolfRanking",2006
19,21,"Michael Campbell",52,3.54,183.99,-139.7,101.72,NA,"OfficialWorldGolfRanking",2006
20,20,"Chris DiMarco",53,3.5,185.6,-207.14,158.93,NA,"OfficialWorldGolfRanking",2006
21,19,"David Toms",47,3.5,164.51,-212.61,166.33,NA,"OfficialWorldGolfRanking",2006
22,22,"Nick OHern",50,3.39,169.71,-153.33,137.22,NA,"OfficialWorldGolfRanking",2006
23,23,"Stuart Appleby",55,3.38,185.86,-166.98,186.02,NA,"OfficialWorldGolfRanking",2006
24,24,"Tim Clark",56,3.35,187.69,-175.06,148.93,NA,"OfficialWorldGolfRanking",2006
25,26,"Shingo Katayama",53,3.21,170.07,-109.47,141.46,NA,"OfficialWorldGolfRanking",2006
26,27,"Stewart Cink",52,3.21,166.86,-174.47,166.05,NA,"OfficialWorldGolfRanking",2006
27,25,"Angel Cabrera",50,3.15,157.43,-149.89,120.68,NA,"OfficialWorldGolfRanking",2006
28,28,"Chad Campbell",52,3.14,163.05,-150.52,167.23,NA,"OfficialWorldGolfRanking",2006
29,30,"KJ Choi",61,3.06,186.84,-143.41,154.34,NA,"OfficialWorldGolfRanking",2006
30,33,"Joe Durant",53,2.96,156.87,-57.09,147.92,NA,"OfficialWorldGolfRanking",2006
31,29,"Rod Pampling",55,2.96,162.78,-142.52,170.47,NA,"OfficialWorldGolfRanking",2006
32,31,"Robert Karlsson",57,2.95,168,-53.21,182.33,NA,"OfficialWorldGolfRanking",2006
33,32,"Ian Poulter",62,2.93,181.44,-122.09,180.2,NA,"OfficialWorldGolfRanking",2006
34,35,"YE Yang",48,2.88,138.15,-60.42,124.74,NA,"OfficialWorldGolfRanking",2006
35,34,"Darren Clarke",42,2.86,120.16,-172.24,90.77,NA,"OfficialWorldGolfRanking",2006
36,37,"Stephen Ames",45,2.76,124.03,-129.21,139.13,NA,"OfficialWorldGolfRanking",2006
37,38,"Carl Pettersson",65,2.75,178.69,-125.32,167.3,NA,"OfficialWorldGolfRanking",2006
38,36,"Ben Crane",47,2.63,123.74,-96.08,85.35,NA,"OfficialWorldGolfRanking",2006
39,45,"Jeev Milkha Singh",74,2.63,194.45,-35.7,207.14,NA,"OfficialWorldGolfRanking",2006
40,39,"Lucas Glover",59,2.63,154.92,-100.39,144.58,NA,"OfficialWorldGolfRanking",2006
41,40,"Rory Sabbatini",50,2.6,129.9,-128.38,169.24,NA,"OfficialWorldGolfRanking",2006
42,42,"Arron Oberholser",44,2.59,114.17,-86.48,137.64,NA,"OfficialWorldGolfRanking",2006
43,41,"Brett Wetterich",55,2.59,142.51,-49.81,163.22,NA,"OfficialWorldGolfRanking",2006
44,46,"Niclas Fasth",50,2.56,128.02,-87.52,106.73,NA,"OfficialWorldGolfRanking",2006
45,43,"Mike Weir",48,2.54,121.78,-123.05,136.82,NA,"OfficialWorldGolfRanking",2006
46,47,"Thomas Bjorn",52,2.53,131.44,-146.01,100.31,NA,"OfficialWorldGolfRanking",2006
47,44,"Robert Allenby",62,2.5,154.79,-145.52,117.38,NA,"OfficialWorldGolfRanking",2006
48,48,"Johan Edfors",49,2.48,121.72,-38.3,144.69,NA,"OfficialWorldGolfRanking",2006
49,49,"Scott Verplank",50,2.44,121.83,-138.16,106.3,NA,"OfficialWorldGolfRanking",2006
50,50,"Lee Westwood",54,2.43,131.05,-125.99,120.69,NA,"OfficialWorldGolfRanking",2006
51,52,"Bradley Dredge",45,2.39,107.48,-65.32,88.45,NA,"OfficialWorldGolfRanking",2006
52,51,"Justin Rose",60,2.39,143.12,-81.89,130.62,NA,"OfficialWorldGolfRanking",2006
53,54,"Zach Johnson",57,2.32,132.47,-134.03,138.2,NA,"OfficialWorldGolfRanking",2006
54,53,"Bart Bryant",52,2.32,120.51,-125.87,69.88,NA,"OfficialWorldGolfRanking",2006
55,55,"Kenny Perry",45,2.28,102.5,-145.09,47.54,NA,"OfficialWorldGolfRanking",2006
56,56,"Tom Lehman",44,2.22,97.87,-105.65,98.32,NA,"OfficialWorldGolfRanking",2006
57,57,"Charl Schwartzel",60,2.22,132.98,-68.47,134.74,NA,"OfficialWorldGolfRanking",2006
58,58,"Shaun Micheel",60,2.09,125.63,-50.01,136.03,NA,"OfficialWorldGolfRanking",2006
59,63,"Fred Couples",42,2.07,86.77,-115.43,65.1,NA,"OfficialWorldGolfRanking",2006
60,59,"Brett Quigley",64,2.06,132.15,-70.04,142.22,NA,"OfficialWorldGolfRanking",2006
61,61,"Paul Broadhurst",52,2.06,107.06,-84.16,105.04,NA,"OfficialWorldGolfRanking",2006
62,64,"Anthony Wall",52,2.06,106.99,-37.8,113.48,NA,"OfficialWorldGolfRanking",2006
63,62,"Tom Pernice Jr",65,2.04,132.52,-99.33,122.44,NA,"OfficialWorldGolfRanking",2006
64,60,"Steve Stricker",40,2.04,81.44,-33.29,94.45,NA,"OfficialWorldGolfRanking",2006
65,66,"JJ Henry",60,2.03,122.02,-59.32,130.79,NA,"OfficialWorldGolfRanking",2006
66,67,"Tim Herron",55,2.02,111.15,-105.59,92.15,NA,"OfficialWorldGolfRanking",2006
67,65,"Richard Green",51,2.01,102.47,-100.36,108.12,NA,"OfficialWorldGolfRanking",2006
68,69,"Paul McGinley",52,1.98,102.98,-125.93,43.3,NA,"OfficialWorldGolfRanking",2006
69,72,"John Senden",62,1.95,120.79,-67.12,107.3,NA,"OfficialWorldGolfRanking",2006
70,70,"Dean Wilson",61,1.94,118.49,-50.49,125.03,NA,"OfficialWorldGolfRanking",2006
71,72,"Vaughn Taylor",58,1.94,112.5,-90.93,103.44,NA,"OfficialWorldGolfRanking",2006
72,71,"Sean OHair",60,1.94,116.29,-80.48,87.63,NA,"OfficialWorldGolfRanking",2006
73,68,"Ben Curtis",53,1.89,100.04,-44.38,102.23,NA,"OfficialWorldGolfRanking",2006
74,75,"Miguel Angel Jimenez",54,1.86,100.29,-145.59,100.47,NA,"OfficialWorldGolfRanking",2006
75,76,"Fred Funk",59,1.85,108.88,-122.28,86.37,NA,"OfficialWorldGolfRanking",2006
76,103,"Thongchai Jaidee",51,1.82,92.99,-63.08,85.52,NA,"OfficialWorldGolfRanking",2006
77,78,"Jose Manuel Lara",57,1.81,103.04,-46.56,92.02,NA,"OfficialWorldGolfRanking",2006
78,74,"Ryan Moore",40,1.81,72.27,-32.62,61.06,NA,"OfficialWorldGolfRanking",2006
79,77,"Jason Bohn",57,1.8,102.4,-71.44,82.96,NA,"OfficialWorldGolfRanking",2006
80,80,"Nathan Green",64,1.79,114.49,-38.99,129.84,NA,"OfficialWorldGolfRanking",2006
81,81,"Troy Matteson",59,1.72,101.38,-19.13,97.17,NA,"OfficialWorldGolfRanking",2006
82,79,"Charles Howell III",59,1.71,100.88,-106.03,79.33,NA,"OfficialWorldGolfRanking",2006
83,83,"Toru Taniguchi",57,1.7,96.9,-73.36,84.91,NA,"OfficialWorldGolfRanking",2006
84,84,"Simon Khan",51,1.66,84.61,-57.78,81.42,NA,"OfficialWorldGolfRanking",2006
85,82,"Jyoti Randhawa",47,1.65,77.68,-55.67,72.15,NA,"OfficialWorldGolfRanking",2006
86,85,"Aaron Baddeley",55,1.64,90.31,-52.82,92.58,NA,"OfficialWorldGolfRanking",2006
87,87,"Peter Lonard",58,1.64,94.88,-124.72,71.03,NA,"OfficialWorldGolfRanking",2006
88,91,"Simon Dyson",64,1.6,102.48,-52.47,111.59,NA,"OfficialWorldGolfRanking",2006
89,88,"Stephen Dodd",47,1.59,74.75,-69.72,60.43,NA,"OfficialWorldGolfRanking",2006
90,90,"Taichi Teshima",54,1.59,85.84,-35.66,68.67,NA,"OfficialWorldGolfRanking",2006
91,89,"JB Holmes",40,1.58,63.38,-29.89,93.27,NA,"OfficialWorldGolfRanking",2006
92,92,"SK Ho",54,1.57,84.65,-63,72.88,NA,"OfficialWorldGolfRanking",2006
93,93,"Billy Mayfair",60,1.56,93.4,-92.33,79.27,NA,"OfficialWorldGolfRanking",2006
94,86,"Greg Owen",53,1.53,81.13,-69.74,85.25,NA,"OfficialWorldGolfRanking",2006
95,95,"Jonathan Byrd",51,1.51,77.06,-55.97,77.53,NA,"OfficialWorldGolfRanking",2006
96,94,"Jerry Kelly",62,1.5,92.88,-106.94,89.42,NA,"OfficialWorldGolfRanking",2006
97,98,"Hidemasa Hoshino",50,1.49,74.43,-35.72,62.06,NA,"OfficialWorldGolfRanking",2006
98,100,"Paul Sheehan",61,1.47,89.67,-66.34,75.19,NA,"OfficialWorldGolfRanking",2006
99,96,"Jesper Parnevik",50,1.47,73.41,-74.39,78.16,NA,"OfficialWorldGolfRanking",2006
100,104,"Corey Pavin",46,1.46,67.12,-50.81,65.94,NA,"OfficialWorldGolfRanking",2006
101,99,"Brandt Jobe",55,1.45,79.94,-73.18,52.25,NA,"OfficialWorldGolfRanking",2006
102,105,"Hideto Tanihara",55,1.45,79.53,-41.97,82.74,NA,"OfficialWorldGolfRanking",2006
103,101,"Bo Van Pelt",61,1.44,88.09,-88.74,76.35,NA,"OfficialWorldGolfRanking",2006
104,97,"Ted Purdy",67,1.44,96.71,-107.35,70.89,NA,"OfficialWorldGolfRanking",2006
105,102,"Andrew Buckle",52,1.44,74.68,-31.5,84.46,NA,"OfficialWorldGolfRanking",2006
106,107,"Anders Hansen",49,1.43,70.09,-61.46,67.6,NA,"OfficialWorldGolfRanking",2006
107,106,"Shigeki Maruyama",59,1.43,84.34,-109.67,53.99,NA,"OfficialWorldGolfRanking",2006
108,109,"David Smail",51,1.42,72.41,-58.5,50.32,NA,"OfficialWorldGolfRanking",2006
109,108,"Raphael Jacquelin",50,1.41,70.49,-63.5,56.5,NA,"OfficialWorldGolfRanking",2006
110,110,"Richard Johnson",51,1.37,70.01,-42.36,76.42,NA,"OfficialWorldGolfRanking",2006
111,118,"Andres Romero",44,1.37,60.29,-16.87,64.07,NA,"OfficialWorldGolfRanking",2006
112,111,"John Bickerton",57,1.37,77.95,-34.57,75.73,NA,"OfficialWorldGolfRanking",2006
113,115,"Heath Slocum",59,1.37,80.55,-59.72,57.74,NA,"OfficialWorldGolfRanking",2006
114,122,"Camilo Villegas",64,1.35,86.43,-46.14,110.59,NA,"OfficialWorldGolfRanking",2006
115,117,"Frank Lickliter II",62,1.35,83.68,-32.19,84.37,NA,"OfficialWorldGolfRanking",2006
116,116,"Jason Gore",49,1.34,65.88,-40.09,36.34,NA,"OfficialWorldGolfRanking",2006
117,113,"Jeff Sluman",57,1.34,76.16,-68.82,76.06,NA,"OfficialWorldGolfRanking",2006
118,119,"Tetsuji Hiratsuka",57,1.33,75.72,-40.62,66.12,NA,"OfficialWorldGolfRanking",2006
119,112,"Nick Dougherty",61,1.32,80.54,-87.91,58.88,NA,"OfficialWorldGolfRanking",2006
120,114,"Kenneth Ferrie",53,1.32,69.72,-65.36,33.82,NA,"OfficialWorldGolfRanking",2006
121,121,"Ricardo Gonzalez",41,1.29,53,-36.02,56.19,NA,"OfficialWorldGolfRanking",2006
122,124,"Justin Leonard",51,1.29,65.72,-117.41,42.66,NA,"OfficialWorldGolfRanking",2006
123,128,"Peter OMalley",51,1.28,65.46,-43.24,57.77,NA,"OfficialWorldGolfRanking",2006
124,120,"Kevin Stadler",66,1.28,84.58,-43.96,98.5,NA,"OfficialWorldGolfRanking",2006
125,130,"Marc Warren",53,1.28,67.79,-17.78,64.71,NA,"OfficialWorldGolfRanking",2006
126,125,"Graeme McDowell",54,1.28,69.02,-104.14,48.47,NA,"OfficialWorldGolfRanking",2006
127,126,"Keiichiro Fukabori",55,1.28,70.26,-53.17,44.43,NA,"OfficialWorldGolfRanking",2006
128,127,"Mathew Goggin",58,1.26,73.25,-31.87,67.73,NA,"OfficialWorldGolfRanking",2006
129,123,"David Lynn",49,1.26,61.76,-65.36,48.52,NA,"OfficialWorldGolfRanking",2006
130,132,"John Rollins",59,1.25,73.87,-57.46,79.45,NA,"OfficialWorldGolfRanking",2006
131,133,"Bob Estes",51,1.23,62.85,-60.83,59.57,NA,"OfficialWorldGolfRanking",2006
132,134,"Olin Browne",59,1.23,72.68,-66.79,40,NA,"OfficialWorldGolfRanking",2006
133,135,"Woody Austin",61,1.21,73.62,-60.09,65.26,NA,"OfficialWorldGolfRanking",2006
134,138,"Steve Flesch",63,1.21,75.98,-80.11,69.07,NA,"OfficialWorldGolfRanking",2006
135,141,"Daniel Chopra",74,1.2,89.13,-61.66,83.79,NA,"OfficialWorldGolfRanking",2006
136,129,"Gonzalo Fdez Castano",55,1.2,65.79,-37.61,64.24,NA,"OfficialWorldGolfRanking",2006
137,137,"Billy Andrade",50,1.19,59.52,-52.26,57.58,NA,"OfficialWorldGolfRanking",2006
138,136,"Paul Goydos",40,1.19,47.4,-16.31,43.99,NA,"OfficialWorldGolfRanking",2006
139,142,"Mark Hensby",45,1.18,53.11,-113.2,14.79,NA,"OfficialWorldGolfRanking",2006
140,143,"Soren Kjeldsen",55,1.18,64.8,-37.22,59.2,NA,"OfficialWorldGolfRanking",2006
141,140,"Craig Barlow",48,1.17,55.97,-47.21,60.61,NA,"OfficialWorldGolfRanking",2006
142,149,"WC Liang",55,1.16,63.75,-33.44,58.36,NA,"OfficialWorldGolfRanking",2006
143,144,"Steve Elkington",40,1.16,46.33,-55.54,13.41,NA,"OfficialWorldGolfRanking",2006
144,131,"Mark Calcavecchia",55,1.15,63.37,-75.46,34.97,NA,"OfficialWorldGolfRanking",2006
145,145,"Freddie Jacobson",44,1.15,50.55,-62.62,50.97,NA,"OfficialWorldGolfRanking",2006
146,147,"John Daly",50,1.14,57.25,-104.72,10.24,NA,"OfficialWorldGolfRanking",2006
147,146,"Gary Orr",40,1.14,45.74,-25.36,43.89,NA,"OfficialWorldGolfRanking",2006
148,153,"Francesco Molinari",57,1.14,65.11,-24.1,69.85,NA,"OfficialWorldGolfRanking",2006
149,139,"Joe Ogilvie",59,1.14,67.26,-90,56.91,NA,"OfficialWorldGolfRanking",2006
150,148,"Steve Lowery",63,1.14,71.78,-60.94,65.7,NA,"OfficialWorldGolfRanking",2006
151,150,"Ryan Palmer",64,1.13,72.12,-94.96,57.63,NA,"OfficialWorldGolfRanking",2006
152,154,"Soren Hansen",53,1.12,59.32,-38.27,55.89,NA,"OfficialWorldGolfRanking",2006
153,151,"Bernhard Langer",49,1.12,54.7,-70.68,36.05,NA,"OfficialWorldGolfRanking",2006
154,152,"Harrison Frazar",60,1.11,66.67,-59.64,49.06,NA,"OfficialWorldGolfRanking",2006
155,164,"Brett Rumford",56,1.09,60.85,-48.57,60.04,NA,"OfficialWorldGolfRanking",2006
156,156,"Jeff Maggert",51,1.08,55.32,-60.63,58.44,NA,"OfficialWorldGolfRanking",2006
157,161,"Jean Van de Velde",40,1.08,43.27,-19.15,43.29,NA,"OfficialWorldGolfRanking",2006
158,158,"Chris Couch",49,1.08,52.81,-26.33,58.51,NA,"OfficialWorldGolfRanking",2006
159,163,"Prayad Marksaeng",64,1.08,68.92,-43.72,62.53,NA,"OfficialWorldGolfRanking",2006
160,188,"Darren Fichardt",52,1.07,55.88,-36.05,57.52,NA,"OfficialWorldGolfRanking",2006
161,174,"Thaworn Wiratchant",59,1.07,63.07,-44.91,44.32,NA,"OfficialWorldGolfRanking",2006
162,157,"Brad Faxon",49,1.07,52.26,-69.9,30.29,NA,"OfficialWorldGolfRanking",2006
163,159,"Charles Warren",58,1.06,61.46,-46.31,57.19,NA,"OfficialWorldGolfRanking",2006
164,166,"Daisuke Maruyama",57,1.05,60.05,-35.41,48.09,NA,"OfficialWorldGolfRanking",2006
165,155,"Pat Perez",47,1.05,49.39,-65.87,38.53,NA,"OfficialWorldGolfRanking",2006
166,160,"Tomohiro Kondo",54,1.05,56.53,-38.65,54.02,NA,"OfficialWorldGolfRanking",2006
167,162,"Martin Kaymer",40,1.04,41.63,-4.07,45.7,NA,"OfficialWorldGolfRanking",2006
168,167,"Rafael Echenique",40,1.02,40.78,-5.16,45.3,NA,"OfficialWorldGolfRanking",2006
169,165,"Bubba Watson",57,1.01,57.77,-31.65,56.83,NA,"OfficialWorldGolfRanking",2006
170,170,"Peter Hanson",49,1.01,49.35,-52.78,30.73,NA,"OfficialWorldGolfRanking",2006
171,169,"Azuma Yano",54,1.01,54.37,-20.16,44.04,NA,"OfficialWorldGolfRanking",2006
172,171,"Nick Watney",60,0.99,59.65,-34.42,60.5,NA,"OfficialWorldGolfRanking",2006
173,172,"Ken Duke",53,0.99,52.47,-15.61,58.98,NA,"OfficialWorldGolfRanking",2006
174,184,"Edward Loar",40,0.98,39.38,-18.97,33.72,NA,"OfficialWorldGolfRanking",2006
175,173,"Katsumasa Miyamoto",56,0.97,54.58,-34.25,43.67,NA,"OfficialWorldGolfRanking",2006
176,176,"Alvaro Quiros",40,0.97,38.69,-5.09,43.78,NA,"OfficialWorldGolfRanking",2006
177,177,"Craig Kanada",40,0.97,38.68,-4.65,42.67,NA,"OfficialWorldGolfRanking",2006
178,167,"Ryuji Imada",58,0.96,55.96,-38.59,56.46,NA,"OfficialWorldGolfRanking",2006
179,178,"Jarrod Lyle",53,0.96,50.71,-24.95,55.31,NA,"OfficialWorldGolfRanking",2006
180,180,"Hiroyuki Fujita",55,0.95,52.47,-36.08,41.3,NA,"OfficialWorldGolfRanking",2006
181,182,"Craig Parry",47,0.95,44.78,-73.44,25.83,NA,"OfficialWorldGolfRanking",2006
182,179,"Kaname Yokoo",59,0.94,55.64,-40.29,42.08,NA,"OfficialWorldGolfRanking",2006
183,183,"Maarten Lafeber",50,0.92,46.1,-55.46,27.11,NA,"OfficialWorldGolfRanking",2006
184,185,"Eric Axley",56,0.92,51.55,-7.78,50.18,NA,"OfficialWorldGolfRanking",2006
185,186,"DJ Trahan",61,0.91,55.77,-28.99,46.15,NA,"OfficialWorldGolfRanking",2006
186,175,"Shiv Kapur",49,0.9,44.31,-22.99,34.45,NA,"OfficialWorldGolfRanking",2006
187,181,"Joey Sindelar",58,0.9,52.35,-64.78,43.35,NA,"OfficialWorldGolfRanking",2006
188,189,"Tommy Nakajima",40,0.9,35.89,-9.43,33.92,NA,"OfficialWorldGolfRanking",2006
189,187,"Brian Gay",64,0.89,56.89,-38.68,56.25,NA,"OfficialWorldGolfRanking",2006
190,192,"Graeme Storm",60,0.88,52.99,-46.11,42.76,NA,"OfficialWorldGolfRanking",2006
191,237,"Charlie Wi",54,0.88,47.68,-26.11,58.81,NA,"OfficialWorldGolfRanking",2006
192,193,"Paul Lawrie",46,0.88,40.59,-33.28,27.58,NA,"OfficialWorldGolfRanking",2006
193,190,"Markus Brier",52,0.88,45.67,-31.42,52.29,NA,"OfficialWorldGolfRanking",2006
194,195,"Alexander Noren",40,0.87,34.9,-7.69,41.2,NA,"OfficialWorldGolfRanking",2006
195,191,"Matt Kuchar",50,0.87,43.6,-21.76,42.71,NA,"OfficialWorldGolfRanking",2006
196,217,"Prom Meesawat",50,0.87,43.42,-16.71,45.17,NA,"OfficialWorldGolfRanking",2006
