"3PuttAvoidanceRound3_RANKTHISWEEK_2014","3PuttAvoidanceRound3_RANKLASTWEEK_2014","3PuttAvoidanceRound3_PLAYERNAME_2014","3PuttAvoidanceRound3__2014","3PuttAvoidanceRound3_Pct_2014","3PuttAvoidanceRound3_TOTAL3PUTTS_2014","3PuttAvoidanceRound3_TOTALHOLES_2014","stat_name","year"
1,1,"Aaron Baddeley",NA,0.4,1,252,"3PuttAvoidanceRound3",2014
2,2,"Charlie Beljan",NA,0.46,1,216,"3PuttAvoidanceRound3",2014
3,3,"Angel Cabrera",NA,0.93,2,216,"3PuttAvoidanceRound3",2014
3,3,"Rickie Fowler",NA,0.93,3,324,"3PuttAvoidanceRound3",2014
5,5,"Graeme McDowell",NA,1.11,3,270,"3PuttAvoidanceRound3",2014
5,5,"Kevin Na",NA,1.11,4,360,"3PuttAvoidanceRound3",2014
7,7,"Brendon de Jonge",NA,1.16,5,432,"3PuttAvoidanceRound3",2014
8,8,"Chesson Hadley",NA,1.19,3,252,"3PuttAvoidanceRound3",2014
9,9,"Zach Johnson",NA,1.21,5,414,"3PuttAvoidanceRound3",2014
10,10,"David Hearn",NA,1.32,5,378,"3PuttAvoidanceRound3",2014
10,10,"Matt Kuchar",NA,1.32,5,378,"3PuttAvoidanceRound3",2014
12,12,"Jonas Blixt",NA,1.39,3,216,"3PuttAvoidanceRound3",2014
12,12,"Brian Gay",NA,1.39,4,288,"3PuttAvoidanceRound3",2014
12,12,"Freddie Jacobson",NA,1.39,5,360,"3PuttAvoidanceRound3",2014
15,15,"Morgan Hoffmann",NA,1.46,5,342,"3PuttAvoidanceRound3",2014
16,16,"Ben Martin",NA,1.48,4,270,"3PuttAvoidanceRound3",2014
16,16,"Phil Mickelson",NA,1.48,4,270,"3PuttAvoidanceRound3",2014
18,18,"Ted Potter Jr",NA,1.52,3,198,"3PuttAvoidanceRound3",2014
18,18,"Daniel Summerhays",NA,1.52,6,396,"3PuttAvoidanceRound3",2014
20,20,"Luke Guthrie",NA,1.54,5,324,"3PuttAvoidanceRound3",2014
21,21,"Trevor Immelman",NA,1.59,4,252,"3PuttAvoidanceRound3",2014
22,22,"Charles Howell III",NA,1.62,7,432,"3PuttAvoidanceRound3",2014
23,23,"Matt Jones",NA,1.63,5,306,"3PuttAvoidanceRound3",2014
23,23,"Kevin Kisner",NA,1.63,5,306,"3PuttAvoidanceRound3",2014
23,23,"Marc Leishman",NA,1.63,5,306,"3PuttAvoidanceRound3",2014
26,26,"Bill Haas",NA,1.71,8,468,"3PuttAvoidanceRound3",2014
26,26,"David Toms",NA,1.71,4,234,"3PuttAvoidanceRound3",2014
26,26,"YE Yang",NA,1.71,4,234,"3PuttAvoidanceRound3",2014
29,29,"Jason Bohn",NA,1.74,5,288,"3PuttAvoidanceRound3",2014
30,30,"Scott Langley",NA,1.75,6,342,"3PuttAvoidanceRound3",2014
31,31,"Gary Woodland",NA,1.77,7,396,"3PuttAvoidanceRound3",2014
32,32,"Brooks Koepka",NA,1.85,4,216,"3PuttAvoidanceRound3",2014
32,32,"Martin Laird",NA,1.85,4,216,"3PuttAvoidanceRound3",2014
34,34,"Danny Lee",NA,1.98,5,252,"3PuttAvoidanceRound3",2014
34,34,"Richard Lee",NA,1.98,5,252,"3PuttAvoidanceRound3",2014
34,34,"Sean OHair",NA,1.98,5,252,"3PuttAvoidanceRound3",2014
37,37,"Jason Day",NA,2.02,4,198,"3PuttAvoidanceRound3",2014
