"Approaches200225yardsRghRTP_RANKTHISWEEK_2013","Approaches200225yardsRghRTP_RANKLASTWEEK_2013","Approaches200225yardsRghRTP_PLAYERNAME_2013","Approaches200225yardsRghRTP_ROUNDS_2013","Approaches200225yardsRghRTP_AVGRTP_2013","stat_name","year"
1,1,"Adam Scott",61,-0.455,"Approaches200225yardsRghRTP",2013
2,2,"Webb Simpson",92,-0.409,"Approaches200225yardsRghRTP",2013
3,3,"Rory McIlroy",56,-0.4,"Approaches200225yardsRghRTP",2013
4,4,"Jason Kokrak",78,-0.304,"Approaches200225yardsRghRTP",2013
5,5,"Peter Hanson",45,-0.3,"Approaches200225yardsRghRTP",2013
6,6,"Josh Teater",86,-0.294,"Approaches200225yardsRghRTP",2013
7,7,"Robert Garrigus",69,-0.227,"Approaches200225yardsRghRTP",2013
8,8,"Matt Kuchar",93,-0.214,"Approaches200225yardsRghRTP",2013
9,9,"Russell Henley",80,-0.176,"Approaches200225yardsRghRTP",2013
9,9,"Ryan Palmer",79,-0.176,"Approaches200225yardsRghRTP",2013
11,11,"Charles Howell III",87,-0.167,"Approaches200225yardsRghRTP",2013
11,11,"Sean OHair",56,-0.167,"Approaches200225yardsRghRTP",2013
13,13,"Stuart Appleby",88,-0.16,"Approaches200225yardsRghRTP",2013
14,14,"Alistair Presnell",59,-0.158,"Approaches200225yardsRghRTP",2013
15,15,"YE Yang",56,-0.154,"Approaches200225yardsRghRTP",2013
16,16,"Lee Westwood",70,-0.133,"Approaches200225yardsRghRTP",2013
17,17,"Angel Cabrera",73,-0.125,"Approaches200225yardsRghRTP",2013
17,17,"Ian Poulter",59,-0.125,"Approaches200225yardsRghRTP",2013
19,19,"Keegan Bradley",88,-0.118,"Approaches200225yardsRghRTP",2013
20,20,"Stewart Cink",71,-0.111,"Approaches200225yardsRghRTP",2013
20,20,"William McGirt",75,-0.111,"Approaches200225yardsRghRTP",2013
20,20,"Scott Piercy",78,-0.111,"Approaches200225yardsRghRTP",2013
20,20,"Tag Ridings",69,-0.111,"Approaches200225yardsRghRTP",2013
20,20,"Andrew Svoboda",46,-0.111,"Approaches200225yardsRghRTP",2013
25,25,"Jason Day",86,-0.105,"Approaches200225yardsRghRTP",2013
25,25,"Bubba Watson",76,-0.105,"Approaches200225yardsRghRTP",2013
27,27,"Troy Matteson",68,-0.083,"Approaches200225yardsRghRTP",2013
27,27,"John Senden",79,-0.083,"Approaches200225yardsRghRTP",2013
27,27,"Kevin Stadler",83,-0.083,"Approaches200225yardsRghRTP",2013
30,30,"Shawn Stefani",63,-0.056,"Approaches200225yardsRghRTP",2013
31,31,"Trevor Immelman",73,-0.045,"Approaches200225yardsRghRTP",2013
32,32,"Billy Horschel",96,-0.043,"Approaches200225yardsRghRTP",2013
33,33,"Matt Every",89,-0.042,"Approaches200225yardsRghRTP",2013
34,34,"Dustin Johnson",71,-0.036,"Approaches200225yardsRghRTP",2013
35,35,"Harris English",95,-0.034,"Approaches200225yardsRghRTP",2013
36,36,"Sangmoon Bae",83,0,"Approaches200225yardsRghRTP",2013
36,36,"Charlie Beljan",62,0,"Approaches200225yardsRghRTP",2013
36,36,"Ben Crane",62,0,"Approaches200225yardsRghRTP",2013
36,36,"Ernie Els",63,0,"Approaches200225yardsRghRTP",2013
36,36,"Scott Gardiner",61,0,"Approaches200225yardsRghRTP",2013
36,36,"Padraig Harrington",52,0,"Approaches200225yardsRghRTP",2013
36,36,"Jim Herman",59,0,"Approaches200225yardsRghRTP",2013
36,36,"Charley Hoffman",84,0,"Approaches200225yardsRghRTP",2013
36,36,"Robert Karlsson",56,0,"Approaches200225yardsRghRTP",2013
36,36,"Chris Kirk",89,0,"Approaches200225yardsRghRTP",2013
36,36,"Hunter Mahan",91,0,"Approaches200225yardsRghRTP",2013
36,36,"Henrik Norlander",70,0,"Approaches200225yardsRghRTP",2013
36,36,"Chez Reavie",72,0,"Approaches200225yardsRghRTP",2013
36,36,"John Rollins",77,0,"Approaches200225yardsRghRTP",2013
36,36,"Kevin Streelman",86,0,"Approaches200225yardsRghRTP",2013
51,51,"Chris Stroud",88,0.031,"Approaches200225yardsRghRTP",2013
52,52,"George McNeill",68,0.036,"Approaches200225yardsRghRTP",2013
53,53,"Jimmy Walker",84,0.04,"Approaches200225yardsRghRTP",2013
54,54,"Bill Haas",85,0.048,"Approaches200225yardsRghRTP",2013
54,54,"Gary Woodland",94,0.048,"Approaches200225yardsRghRTP",2013
56,56,"Scott Brown",65,0.05,"Approaches200225yardsRghRTP",2013
56,56,"Steve LeBrun",66,0.05,"Approaches200225yardsRghRTP",2013
58,58,"Luke Donald",60,0.053,"Approaches200225yardsRghRTP",2013
58,58,"Tommy Gainey",84,0.053,"Approaches200225yardsRghRTP",2013
58,58,"Zach Johnson",84,0.053,"Approaches200225yardsRghRTP",2013
58,58,"Carl Pettersson",82,0.053,"Approaches200225yardsRghRTP",2013
58,58,"Nicholas Thompson",99,0.053,"Approaches200225yardsRghRTP",2013
63,63,"Stephen Ames",49,0.059,"Approaches200225yardsRghRTP",2013
