"PuttingAverage_RANKTHISWEEK_2007","PuttingAverage_RANKLASTWEEK_2007","PuttingAverage_PLAYERNAME_2007","PuttingAverage_ROUNDS_2007","PuttingAverage_AVG_2007","PuttingAverage_GIRPUTTS_2007","PuttingAverage_GREENSHIT_2007","PuttingAverage_BIRDIECONVERSION_2007","PuttingAverage_GIRRANK_2007","stat_name","year"
1,1,"Tim Clark",66,1.727,1221,707,30.16,176,"PuttingAverage",2007
2,2,"Jonathan Byrd",73,1.728,1443,835,33.45,136,"PuttingAverage",2007
3,3,"Freddie Jacobson",70,1.729,1442,834,32.13,46,"PuttingAverage",2007
4,4,"Tiger Woods",63,1.733,1329,767,31.98,1,"PuttingAverage",2007
5,5,"Ryuji Imada",104,1.74,1964,1129,31.76,159,"PuttingAverage",2007
6,6,"Brian Gay",107,1.743,2034,1167,28.87,153,"PuttingAverage",2007
6,6,"Steve Stricker",81,1.743,1652,948,29.74,55,"PuttingAverage",2007
8,8,"Bob Estes",88,1.745,1747,1001,30.53,143,"PuttingAverage",2007
8,8,"Nathan Green",103,1.745,1925,1103,30.55,169,"PuttingAverage",2007
8,8,"Justin Rose",63,1.745,1218,698,31.41,58,"PuttingAverage",2007
11,11,"Shigeki Maruyama",84,1.746,1591,911,29.03,182,"PuttingAverage",2007
12,12,"Vaughn Taylor",91,1.748,1757,1005,31.44,120,"PuttingAverage",2007
13,13,"Bob Heintz",85,1.749,1611,921,31.38,146,"PuttingAverage",2007
14,14,"Jesper Parnevik",88,1.75,1761,1006,31.84,33,"PuttingAverage",2007
15,15,"Aaron Baddeley",83,1.751,1522,869,31.8,188,"PuttingAverage",2007
15,15,"Sergio Garcia",68,1.751,1343,767,30.16,105,"PuttingAverage",2007
15,15,"Phil Mickelson",73,1.751,1453,830,31.6,84,"PuttingAverage",2007
15,15,"Heath Slocum",101,1.751,2115,1208,28.8,36,"PuttingAverage",2007
19,19,"Kevin Na",84,1.752,1642,937,32.08,167,"PuttingAverage",2007
19,19,"Tag Ridings",52,1.752,990,565,32.09,157,"PuttingAverage",2007
21,21,"Padraig Harrington",64,1.755,1181,673,31.35,189,"PuttingAverage",2007
21,21,"Adam Scott",69,1.755,1406,801,32.75,72,"PuttingAverage",2007
23,23,"Joe Ogilvie",102,1.756,1910,1088,31.58,172,"PuttingAverage",2007
24,24,"Mark Calcavecchia",93,1.758,1805,1027,32.75,121,"PuttingAverage",2007
25,25,"Brendon de Jonge",76,1.759,1467,834,31.17,113,"PuttingAverage",2007
25,25,"Tim Petrovic",106,1.759,2111,1200,30.6,155,"PuttingAverage",2007
25,25,"Rory Sabbatini",81,1.759,1541,876,31.54,174,"PuttingAverage",2007
28,28,"Chris Riley",59,1.761,1083,615,30.24,165,"PuttingAverage",2007
28,28,"Charlie Wi",90,1.761,1851,1051,28.41,38,"PuttingAverage",2007
30,30,"Jay Williamson",50,1.762,1052,597,29.65,40,"PuttingAverage",2007
31,31,"Charley Hoffman",97,1.763,1971,1118,30.91,123,"PuttingAverage",2007
32,32,"Ernie Els",59,1.764,1191,675,30.46,98,"PuttingAverage",2007
33,33,"Rocco Mediate",72,1.766,1485,841,28.91,90,"PuttingAverage",2007
33,33,"Brandt Snedeker",105,1.766,2073,1174,27.65,103,"PuttingAverage",2007
35,35,"Geoff Ogilvy",84,1.767,1557,881,31.14,158,"PuttingAverage",2007
35,35,"Jeff Quinney",95,1.767,1983,1122,28.99,61,"PuttingAverage",2007
37,37,"Daniel Chopra",106,1.768,2200,1244,29.81,75,"PuttingAverage",2007
37,37,"Carl Pettersson",111,1.768,2235,1264,30.8,126,"PuttingAverage",2007
37,37,"Vijay Singh",102,1.768,2107,1192,30.08,45,"PuttingAverage",2007
40,40,"David Toms",80,1.769,1564,884,28.43,128,"PuttingAverage",2007
41,41,"Steve Allan",63,1.77,1218,688,31.24,95,"PuttingAverage",2007
41,41,"Paul Goydos",60,1.77,1117,631,27.98,192,"PuttingAverage",2007
41,41,"Frank Lickliter II",95,1.77,1972,1114,29.25,77,"PuttingAverage",2007
41,41,"Craig Lile",77,1.77,1506,851,28.44,150,"PuttingAverage",2007
41,41,"Scott Verplank",82,1.77,1660,938,27.09,114,"PuttingAverage",2007
46,46,"Rich Barcelo",80,1.771,1569,886,29.35,147,"PuttingAverage",2007
46,46,"Alex Cejka",80,1.771,1727,975,28.25,6,"PuttingAverage",2007
46,46,"Brian Davis",101,1.771,2091,1181,28.66,83,"PuttingAverage",2007
46,46,"Craig Kanada",109,1.771,2159,1219,27.16,108,"PuttingAverage",2007
46,46,"Dean Wilson",92,1.771,1858,1049,27.67,142,"PuttingAverage",2007
51,51,"George McNeill",95,1.772,1841,1039,29.34,139,"PuttingAverage",2007
52,52,"Jose Maria Olazabal",52,1.773,867,489,27.25,196,"PuttingAverage",2007
53,53,"Luke Donald",69,1.774,1352,762,28.55,145,"PuttingAverage",2007
53,53,"Jarrod Lyle",77,1.774,1506,849,29.23,100,"PuttingAverage",2007
53,53,"Arron Oberholser",69,1.774,1352,762,27.2,163,"PuttingAverage",2007
56,56,"Lucas Glover",98,1.775,2054,1157,30.74,44,"PuttingAverage",2007
56,56,"Bo Van Pelt",104,1.775,2206,1243,28.95,37,"PuttingAverage",2007
58,58,"Chris DiMarco",79,1.776,1490,839,26.26,187,"PuttingAverage",2007
58,58,"Michael Sim",52,1.776,1073,604,27.57,106,"PuttingAverage",2007
60,60,"John Daly",59,1.777,1157,651,32.2,179,"PuttingAverage",2007
60,60,"Zach Johnson",76,1.777,1546,870,26.81,111,"PuttingAverage",2007
60,60,"Anthony Kim",93,1.777,1944,1094,30.1,73,"PuttingAverage",2007
60,60,"Ryan Moore",92,1.777,1932,1087,29.22,60,"PuttingAverage",2007
60,60,"Pat Perez",84,1.777,1676,943,28.72,68,"PuttingAverage",2007
60,60,"Mike Weir",82,1.777,1633,919,28.2,151,"PuttingAverage",2007
66,66,"KJ Choi",87,1.778,1776,999,28.61,74,"PuttingAverage",2007
66,66,"Ken Duke",112,1.778,2351,1322,27.58,62,"PuttingAverage",2007
66,66,"Jim Furyk",84,1.778,1822,1025,27.83,6,"PuttingAverage",2007
66,66,"Bob Tway",103,1.778,2013,1132,27.76,138,"PuttingAverage",2007
70,70,"Marco Dawson",73,1.779,1446,813,28.33,134,"PuttingAverage",2007
70,70,"Jason Gore",86,1.779,1806,1015,30.21,64,"PuttingAverage",2007
70,70,"Cliff Kresge",107,1.779,2219,1247,27.54,96,"PuttingAverage",2007
70,70,"Parker McLachlin",83,1.779,1532,861,29.1,186,"PuttingAverage",2007
74,74,"Ryan Armour",107,1.78,2188,1229,28.01,41,"PuttingAverage",2007
74,74,"Jeff Maggert",79,1.78,1684,946,27.36,33,"PuttingAverage",2007
76,76,"Michael Allen",74,1.781,1494,839,28.11,32,"PuttingAverage",2007
76,76,"JP Hayes",89,1.781,1795,1008,29.92,154,"PuttingAverage",2007
76,76,"Mark Hensby",81,1.781,1646,924,27.74,140,"PuttingAverage",2007
79,79,"Bart Bryant",87,1.782,1830,1027,28.75,39,"PuttingAverage",2007
79,79,"Mathias Gronberg",95,1.782,1965,1103,30.09,108,"PuttingAverage",2007
79,79,"Tripp Isenhour",86,1.782,1593,894,27.1,184,"PuttingAverage",2007
82,82,"Rich Beem",89,1.783,1838,1031,30.87,112,"PuttingAverage",2007
82,82,"Craig Bowden",78,1.783,1583,888,28.15,88,"PuttingAverage",2007
82,82,"Jeff Overton",60,1.783,1282,719,28.59,10,"PuttingAverage",2007
85,85,"Stewart Cink",91,1.784,1870,1048,28.87,48,"PuttingAverage",2007
86,86,"Henrik Stenson",52,1.785,905,507,27.22,180,"PuttingAverage",2007
86,86,"Camilo Villegas",82,1.785,1731,970,29.31,59,"PuttingAverage",2007
86,86,"Duffy Waldorf",69,1.785,1485,832,26.96,26,"PuttingAverage",2007
