"Back9Round4ScoringAverage_RANKTHISWEEK_2016","Back9Round4ScoringAverage_RANKLASTWEEK_2016","Back9Round4ScoringAverage_PLAYERNAME_2016","Back9Round4ScoringAverage__2016","Back9Round4ScoringAverage_AVG_2016","Back9Round4ScoringAverage_TOTALSTROKES_2016","Back9Round4ScoringAverage_TOTALROUNDS_2016","stat_name","year"
1,1,"Robert Allenby",NA,33,33,1,"Back9Round4ScoringAverage",2016
2,2,"Brian Stuard",NA,33.33,100,3,"Back9Round4ScoringAverage",2016
3,5,"Matthew Fitzpatrick",NA,33.75,135,4,"Back9Round4ScoringAverage",2016
4,6,"Brendon de Jonge",NA,33.88,271,8,"Back9Round4ScoringAverage",2016
5,8,"Chad Campbell",NA,34,272,8,"Back9Round4ScoringAverage",2016
5,3,"Paul Casey",NA,34,272,8,"Back9Round4ScoringAverage",2016
5,8,"Lucas Lee",NA,34,34,1,"Back9Round4ScoringAverage",2016
5,8,"Bernd Wiesberger",NA,34,136,4,"Back9Round4ScoringAverage",2016
9,7,"William McGirt",NA,34.09,375,11,"Back9Round4ScoringAverage",2016
10,12,"Peter Malnati",NA,34.17,205,6,"Back9Round4ScoringAverage",2016
10,12,"Bubba Watson",NA,34.17,205,6,"Back9Round4ScoringAverage",2016
12,11,"Alex Cejka",NA,34.22,308,9,"Back9Round4ScoringAverage",2016
13,4,"Vaughn Taylor",NA,34.25,137,4,"Back9Round4ScoringAverage",2016
14,14,"Andres Romero",NA,34.33,103,3,"Back9Round4ScoringAverage",2016
14,14,"Brandt Snedeker",NA,34.33,309,9,"Back9Round4ScoringAverage",2016
16,17,"Luke Guthrie",NA,34.5,138,4,"Back9Round4ScoringAverage",2016
16,26,"Hideki Matsuyama",NA,34.5,276,8,"Back9Round4ScoringAverage",2016
18,17,"Adam Scott",NA,34.56,311,9,"Back9Round4ScoringAverage",2016
19,21,"Kevin Na",NA,34.64,381,11,"Back9Round4ScoringAverage",2016
20,17,"Fabian Gomez",NA,34.67,312,9,"Back9Round4ScoringAverage",2016
