"Scrambling2030ydsRTPScore_RANKTHISWEEK_2005","Scrambling2030ydsRTPScore_RANKLASTWEEK_2005","Scrambling2030ydsRTPScore_PLAYERNAME_2005","Scrambling2030ydsRTPScore_ROUNDS_2005","Scrambling2030ydsRTPScore_AVGRTP_2005","Scrambling2030ydsRTPScore_TOTALHOLES_2005","Scrambling2030ydsRTPScore_TOTALRTP_2005","stat_name","year"
1,1,"Larry Mize",54,0.306,49,15,"Scrambling2030ydsRTPScore",2005
2,2,"Luke Donald",67,0.343,35,12,"Scrambling2030ydsRTPScore",2005
3,3,"Jay Williamson",53,0.346,52,18,"Scrambling2030ydsRTPScore",2005
4,4,"Vijay Singh",111,0.368,87,32,"Scrambling2030ydsRTPScore",2005
5,5,"Dudley Hart",84,0.378,74,28,"Scrambling2030ydsRTPScore",2005
6,6,"Matt Kuchar",60,0.381,63,24,"Scrambling2030ydsRTPScore",2005
7,7,"Jose Maria Olazabal",55,0.382,34,13,"Scrambling2030ydsRTPScore",2005
8,8,"Tom Pernice Jr",111,0.384,99,38,"Scrambling2030ydsRTPScore",2005
9,9,"Jim Furyk",94,0.393,61,24,"Scrambling2030ydsRTPScore",2005
10,10,"Daniel Chopra",108,0.398,103,41,"Scrambling2030ydsRTPScore",2005
11,11,"Jeff Hart",63,0.403,62,25,"Scrambling2030ydsRTPScore",2005
12,12,"Paul Claxton",79,0.405,79,32,"Scrambling2030ydsRTPScore",2005
13,13,"Chris Anderson",66,0.407,81,33,"Scrambling2030ydsRTPScore",2005
14,14,"Steve Elkington",67,0.412,68,28,"Scrambling2030ydsRTPScore",2005
15,15,"Phillip Price",77,0.413,80,33,"Scrambling2030ydsRTPScore",2005
16,16,"Patrick Sheehan",114,0.416,89,37,"Scrambling2030ydsRTPScore",2005
17,17,"Jesper Parnevik",84,0.419,93,39,"Scrambling2030ydsRTPScore",2005
18,18,"Justin Leonard",78,0.426,61,26,"Scrambling2030ydsRTPScore",2005
19,19,"Steve Stricker",62,0.427,89,38,"Scrambling2030ydsRTPScore",2005
20,20,"Sergio Garcia",73,0.432,37,16,"Scrambling2030ydsRTPScore",2005
21,21,"Joe Ogilvie",103,0.434,99,43,"Scrambling2030ydsRTPScore",2005
22,22,"Bob Tway",87,0.437,71,31,"Scrambling2030ydsRTPScore",2005
23,23,"Loren Roberts",54,0.442,52,23,"Scrambling2030ydsRTPScore",2005
24,24,"Bo Van Pelt",112,0.444,81,36,"Scrambling2030ydsRTPScore",2005
25,25,"Kirk Triplett",55,0.446,56,25,"Scrambling2030ydsRTPScore",2005
25,25,"Tiger Woods",76,0.446,56,25,"Scrambling2030ydsRTPScore",2005
27,27,"Carlos Franco",78,0.449,69,31,"Scrambling2030ydsRTPScore",2005
27,27,"Brett Quigley",96,0.449,98,44,"Scrambling2030ydsRTPScore",2005
29,29,"Arjun Atwal",65,0.45,60,27,"Scrambling2030ydsRTPScore",2005
30,30,"Tim Herron",100,0.451,82,37,"Scrambling2030ydsRTPScore",2005
31,31,"Pat Perez",89,0.452,84,38,"Scrambling2030ydsRTPScore",2005
32,32,"Padraig Harrington",50,0.458,48,22,"Scrambling2030ydsRTPScore",2005
32,32,"Geoff Ogilvy",97,0.458,72,33,"Scrambling2030ydsRTPScore",2005
34,34,"Woody Austin",100,0.459,98,45,"Scrambling2030ydsRTPScore",2005
35,35,"Len Mattiace",86,0.462,145,67,"Scrambling2030ydsRTPScore",2005
36,36,"Olin Browne",99,0.463,67,31,"Scrambling2030ydsRTPScore",2005
36,36,"Glen Day",80,0.463,95,44,"Scrambling2030ydsRTPScore",2005
36,36,"Todd Fischer",99,0.463,121,56,"Scrambling2030ydsRTPScore",2005
36,36,"Fred Funk",102,0.463,67,31,"Scrambling2030ydsRTPScore",2005
40,40,"Mark OMeara",66,0.465,71,33,"Scrambling2030ydsRTPScore",2005
41,41,"Brent Geiberger",61,0.467,60,28,"Scrambling2030ydsRTPScore",2005
42,42,"Aaron Baddeley",84,0.469,96,45,"Scrambling2030ydsRTPScore",2005
43,43,"Harrison Frazar",105,0.47,100,47,"Scrambling2030ydsRTPScore",2005
44,44,"Stuart Appleby",84,0.471,68,32,"Scrambling2030ydsRTPScore",2005
45,45,"Michael Allen",90,0.472,89,42,"Scrambling2030ydsRTPScore",2005
46,46,"Paul Azinger",66,0.474,76,36,"Scrambling2030ydsRTPScore",2005
46,46,"Ben Crane",78,0.474,78,37,"Scrambling2030ydsRTPScore",2005
46,46,"Mathias Gronberg",60,0.474,57,27,"Scrambling2030ydsRTPScore",2005
49,49,"Briny Baird",98,0.475,80,38,"Scrambling2030ydsRTPScore",2005
50,50,"Zach Johnson",96,0.478,92,44,"Scrambling2030ydsRTPScore",2005
50,50,"Corey Pavin",77,0.478,69,33,"Scrambling2030ydsRTPScore",2005
52,52,"Peter Lonard",85,0.481,77,37,"Scrambling2030ydsRTPScore",2005
53,53,"Phil Mickelson",81,0.482,56,27,"Scrambling2030ydsRTPScore",2005
54,54,"Tag Ridings",93,0.485,103,50,"Scrambling2030ydsRTPScore",2005
54,54,"Mark Wilson",74,0.485,66,32,"Scrambling2030ydsRTPScore",2005
