"RightRoughTendencyRTPScore_RANKTHISWEEK_2008","RightRoughTendencyRTPScore_RANKLASTWEEK_2008","RightRoughTendencyRTPScore_PLAYERNAME_2008","RightRoughTendencyRTPScore_ROUNDS_2008","RightRoughTendencyRTPScore_RTPSCORE_2008","stat_name","year"
1,1,"KJ Choi",74,-0.075,"RightRoughTendencyRTPScore",2008
2,2,"Padraig Harrington",52,-0.059,"RightRoughTendencyRTPScore",2008
3,3,"Anthony Kim",81,-0.026,"RightRoughTendencyRTPScore",2008
4,4,"Mike Weir",88,-0.02,"RightRoughTendencyRTPScore",2008
5,5,"Camilo Villegas",79,-0.007,"RightRoughTendencyRTPScore",2008
6,6,"Steve Allan",58,0,"RightRoughTendencyRTPScore",2008
6,6,"Doug LaBelle II",65,0,"RightRoughTendencyRTPScore",2008
8,8,"Brenden Pappas",66,0.008,"RightRoughTendencyRTPScore",2008
9,9,"Daniel Chopra",84,0.011,"RightRoughTendencyRTPScore",2008
9,9,"Nathan Green",95,0.011,"RightRoughTendencyRTPScore",2008
11,11,"Vijay Singh",82,0.019,"RightRoughTendencyRTPScore",2008
12,12,"Ben Crane",86,0.022,"RightRoughTendencyRTPScore",2008
12,12,"Davis Love III",78,0.022,"RightRoughTendencyRTPScore",2008
14,14,"Bob Estes",90,0.023,"RightRoughTendencyRTPScore",2008
14,14,"Nick Watney",96,0.023,"RightRoughTendencyRTPScore",2008
16,16,"Mathew Goggin",91,0.026,"RightRoughTendencyRTPScore",2008
17,17,"Ben Curtis",80,0.027,"RightRoughTendencyRTPScore",2008
17,17,"Scott Verplank",82,0.027,"RightRoughTendencyRTPScore",2008
19,19,"Peter Lonard",92,0.03,"RightRoughTendencyRTPScore",2008
20,20,"Mark Calcavecchia",67,0.039,"RightRoughTendencyRTPScore",2008
20,20,"JB Holmes",86,0.039,"RightRoughTendencyRTPScore",2008
22,22,"Stewart Cink",87,0.04,"RightRoughTendencyRTPScore",2008
23,23,"Charles Howell III",101,0.041,"RightRoughTendencyRTPScore",2008
24,24,"David Toms",70,0.043,"RightRoughTendencyRTPScore",2008
25,25,"Parker McLachlin",88,0.044,"RightRoughTendencyRTPScore",2008
26,26,"Richard Johnson",77,0.045,"RightRoughTendencyRTPScore",2008
26,26,"Bob Tway",70,0.045,"RightRoughTendencyRTPScore",2008
28,28,"Bubba Watson",97,0.049,"RightRoughTendencyRTPScore",2008
29,29,"Brett Quigley",80,0.052,"RightRoughTendencyRTPScore",2008
29,29,"Brett Rumford",72,0.052,"RightRoughTendencyRTPScore",2008
29,29,"Charles Warren",79,0.052,"RightRoughTendencyRTPScore",2008
32,32,"Patrick Sheehan",124,0.054,"RightRoughTendencyRTPScore",2008
33,33,"Woody Austin",109,0.056,"RightRoughTendencyRTPScore",2008
34,34,"Bill Haas",99,0.057,"RightRoughTendencyRTPScore",2008
34,34,"Pat Perez",93,0.057,"RightRoughTendencyRTPScore",2008
36,36,"Jerry Kelly",89,0.06,"RightRoughTendencyRTPScore",2008
37,37,"John Huston",56,0.061,"RightRoughTendencyRTPScore",2008
38,38,"Stuart Appleby",87,0.065,"RightRoughTendencyRTPScore",2008
39,39,"Sergio Garcia",72,0.069,"RightRoughTendencyRTPScore",2008
39,39,"Robert Garrigus",90,0.069,"RightRoughTendencyRTPScore",2008
41,41,"Chad Collins",72,0.071,"RightRoughTendencyRTPScore",2008
41,41,"Charley Hoffman",94,0.071,"RightRoughTendencyRTPScore",2008
43,43,"Harrison Frazar",73,0.075,"RightRoughTendencyRTPScore",2008
43,43,"JJ Henry",108,0.075,"RightRoughTendencyRTPScore",2008
45,45,"Brandt Snedeker",85,0.076,"RightRoughTendencyRTPScore",2008
46,46,"Stephen Ames",83,0.078,"RightRoughTendencyRTPScore",2008
46,46,"Kevin Stadler",90,0.078,"RightRoughTendencyRTPScore",2008
48,48,"Scott McCarron",63,0.08,"RightRoughTendencyRTPScore",2008
48,48,"Bo Van Pelt",101,0.08,"RightRoughTendencyRTPScore",2008
48,48,"Charlie Wi",97,0.08,"RightRoughTendencyRTPScore",2008
51,51,"Briny Baird",113,0.082,"RightRoughTendencyRTPScore",2008
52,52,"Fred Couples",60,0.083,"RightRoughTendencyRTPScore",2008
52,52,"Tim Herron",97,0.083,"RightRoughTendencyRTPScore",2008
52,52,"Boo Weekley",86,0.083,"RightRoughTendencyRTPScore",2008
55,55,"Kevin Na",97,0.084,"RightRoughTendencyRTPScore",2008
56,56,"Troy Matteson",94,0.086,"RightRoughTendencyRTPScore",2008
56,56,"Kevin Sutherland",98,0.086,"RightRoughTendencyRTPScore",2008
58,58,"Geoff Ogilvy",65,0.087,"RightRoughTendencyRTPScore",2008
59,59,"Gavin Coles",54,0.09,"RightRoughTendencyRTPScore",2008
59,59,"Scott Sterling",89,0.09,"RightRoughTendencyRTPScore",2008
61,61,"Jeff Overton",103,0.091,"RightRoughTendencyRTPScore",2008
