"ProximitytoHolefromFringe_RANKTHISWEEK_2016","ProximitytoHolefromFringe_RANKLASTWEEK_2016","ProximitytoHolefromFringe_PLAYERNAME_2016","ProximitytoHolefromFringe_ROUNDS_2016","ProximitytoHolefromFringe_AVGDTP_2016","ProximitytoHolefromFringe_TOTALDISTANCEFEET_2016","ProximitytoHolefromFringe_OFSHOTS_2016","ProximitytoHolefromFringe_SCRAMBLINGRANK_2016","stat_name","year"
1,1,"DJ Trahan",23,NA,10.417,6,146,"ProximitytoHolefromFringe",2016
2,2,"Miguel Angel Carballo",24,NA,16.25,9,179,"ProximitytoHolefromFringe",2016
3,3,"Aaron Baddeley",51,NA,66,33,7,"ProximitytoHolefromFringe",2016
3,3,"Shane Lowry",35,NA,49,25,196,"ProximitytoHolefromFringe",2016
3,3,"Scott Piercy",45,NA,52.333,26,158,"ProximitytoHolefromFringe",2016
3,3,"Patrick Reed",53,NA,68.667,34,3,"ProximitytoHolefromFringe",2016
3,3,"Jordan Spieth",34,NA,49.917,25,51,"ProximitytoHolefromFringe",2016
8,9,"Kevin Kisner",49,NA,66.75,31,163,"ProximitytoHolefromFringe",2016
8,9,"Spencer Levin",62,NA,103.583,47,76,"ProximitytoHolefromFringe",2016
8,32,"Hideki Matsuyama",40,NA,62.083,29,85,"ProximitytoHolefromFringe",2016
8,9,"Kevin Na",52,NA,73.583,34,46,"ProximitytoHolefromFringe",2016
8,9,"Chez Reavie",56,NA,107.417,50,5,"ProximitytoHolefromFringe",2016
8,9,"Andy Sullivan",25,NA,27.917,13,159,"ProximitytoHolefromFringe",2016
14,9,"Francesco Molinari",36,NA,88.333,39,70,"ProximitytoHolefromFringe",2016
14,8,"Tim Wilkinson",40,NA,49.417,22,1,"ProximitytoHolefromFringe",2016
16,19,"Luke Guthrie",31,NA,52.75,23,117,"ProximitytoHolefromFringe",2016
16,19,"Rory McIlroy",37,NA,56.667,24,89,"ProximitytoHolefromFringe",2016
16,9,"Phil Mickelson",37,NA,57.333,25,9,"ProximitytoHolefromFringe",2016
16,19,"Andres Romero",22,NA,21.083,9,35,"ProximitytoHolefromFringe",2016
16,19,"Brandt Snedeker",47,NA,70.25,30,14,"ProximitytoHolefromFringe",2016
21,24,"Shane Bertsch",30,NA,63.167,26,67,"ProximitytoHolefromFringe",2016
21,24,"Chad Collins",45,NA,77.667,32,99,"ProximitytoHolefromFringe",2016
21,24,"Sergio Garcia",28,NA,28.5,12,126,"ProximitytoHolefromFringe",2016
21,17,"Robert Garrigus",34,NA,52.25,22,190,"ProximitytoHolefromFringe",2016
21,24,"Kelly Kraft",35,NA,51.167,21,198,"ProximitytoHolefromFringe",2016
21,24,"Robert Streb",51,NA,59.667,25,149,"ProximitytoHolefromFringe",2016
27,57,"Steven Bowditch",40,NA,71,28,206,"ProximitytoHolefromFringe",2016
27,42,"Tony Finau",49,NA,107.917,43,84,"ProximitytoHolefromFringe",2016
27,32,"Dustin Johnson",37,NA,47.833,19,105,"ProximitytoHolefromFringe",2016
27,42,"Patton Kizzire",57,NA,107.5,43,40,"ProximitytoHolefromFringe",2016
27,32,"Graeme McDowell",33,NA,47.583,19,62,"ProximitytoHolefromFringe",2016
27,32,"Cameron Percy",22,NA,27.333,11,175,"ProximitytoHolefromFringe",2016
