"ConsecutiveFairwaysHit_RANKTHISWEEK_2015","ConsecutiveFairwaysHit_RANKLASTWEEK_2015","ConsecutiveFairwaysHit_PLAYERNAME_2015","ConsecutiveFairwaysHit_EVENTS_2015","ConsecutiveFairwaysHit_BESTSTREAK_2015","ConsecutiveFairwaysHit_CURRENTSTREAK_2015","stat_name","year"
1,1,"Josh Teater",11,34,2,"ConsecutiveFairwaysHit",2015
2,2,"John Huh",31,30,NA,"ConsecutiveFairwaysHit",2015
2,2,"Colt Knost",29,30,4,"ConsecutiveFairwaysHit",2015
4,4,"Thomas Aiken",4,29,1,"ConsecutiveFairwaysHit",2015
4,4,"Whee Kim",23,29,3,"ConsecutiveFairwaysHit",2015
4,4,"Webb Simpson",22,29,3,"ConsecutiveFairwaysHit",2015
7,7,"Zach Johnson",25,28,NA,"ConsecutiveFairwaysHit",2015
7,7,"Scott Pinckney",27,28,2,"ConsecutiveFairwaysHit",2015
9,9,"Chad Campbell",30,27,2,"ConsecutiveFairwaysHit",2015
10,10,"Luke Donald",20,26,1,"ConsecutiveFairwaysHit",2015
10,10,"Jim Furyk",19,26,7,"ConsecutiveFairwaysHit",2015
10,10,"Ben Martin",27,26,NA,"ConsecutiveFairwaysHit",2015
13,13,"Alex Cejka",30,25,1,"ConsecutiveFairwaysHit",2015
13,13,"Carl Pettersson",32,25,4,"ConsecutiveFairwaysHit",2015
13,13,"Chez Reavie",19,25,1,"ConsecutiveFairwaysHit",2015
16,16,"Justin Rose",20,24,NA,"ConsecutiveFairwaysHit",2015
17,17,"Fabian Gomez",26,23,NA,"ConsecutiveFairwaysHit",2015
17,17,"Tom Lehman",2,23,2,"ConsecutiveFairwaysHit",2015
19,19,"Brian Davis",31,22,1,"ConsecutiveFairwaysHit",2015
19,19,"Jerry Kelly",24,22,5,"ConsecutiveFairwaysHit",2015
19,19,"Justin Leonard",22,22,NA,"ConsecutiveFairwaysHit",2015
19,19,"Francesco Molinari",16,22,2,"ConsecutiveFairwaysHit",2015
19,19,"Kyle Stanley",12,22,3,"ConsecutiveFairwaysHit",2015
19,19,"Kevin Streelman",27,22,NA,"ConsecutiveFairwaysHit",2015
19,19,"Cameron Tringale",28,22,NA,"ConsecutiveFairwaysHit",2015
26,26,"Zac Blair",34,21,6,"ConsecutiveFairwaysHit",2015
26,26,"Roberto Castro",16,21,5,"ConsecutiveFairwaysHit",2015
26,26,"Fred Funk",2,21,NA,"ConsecutiveFairwaysHit",2015
26,26,"Hideki Matsuyama",25,21,1,"ConsecutiveFairwaysHit",2015
26,26,"Ryan Moore",24,21,21,"ConsecutiveFairwaysHit",2015
26,26,"DA Points",26,21,NA,"ConsecutiveFairwaysHit",2015
26,26,"David Toms",21,21,5,"ConsecutiveFairwaysHit",2015
26,26,"Boo Weekley",24,21,NA,"ConsecutiveFairwaysHit",2015
34,34,"Jason Bohn",27,20,4,"ConsecutiveFairwaysHit",2015
34,34,"Jonathan Byrd",22,20,2,"ConsecutiveFairwaysHit",2015
34,34,"George Coetzee",7,20,NA,"ConsecutiveFairwaysHit",2015
