"GoingfortheGreenHitGreenPct_RANKTHISWEEK_2016","GoingfortheGreenHitGreenPct_RANKLASTWEEK_2016","GoingfortheGreenHitGreenPct_PLAYERNAME_2016","GoingfortheGreenHitGreenPct_ROUNDS_2016","GoingfortheGreenHitGreenPct_Pct_2016","GoingfortheGreenHitGreenPct_SUCCESSES_2016","GoingfortheGreenHitGreenPct_ATTEMPTS_2016","GoingfortheGreenHitGreenPct_RTPSUCCESSES_2016","GoingfortheGreenHitGreenPct_RTPNOTGOINGFORTHEGRN_2016","stat_name","year"
1,1,"Darron Stiles",28,40,2,5,-1,NA,"GoingfortheGreenHitGreenPct",2016
2,3,"Bubba Watson",30,38.71,24,62,-23,NA,"GoingfortheGreenHitGreenPct",2016
3,4,"Dustin Johnson",37,38.24,26,68,-26,NA,"GoingfortheGreenHitGreenPct",2016
4,6,"Stewart Cink",45,36.51,23,63,-20,NA,"GoingfortheGreenHitGreenPct",2016
5,2,"Adam Scott",39,34.29,24,70,-24,NA,"GoingfortheGreenHitGreenPct",2016
6,7,"Justin Thomas",53,34.09,30,88,-26,NA,"GoingfortheGreenHitGreenPct",2016
7,10,"Michael Thompson",46,32.65,16,49,-17,NA,"GoingfortheGreenHitGreenPct",2016
8,5,"Robert Streb",51,31.67,19,60,-16,NA,"GoingfortheGreenHitGreenPct",2016
9,11,"Gary Woodland",45,31.25,30,96,-30,NA,"GoingfortheGreenHitGreenPct",2016
10,8,"Bill Haas",42,31.03,18,58,-16,NA,"GoingfortheGreenHitGreenPct",2016
10,12,"Hudson Swafford",52,31.03,27,87,-25,NA,"GoingfortheGreenHitGreenPct",2016
12,9,"Cameron Smith",45,30.3,10,33,-11,NA,"GoingfortheGreenHitGreenPct",2016
13,13,"Charles Howell III",63,28.83,32,111,-31,NA,"GoingfortheGreenHitGreenPct",2016
14,42,"Rory McIlroy",37,28.21,22,78,-22,NA,"GoingfortheGreenHitGreenPct",2016
15,26,"Jason Kokrak",52,28.07,32,114,-32,NA,"GoingfortheGreenHitGreenPct",2016
15,17,"Ollie Schniederjans",23,28.07,16,57,-18,NA,"GoingfortheGreenHitGreenPct",2016
17,23,"Graeme McDowell",33,27.91,12,43,-12,NA,"GoingfortheGreenHitGreenPct",2016
18,16,"Harold Varner III",58,27.87,34,122,-31,NA,"GoingfortheGreenHitGreenPct",2016
19,31,"Daniel Berger",52,27.78,25,90,-24,NA,"GoingfortheGreenHitGreenPct",2016
20,14,"Justin Hicks",26,27.59,8,29,-7,NA,"GoingfortheGreenHitGreenPct",2016
21,20,"Rickie Fowler",42,27.36,29,106,-30,NA,"GoingfortheGreenHitGreenPct",2016
22,18,"Patrick Rodgers",49,27.27,30,110,-36,NA,"GoingfortheGreenHitGreenPct",2016
23,21,"Morgan Hoffmann",43,26.47,18,68,-22,NA,"GoingfortheGreenHitGreenPct",2016
24,24,"Tony Finau",49,26.32,30,114,-29,NA,"GoingfortheGreenHitGreenPct",2016
25,25,"James Hahn",45,26.03,19,73,-19,NA,"GoingfortheGreenHitGreenPct",2016
26,33,"Tyrone Van Aswegen",67,26,26,100,-23,NA,"GoingfortheGreenHitGreenPct",2016
27,19,"Shane Lowry",35,25.71,9,35,-11,NA,"GoingfortheGreenHitGreenPct",2016
28,35,"Jason Day",36,25.68,19,74,-20,NA,"GoingfortheGreenHitGreenPct",2016
29,38,"KJ Choi",47,25.64,10,39,-12,NA,"GoingfortheGreenHitGreenPct",2016
30,38,"Thomas Aiken",42,25.58,11,43,-11,NA,"GoingfortheGreenHitGreenPct",2016
31,41,"Jimmy Walker",43,25.53,24,94,-26,NA,"GoingfortheGreenHitGreenPct",2016
32,52,"David Hearn",55,25.49,13,51,-15,NA,"GoingfortheGreenHitGreenPct",2016
33,35,"Kevin Kisner",49,25.32,20,79,-20,NA,"GoingfortheGreenHitGreenPct",2016
34,44,"Justin Leonard",28,25,3,12,-3,NA,"GoingfortheGreenHitGreenPct",2016
34,44,"Henrik Stenson",30,25,13,52,-14,NA,"GoingfortheGreenHitGreenPct",2016
36,32,"Brett Stegmaier",57,24.49,24,98,-25,NA,"GoingfortheGreenHitGreenPct",2016
37,51,"Marc Leishman",41,24.14,14,58,-16,NA,"GoingfortheGreenHitGreenPct",2016
37,35,"Boo Weekley",53,24.14,21,87,-23,NA,"GoingfortheGreenHitGreenPct",2016
39,30,"Lucas Glover",53,24.04,25,104,-24,NA,"GoingfortheGreenHitGreenPct",2016
40,48,"Scott Brown",59,23.94,17,71,-19,NA,"GoingfortheGreenHitGreenPct",2016
41,44,"Danny Lee",53,23.86,21,88,-22,NA,"GoingfortheGreenHitGreenPct",2016
42,34,"Harris English",51,23.68,18,76,-17,NA,"GoingfortheGreenHitGreenPct",2016
43,56,"Billy Horschel",45,23.61,17,72,-15,NA,"GoingfortheGreenHitGreenPct",2016
44,14,"Byeong Hun An",23,23.53,8,34,-8,NA,"GoingfortheGreenHitGreenPct",2016
44,57,"Matt Kuchar",46,23.53,12,51,-13,NA,"GoingfortheGreenHitGreenPct",2016
46,52,"Ben Martin",48,23.46,19,81,-26,NA,"GoingfortheGreenHitGreenPct",2016
47,38,"Emiliano Grillo",47,23.33,21,90,-19,NA,"GoingfortheGreenHitGreenPct",2016
48,43,"Camilo Villegas",50,23.29,17,73,-19,NA,"GoingfortheGreenHitGreenPct",2016
49,54,"Fabian Gomez",49,23.23,23,99,-22,NA,"GoingfortheGreenHitGreenPct",2016
50,70,"Bronson Burgoon",53,23.17,19,82,-21,NA,"GoingfortheGreenHitGreenPct",2016
51,61,"Zach Johnson",42,23.08,12,52,-13,NA,"GoingfortheGreenHitGreenPct",2016
52,67,"Greg Owen",56,23,23,100,-22,NA,"GoingfortheGreenHitGreenPct",2016
53,50,"Patton Kizzire",57,22.99,20,87,-19,NA,"GoingfortheGreenHitGreenPct",2016
54,27,"Hideki Matsuyama",40,22.97,17,74,-16,NA,"GoingfortheGreenHitGreenPct",2016
55,29,"Scott Pinckney",53,22.92,22,96,-21,NA,"GoingfortheGreenHitGreenPct",2016
56,65,"Sergio Garcia",28,22.86,8,35,-7,NA,"GoingfortheGreenHitGreenPct",2016
57,47,"Sung Kang",51,22.73,20,88,-27,NA,"GoingfortheGreenHitGreenPct",2016
58,66,"Seung Yul Noh",54,22.62,19,84,-20,NA,"GoingfortheGreenHitGreenPct",2016
59,68,"Ryan Palmer",46,22.43,24,107,-27,NA,"GoingfortheGreenHitGreenPct",2016
60,55,"Chad Campbell",54,22.35,19,85,-16,NA,"GoingfortheGreenHitGreenPct",2016
61,21,"Tim Wilkinson",40,22.22,6,27,-7,NA,"GoingfortheGreenHitGreenPct",2016
62,57,"Padraig Harrington",38,21.92,16,73,-15,NA,"GoingfortheGreenHitGreenPct",2016
62,48,"David Lingmerth",54,21.92,16,73,-17,NA,"GoingfortheGreenHitGreenPct",2016
64,72,"Jon Curran",55,21.88,7,32,-6,NA,"GoingfortheGreenHitGreenPct",2016
65,60,"Paul Casey",39,21.82,12,55,-10,NA,"GoingfortheGreenHitGreenPct",2016
66,74,"Erik Compton",45,21.67,13,60,-13,NA,"GoingfortheGreenHitGreenPct",2016
66,28,"Francesco Molinari",36,21.67,13,60,-12,NA,"GoingfortheGreenHitGreenPct",2016
68,59,"Jamie Lovemark",57,21.6,27,125,-30,NA,"GoingfortheGreenHitGreenPct",2016
69,74,"Charl Schwartzel",29,21.57,11,51,-10,NA,"GoingfortheGreenHitGreenPct",2016
70,76,"Keegan Bradley",40,21.54,14,65,-11,NA,"GoingfortheGreenHitGreenPct",2016
70,63,"Webb Simpson",34,21.54,14,65,-14,NA,"GoingfortheGreenHitGreenPct",2016
72,84,"Patrick Reed",53,21.35,19,89,-20,NA,"GoingfortheGreenHitGreenPct",2016
73,132,"Angel Cabrera",42,21.25,17,80,-18,NA,"GoingfortheGreenHitGreenPct",2016
73,83,"Scott Piercy",45,21.25,17,80,-18,NA,"GoingfortheGreenHitGreenPct",2016
75,63,"Blayne Barber",44,21.21,14,66,-14,NA,"GoingfortheGreenHitGreenPct",2016
76,97,"Brian Harman",60,21.18,18,85,-18,NA,"GoingfortheGreenHitGreenPct",2016
77,101,"Sam Saunders",40,21.15,11,52,-13,NA,"GoingfortheGreenHitGreenPct",2016
78,89,"Si Woo Kim",63,21.14,26,123,-28,NA,"GoingfortheGreenHitGreenPct",2016
79,71,"Luke Donald",49,20.93,9,43,-9,NA,"GoingfortheGreenHitGreenPct",2016
80,62,"Brendan Steele",48,20.88,19,91,-17,NA,"GoingfortheGreenHitGreenPct",2016
81,107,"Nick Taylor",57,20.83,20,96,-19,NA,"GoingfortheGreenHitGreenPct",2016
82,86,"Russell Knox",48,20.75,11,53,-11,NA,"GoingfortheGreenHitGreenPct",2016
83,87,"Cameron Percy",22,20.69,6,29,-7,NA,"GoingfortheGreenHitGreenPct",2016
84,69,"Kyle Stanley",57,20.55,15,73,-14,NA,"GoingfortheGreenHitGreenPct",2016
85,92,"Jordan Spieth",34,20.37,11,54,-12,NA,"GoingfortheGreenHitGreenPct",2016
