"Approachesfrom225250yardsRgh_RANKTHISWEEK_2007","Approachesfrom225250yardsRgh_RANKLASTWEEK_2007","Approachesfrom225250yardsRgh_PLAYERNAME_2007","Approachesfrom225250yardsRgh_ROUNDS_2007","Approachesfrom225250yardsRgh_AVG_2007","Approachesfrom225250yardsRgh_TOTALDISTANCEFEET_2007","Approachesfrom225250yardsRgh_OFATTEMPTS_2007","Approachesfrom225250yardsRgh_RELATIVETOPAR_2007","stat_name","year"
1,1,"Darron Stiles",65,NA,64.667,2,-1,"Approachesfrom225250yardsRgh",2007
2,2,"Robert Gamez",88,NA,187.583,5,-3,"Approachesfrom225250yardsRgh",2007
3,3,"Mike Weir",82,NA,391,9,-2,"Approachesfrom225250yardsRgh",2007
4,4,"Scott Verplank",82,NA,132.75,3,-2,"Approachesfrom225250yardsRgh",2007
5,5,"Tommy Armour III",81,NA,185.083,4,-1,"Approachesfrom225250yardsRgh",2007
6,6,"Pat Perez",84,NA,472.667,10,1,"Approachesfrom225250yardsRgh",2007
7,7,"Jesper Parnevik",88,NA,481.833,10,-8,"Approachesfrom225250yardsRgh",2007
8,8,"Michael Allen",74,NA,389.75,8,-2,"Approachesfrom225250yardsRgh",2007
9,9,"Craig Bowden",78,NA,152.5,3,0,"Approachesfrom225250yardsRgh",2007
10,10,"Bubba Dickerson",51,NA,258.167,5,-4,"Approachesfrom225250yardsRgh",2007
11,11,"Nick OHern",72,NA,311,6,1,"Approachesfrom225250yardsRgh",2007
12,12,"Trevor Immelman",74,NA,207.917,4,-2,"Approachesfrom225250yardsRgh",2007
13,13,"Craig Barlow",52,NA,162.5,3,0,"Approachesfrom225250yardsRgh",2007
14,14,"Mathias Gronberg",95,NA,923.25,17,-7,"Approachesfrom225250yardsRgh",2007
15,15,"Jason Gore",86,NA,272.417,5,-6,"Approachesfrom225250yardsRgh",2007
16,16,"Tiger Woods",63,NA,382.583,7,-1,"Approachesfrom225250yardsRgh",2007
17,17,"Luke Donald",69,NA,388.333,7,-2,"Approachesfrom225250yardsRgh",2007
18,18,"Joey Sindelar",75,NA,336.75,6,0,"Approachesfrom225250yardsRgh",2007
19,19,"Jaco Van Zyl",51,NA,169,3,-3,"Approachesfrom225250yardsRgh",2007
20,20,"Bob Heintz",85,NA,454.417,8,-2,"Approachesfrom225250yardsRgh",2007
