"Approaches_RANKTHISWEEK_2015","Approaches_RANKLASTWEEK_2015","Approaches_PLAYERNAME_2015","Approaches_ROUNDS_2015","Approaches_AVGRTP_2015","stat_name","year"
1,1,"Chez Reavie",56,-0.273,"Approaches",2015
2,2,"Bubba Watson",71,-0.245,"Approaches",2015
3,3,"Brendan Steele",88,-0.16,"Approaches",2015
4,4,"Louis Oosthuizen",68,-0.158,"Approaches",2015
5,5,"Henrik Stenson",63,-0.154,"Approaches",2015
6,6,"Jason Day",75,-0.14,"Approaches",2015
7,7,"Eric Axley",57,-0.125,"Approaches",2015
8,8,"Russell Knox",96,-0.1,"Approaches",2015
9,9,"Cameron Percy",72,-0.083,"Approaches",2015
10,10,"Bill Haas",89,-0.077,"Approaches",2015
11,11,"Sean OHair",86,-0.071,"Approaches",2015
12,12,"Daniel Berger",97,-0.059,"Approaches",2015
13,13,"DA Points",72,-0.045,"Approaches",2015
14,14,"Ken Duke",93,-0.04,"Approaches",2015
15,15,"Tim Wilkinson",73,-0.037,"Approaches",2015
16,16,"Brooks Koepka",84,-0.029,"Approaches",2015
17,17,"Jason Kokrak",88,-0.027,"Approaches",2015
18,18,"Jonathan Byrd",69,0,"Approaches",2015
18,18,"Kevin Chappell",86,0,"Approaches",2015
18,18,"Ben Crane",62,0,"Approaches",2015
18,18,"Jason Dufner",76,0,"Approaches",2015
18,18,"Chris Kirk",76,0,"Approaches",2015
18,18,"Scott Langley",94,0,"Approaches",2015
18,18,"Tyrone Van Aswegen",58,0,"Approaches",2015
18,18,"Boo Weekley",79,0,"Approaches",2015
26,26,"William McGirt",103,0.025,"Approaches",2015
27,27,"Martin Flores",95,0.029,"Approaches",2015
27,27,"Dustin Johnson",75,0.029,"Approaches",2015
29,29,"Luke Guthrie",84,0.034,"Approaches",2015
30,30,"Andres Romero",69,0.036,"Approaches",2015
31,31,"Sangmoon Bae",98,0.038,"Approaches",2015
32,32,"Charlie Beljan",76,0.043,"Approaches",2015
33,33,"Danny Lee",120,0.045,"Approaches",2015
34,34,"Aaron Baddeley",76,0.059,"Approaches",2015
35,35,"Scott Pinckney",88,0.061,"Approaches",2015
36,36,"Kyle Reifers",96,0.065,"Approaches",2015
36,36,"Nick Taylor",91,0.065,"Approaches",2015
38,38,"Greg Chalmers",58,0.067,"Approaches",2015
39,39,"JJ Henry",94,0.077,"Approaches",2015
39,39,"Gary Woodland",81,0.077,"Approaches",2015
41,41,"Rickie Fowler",76,0.08,"Approaches",2015
42,42,"Jerry Kelly",79,0.083,"Approaches",2015
43,43,"Zach Johnson",90,0.087,"Approaches",2015
43,43,"Ryan Moore",81,0.087,"Approaches",2015
45,45,"Francesco Molinari",56,0.091,"Approaches",2015
45,45,"Jimmy Walker",89,0.091,"Approaches",2015
47,47,"Robert Streb",110,0.093,"Approaches",2015
48,48,"Brendon de Jonge",106,0.097,"Approaches",2015
48,48,"Jhonattan Vegas",90,0.097,"Approaches",2015
50,50,"Robert Garrigus",70,0.1,"Approaches",2015
50,50,"John Merrick",78,0.1,"Approaches",2015
52,52,"Luke Donald",71,0.105,"Approaches",2015
53,53,"Scott Brown",97,0.108,"Approaches",2015
54,54,"Greg Owen",58,0.111,"Approaches",2015
55,55,"David Hearn",97,0.114,"Approaches",2015
56,56,"Ryan Palmer",80,0.115,"Approaches",2015
57,57,"Chad Collins",79,0.12,"Approaches",2015
58,58,"Marc Leishman",74,0.125,"Approaches",2015
58,58,"David Toms",62,0.125,"Approaches",2015
60,60,"Morgan Hoffmann",85,0.128,"Approaches",2015
61,61,"Tony Finau",106,0.13,"Approaches",2015
61,61,"Seung Yul Noh",65,0.13,"Approaches",2015
63,63,"John Senden",80,0.133,"Approaches",2015
63,63,"Byron Smith",59,0.133,"Approaches",2015
63,63,"Jordan Spieth",91,0.133,"Approaches",2015
66,66,"George McNeill",93,0.136,"Approaches",2015
67,67,"Patrick Reed",103,0.138,"Approaches",2015
68,68,"Charl Schwartzel",67,0.143,"Approaches",2015
69,69,"Matt Kuchar",97,0.15,"Approaches",2015
70,70,"Brendon Todd",96,0.152,"Approaches",2015
71,71,"Kevin Streelman",95,0.156,"Approaches",2015
72,72,"Adam Hadwin",95,0.16,"Approaches",2015
72,72,"Hudson Swafford",97,0.16,"Approaches",2015
74,74,"Russell Henley",87,0.161,"Approaches",2015
74,74,"Daniel Summerhays",101,0.161,"Approaches",2015
76,76,"Chesson Hadley",101,0.167,"Approaches",2015
77,77,"Brian Davis",86,0.171,"Approaches",2015
78,78,"John Peterson",84,0.174,"Approaches",2015
79,79,"Davis Love III",51,0.176,"Approaches",2015
