"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2009","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2009","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2009","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2009","AveragePuttingDistanceGIR3PlusPutts_AVG_2009","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2009","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2009","stat_name","year"
60,60,"Lucas Glover",93,NA,56.917,2,"AveragePuttingDistanceGIR3PlusPutts",2009
61,61,"Gary Woodland",53,NA,27.5,1,"AveragePuttingDistanceGIR3PlusPutts",2009
62,62,"Rick Price",54,NA,27.167,1,"AveragePuttingDistanceGIR3PlusPutts",2009
63,63,"Scott Verplank",88,NA,25.083,1,"AveragePuttingDistanceGIR3PlusPutts",2009
64,64,"Richard Johnson",85,NA,24.917,1,"AveragePuttingDistanceGIR3PlusPutts",2009
65,65,"Zach Johnson",94,NA,24.333,1,"AveragePuttingDistanceGIR3PlusPutts",2009
66,66,"Will Ma Kenzie",69,NA,48.417,2,"AveragePuttingDistanceGIR3PlusPutts",2009
67,67,"Matt Weibring",65,NA,23.167,1,"AveragePuttingDistanceGIR3PlusPutts",2009
68,68,"Steve Lowery",83,NA,42.5,2,"AveragePuttingDistanceGIR3PlusPutts",2009
69,69,"Boo Weekley",79,NA,58.667,3,"AveragePuttingDistanceGIR3PlusPutts",2009
70,70,"Carl Pettersson",86,NA,58.417,3,"AveragePuttingDistanceGIR3PlusPutts",2009
71,71,"Greg Kraft",51,NA,35.667,2,"AveragePuttingDistanceGIR3PlusPutts",2009
72,72,"Jason Day",61,NA,14.833,1,"AveragePuttingDistanceGIR3PlusPutts",2009
73,73,"Fred Couples",54,NA,12.833,1,"AveragePuttingDistanceGIR3PlusPutts",2009
74,74,"Johnson Wagner",81,NA,12.417,1,"AveragePuttingDistanceGIR3PlusPutts",2009
75,75,"Ted Purdy",101,NA,10.5,1,"AveragePuttingDistanceGIR3PlusPutts",2009
76,76,"Jason Gore",74,NA,9.167,1,"AveragePuttingDistanceGIR3PlusPutts",2009
77,77,"David Mathis",82,NA,8.667,1,"AveragePuttingDistanceGIR3PlusPutts",2009
78,78,"Brett Quigley",92,NA,7.25,1,"AveragePuttingDistanceGIR3PlusPutts",2009
